buyer_name,implementation_location_province,supplier_name,items_description,Unit Price,cost_per_unit_zar,items_quantity,"The full amount paid 
 for the Products or 
 services",order_amount_zar,"Any donations 
 received from
  external funders /
 companies","The beneficiary targets and method 
 of distribution"
Mpumalanga Department of Social Development (DSD),Mpumalanga, Zeelwa Trading,"Masks

 Gloves","75.00
20.00",,"2364
 5400","R 328 095,00",328095,None,"Officials working during
  COVID-19 Lockdown"
Mpumalanga Department of Social Development (DSD),Mpumalanga, Gumza Technologies,Food Parcels,925.75,925.75,206,"R 190 704,50",190704.5,None,"Identified Households in 
 Distress"
Mpumalanga Department of Social Development (DSD),Mpumalanga,Sakelethu Trading 29,Food Parcels,925.75,925.75,206,"R 190 704,50",190704.5,None,"Identified Households in
  Distress"
Mpumalanga Department of Social Development (DSD),Mpumalanga,Mathebula Music Promotions,Food Parcels,925.75,925.75,134,"R  124 050,50",124050.5,None,"Identified Households in 
 Distress"
Mpumalanga Department of Social Development (DSD),Mpumalanga, Siyanonopha Trading,Food Parcels,805,805,148,"R  119 140,00",119140,None,"Identified Households in 
 Distress"
Mpumalanga Department of Social Development (DSD),Mpumalanga, Batuu Trading Enterprise,Food Parcels,925.75,925.75,142,"R 131456,50",131456.5,None,"Identified Households in 
 Distress"
Mpumalanga Department of Social Development (DSD),Mpumalanga,Grow Makhosikati Trading,Food Parcel,925.75,925.75,142,"R  131 456,50",131456.5,None,"Identified Households in
 Distress"
Mpumalanga Department of Social Development (DSD),Mpumalanga,Minosa Trading & Projects,Food Parcels,805,805,134,"R  107 870,00",107870,None,"Identified Households in
 Distress"
Mpumalanga Department of Social Development (DSD),Mpumalanga, Zeelwa Trading,"Paper Towel Refills

 Hand  Sanitiser Dispenser

 Hand Soap Dispenser

 Paper Towel Dispenser

 Soap and Sanitiser Refill",,,"125

 157

 143

 125

 1200","R40 000,00
 R   12 717,00

 R     3 289,00
 R     9 875,00

 R   68 628,00",,None,"Install hygiene
 equipment and refills in
 offices in the Ehlanzeni
 District for Officials
 working during COVID-
 19 Lockdown"
Mpumalanga Department of Social Development (DSD),Mpumalanga, Zeelwa Trading,"Hand Sanitisers 5l

 Hand Sanitisers 250ml bottle",,,"50

 60","R   18 818,02
 R     3 199,53",,None,"Sanitisers for identified
 officials working during
 COVID-19 Lockdown"
Mpumalanga Department of Social Development (DSD),Mpumalanga, Zeelwa Trading,"Face masks/face
 shields/

 disposable plastic  aprons/
 Temperature Scanner/

 eye protector goggles
 /disposable wipes",,,"300

 2

 300

 1

 2

 15","R   53 066,75",53066.75,None,"Equipment and hygiene 
 items for Swartfontein 
 Treatment Centre to be
  used for service users
  during COVID-19
  Lockdown"
Mpumalanga Department of Social Development (DSD),Mpumalanga, Zeelwa Trading,"Masks
 Gloves and
 Sanitisers 500 ml
 Sanitisers 75 ml",,,"600
 6 Boxes
 12
 30","R 739 748,04",739748.04,None,Sanitisers for identified officials working during COVID-19 Lockdown
