buyer_name,implementation_location_province,No,supplier_name,items_description,UNIT OF MEASURE,items_quantity,order_amount_zar
Mpumalanga Department of Health (DOH),Mpumalanga,43,CENTRAL MEDICAL,Aprons,Each,300 000,96000.00
Mpumalanga Department of Health (DOH),Mpumalanga,44,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,1 750 000,2005496.50
Mpumalanga Department of Health (DOH),Mpumalanga,45,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,150 000,127236.00
Mpumalanga Department of Health (DOH),Mpumalanga,46,FLOTENK,Masks Surgical/medical,Each,36 000,828000.00
Mpumalanga Department of Health (DOH),Mpumalanga,47,G-MERV,Masks Surgical/medical,Each,100 000,2300000.00
Mpumalanga Department of Health (DOH),Mpumalanga,48,G-MERV,Masks Surgical/medical,Each,200 000,4600000.00
Mpumalanga Department of Health (DOH),Mpumalanga,49,G-MERV,Masks Surgical/medical,Each,200 000,4600000.00
Mpumalanga Department of Health (DOH),Mpumalanga,50,HLALU LINDZILE,Masks Surgical/medical,Each,100 000,2645000.00
Mpumalanga Department of Health (DOH),Mpumalanga,51,JAAZIEL,Masks Surgical/medical,Each,50 000,1249992.50
Mpumalanga Department of Health (DOH),Mpumalanga,52,LIORA MEDICAL,Masks Respirator N95/FFP2/KN9  ,Each,2 100,112349.82
Mpumalanga Department of Health (DOH),Mpumalanga,53,NALA MEDICAL,Gloves examination non-sterile,Pack of 100,100 000,111090.00
Mpumalanga Department of Health (DOH),Mpumalanga,54,PROMED,Gowns Disposable,Each,1 500,35057.74
Mpumalanga Department of Health (DOH),Mpumalanga,55,RESMED,Hand Sanitizers,500ml,6 000,317400.00
Mpumalanga Department of Health (DOH),Mpumalanga,56,RESMED,Hand Sanitizers,500ml,480,25392.00
Mpumalanga Department of Health (DOH),Mpumalanga,57,RESMED,Hand Sanitizers,500ml,6 012,318034.80
Mpumalanga Department of Health (DOH),Mpumalanga,58,RESMED,Hand Sanitizers,500ml,2 988,158065.20
Mpumalanga Department of Health (DOH),Mpumalanga,59,RESMED,Hand Sanitizers,500ml,3 024,159969.60
Mpumalanga Department of Health (DOH),Mpumalanga,60,SILVER FALLS,Masks Surgical/medical,Each,23 000,608350.00
Mpumalanga Department of Health (DOH),Mpumalanga,61,SILVER FALLS,Masks Surgical/medical,Each,168 000,4443600.00
Mpumalanga Department of Health (DOH),Mpumalanga,62,SILVER FALLS,Masks Surgical/medical,Each,166 000,4390700.00
Mpumalanga Department of Health (DOH),Mpumalanga,63,UHURUWANKHA,Masks Surgical/medical,Each,1 000,40000.00
Mpumalanga Department of Health (DOH),Mpumalanga,64,UMNDENI,Masks Surgical/medical,Each,5 000,112527.50
Mpumalanga Department of Health (DOH),Mpumalanga,65,UNITRADE,Hand Sanitizers,500ml,1 500,93150.00
Mpumalanga Department of Health (DOH),Mpumalanga,66,HLALU LINDZILE,Masks Surgical/medical,Each,150 000,3967500.00
Mpumalanga Department of Health (DOH),Mpumalanga,67,NKABO WATER,Masks Surgical/medical,Each,100 000,2607970.00
Mpumalanga Department of Health (DOH),Mpumalanga,68,NKABO WATER,Masks Surgical/medical,Each,150 000,3911955.00
Mpumalanga Department of Health (DOH),Mpumalanga,69,QUALITYMEDICAL SUPPLIES,Goggles,Each,35 000,2275000.00
Mpumalanga Department of Health (DOH),Mpumalanga,70,VIOMED,Hand Sanitizers,5l,440,80960.00
Mpumalanga Department of Health (DOH),Mpumalanga,71,WINIMED,Hand Sanitizers,50ml,2 000,27646.00
Mpumalanga Department of Health (DOH),Mpumalanga,72,BCN MEDICAL,Masks Surgical/medical,Each,100 000,2127500.00
Mpumalanga Department of Health (DOH),Mpumalanga,73,BIOSURGE,Boot covers,Pack of 100,142 000,128706.55
Mpumalanga Department of Health (DOH),Mpumalanga,74,HLALU LINDZILE,Masks Surgical/medical,Each,100 000,2645000.00
Mpumalanga Department of Health (DOH),Mpumalanga,75,HLALU LINDZILE,Masks Surgical/medical,Each,150 000,3967500.00
Mpumalanga Department of Health (DOH),Mpumalanga,76,NKABO WATER,Masks Surgical/medical,Each,150 000,3911955.00
Mpumalanga Department of Health (DOH),Mpumalanga,77,QUALITYMEDICAL SUPPLIES,Masks Surgical/medical,Each,290 000,3001500.00
Mpumalanga Department of Health (DOH),Mpumalanga,78,QUALITYMEDICAL SUPPLIES,Masks Surgical/medical,Each,100 000,1035000.00
Mpumalanga Department of Health (DOH),Mpumalanga,79,RESMED,Hand Sanitizers,500ml,6 984,369453.60
Mpumalanga Department of Health (DOH),Mpumalanga,80,RESMED,Hand Sanitizers,500ml,1 080,57132.00
Mpumalanga Department of Health (DOH),Mpumalanga,81,RESMED,Hand Sanitizers,500ml,4 732,250322.80
Mpumalanga Department of Health (DOH),Mpumalanga,82,UHURUWANKHA,Masks Surgical/medical,Each,99 000,3960000.00
Mpumalanga Department of Health (DOH),Mpumalanga,83,UHURUWANKHA,Masks Surgical/medical,Each,100 000,4000045.00
Mpumalanga Department of Health (DOH),Mpumalanga,84,UHURUWANKHA,Masks Surgical/medical,Each,100 000,4000045.00
Mpumalanga Department of Health (DOH),Mpumalanga,85,UHURUWANKHA,Masks Surgical/medical,Each,100 000,4000045.00
Mpumalanga Department of Health (DOH),Mpumalanga,86,UNITRADE,Hand Sanitizers,500ml,2 000,124200.00
Mpumalanga Department of Health (DOH),Mpumalanga,87,BCN MEDICAL,Masks Surgical/medical,Each,29 100,619102.50
Mpumalanga Department of Health (DOH),Mpumalanga,88,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,300 000,343792.50
Mpumalanga Department of Health (DOH),Mpumalanga,89,EVERGREEN,Gloves examination non-sterile,Pack of 100,300 000,149581.65
Mpumalanga Department of Health (DOH),Mpumalanga,90,FLOTENK,Masks Surgical/medical,Each,64 000,1472000.00
Mpumalanga Department of Health (DOH),Mpumalanga,91,JAAZIEL,Masks Surgical/medical,Each,50 000,1249992.50
Mpumalanga Department of Health (DOH),Mpumalanga,92,NOZIHLE CLEANING SERVICES,Masks Surgical/medical,Each,100 000,2645000.00
Mpumalanga Department of Health (DOH),Mpumalanga,93,PERFECTRO EXPRESS,Masks Respirator N95/FFP2/KN9  ,Each,50 000,3737500.00
Mpumalanga Department of Health (DOH),Mpumalanga,94,PERFECTRO EXPRESS,Masks Respirator N95/FFP2/KN9  ,Each,40 090,2996727.50
Mpumalanga Department of Health (DOH),Mpumalanga,95,SIFISO SIYAFEZEKA TRADING,Masks Surgical/medical,Each,110 000,2419945.00
Mpumalanga Department of Health (DOH),Mpumalanga,96,TARA HEALTH CARE,Face Shield/ Visors,Each,10 000,895505.00
Mpumalanga Department of Health (DOH),Mpumalanga,97,YOLO,Coveralls,Each,4 000,1043638.80
Mpumalanga Department of Health (DOH),Mpumalanga,98,1 STOP MEDICAL,Aprons,Each,400,23000.00
Mpumalanga Department of Health (DOH),Mpumalanga,99,BARRS,Hand Sanitizers,500ml,4 000,57747.76
Mpumalanga Department of Health (DOH),Mpumalanga,100,BIOTECH  ,Hand Sanitizers,500ml,10 000,690000.00
Mpumalanga Department of Health (DOH),Mpumalanga,101,IZIKO MEDICAL ,Gloves examination non-sterile,Pack of 100,400 000,383226.00
Mpumalanga Department of Health (DOH),Mpumalanga,102,IZIKO MEDICAL ,Gloves examination non-sterile,Pack of 100,880 000,843097.20
Mpumalanga Department of Health (DOH),Mpumalanga,103,IZIKO MEDICAL ,Gloves examination non-sterile,Pack of 100,819 000,784655.24
Mpumalanga Department of Health (DOH),Mpumalanga,104,IZIKO MEDICAL ,Gloves examination non-sterile,Pack of 100,681 000,649568.07
Mpumalanga Department of Health (DOH),Mpumalanga,105,LIORA MEDICAL ,Masks Respirator N95/FFP2/KN9  ,Each,10 500,56174.63
Mpumalanga Department of Health (DOH),Mpumalanga,106,LIORA MEDICAL ,Masks Respirator N95/FFP2/KN9  ,Each,10 500,56174.63
Mpumalanga Department of Health (DOH),Mpumalanga,107,MULTISURGE  ,Masks Surgical/medical,Each,184 000,2208000.00
Mpumalanga Department of Health (DOH),Mpumalanga,108,MULTISURGE  ,Masks Surgical/medical,Each,100 000,1380000.00
Mpumalanga Department of Health (DOH),Mpumalanga,109,SILVER FALLS ,Masks Surgical/medical,Each,143 000,3782350.00
Mpumalanga Department of Health (DOH),Mpumalanga,110,TARA HEALTH CARE,Masks Surgical/medical,Each,50 000,2349967.50
Mpumalanga Department of Health (DOH),Mpumalanga,111,TARA HEALTH CARE,Masks Surgical/medical,Each,20 000,939980.00
Mpumalanga Department of Health (DOH),Mpumalanga,112,TARA HEALTH CARE,Face Shield/ Visors,Each,5 000,447752.50
Mpumalanga Department of Health (DOH),Mpumalanga,113,TUWO RHODESIA ,Masks Surgical/medical,Each,60 000,1079988.00
Mpumalanga Department of Health (DOH),Mpumalanga,114,UNITRADE  ,Hand Sanitizers,500ml,1 640,101844.00
Mpumalanga Department of Health (DOH),Mpumalanga,115,VIGARIO  ,Masks Surgical/medical,Each,300 000,3346500.00
Mpumalanga Department of Health (DOH),Mpumalanga,116,YOLO  ,Coveralls,Each,2 000,521819.40
Mpumalanga Department of Health (DOH),Mpumalanga,117,YOLO  ,Coveralls,Each,10 000,2609097.00
Mpumalanga Department of Health (DOH),Mpumalanga,118,YOLO  ,Coveralls,Each,8 000,2087277.60
Mpumalanga Department of Health (DOH),Mpumalanga,119,YOLO  ,Coveralls,Each,6 000,1565458.20
Mpumalanga Department of Health (DOH),Mpumalanga,120,BIOTECH  ,Hand Sanitizers,5000ml,151,24309.44
Mpumalanga Department of Health (DOH),Mpumalanga,121,BIOTECH  ,Hand Sanitizers,5000ml,19,3058.80
Mpumalanga Department of Health (DOH),Mpumalanga,122,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,216 000,4222800.00
Mpumalanga Department of Health (DOH),Mpumalanga,123,CLINIPRO (PTY) LTD,Gloves examination non-sterile,Pack of 100,319 700,366375.56
Mpumalanga Department of Health (DOH),Mpumalanga,124,EVERGREEN  ,Gloves examination non-sterile,Pack of 100,400 000,199442.20
Mpumalanga Department of Health (DOH),Mpumalanga,125,NALA MEDICAL ,Gloves examination non-sterile,Pack of 100,50 000,#REF!
Mpumalanga Department of Health (DOH),Mpumalanga,126,SHABATSU  ,Masks Respirator N95/FFP2/KN9  ,Each,100 000,4135975.00
Mpumalanga Department of Health (DOH),Mpumalanga,127,TEPA TRADING AND PROJECTS,Masks Surgical/medical,Each,220 000,4730088.00
Mpumalanga Department of Health (DOH),Mpumalanga,128,UNITRADE  ,Hand Sanitizers,500ml,7 000,434700.00
Mpumalanga Department of Health (DOH),Mpumalanga,129,VIOMED  ,Hand Sanitizers,500ml,12 288,438067.20
Mpumalanga Department of Health (DOH),Mpumalanga,130,1 STOP MEDICAL,Aprons,Each,1 500,86250.00
Mpumalanga Department of Health (DOH),Mpumalanga,131,BARRS  ,Hand Sanitizers,500ml,3 260,47074.32
Mpumalanga Department of Health (DOH),Mpumalanga,132,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,34 000,664700.00
Mpumalanga Department of Health (DOH),Mpumalanga,133,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,92 100,1800555.00
Mpumalanga Department of Health (DOH),Mpumalanga,134,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,25 000,488750.00
Mpumalanga Department of Health (DOH),Mpumalanga,135,QUALITYMEDICAL SUPPLIES ,Masks Surgical/medical,Each,300 000,3105000.00
Mpumalanga Department of Health (DOH),Mpumalanga,136,QUALITYMEDICAL SUPPLIES ,Masks Surgical/medical,Each,160 000,1656000.00
Mpumalanga Department of Health (DOH),Mpumalanga,137,TARA HEALTH CARE,Face Shield/ Visors,Each,25 000,2238762.50
Mpumalanga Department of Health (DOH),Mpumalanga,138,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,74 850,1463317.50
Mpumalanga Department of Health (DOH),Mpumalanga,139,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,4887500.00
Mpumalanga Department of Health (DOH),Mpumalanga,140,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,4887500.00
Mpumalanga Department of Health (DOH),Mpumalanga,141,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,150 150,2935432.50
Mpumalanga Department of Health (DOH),Mpumalanga,142,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,4887500.00
Mpumalanga Department of Health (DOH),Mpumalanga,143,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,4887500.00
Mpumalanga Department of Health (DOH),Mpumalanga,144,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,4887500.00
Mpumalanga Department of Health (DOH),Mpumalanga,145,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,239 100,4674405.00
Mpumalanga Department of Health (DOH),Mpumalanga,146,INKUNZI HEALTH MANAGEMENT,Masks Surgical/medical,Each,160 000,3199944.00
Mpumalanga Department of Health (DOH),Mpumalanga,147,INKUNZI HEALTH MANAGEMENT,Masks Surgical/medical,Each,40 000,799986.00
Mpumalanga Department of Health (DOH),Mpumalanga,148,JUMLA MEDICAL SUPPLIES,Gloves surgical,50 Pairs,150 000,371737.50
Mpumalanga Department of Health (DOH),Mpumalanga,149,JUMLA MEDICAL SUPPLIES,Gloves surgical,50 Pairs,150 000,371737.50
Mpumalanga Department of Health (DOH),Mpumalanga,150,PERFECTRO EXPRESS ,Masks Respirator N95/FFP2/KN9  ,Each,9 910,740772.50
Mpumalanga Department of Health (DOH),Mpumalanga,151,TUWO RHODESIA ,Coveralls,Each,12 500,3324375.00
Mpumalanga Department of Health (DOH),Mpumalanga,152,TUWO RHODESIA ,Coveralls,Each,12 500,3324375.00
Mpumalanga Department of Health (DOH),Mpumalanga,153,UNITRADE  ,Hand Sanitizers,500ml,7 860,487981.80
Mpumalanga Department of Health (DOH),Mpumalanga,154,1 STOP MEDICAL,Aprons,Each,900,51750.00
Mpumalanga Department of Health (DOH),Mpumalanga,155,BCN MEDICAL ,Boot covers,Each,27 000,32602.50
Mpumalanga Department of Health (DOH),Mpumalanga,156,BCN MEDICAL ,Gowns Disposable,Each,1 700,127075.00
Mpumalanga Department of Health (DOH),Mpumalanga,157,BCN MEDICAL ,Gowns Disposable,Each,335,25041.25
Mpumalanga Department of Health (DOH),Mpumalanga,158,BCN MEDICAL ,Gowns Disposable,Each,200,14950.00
Mpumalanga Department of Health (DOH),Mpumalanga,159,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,157 900,3086945.00
Mpumalanga Department of Health (DOH),Mpumalanga,160,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,10 900,213095.00
Mpumalanga Department of Health (DOH),Mpumalanga,161,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,4887500.00
Mpumalanga Department of Health (DOH),Mpumalanga,162,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,4887500.00
Mpumalanga Department of Health (DOH),Mpumalanga,163,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,35 600,695980.00
Mpumalanga Department of Health (DOH),Mpumalanga,164,TARA HEALTH CARE,Face Shield/ Visors,Each,20 000,1791010.00
Mpumalanga Department of Health (DOH),Mpumalanga,165,TARA HEALTH CARE,Face Shield/ Visors,Each,20 000,1791010.00
Mpumalanga Department of Health (DOH),Mpumalanga,166,TUWO RHODESIA ,Coveralls,Each,12 500,3324375.00
Mpumalanga Department of Health (DOH),Mpumalanga,167,TUWO RHODESIA ,Coveralls,Each,12 500,3324375.00
Mpumalanga Department of Health (DOH),Mpumalanga,168,UMNDENI  ,Face Shield/ Visors,Each,10 000,280000.28
Mpumalanga Department of Health (DOH),Mpumalanga,169,1 STOP MEDICAL,Aprons,Each,300,17250.00
Mpumalanga Department of Health (DOH),Mpumalanga,170,1 STOP MEDICAL,Aprons,Each,300,17250.00
Mpumalanga Department of Health (DOH),Mpumalanga,171,BARRS  ,Hand Sanitizers,5l,10,1599.31
Mpumalanga Department of Health (DOH),Mpumalanga,172,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,64 400,1259020.00
Mpumalanga Department of Health (DOH),Mpumalanga,173,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,4887500.00
Mpumalanga Department of Health (DOH),Mpumalanga,174,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,235 400,4602070.00
Mpumalanga Department of Health (DOH),Mpumalanga,175,JUMLA MEDICAL SUPPLIES,Gloves surgical,50 Pairs,150 000,371737.50
Mpumalanga Department of Health (DOH),Mpumalanga,176,LIORA MEDICAL ,Masks Respirator N95/FFP2/KN9  ,Each,21 000,112349.25
Mpumalanga Department of Health (DOH),Mpumalanga,177,MOTHUDI SERVICES ,Gloves surgical,50 Pairs,3 100,9145.00
Mpumalanga Department of Health (DOH),Mpumalanga,178,MOTHUDI SERVICES ,Gloves surgical,50 Pairs,121 900,359605.00
Mpumalanga Department of Health (DOH),Mpumalanga,179,QUALITYMEDICAL SUPPLIES ,Face Shield/ Visors,Each,1 000,65000.00
Mpumalanga Department of Health (DOH),Mpumalanga,180,QUALITYMEDICAL SUPPLIES ,Face Shield/ Visors,Each,3 187,207155.00
Mpumalanga Department of Health (DOH),Mpumalanga,181,WINIMED  ,Hand Sanitizers,50ml,4 000,55292.00
Mpumalanga Department of Health (DOH),Mpumalanga,182,IZIKO MEDICAL ,Aprons,Pack of 100,400 000,261878.00
Mpumalanga Department of Health (DOH),Mpumalanga,183,MOTHUDI SERVICES ,Hand Sanitizers,500ml,10 000,750000.00
Mpumalanga Department of Health (DOH),Mpumalanga,184,MZIMARI PRODUCTIONS ,Masks Respirator N95/FFP2/KN9  ,Each,100 000,3280000.00
Mpumalanga Department of Health (DOH),Mpumalanga,185,MZIMARI PRODUCTIONS ,Aprons,Pack of 100,100 000,250000.00
Mpumalanga Department of Health (DOH),Mpumalanga,186,SIYAPHAMBILI DHN PROJECTS,Masks Respirator N95/FFP2/KN9  ,Pack of 10,50 000,1880000.00
Mpumalanga Department of Health (DOH),Mpumalanga,187,BCN MEDICAL ,Coveralls,Each,3 400,254150.00
Mpumalanga Department of Health (DOH),Mpumalanga,188,BCN MEDICAL ,Coveralls,Each,2 400,179400.00
Mpumalanga Department of Health (DOH),Mpumalanga,189,BCN MEDICAL ,Coveralls,Each,250,18687.50
Mpumalanga Department of Health (DOH),Mpumalanga,190,BCN MEDICAL ,Coveralls,Each,150,11212.50
Mpumalanga Department of Health (DOH),Mpumalanga,191,BCN MEDICAL ,Coveralls,Each,1 500,112125.00
Mpumalanga Department of Health (DOH),Mpumalanga,192,BCN MEDICAL ,Coveralls,Each,1 000,74750.00
Mpumalanga Department of Health (DOH),Mpumalanga,193,1 STOP MEDICAL,Aprons,Each,2 000,115000.00
Mpumalanga Department of Health (DOH),Mpumalanga,194,BARRS  ,Hand Sanitizers,500ml,3 000,43319.93
Mpumalanga Department of Health (DOH),Mpumalanga,195,BIOTECH  ,Hand Sanitizers,500ml,7 500,517500.00
Mpumalanga Department of Health (DOH),Mpumalanga,196,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,14 600,285430.00
Mpumalanga Department of Health (DOH),Mpumalanga,197,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,250 000,4887500.00
Mpumalanga Department of Health (DOH),Mpumalanga,198,IZIKO MEDICAL ,Aprons,Pack of 100,600 000,392817.00
Mpumalanga Department of Health (DOH),Mpumalanga,199,IZIKO MEDICAL ,Gloves examination non-sterile,Pack of 100,620 000,594000.30
Mpumalanga Department of Health (DOH),Mpumalanga,200,IZIKO MEDICAL ,Gloves examination non-sterile,Pack of 100,1 000 000,958065.00
Mpumalanga Department of Health (DOH),Mpumalanga,201,MOTHUDI SERVICES ,Hand Sanitizers,500ml,10 000,749995.50
Mpumalanga Department of Health (DOH),Mpumalanga,202,TEE TEE TRADING (PTY) LTD TEE TRADING,Gowns Disposable,Each,880,118360.00
Mpumalanga Department of Health (DOH),Mpumalanga,203,1 STOP MEDICAL,Aprons,Each,6 000,345000.00
Mpumalanga Department of Health (DOH),Mpumalanga,204,BARRS  ,Hand Sanitizers,500ml,5 560,80286.26
Mpumalanga Department of Health (DOH),Mpumalanga,205,BARRS  ,Hand Sanitizers,500ml,5 680,82019.06
Mpumalanga Department of Health (DOH),Mpumalanga,206,BCN MEDICAL ,Coveralls,Each,2 400,179400.00
Mpumalanga Department of Health (DOH),Mpumalanga,207,BCN MEDICAL ,Coveralls,Each,6 450,482137.50
Mpumalanga Department of Health (DOH),Mpumalanga,208,BCN MEDICAL ,Coveralls,Each,5 000,373750.00
Mpumalanga Department of Health (DOH),Mpumalanga,209,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,4696312.50
Mpumalanga Department of Health (DOH),Mpumalanga,210,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,4696312.50
Mpumalanga Department of Health (DOH),Mpumalanga,211,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,4696312.50
Mpumalanga Department of Health (DOH),Mpumalanga,212,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,159 550,3330207.38
Mpumalanga Department of Health (DOH),Mpumalanga,213,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,65 450,1366105.13
Mpumalanga Department of Health (DOH),Mpumalanga,214,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,4696312.50
Mpumalanga Department of Health (DOH),Mpumalanga,215,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,4696312.50
Mpumalanga Department of Health (DOH),Mpumalanga,216,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,4696312.50
Mpumalanga Department of Health (DOH),Mpumalanga,217,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,106 200,2216659.50
Mpumalanga Department of Health (DOH),Mpumalanga,218,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,118 800,2479653.00
Mpumalanga Department of Health (DOH),Mpumalanga,219,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,4696312.50
Mpumalanga Department of Health (DOH),Mpumalanga,220,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,4696312.50
Mpumalanga Department of Health (DOH),Mpumalanga,221,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,4696312.50
Mpumalanga Department of Health (DOH),Mpumalanga,222,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,225 000,4696312.50
Mpumalanga Department of Health (DOH),Mpumalanga,223,CLINIPRO (PTY) LTD,Masks Surgical/medical,Each,200 000,4174500.00
Mpumalanga Department of Health (DOH),Mpumalanga,224,DB MED SUPPLIERS     ,Coveralls,Each,100,10637.50
