buyer_name,implementation_location_other,No,DEPT/ENTITY,,supplier_numbers_other,supplier_name,company_registration_number,ITEM CATEGORY,items_description,items_quantity,cost_per_unit_zar,order_amount_zar,TOTAL VAL RECALC,order_number,invoice_number,SYS INVOICE AMOUNT,SYS INVOICE DATE,invoice_date,SYS INVOICE RECEIPT DATE,invoice_reciept_date,SYS PAYMENT DATE,payment_number,SYS DISPURSE NO,SYS PAYMENT AMOUNT,paymen_period,PAY VAR,STATUS,COMMITMENT OUTSTANDING,ORDERS CLOSED
"Limpopo Department of Cooperative Governance, Human Settlements and Traditional Affairs (CoGHSTA)",Limpopo,19,COGHSTA,COGHSTA,MAAA0486753,Mogau Medical Supplies,2017/303774/07,Building - Disinfecting,"Disinfection/ decontamination
of buildings","41,918",9.10,381453.80,"R381,453.80",OR-005119,M  OG28,"R381,453.80",06/02/2020,2020-02-06,06/03/2020,2020-06-03,06/09/2020,2454506,1129011,"R381,453.80",2020/06,R0.00,CLOSED,R0.00,R0.00
"Limpopo Department of Cooperative Governance, Human Settlements and Traditional Affairs (CoGHSTA)",Limpopo,20,COGHSTA,COGHSTA,MAAA0232894,Pitje Services,2016/210430/07,Cleaning,Bar soaps,"2,000",19.00,38000.00,"R38,000.00",OR-005122,220,"R38,000.00",6/22/2020,2020-06-22,6/23/2020,2020-06-23,6/24/2020,2454727,1129176,"R38,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
"Limpopo Department of Cooperative Governance, Human Settlements and Traditional Affairs (CoGHSTA)",Limpopo,21,COGHSTA,COGHSTA,MAAA0232894,Pitje Services,2016/210430/07,Digital Themormetres,Themometers,20,2779.00,55580.00,"R55,580.00",OR-005122,220,"R55,580.00",6/22/2020,2020-06-22,6/23/2020,2020-06-23,6/24/2020,2454727,1129176,"R55,580.00",2020/06,R0.00,CLOSED,R0.00,R0.00
"Limpopo Department of Cooperative Governance, Human Settlements and Traditional Affairs (CoGHSTA)",Limpopo,22,COGHSTA,COGHSTA,MAAA0232894,Pitje Services,2016/210430/07,Sanitiser,Empty spray bottles,"2,000",40.50,81000.00,"R81,000.00",OR-005122,220,"R81,000.00",6/22/2020,2020-06-22,6/23/2020,2020-06-23,6/24/2020,2454727,1129176,"R81,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
"Limpopo Department of Cooperative Governance, Human Settlements and Traditional Affairs (CoGHSTA)",Limpopo,23,COGHSTA,COGHSTA,MAAA0749242,Zaukhakhata Trading Projects,2017/505907/07,Masks - Face Cloth,Cloth Masks,"5,000",16.00,80000.00,"R80,000.00",OR-005123,Feb-20,"R80,000.00",07/12/2020,2020-12-07,7/14/2020,2020-07-14,7/24/2020,2455316,1129691,"R80,000.00",2020/07,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,24,HEALTH,Health,MAAA0902717,AG Medical,2012/202604/07,Masks - Surgical,3 Ply Mask Surgical,"100,000",16.10,1610000.00,"R1,610,000.00",LC/20/1404,INV-0001LPPDH/O,"R1,609,195.00",04/07/2020,2020-07-04,4/15/2020,2020-04-15,4/15/2020,2658784,1189657,"R1,609,195.00",2020/06,R805.00,CLOSED,R0.00,R805.00
Limpopo Department of Health,Limpopo,25,HEALTH,Health,MAAA0504867,Akanani TE (Pty) Ltd,2014/195490/07,Other PPE - Health,Sleeve Protecor,"10,000",45.50,455000.00,"R455,000.00",LC/20/1611,125LPPD,"R455,000.00",5/25/2020,2020-05-25,6/20/2020,2020-06-20,6/22/2020,2673041,1196739,"R455,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,26,HEALTH,Health,MAAA0504867,Akanani TE (Pty) Ltd,2014/195490/07,Face Shields / Visors,Face Visors Shileds,"16,470",35.00,576450.00,"R576,450.00",LC/20/1573,126LPPD,"R576,450.00",06/01/2020,2020-01-06,06/11/2020,2020-06-11,6/17/2020,2672456,1196739,"R576,450.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,27,HEALTH,Health,MAAA0073547,Asitanga trading and projects,2014/099500/07,Masks - Surgical,3 Ply Mask Surgical,"100,000",20.00,2000000.00,"R2,000,000.00",NOT APPLIC,2  0  5LPPD,"R2,000,000.00",4/21/2020,2020-04-21,4/22/2020,2020-04-22,4/23/2020,2660109,1189932,"R2,000,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,28,HEALTH,Health,MAAA0008395,B D IT Solutions,2010/111225/23,Masks - Surgical,3 Ply Mask Surgical,"100,000",19.50,1950000.00,"R1,950,000.00",NOT APPLIC,0  0  1LDHLPPD,"R1,950,000.00",4/17/2020,2020-04-17,4/22/2020,2020-04-22,4/28/2020,2660333,1191992,"R1,950,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,29,HEALTH,Health,MAAA0274867,Bapedi Conglomerate Holdings (Pty)Ltd,2014/266376/07,Face Shields / Visors,Face Visors Shileds,"16,470",35.00,576450.00,"R576,450.00",NOT APPLIC,B   3 00520LPPD,"R10,428.36",5/30/2020,2020-05-30,06/09/2020,2020-06-09,06/09/2020,2671734,1195899,"R10,428.36",2020/06,"R566,021.64",CLOSED,R0.00,"R566,021.64"
Limpopo Department of Health,Limpopo,30,HEALTH,Health,MAAA0274867,Bapedi Conglomerate Holdings (Pty)Ltd,2014/266376/07,,,,,0.00,R0.00,NOT APPLIC,D   0 50620LPPD,"R91,895.56",06/06/2020,2020-06-06,06/11/2020,2020-06-11,6/22/2020,2673023,1196732,"R91,895.56",2020/06,"-R91,895.56",CLOSED,R0.00,"-R91,895.56"
Limpopo Department of Health,Limpopo,31,HEALTH,Health,MAAA0274867,Bapedi Conglomerate Holdings (Pty)Ltd,2014/266376/07,,,,,0.00,R0.00,NOT APPLIC,B   0 60620LPPD,"R399,217.26",06/06/2020,2020-06-06,06/11/2020,2020-06-11,6/15/2020,2672135,1196732,"R399,217.26",2020/06,"-R399,217.26",CLOSED,R0.00,"-R399,217.26"
Limpopo Department of Health,Limpopo,32,HEALTH,Health,MAAA0037500,Bas Medxpress cc,2006/057294/23,Face Shields / Visors,Face Visors Shileds,"30,000",20.00,600000.00,"R600,000.00",NOT APPLIC,BAS01812LPPD,"R600,000.00",4/22/2020,2020-04-22,6/30/2020,2020-06-30,7/20/2020,2679477,1199882,"R600,000.00",2020/07,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,33,HEALTH,Health,MAAA0038716,Basani IT Solution,2017/430286/07,Masks - Surgical,3 Ply Mask Surgical,"1,000,000",18.75,18745000.00,"R18,745,000.00",NOT APPLIC,1  5  5LPPD,"R18,745,000.00",4/21/2020,2020-04-21,4/22/2020,2020-04-22,05/04/2020,2660760,1192117,"R18,745,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,34,HEALTH,Health,MAAA0563301,Big O Trading 844,2010/146011/23,Face Shields / Visors,Face Visors Shileds,"16,470",35.00,576450.00,"R576,450.00",NOT APPLIC,B   IG09020LPPD,"R35,000.00",5/28/2020,2020-05-28,06/09/2020,2020-06-09,06/09/2020,2671735,1195898,"R35,000.00",2020/06,"R541,450.00",CLOSED,R0.00,"R541,450.00"
Limpopo Department of Health,Limpopo,35,HEALTH,Health,MAAA0563301,Big O Trading 844,2010/146011/23,Face Shields / Visors,Face Visors Shileds,,,0.00,R0.00,NOT APPLIC,B   IG09024LPPD,"R44,170.00",06/06/2020,2020-06-06,06/08/2020,2020-06-08,06/09/2020,2671716,1195898,"R44,170.00",2020/06,"-R44,170.00",CLOSED,R0.00,"-R44,170.00"
Limpopo Department of Health,Limpopo,36,HEALTH,Health,MAAA0563301,Big O Trading 844,2010/146011/23,Face Shields / Visors,Face Visors Shileds,,,0.00,R0.00,NOT APPLIC,BIG09021LPPD,"R35,000.00",06/04/2020,2020-04-06,07/01/2020,2020-07-01,07/03/2020,2675553,1198931,"R35,000.00",2020/07,"-R35,000.00",CLOSED,R0.00,"-R35,000.00"
Limpopo Department of Health,Limpopo,37,HEALTH,Health,MAAA0563301,Big O Trading 844,2010/146011/23,Face Shields / Visors,Face Visors Shileds,,,0.00,R0.00,NOT APPLIC,BIG09022LPPD,"R166,355.00",06/05/2020,2020-05-06,07/01/2020,2020-07-01,07/03/2020,2675554,1198931,"R166,355.00",2020/07,"-R166,355.00",CLOSED,R0.00,"-R166,355.00"
Limpopo Department of Health,Limpopo,38,HEALTH,Health,MAAA0563301,Big O Trading 844,2010/146011/23,Face Shields / Visors,Face Visors Shileds,,,0.00,R0.00,NOT APPLIC,BIG09023LPPD,"R295,925.00",06/05/2020,2020-05-06,07/01/2020,2020-07-01,07/03/2020,2675555,1198931,"R295,925.00",2020/07,"-R295,925.00",CLOSED,R0.00,"-R295,925.00"
Limpopo Department of Health,Limpopo,39,HEALTH,Health,MAAA0083386,Brian Pienaar North (Pty) Ltd,1999/000175/07,Protective Body Suit,Protective Cover Body suits,"30,000",32.00,960000.00,"R960,000.00",NOT APPLIC,0  4  0-INV10504LPPD,"R97,663.75",05/07/2020,2020-07-05,5/18/2020,2020-05-18,5/19/2020,2665256,1192598,"R97,663.75",2020/06,"R862,336.25",CLOSED,R0.00,"R862,336.25"
Limpopo Department of Health,Limpopo,40,HEALTH,Health,MAAA0083386,Brian Pienaar North (Pty) Ltd,1999/000175/07,Other PPE - Health,Balaklava Theatre caps,"30,000",79.00,2370000.00,"R2,370,000.00",NOT APPLIC,0  4  0-INV10392LPPD,"R158,976.00",4/28/2020,2020-04-28,4/28/2020,2020-04-28,4/30/2020,2660620,1192036,"R158,976.00",2020/06,"R2,211,024.00",CLOSED,R0.00,"R2,211,024.00"
Limpopo Department of Health,Limpopo,41,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,Sanitiser,"Automated Hand Sanitizer
Dispensers","3,000",960.00,2880000.00,"R2,880,000.00",MO-000510,I N  CP11352MOK,"R9,108.37",3/13/2020,2020-03-13,3/13/2020,2020-03-13,3/25/2020,2652843,1186533,"R46,689.86",2020/06,"R2,833,310.14",CLOSED,R0.00,"R2,833,310.14"
Limpopo Department of Health,Limpopo,42,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,Sanitiser,Hand Sanitizers (1 litre Refill),"30,000",170.00,5100000.00,"R5,100,000.00",MO-000510,I N  CP11352MOK,"R10,174.05",3/13/2020,2020-03-13,3/13/2020,2020-03-13,3/25/2020,2652843,1186533,"R46,689.86",2020/06,"R5,053,310.14",CLOSED,R0.00,"R5,053,310.14"
Limpopo Department of Health,Limpopo,43,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,Sanitiser,"Hand Sanitisers with Manual
Dispensers (1litres)","30,000",270.00,8100000.00,"R8,100,000.00",MO-000510,I N  CP11352MOK,"R11,467.80",3/13/2020,2020-03-13,3/13/2020,2020-03-13,3/25/2020,2652843,1186533,"R46,689.86",2020/06,"R8,053,310.14",CLOSED,R0.00,"R8,053,310.14"
Limpopo Department of Health,Limpopo,44,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,R0.00,MO-000510,I N  CP11352MOK,"R15,939.64",3/13/2020,2020-03-13,3/13/2020,2020-03-13,3/25/2020,2652843,1186533,"R46,689.86",2020/06,"-R46,689.86",CLOSED,R0.00,"-R46,689.86"
Limpopo Department of Health,Limpopo,45,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,R0.00,NOT APPLIC,I N   CP11491LPPD,"R57,819.73",05/04/2020,2020-04-05,5/18/2020,2020-05-18,5/19/2020,2665237,1192558,"R57,819.73",2020/06,"-R57,819.73",CLOSED,R0.00,"-R57,819.73"
Limpopo Department of Health,Limpopo,46,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,R0.00,NOT APPLIC,I N   CP11420LPPDH/O,"R340,009.00",04/06/2020,2020-06-04,4/15/2020,2020-04-15,4/15/2020,2658770,1189543,"R340,009.00",2020/06,"-R340,009.00",CLOSED,R0.00,"-R340,009.00"
Limpopo Department of Health,Limpopo,47,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,R0.00,NOT APPLIC,I N   CP11428LPPDH/O,"R340,009.00",04/08/2020,2020-08-04,4/15/2020,2020-04-15,4/15/2020,2658773,1189543,"R340,009.00",2020/06,"-R340,009.00",CLOSED,R0.00,"-R340,009.00"
Limpopo Department of Health,Limpopo,48,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,R0.00,NOT APPLIC,I N   CP11442LPPD,"R340,009.00",04/09/2020,2020-09-04,5/18/2020,2020-05-18,5/19/2020,2665262,1192558,"R340,009.00",2020/06,"-R340,009.00",CLOSED,R0.00,"-R340,009.00"
Limpopo Department of Health,Limpopo,49,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,R0.00,NOT APPLIC,I N   CP11447,"R561,014.85",4/17/2020,2020-04-17,4/17/2020,2020-04-17,4/17/2020,2659214,1189543,"R561,014.85",2020/06,"-R561,014.85",CLOSED,R0.00,"-R561,014.85"
Limpopo Department of Health,Limpopo,50,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,R0.00,NOT APPLIC,I N   CP0327LPPDH/O,"R654,636.99",04/02/2020,2020-02-04,4/15/2020,2020-04-15,4/15/2020,2658805,1189543,"R654,636.99",2020/06,"-R654,636.99",CLOSED,R0.00,"-R654,636.99"
Limpopo Department of Health,Limpopo,51,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,R0.00,NOT APPLIC,I N   CP11407LPPDH/O,"R745,004.50",3/31/2020,2020-03-31,4/15/2020,2020-04-15,4/15/2020,2658779,1189543,"R745,004.50",2020/06,"-R745,004.50",CLOSED,R0.00,"-R745,004.50"
Limpopo Department of Health,Limpopo,52,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,R0.00,NOT APPLIC,I N   CP11565LPPD,"R748,019.80",5/18/2020,2020-05-18,5/19/2020,2020-05-19,5/20/2020,2665649,1192558,"R748,019.80",2020/06,"-R748,019.80",CLOSED,R0.00,"-R748,019.80"
Limpopo Department of Health,Limpopo,53,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,R0.00,NOT APPLIC,I N   CP11560LPPD,"R816,021.60",5/15/2020,2020-05-15,5/18/2020,2020-05-18,5/20/2020,2665668,1192558,"R816,021.60",2020/06,"-R816,021.60",CLOSED,R0.00,"-R816,021.60"
Limpopo Department of Health,Limpopo,54,HEALTH,Health,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,R0.00,NOT APPLIC,I N   CP11749LPPD,"R816,021.60",06/05/2020,2020-05-06,06/08/2020,2020-06-08,06/09/2020,2671720,1195644,"R816,021.60",2020/06,"-R816,021.60",CLOSED,R0.00,"-R816,021.60"
Limpopo Department of Health,Limpopo,55,HEALTH,Health,MAAA0073610,Confidence no 1 trading (Pty) Ltd,2016/109856/07,Gown - Surgical Sterile,Surgical Gown (Sterile),"62,000",120.00,7440000.00,"R7,440,000.00",NOT APPLIC,5  4  LPPD,"R443,520.00",06/12/2020,2020-12-06,6/19/2020,2020-06-19,6/24/2020,2674117,1196744,"R443,520.00",2020/06,"R6,996,480.00",CLOSED,R0.00,"R6,996,480.00"
Limpopo Department of Health,Limpopo,56,HEALTH,Health,MAAA0073610,Confidence no 1 trading (Pty) Ltd,2016/109856/07,Gowns - Surgical non sterile,Surgical Gown (Non-Sterile),"186,000",96.00,17856000.00,"R17,856,000.00",NOT APPLIC,5  3  LPPD,"R2,628,672.00",06/12/2020,2020-12-06,6/17/2020,2020-06-17,6/24/2020,2674116,1196744,"R2,628,672.00",2020/06,"R15,227,328.00",CLOSED,R0.00,"R15,227,328.00"
Limpopo Department of Health,Limpopo,57,HEALTH,Health,MAAA0073610,Confidence no 1 trading (Pty) Ltd,2016/109856/07,,,,,0.00,R0.00,NOT APPLIC,5  0  LPPD,"R5,137,728.00",06/10/2020,2020-10-06,6/17/2020,2020-06-17,6/24/2020,2674110,1196744,"R5,137,728.00",2020/06,"-R5,137,728.00",CLOSED,R0.00,"-R5,137,728.00"
Limpopo Department of Health,Limpopo,58,HEALTH,Health,MAAA0073610,Confidence no 1 trading (Pty) Ltd,2016/109856/07,,,,,0.00,R0.00,NOT APPLIC,5  1  LPPD,"R8,302,272.00",06/12/2020,2020-12-06,6/19/2020,2020-06-19,6/24/2020,2674114,1196744,"R8,302,272.00",2020/06,"-R8,302,272.00",CLOSED,R0.00,"-R8,302,272.00"
Limpopo Department of Health,Limpopo,59,HEALTH,Health,MAAA0935195,Crustalos Cartour (Pty) Ltd,2014/094213/07,Masks - Face Cloth,Face Cloth Masks,"50,000",20.00,1000000.00,"R1,000,000.00",NOT APPLIC,003LPPD,"R457,880.00",6/18/2020,2020-06-18,6/19/2020,2020-06-19,07/07/2020,2677936,1198953,"R457,880.00",2020/07,"R542,120.00",CLOSED,R0.00,"R542,120.00"
Limpopo Department of Health,Limpopo,60,HEALTH,Health,MAAA0935195,Crustalos Cartour (Pty) Ltd,2014/094213/07,,,,,0.00,R0.00,NOT APPLIC,001LPPD,"R154,000.00",6/18/2020,2020-06-18,6/19/2020,2020-06-19,07/07/2020,2677937,1198953,"R154,000.00",2020/07,"-R154,000.00",CLOSED,R0.00,"-R154,000.00"
Limpopo Department of Health,Limpopo,61,HEALTH,Health,MAAA0935195,Crustalos Cartour (Pty) Ltd,2014/094213/07,,,,,0.00,R0.00,NOT APPLIC,002LPPD,"R188,520.00",6/18/2020,2020-06-18,6/19/2020,2020-06-19,07/07/2020,2677938,1198953,"R188,520.00",2020/07,"-R188,520.00",CLOSED,R0.00,"-R188,520.00"
Limpopo Department of Health,Limpopo,62,HEALTH,Health,MAAA0006695,C Matodzi Projects,2003/054146/23,Masks - Surgical,Mask Respirator KN95,"46,154",27.50,1269235.00,"R1,269,235.00",NOT APPLIC,CMP001LPPD,"R1,269,235.00",7/14/2020,2020-07-14,7/16/2020,2020-07-16,7/22/2020,2680103,1199825,"R1,269,235.00",2020/07,R0.00,CLOSED,R0.00,R0.00
Limpopo Department of Health,Limpopo,63,HEALTH,Health,MAAA0737017,Dadbro Investment PTY LTD,1974/002306/07,Protective Body Suit,Disposal protective body suite,"3,871",249.00,963879.00,"R963,879.00",NOT APPLIC,D037LPPD,"R337,379.82",7/16/2020,2020-07-16,7/20/2020,2020-07-20,7/21/2020,2680281,1199823,"R337,379.82",2020/07,"R626,499.18",CLOSED,R0.00,"R626,499.18"
Limpopo Department of Health,Limpopo,64,HEALTH,Health,MAAA0737017,Dadbro Investment PTY LTD,1974/002306/07,,,,,0.00,R0.00,NOT APPLIC,D036LPPD,"R144,662.49",7/20/2020,2020-07-20,7/22/2020,2020-07-22,7/22/2020,2680514,1199823,"R144,662.49",2020/07,"-R144,662.49",CLOSED,R0.00,"-R144,662.49"
Limpopo Department of Health,Limpopo,65,HEALTH,Health,MAAA0737017,Dadbro Investment PTY LTD,1974/002306/07,,,,,0.00,R0.00,NOT APPLIC,D038LPPD,"R481,793.32",7/24/2020,2020-07-24,7/27/2020,2020-07-27,7/27/2020,2682137,1199823,"R481,793.32",2020/07,"-R481,793.32",CLOSED,R0.00,"-R481,793.32"
Limpopo Department of Health,Limpopo,66,HEALTH,Health,MAAA0350318,Devine Catering and Events,2014/071447/07,Masks - Surgical,Masks - Surgical,"100,000",20.00,2000000.00,"R2,000,000.00",NOT APPLIC,2  0  2011,"R2,000,000.00",4/17/2020,2020-04-17,4/17/2020,2020-04-17,4/17/2020,2659213,1189668,"R2,000,000.00",2020/06,R0.00,CLOSED,R0.00,R0.00
