CAMPUS,SUPPLIER NAME ETHOD OF PROCUREMEI,Method of Procurement,DESCRIPTION,ODER AMOUNT
SG,Aida's Interiors,Petty Cash,"Face Masks-Facilities, Finance, HR Support","Rl 000,00"
SG,Aida's Interiors,Petty Cash,Face masks-Crop Improvement and Germplasm,"R2 000,00"
SG,Aida's Interiors,Petty cash,Face masks Production Systems,"R2 000,00"
SG,,Petty Cash,Consumables for Isolation Room,"Rl 600,00"
SG,Mr Price,Petty cash,PPE Production Systems,"Rl 473,80"
SG,Mr Price,Petty Cash,Thermometer,"Rl 600,00"
SG,Mr Price,Petty Cash,Protective clothing,"R259,00"
SG,Bethlehem Masons,Petty Cash,Thermometer,"R1 600,00"
SG,Bethlehem Masons,Petty Cash,PPE Production Systems,"R1 450,00"
SG,Bethlehem Masons,Petty Cash,Batteries for thermometers,"R179,90"
SG,VKB,Petty Cash,Sanitizer and masks,"R1 958,90"
SG,Crazy Plastics,Petty Cash,"Sanitizer, face shields and masks","R1 974,93"
SG,Hygiene Outright,Petty Cash,Sanitizer,"R825,72"
SG,kroon Pharmacy,Petty Cash,96% ethanaol,"R3 486,80"
SG,kroon Pharmacy,Petty Cash,70% alcohol sanitizer,"Rl 392,65"
SG,kroon Pharmacy,Petty Cash,FFI Masks,"Rl 900,26"
SG,VKB,Petty Cash,Absolute ethanol,"RS 492,40"
SG,VKB,Petty Cash,Nitrile gloves,"Rl 891,75"
SG,VKB,Petty Cash,2SL Sanitizer,"Rl 392,65"
SG,Hoek Pharmacy,Petty Cash,70% alcohol sanitizer,"Rl 392,65"
SG,Hoek Pharmacy,Petty Cash,ALSC-MASK002,"R1 348,95"
SG,Bargain Box,Petty Cash,Disinfection of buildings,"R26 424,52"
SG,Fourie Turbo,Petty Cash,PPE Production Systems,"R64004,68"
GC,Redspot Soap Trading,RFQ,Mask Non-Medical - Protection Non-woven 4 Layer ls,"R4 485,00"
GC,Joyce Solutions,RFQ,THEMOMETER INFRARED SCANING +LCD,"RlO 165,00"
GC,Joyce Solutions,RFQ,Hand Sanitizer dry disinfectant 70%,"R19 692,68"
GC,True Ambition Trading,RFQ,STAND/FOOT - SANITIZING STATION+ BOffiES,"R29 700,00"
GC,Aristocraft Trading,RFQ,"Visors, 500 ml Bottles, Bleach","RS 120,56"
GC,Printing Things,RFQ,Branded Fabric Face Masks,"R18 400,00"
VOP,Tripple Medical Distribution,TR -contract,250ML Hand sanitizer,"R18 700,00"
VOP,Tripple Medical Distribution,TR -contract,2SL Sanitizer,"R14 756,58"
VOP,Tripple Medical Distribution,TR -contract,Mask 3PLY,"R16 000,00"
VOP,Tripple Medical Distribution,TR -contract,Gloves Nitrile,"Rl0 350,00"
VOP,Tripple Medical Distribution,TR -contract,500 ML hand sanitizer,"Rl 750,00"
VOP,Tripple Medical Distribution,TR -contract,Thermometer,"R4 400,00"
VOP,Tripple Medical Distribution,TR -contract,Mask 3PLY Surgical face,"R2 044,00"
VOP,Tripple Medical Distribution,TR -contract,Mask FFP-Dust mask,"R8 000,00"
VOP,AA Mosaka Tradind enterprise,Deviation,Disinfection of buildings,"R82 161,35"
CO,OHS Care,RFQ,Medical Screening,"R137 540,00"
CO,Robin Aden Cox,RFQ,Branded fabric face masks,"R16 000,00"
CO,Pinnacle Hygeine Services,RFQ,Disinfection of buildings,"R7 682,00"
BTP,Supra Larex Pty Ltd,RT CONTRACT,FACE SHIELD,"R997,SO"
BTP,Supra Larex Pty Ltd,RT CONTRACT,FACE MASK,"RS000,00"
BTP,Supra Larex Pty Ltd,RT CONTRACT,3 PLY MASK,"R790,00"
BTP,Supra Larex Pty Ltd,RT CONTRACT,Coverall Premuim Hooded,"R4 200,00"
BTP,Supra Larex Pty Ltd,RT CONTRACT,Digital Thermometer,"R2 400,00"
BTP,Supra Larex Pty Ltd,RT CONTRACT,Sanitizer,"RS 400,00"
BTP,lnqaba,Below2000,Gloves,"Rl 022,36"
BTP,Phetokhule,RFQ ,JUMBO Rolls,"Rl 500,00"
BTP,Phetokhule,RFQ,Sanitizer Wipes,"Rl 100,00"
BTP,Plastilon,Below2000, Plastic Bucket,"R75,04"
BTP,United Scientific Pty Ltd,RFQ,Ethanol,"R8 280,00"
OVI,Fortistle Pty (Ltd),RFQ Evaluation on 3 Tre. Personal Protective equipment,,"R2 619 817,30"
OVI,Tara Healthcare,Selected listed supplier Personal Protective equipment,,"R122 620,30"
