Services Rendered,Service Provider,"Amount
Spend","Supply Chain Management
(SCM) process followed"
LABOTEC (PTY) LTD,Repair & Maintenance,R20 420,RFQ
LASEC SA (PTY) LTD,Lab consumables,R96 060,RFQ
LM Webber,Consultancy services,R180 000,RFQ
LTC TECH SOUTH AFRICA (PTY) LTD,Lab consumables,R5 465 373,Sole supplier / RFQ
MABATHULA TRADING ENTERPRISE CC,Lab consumables,R28 425,RFQ
MAIZEY'S (PTY) LTD,Ventilator components,R277 376,Emergency
MD DSIGN WORX (PTY) LTD,Shield components,R109 870,RFQ
MED DEV CC,Sanitiser & Masks,R49 043,RFQ
MEDI CLICK (PTY) LTD,Sanitiser & Masks,R 460.00,RFQ
MEDICARE HOSPITAL EQUIPMENT (PTY) LTD,Ventilator components,R49 337,RFQ
MINEMA CHEMICALS PTY LTD,Sanitiser & Masks,R10 686,RFQ
"MOLOKO WA DINOKO TRADING ENTERPRISE
(PTY) LTD",Sanitiser & Masks,R35 000,RFQ
MONABO HYGIENE SERVICES (PTY) LTD,Cleaning services,R7 980,RFQ
"MOTLHABANE RISK MANAGEMENT
SERVICES (PTY) LTD",Thermometer,R46 400,RFQ
MR PLASTIC CC,Shield components,R22 790,RFQ
"NDAR7 GENERAL  BUILDING AND SUPPLIER
(PTY) LTD",Cloth masks,R84 497,RFQ
"NORTH SAFETY PRODUCTS (AFRICA) (PTY)
LTD",Lab consumables,R38 193,RFQ
OMNINELA SOLUTIONS (PTY) LTD,Thermometer,R4 788,RFQ
OPTIMUSBIO (PTY) LTD,Sanitiser & Masks,R30 435,RFQ
OPTIMUSBIO (PTY) LTD,Sanitiser,R 330.00,RFQ
PASCO RISK MANAGEMENT (PTY) LTD,Foot pedal stands,R16 380,RFQ
PERKINELMER SOUTH AFRICA (PTY) LTD,Ventilator components,R2 895 512,Emergency
PITCHLINE ENGINEERING (PTY) LTD,Ventilator components,R810 000,Emergency
"PLASTILON VERPAKKING CENTURION (PTY)
LTD",Ventilator components,R44 361,Emergency
PRO LANDIS (PTY) LTD,Sanitiser & Masks,R25 569,RFQ
PROMED TECHNOLOGIES (PTY) LTD,Lab consumables,R3 900,RFQ
PROMOLAB (PTY) LTD,Lab consumables,R9 747,RFQ
QUATRO CLEANING SERVICES (PTY) LTD,Cleaning services,R28 412,RFQ
QUAY AGENTS CC,Lab consumables,R185 546,Emergency
RAPID 3D JV (PTY) LTD,Ventilator components,R132 055,Emergency
REROX GROUP (PTY) LTD,Medical consumables,R20 712,RFQ
"SEAL AND GASKET INTERNATIONAL (PTY)
LTD",Shield components,R24 907,RFQ
SEPARATION SCIENTIFIC SA (PTY) LTD,Chemicals,R72 872,Sole supplier
"SIEMENS INDUSTRY SOFTWARE SA (PTY)
LTD",Ventilator components,R448 180,Emergency
SIGMA - ALDRICH PTY LTD,Chemicals,R44 988,RFQ
"SIKELELA MEDICAL AND DENTAL SUPPLIERS
(PTY) LTD",Surgical Masks,R13 325,RFQ
SIMERA AFRICA (PTY) LTD,Ventilator components,R1 761 000,Emergency
SMAB NURSING AGENCY PTY LTD,Registered Nurse,R12 470,RFQ
"SOUTH AFRICAN HEALTH PRODUCTS
REGULATORY AUTHORITY",Licenses,R5 000,RFQ
SPLS CONSULTANTS (PTY) LTD,Lab consumables,R382 349,RFQ
SSG CLEANING (PTY) LTD,Spray bottles,R4 026,RFQ
STARBRIGHT I T SOLUTIONS (PTY) LTD,Communication media,R19 800,RFQ
THE SCREWMAN PRETORIA CC,Ventilator components,R195 294,Emergency
TRANSPHARM (PTY) LTD,Medical consumables,R1 524,RFQ
TSHWANE UNIVERSITY OF TECHNOLOGY,Lab consumables,R 500.00,RFQ
ULYSSES TOURS & SAFARIS CC,Transport for staff,R19 980,RFQ
UNIVERSITY OF CAPE TOWN,Ventilator components,R147 750,Emergency
UV TOOLING CC,Ventilator components,R2 214 110,Emergency
UVO COMMUNICATION DESIGN AND PRINT,Ventilator components,R161 843,RFQ
VACUTEC (PTY) LTD,Lab consumables,R32 612,RFQ
"VANYAYI CONSTRUCTION, CIVIL
ENGINEERING AND PROJECT MANAGEMENT
(PTY) LTD",Reception screens,R3 750,RFQ
VODACOM,Data for remote call centre,R7 194,RFQ
"VOLTEX - TECHNILAMP PROPS VOLTEX PTY
LTD",Ventilator components,R189 950,Emergency
WHITEHEAD SCIENTIFIC (PTY) LTD,Lab consumables,R200 721,Emergency
WURTH SOUTH AFRICA PTY LTD,Sanitiser & Masks,R3 300,RFQ
ZELPY 2937 (PTY) LTD,Lab consumables,R1 160,RFQ
,National Research Foundation (NRF),,
5L Hand sanitiser,Christensen Saftec,"R1,725",tender/contract
3 layer face masks,Brand Innovation,"R8,645",tender/contract
1L Hand sanitiser,Fowkes Bros,R 750.00,tender/contract
Surgical masks,Fowkes Bros,R 696.00,tender/contract
"Coveralls, Thermometer, Swabs",BMS Medical,"R13,914",tender/contract
Face shields,Mr Bolt & Nut,"R1,725",tender/contract
PPE FOR SL AND CT,Workwear Depot,"R4,216",tender/contract
"SUNLIGHT LIQUID,HANDY ANDY,BLE",Infuno Distributors,"R1,172",tender/contract
500ML SPRAYER TRIGGER,Fowkes Bros,R 234.00,tender/contract
Landbou,Sutherlandbou,R 331.00,tender/contract
Foot operated sanitiser stand,Mason Stationers,"R3,996",tender/contract
Digital Handheld Thermometer,Park Avenue Stationers,"R2,933",tender/contract
Disposable face masks,Mudanco (Pty) Ltd.,"R10,500",tender/contract
"Thermometer, Sanitisers, Gloves, Face Shields,
Aprons, Masks, Disinfectant",Muaki Group (Pty) Ltd.,"R48,050",tender/contract
"Deep cleaning, Fogging",Rentokil Initial,"R131,100",tender/contract
"Major servicing of Air-con units, including filters",Mufendi Suppliers & Projects,"R195,058",tender/contract
"Sanitiser Stands, Pedal Bin, Screens",Keno Investment Group,"R61,400",tender/contract
Fogging/Deep Clean,Eco Hygiene,"R6,325",tender/contract
Cloth masks - 300,"LME Business Accounting
Consultants (Pty) Ltd.","R6,000",tender/contract
"Provision of deep cleaning and dissinfecting
services on an adhoc basis","Amachule Pest Cleaning Services
& Pest Control","R51,097",tender/contract
Hand sanitisers,Pamreen Sales cleaning materials,"R2,691",tender/contract
"Alcohol for sanitser to support Makhanda
community",NCP Alcohols,"R36,987",tender/contract
Face masks,T Birch & Co.,"R8,700",tender/contract
Thermometers,Legacy Marine,"R2,415",tender/contract
Thermometers,Legacy Marine,"R13,053",tender/contract
Infrared thermometer,Be-Safe Paramedical,"R2,367",tender/contract
Hand Sanitiser,Pamreen Sales cleaning materials,"R2,750",tender/contract
Thermometers and Face Shields,Be-Safe Paramedical,"R23,092",tender/contract
"Hydrogen Peroxide, Glycerol",United Scientific,"R1,221",tender/contract
"Spray bottles, tidy control",Pamreen Sales cleaning materials,"R8,210",tender/contract
Sanitizing foggers,Nitifko,"R5,009",tender/contract
"Sanitiser Stations, Coveralls, Aprons, Bottle
dispenser, hand sanitiser",Be-Safe Paramedical,R 889.00,tender/contract
Masks,LASEC,"R2,640",tender/contract
Thermometers,IBHAYI laboratory Supplies,"R6,900",tender/contract
Spray bottles and triggers,Pamreen Sales cleaning materials,"R4,300",tender/contract
Tidy Control paper,Pamreen Sales cleaning materials,"R4,186",tender/contract
PPE's,Wurth SA (Pty) Ltd.,"R96,343",tender/contract
Cloth Masks,Wurth SA (Pty) Ltd.,"R55,726",tender/contract
Hand Cleaning Wipes,RS Components,"R22,402",tender/contract
Hand sanitiser,Linked Stationery,R 575.00,tender/contract
Hand sanitiser and swabs,EXITOL-Commercial & Industrial,"R14,434",tender/contract
Mask and sanitiser,Wurth SA (Pty) Ltd.,"R53,127",tender/contract
PPE (Gloves and Masks - VIP site visit to NC),AAI Facilities,"R35,520",tender/contract
Sanitisers and bottles,Red Alert,"R3,181",tender/contract
Sanitiser spray units,Wespack,"R2,999",tender/contract
Latex gloves,Wespack,R 90.00,tender/contract
Screenshields  X2 units,Meeting Planners international,"R4,606",tender/contract
"Disinfection and Fogging services - 6 months
contract",Ecohygiene,"R234,000",tender/contract
Sanitiser dispensing units,Ecohygiene,"R13,340",tender/contract
Various PPE items,Servest,"R19,599",tender/contract
Various PPE items,High Class airconditioning,"R24,990",tender/contract
Conversion of biometric to access card system,Ditiro Tech,"R117,493",tender/contract
New access cards for staff,Ditiro Tech,"R8,487",tender/contract
75 x 1L Hand Sanitizers,Safety Mate Eastern Cape,"R9,488",tender/contract
"543 x Three Layer Fabric/Cloth Masks & 1100
Filter for masks",Brunos Custom Clothiers,"R14,954",tender/contract
2 x T5 infrared Forehead Thermometer FCA CE,Rerox Group,"R2,755",tender/contract
"Digital hand Thermometer (Non-contact) &
Batteries",By Design Trading,"R1,151",tender/contract
1L Hand Sanitizer (Spray Bottle),By Design Trading,R 520.00,tender/contract
Disinfection Wipes Tub (1000 sheets),By Design Trading,"R1,750",tender/contract
2 x testo 830-T1 Thermometres,Testo South Africa,"R3,233",tender/contract
Gloves,Imvusa Consultancy t/a SafePro,"R39,500",tender/contract
Sanitisers,Logal Medical and Surgical Pty,"R12,190",tender/contract
Cloth Masks,Fire and Ash Marketing,"R52,900",tender/contract
Body Infrared Termometer,United Scientific CC,"R2,875",tender/contract
Faceshields,Ysterplaat Medical Supplies,"R13,800",tender/contract
Body Infrared Termometer,United Scientific CC,"R8,625",tender/contract
Sanitisers 25 L,Max Arcus,R 1989.50,tender/contract
Facemasks,Tripple n Medical Dsitributors,"R10,220",tender/contract
Gloves Nitrile (S/M/L/XL),Tripple n Medical Dsitributors,"R23,000",tender/contract
Disinfectant Wipes,Tripple n Medical Dsitributors,"25,200",tender/contract
,South African National Space Agency (SANSA),,
COVID 023 Examination Gloves,Imperial Logistics SA Group,"R34,712.50",RFQ
Infrared Thermometer - DH-IRT01,Ecomed Medical (Pty) Ltd,"R9,660.00",RFQ
Disinfection - specialised disinfecting fumigation,Pest Control Specialist,"R6,670.00",RFQ
Specialized masks:,Yes Direct Trading,"R29,624.00",RFQ
"Sanitiser Stands, Bottles and Pump",ANGIEOCHEM,"R17,040.00",RFQ
"Sticker printing - ""screened""",Yes Direct Trading,"R5,347.50",RFQ
Sanitisers 5L,FP Hygiene,"R5,347.50",RFQ
Disinfecting SO Buildings,SOLID HYGIENE SOLUTIONS,"R5,800.00",RFQ
Emankhonkhosi Publishing,Sanitisers,"R4,577.00",RFQ
Klevas Accessories,Masks,"R23,460.00",RFQ
FP Hygiene,Disinfectant Cleaners,"R9,936.00",RFQ
All Purpose Cleaning Wipes (6 in Pack) x 100,BONDIRITE,"R6,500.00",RFQ
Sanitizers (5L) x 5,BONDIRITE,"R1,550.00",RFQ
"""Portable Screen - Protective Sneeze Guard
Clear Acrylic x 12
• 1200mm x 750mm cast Acrylic Shield and Feet
• 2 Semi-circle feet – 120mm radius
• Slot opening 130mm (height)",BONDIRITE,"R4,680.00",RFQ
Crystal Aire LED Portable Air Purifier x 10,BONDIRITE,"R7,250.00",RFQ
"Disposable face Masks, Hand Sanitizers, gloves
and Spray bottles",Buco Hermanus,"R3,114.48",RFQ
Deep Cleaning and Sanitizing Offices,BIDVEST PRESTIGE,"R19,490.20",RFQ
Disposable Face Masks,Kaap Agri Hermanus,"R1,335.08",RFQ
hand Sanitizer 70 alcohol 5L & Dispoasble Masks,KAAP AGRI BEDRYF BEPERK,"R9,763.72",RFQ
"Clear Plastic Spray bottle 250ml (Mist Spray)
Clear Plastic Spray bottle 250ml (MLotion Pump)",WP Packaging,R 960.00,RFQ
"Maks, hand sanitizers, and spray bottles",Sunga Group,"R77,815.33",RFQ
COVID19 : Fogging & Cleaning of Facility,Sanitech,"R13,800.00",RFQ
Face Sheilds and Sleeves,KAAP AGRI BEDRYF BEPERK,"R3,593.75",RFQ
"COVID19 Regulated cleaning Services for a
period of 12 months",Supercare Service Group,"R208,334.00",RFQ
Perspex Desk Screens,FAB Displays,"R4,818.50",RFQ
,Human Sciences Research Council (HSRC),,
Hand Sanitisers with 70% Alcohol,Trips Switch Market,"R17,500",Quotations
Hand Gloves,Transpharm Medical,"R14,100",Quotations
Infrared Thermometers,Medicare Pharmacy,"R5,200",Quotations
"Covid consumables: gloves, masks and aprons",Tsohle Tsentle services,"R24,500",Quotation
Hands free sanitizer stands,Phinot Nostaligic,"R9,600",Quotation
Facemask 3ply,Med Pak,"R3,700",Quotation
Hand sanitizers,Eyakhu Trading Enterprise,"R5,000",Quotation
"Staff screening & management: Self-service in
check kiosk",Dimension Data,"R224,200",Quotation
Hand sanitizers,Formax,"R2,700",Quotation
Preventative disinfection- Floor 9,Garret Assemblies,"R34,000",Quotation
Decontamination & sanitation,Sanitech CPT,"R45,700",Quotation
Covid 19 Perspex screens,Phinot Nostaligic,"R8,800",Quotation
Hands free sanitizer stands,Office logic,"R9,200",Quotation
Hand sanitizer,Premier Book Bazaar,"R2,600",Quotation
Hand sanitizer,Webshop,"R2,600",Quotation
,Academy of Science of South Africa (ASSAf),,
N/A,N/A,Nil,N/A
