buyer_name,items_description,supplier_name,order_amount_zar,procurement_method
Council for Scientific and Industrial Research (CSIR),CEDAR RIVER TRADING (PTY) LTD,Cleaners / Lab consumables,8902.00,RFQ
Council for Scientific and Industrial Research (CSIR),"CENTRAL UNIVERSITY OF TECHNOLOGY,
FREE STATE",Ventilator components,5866522.00,Emergency
Council for Scientific and Industrial Research (CSIR),CLOUD CHEFS (PTY) LTD,Catering for Covid-19 Team,18375.00,RFQ
Council for Scientific and Industrial Research (CSIR),DAVEGLEN 9003 INVESTMENTS CC,Face shields,1915.00,RFQ
Council for Scientific and Industrial Research (CSIR),DAVIES DIAGNOSTICS (PTY) LTD,Lab consumables,178250.00,RFQ
Council for Scientific and Industrial Research (CSIR),DIS-CHEM GLENFAIR PHARMACY,VIT Biotaine Hand Sanitizers,4197.00,RFQ
Council for Scientific and Industrial Research (CSIR),DTK COMPRESSORS CC,Lab consumables,3991.00,RFQ
Council for Scientific and Industrial Research (CSIR),EAST AFRICAN GROUP (PTY) LTD,PPE,46300.00,RFQ
Council for Scientific and Industrial Research (CSIR),EMANGJALO TRADE  CIVIL (PTY) LTD,Screens,19071.00,RFQ
Council for Scientific and Industrial Research (CSIR),ENDLESS SUMMER TECHNOLOGIES CC,Ventilator components,2345203.00,Emergency
Council for Scientific and Industrial Research (CSIR),ENVIROCON INSTRUMENTATION CC,Tests components,118590.00,RFQ
Council for Scientific and Industrial Research (CSIR),EPI CREATIVE (PTY) LTD,Communication media,4350.00,RFQ
Council for Scientific and Industrial Research (CSIR),EURO STEEL (PTY) LTD,Lab consumables,11928.00,RFQ
Council for Scientific and Industrial Research (CSIR),FOOD CONSULTING SERVICES PTY LTD,Tests components,3510.00,RFQ
Council for Scientific and Industrial Research (CSIR),FRESH SIGN AND PRINT (PTY) LTD,Lab consumables,6595.00,RFQ
Council for Scientific and Industrial Research (CSIR),"FULLSTREAM BUSINESS SERVICES (PTY)
LTD",Ventilator components,61200.00,RFQ
Council for Scientific and Industrial Research (CSIR),G4S SECURE SOLUTIONS SA PTY LTD,Security Lock down deployment,27602.00,RFQ
Council for Scientific and Industrial Research (CSIR),GABLER MEDICAL (PTY) LTD,Ventilator components,5917900.00,Emergency
Council for Scientific and Industrial Research (CSIR),GENSCRIPT LIMITED,Ventilator components,212246.00,Emergency / RFQ
Council for Scientific and Industrial Research (CSIR),GLOBAL COMMUNICATIONS,Scanner,3790.00,RFQ
Council for Scientific and Industrial Research (CSIR),"IMPERIAL LOGISTICS SOUTH AFRICA GROUP
(PTY) LTD",Sanitiser & Masks,7524.00,RFQ
Council for Scientific and Industrial Research (CSIR),INCREDIBLE CONNEXION,Mobile devices,8394.00,RFQ
Council for Scientific and Industrial Research (CSIR),"INQABA BIOTECHNICAL INDUSTRIES (PTY)
LTD",Lab consumables,57817.00,RFQ
Council for Scientific and Industrial Research (CSIR),INTERSURGICAL (RSA) (PTY) LTD,Ventilator components,683233.00,Emergency
Council for Scientific and Industrial Research (CSIR),"IQUAD INTEGRATED MANAGEMENT
SYSTEMS PTY LTD",Ventilator components,69975.00,emergency
Council for Scientific and Industrial Research (CSIR),"JIVE MEDIA MARKETING COMMUNICATIONS
CC",Communication media,24684.00,RFQ
Council for Scientific and Industrial Research (CSIR),"JJ SKHOSANA TRANSPORT SERVICES (PTY)
LTD",Staff Transport,6200.00,RFQ
Council for Scientific and Industrial Research (CSIR),JOEL TRANSPORT (PTY) LTD,Transport of equipment,5153.00,RFQ
Council for Scientific and Industrial Research (CSIR),K2016388770 (SOUTH AFRICA) (PTY) LTD,Lab consumables,2478.00,RFQ
Council for Scientific and Industrial Research (CSIR),KATHLEEN ANNE HOLMES,Legal Services,25340.00,RFQ
Council for Scientific and Industrial Research (CSIR),"KHARIFARISANANE CONSTRUCTION AND
CLEANING SERVICES CC",Sanitiser & Masks,172712.00,RFQ
Council for Scientific and Industrial Research (CSIR),KIMIX CHEMICAL AND LAB SUPPLIES CC,Sanitiser & Masks,780.00,RFQ
Council for Scientific and Industrial Research (CSIR),LABCHEM (PTY) LTD,Lab consumables,560.00,RFQ
Council for Scientific and Industrial Research (CSIR),"LABORATORY CONSUMABLES AND
CHEMICALS SUPPLIES CC",Lab consumables,1650.00,RFQ
Council for Scientific and Industrial Research (CSIR),LABOTEC (PTY) LTD,Repair & Maintenance,20420.00,RFQ
Council for Scientific and Industrial Research (CSIR),LASEC SA (PTY) LTD,Lab consumables,96060.00,RFQ
Council for Scientific and Industrial Research (CSIR),LM Webber,Consultancy services,180000.00,RFQ
Council for Scientific and Industrial Research (CSIR),LTC TECH SOUTH AFRICA (PTY) LTD,Lab consumables,5465373.00,Sole supplier / RFQ
Council for Scientific and Industrial Research (CSIR),MABATHULA TRADING ENTERPRISE CC,Lab consumables,28425.00,RFQ
Council for Scientific and Industrial Research (CSIR),MAIZEY'S (PTY) LTD,Ventilator components,277376.00,Emergency
Council for Scientific and Industrial Research (CSIR),MD DSIGN WORX (PTY) LTD,Shield components,109870.00,RFQ
Council for Scientific and Industrial Research (CSIR),MED DEV CC,Sanitiser & Masks,49043.00,RFQ
Council for Scientific and Industrial Research (CSIR),MEDI CLICK (PTY) LTD,Sanitiser & Masks,460.00,RFQ
Council for Scientific and Industrial Research (CSIR),MEDICARE HOSPITAL EQUIPMENT (PTY) LTD,Ventilator components,49337.00,RFQ
Council for Scientific and Industrial Research (CSIR),MINEMA CHEMICALS PTY LTD,Sanitiser & Masks,10686.00,RFQ
Council for Scientific and Industrial Research (CSIR),"MOLOKO WA DINOKO TRADING ENTERPRISE
(PTY) LTD",Sanitiser & Masks,35000.00,RFQ
Council for Scientific and Industrial Research (CSIR),MONABO HYGIENE SERVICES (PTY) LTD,Cleaning services,7980.00,RFQ
Council for Scientific and Industrial Research (CSIR),"MOTLHABANE RISK MANAGEMENT
SERVICES (PTY) LTD",Thermometer,46400.00,RFQ
Council for Scientific and Industrial Research (CSIR),MR PLASTIC CC,Shield components,22790.00,RFQ
Council for Scientific and Industrial Research (CSIR),"NDAR7 GENERAL  BUILDING AND SUPPLIER
(PTY) LTD",Cloth masks,84497.00,RFQ
Council for Scientific and Industrial Research (CSIR),"NORTH SAFETY PRODUCTS (AFRICA) (PTY)
LTD",Lab consumables,38193.00,RFQ
Council for Scientific and Industrial Research (CSIR),OMNINELA SOLUTIONS (PTY) LTD,Thermometer,4788.00,RFQ
Council for Scientific and Industrial Research (CSIR),OPTIMUSBIO (PTY) LTD,Sanitiser & Masks,30435.00,RFQ
Council for Scientific and Industrial Research (CSIR),OPTIMUSBIO (PTY) LTD,Sanitiser,330.00,RFQ
Council for Scientific and Industrial Research (CSIR),PASCO RISK MANAGEMENT (PTY) LTD,Foot pedal stands,16380.00,RFQ
Council for Scientific and Industrial Research (CSIR),PERKINELMER SOUTH AFRICA (PTY) LTD,Ventilator components,2895512.00,Emergency
Council for Scientific and Industrial Research (CSIR),PITCHLINE ENGINEERING (PTY) LTD,Ventilator components,810000.00,Emergency
Council for Scientific and Industrial Research (CSIR),"PLASTILON VERPAKKING CENTURION (PTY)
LTD",Ventilator components,44361.00,Emergency
Council for Scientific and Industrial Research (CSIR),PRO LANDIS (PTY) LTD,Sanitiser & Masks,25569.00,RFQ
Council for Scientific and Industrial Research (CSIR),PROMED TECHNOLOGIES (PTY) LTD,Lab consumables,3900.00,RFQ
Council for Scientific and Industrial Research (CSIR),PROMOLAB (PTY) LTD,Lab consumables,9747.00,RFQ
Council for Scientific and Industrial Research (CSIR),QUATRO CLEANING SERVICES (PTY) LTD,Cleaning services,28412.00,RFQ
Council for Scientific and Industrial Research (CSIR),QUAY AGENTS CC,Lab consumables,185546.00,Emergency
Council for Scientific and Industrial Research (CSIR),RAPID 3D JV (PTY) LTD,Ventilator components,132055.00,Emergency
Council for Scientific and Industrial Research (CSIR),REROX GROUP (PTY) LTD,Medical consumables,20712.00,RFQ
Council for Scientific and Industrial Research (CSIR),"SEAL AND GASKET INTERNATIONAL (PTY)
LTD",Shield components,24907.00,RFQ
Council for Scientific and Industrial Research (CSIR),SEPARATION SCIENTIFIC SA (PTY) LTD,Chemicals,72872.00,Sole supplier
Council for Scientific and Industrial Research (CSIR),"SIEMENS INDUSTRY SOFTWARE SA (PTY)
LTD",Ventilator components,448180.00,Emergency
Council for Scientific and Industrial Research (CSIR),SIGMA - ALDRICH PTY LTD,Chemicals,44988.00,RFQ
Council for Scientific and Industrial Research (CSIR),"SIKELELA MEDICAL AND DENTAL SUPPLIERS
(PTY) LTD",Surgical Masks,13325.00,RFQ
Council for Scientific and Industrial Research (CSIR),SIMERA AFRICA (PTY) LTD,Ventilator components,1761000.00,Emergency
Council for Scientific and Industrial Research (CSIR),SMAB NURSING AGENCY PTY LTD,Registered Nurse,12470.00,RFQ
Council for Scientific and Industrial Research (CSIR),"SOUTH AFRICAN HEALTH PRODUCTS
REGULATORY AUTHORITY",Licenses,5000.00,RFQ
Council for Scientific and Industrial Research (CSIR),SPLS CONSULTANTS (PTY) LTD,Lab consumables,382349.00,RFQ
Council for Scientific and Industrial Research (CSIR),SSG CLEANING (PTY) LTD,Spray bottles,4026.00,RFQ
Council for Scientific and Industrial Research (CSIR),STARBRIGHT I T SOLUTIONS (PTY) LTD,Communication media,19800.00,RFQ
Council for Scientific and Industrial Research (CSIR),THE SCREWMAN PRETORIA CC,Ventilator components,195294.00,Emergency
Council for Scientific and Industrial Research (CSIR),TRANSPHARM (PTY) LTD,Medical consumables,1524.00,RFQ
Council for Scientific and Industrial Research (CSIR),TSHWANE UNIVERSITY OF TECHNOLOGY,Lab consumables,500.00,RFQ
Council for Scientific and Industrial Research (CSIR),ULYSSES TOURS & SAFARIS CC,Transport for staff,19980.00,RFQ
Council for Scientific and Industrial Research (CSIR),UNIVERSITY OF CAPE TOWN,Ventilator components,147750.00,Emergency
Council for Scientific and Industrial Research (CSIR),UV TOOLING CC,Ventilator components,2214110.00,Emergency
Council for Scientific and Industrial Research (CSIR),UVO COMMUNICATION DESIGN AND PRINT,Ventilator components,161843.00,RFQ
Council for Scientific and Industrial Research (CSIR),VACUTEC (PTY) LTD,Lab consumables,32612.00,RFQ
Council for Scientific and Industrial Research (CSIR),"VANYAYI CONSTRUCTION, CIVIL
ENGINEERING AND PROJECT MANAGEMENT
(PTY) LTD",Reception screens,3750.00,RFQ
Council for Scientific and Industrial Research (CSIR),VODACOM,Data for remote call centre,7194.00,RFQ
Council for Scientific and Industrial Research (CSIR),"VOLTEX - TECHNILAMP PROPS VOLTEX PTY
LTD",Ventilator components,189950.00,Emergency
Council for Scientific and Industrial Research (CSIR),WHITEHEAD SCIENTIFIC (PTY) LTD,Lab consumables,200721.00,Emergency
Council for Scientific and Industrial Research (CSIR),WURTH SOUTH AFRICA PTY LTD,Sanitiser & Masks,3300.00,RFQ
Council for Scientific and Industrial Research (CSIR),ZELPY 2937 (PTY) LTD,Lab consumables,1160.00,RFQ
National Research Foundation (NRF),5L Hand sanitiser,Christensen Saftec,1725.00,tender/contract
National Research Foundation (NRF),3 layer face masks,Brand Innovation,8645.00,tender/contract
National Research Foundation (NRF),1L Hand sanitiser,Fowkes Bros,750.00,tender/contract
National Research Foundation (NRF),Surgical masks,Fowkes Bros,696.00,tender/contract
National Research Foundation (NRF),"Coveralls, Thermometer, Swabs",BMS Medical,13914.00,tender/contract
National Research Foundation (NRF),Face shields,Mr Bolt & Nut,1725.00,tender/contract
National Research Foundation (NRF),PPE FOR SL AND CT,Workwear Depot,4216.00,tender/contract
National Research Foundation (NRF),"SUNLIGHT LIQUID,HANDY ANDY,BLE",Infuno Distributors,1172.00,tender/contract
National Research Foundation (NRF),500ML SPRAYER TRIGGER,Fowkes Bros,234.00,tender/contract
National Research Foundation (NRF),Landbou,Sutherlandbou,331.00,tender/contract
National Research Foundation (NRF),Foot operated sanitiser stand,Mason Stationers,3996.00,tender/contract
National Research Foundation (NRF),Digital Handheld Thermometer,Park Avenue Stationers,2933.00,tender/contract
National Research Foundation (NRF),Disposable face masks,Mudanco (Pty) Ltd.,10500.00,tender/contract
National Research Foundation (NRF),"Thermometer, Sanitisers, Gloves, Face Shields,
Aprons, Masks, Disinfectant",Muaki Group (Pty) Ltd.,48050.00,tender/contract
National Research Foundation (NRF),"Deep cleaning, Fogging",Rentokil Initial,131100.00,tender/contract
National Research Foundation (NRF),"Major servicing of Air-con units, including filters",Mufendi Suppliers & Projects,195058.00,tender/contract
National Research Foundation (NRF),"Sanitiser Stands, Pedal Bin, Screens",Keno Investment Group,61400.00,tender/contract
National Research Foundation (NRF),Fogging/Deep Clean,Eco Hygiene,6325.00,tender/contract
National Research Foundation (NRF),Cloth masks - 300,"LME Business Accounting
Consultants (Pty) Ltd.",6000.00,tender/contract
National Research Foundation (NRF),"Provision of deep cleaning and dissinfecting
services on an adhoc basis","Amachule Pest Cleaning Services
& Pest Control",51097.00,tender/contract
National Research Foundation (NRF),Hand sanitisers,Pamreen Sales cleaning materials,2691.00,tender/contract
National Research Foundation (NRF),"Alcohol for sanitser to support Makhanda
community",NCP Alcohols,36987.00,tender/contract
National Research Foundation (NRF),Face masks,T Birch & Co.,8700.00,tender/contract
National Research Foundation (NRF),Thermometers,Legacy Marine,2415.00,tender/contract
National Research Foundation (NRF),Thermometers,Legacy Marine,13053.00,tender/contract
National Research Foundation (NRF),Infrared thermometer,Be-Safe Paramedical,2367.00,tender/contract
National Research Foundation (NRF),Hand Sanitiser,Pamreen Sales cleaning materials,2750.00,tender/contract
National Research Foundation (NRF),Thermometers and Face Shields,Be-Safe Paramedical,23092.00,tender/contract
National Research Foundation (NRF),"Hydrogen Peroxide, Glycerol",United Scientific,1221.00,tender/contract
National Research Foundation (NRF),"Spray bottles, tidy control",Pamreen Sales cleaning materials,8210.00,tender/contract
National Research Foundation (NRF),Sanitizing foggers,Nitifko,5009.00,tender/contract
National Research Foundation (NRF),"Sanitiser Stations, Coveralls, Aprons, Bottle
dispenser, hand sanitiser",Be-Safe Paramedical,889.00,tender/contract
National Research Foundation (NRF),Masks,LASEC,2640.00,tender/contract
National Research Foundation (NRF),Thermometers,IBHAYI laboratory Supplies,6900.00,tender/contract
National Research Foundation (NRF),Spray bottles and triggers,Pamreen Sales cleaning materials,4300.00,tender/contract
National Research Foundation (NRF),Tidy Control paper,Pamreen Sales cleaning materials,4186.00,tender/contract
National Research Foundation (NRF),PPE's,Wurth SA (Pty) Ltd.,96343.00,tender/contract
National Research Foundation (NRF),Cloth Masks,Wurth SA (Pty) Ltd.,55726.00,tender/contract
National Research Foundation (NRF),Hand Cleaning Wipes,RS Components,22402.00,tender/contract
National Research Foundation (NRF),Hand sanitiser,Linked Stationery,575.00,tender/contract
National Research Foundation (NRF),Hand sanitiser and swabs,EXITOL-Commercial & Industrial,14434.00,tender/contract
National Research Foundation (NRF),Mask and sanitiser,Wurth SA (Pty) Ltd.,53127.00,tender/contract
National Research Foundation (NRF),PPE (Gloves and Masks - VIP site visit to NC),AAI Facilities,35520.00,tender/contract
National Research Foundation (NRF),Sanitisers and bottles,Red Alert,3181.00,tender/contract
National Research Foundation (NRF),Sanitiser spray units,Wespack,2999.00,tender/contract
National Research Foundation (NRF),Latex gloves,Wespack,90.00,tender/contract
National Research Foundation (NRF),Screenshields  X2 units,Meeting Planners international,4606.00,tender/contract
National Research Foundation (NRF),"Disinfection and Fogging services - 6 months
contract",Ecohygiene,234000.00,tender/contract
National Research Foundation (NRF),Sanitiser dispensing units,Ecohygiene,13340.00,tender/contract
National Research Foundation (NRF),Various PPE items,Servest,19599.00,tender/contract
National Research Foundation (NRF),Various PPE items,High Class airconditioning,24990.00,tender/contract
National Research Foundation (NRF),Conversion of biometric to access card system,Ditiro Tech,117493.00,tender/contract
National Research Foundation (NRF),New access cards for staff,Ditiro Tech,8487.00,tender/contract
National Research Foundation (NRF),75 x 1L Hand Sanitizers,Safety Mate Eastern Cape,9488.00,tender/contract
National Research Foundation (NRF),"543 x Three Layer Fabric/Cloth Masks & 1100
Filter for masks",Brunos Custom Clothiers,14954.00,tender/contract
National Research Foundation (NRF),2 x T5 infrared Forehead Thermometer FCA CE,Rerox Group,2755.00,tender/contract
National Research Foundation (NRF),"Digital hand Thermometer (Non-contact) &
Batteries",By Design Trading,1151.00,tender/contract
National Research Foundation (NRF),1L Hand Sanitizer (Spray Bottle),By Design Trading,520.00,tender/contract
National Research Foundation (NRF),Disinfection Wipes Tub (1000 sheets),By Design Trading,1750.00,tender/contract
National Research Foundation (NRF),2 x testo 830-T1 Thermometres,Testo South Africa,3233.00,tender/contract
National Research Foundation (NRF),Gloves,Imvusa Consultancy t/a SafePro,39500.00,tender/contract
National Research Foundation (NRF),Sanitisers,Logal Medical and Surgical Pty,12190.00,tender/contract
National Research Foundation (NRF),Cloth Masks,Fire and Ash Marketing,52900.00,tender/contract
National Research Foundation (NRF),Body Infrared Termometer,United Scientific CC,2875.00,tender/contract
National Research Foundation (NRF),Faceshields,Ysterplaat Medical Supplies,13800.00,tender/contract
National Research Foundation (NRF),Body Infrared Termometer,United Scientific CC,8625.00,tender/contract
