,buyer_name,items_description,Procurement Process,Service Provider,"Company
Registration
Number",Date,Amount
8,The International Trade Administration Commission (ITAC),COVID-19 related activities: Clothe Masks (250),Quotation system ,African Global Entertainment Network ,,30/04/2020,R12 000.00
8,The International Trade Administration Commission (ITAC),"COVID-19 related activities: Hand sanitizers liquid. (10 X 5lt) Latex gloves (X5 boxes)
142 empty spray bottles (100ml)",Quotation system ,Munlin Travel ,,24/06/2020,R 6 547.66
8,The International Trade Administration Commission (ITAC),PPEs: Pump Long Nose 5lt. Sanitizer liquid hand gel. Mask Non- Woven 3 ply,Petty Cash ,G Fox (Pty) Ltd ,2002/031805/07,15/04/2020,R2 000.00
8,The International Trade Administration Commission (ITAC),PPEs: Cloth Masks (250),Quotation system ,African Global Entertainment Network ,2016/253600/07,30/04/2020,R12 000.00
8,The International Trade Administration Commission (ITAC),"PPEs: Hand sanitizers. (10 X 5lt)
Latex gloves (X5 boxes)
142 empty spray bottles (100ml)",Quotation system ,Munlin Travel ,2017/301772/07,24/06/2020,R 6 547.66
9,National Consumer Comission (NCC),COVID-19 related activities: Provided Toll free number for consumer to report price gouging matters,Single source procurement ,Switch Telecom ,2005/037954/07,24/03/2020,R200 000.00
9,National Consumer Comission (NCC),COVID-19 related activities: Prosecution of suppliers in contravention with COVID- 19 regulations,Single source procurement ,"Gildenhuys, Malatji Incorporate",1987/00211421,01/04/2020,R470 000.00
9,National Consumer Comission (NCC),PPEs: 130 Masks,Petty cash purchase ,Absolute Office ,2006/029447/07,03/05/2020,"R4,550.00"
9,National Consumer Comission (NCC),PPEs: 70 Masks,Petty cash purchase ,Blythe Design ,,30/04/2020,"R2,000.00"
13,National Gambling Board (NGB),COVID-19 Activities from 01 March – 29 July 2020: N/A,N/A,N/A,,,N/A
13,National Gambling Board (NGB),Procurement of PPEs from 01 March – 29 July 2020: Hand wash pump and Soap,Petty cash,Makro,1991/006805/07,12/03/2020,R168.70
13,National Gambling Board (NGB),Procurement of PPEs from 01 March – 29 July 2020: Hand sanitiser and wipes,Petty cash,Pharma Marketing International,2002/001243/07,12/03/2020,"R1,566.95"
13,National Gambling Board (NGB),"Procurement of PPEs from 01 March – 29 July 2020: Hand sanitisers, surface cleaners",Petty cash,Pharma Marketing International,2002/001243/07,16/03/2020,"R1,397.50"
13,National Gambling Board (NGB),Procurement of PPEs from 01 March – 29 July 2020: Soap dispensers,Petty cash,Store & More,2012/127780/07,16/03/2020,R599.70
13,National Gambling Board (NGB),Procurement of PPEs from 01 March – 29 July 2020: Gloves,Petty cash,Krosmosdal Pharmacy,1972/000895/07,18/03/2020,R460.00
13,National Gambling Board (NGB),Procurement of PPEs from 01 March – 29 July 2020: Wet wipes,Petty cash,Checkers,1972/000895/07,18/03/2020,"R1,230.77"
13,National Gambling Board (NGB),Procurement of PPEs from 01 March – 29 July 2020: Deep cleaning and sanitising of office premises,Quotation,Masana Hygiene services (Pty) Ltd,2014/110265/07,22/07/2020,"R37,260.00"
13,National Gambling Board (NGB),Procurement of PPEs from 01 March – 29 July 2020: Personal Protective Equipment: 100 cloth masks 3 layers ; 4 boxes of surgical masks; 10 boxes of N95 or FFP2 mask respirator; 13 boxes of examination gloves; 50 1L bottles of sanitiser (not less than 70%); 3 boxes of aprons; 3 digital thermometers.,Quotation,Muaki Group (Pty) Ltd,2016/573923/07,29/07/2020,"R19,820.00"
15,National Metrology Institute of South Africa (NMISA) ,Hand Sanitizers,Petty cash,Halouw Make-Up,N/A,23/03/2020,R 500.00
15,National Metrology Institute of South Africa (NMISA) ,"Sanitizerdispenser(4)
and500mlspray
sanitizer (10)",RFQ Process,Academy,2013/040602/07,05/05/2020,R 4 950.00
15,National Metrology Institute of South Africa (NMISA) ,"Perplexprotective
sneeze guards (4), face
shields (20), 3 ply cotton
masks (400) and 500ml
empty spray bottles (200)",RFQ Process,Maduwa Paint,2017/045763/07,21/05/2020,R 28 360.00
15,National Metrology Institute of South Africa (NMISA) ,NMISA branded masks,Petty cash,World,2013/215506/07,08/06/2020,R 950.00
15,National Metrology Institute of South Africa (NMISA) ,Thermometers (2),Petty cash,Moorejoy (Pty),N/A,08/06/2020,R 2 081.55
15,National Metrology Institute of South Africa (NMISA) ,"Isopropylalcoholand
Glycerol",RFQ process,Ltd,1970/002497/07,08/06/2020,R 4 174.50
15,National Metrology Institute of South Africa (NMISA) ,"500mlhandsanitizer
(22),threeplyface
masks (6), thermometer
and metal sanitizer stand",RFQ Process,Pulse Mag,2020/163390/07,18/06/2020,R 8 389.00
15,National Metrology Institute of South Africa (NMISA) ,"Visormasks(30)and
nitrilemedical
examinationgloves(30
boxes)",RFQ Process,"Dischem Glenfair,",2004/113796/23,18/06/2020,R 8 100.00
15,National Metrology Institute of South Africa (NMISA) ,"Nitrilemedical
examinationgloves
(small,medium,and
large 9 boxes) and face
masks (5 boxes)",RFQ Process,PTA,2000/010102/07,20/07/2020,R 3 363.75
17,South African Bureau of Standards (SANBS),"COVID-19 related activities: Perspex protective screens for
reception areas",3 quotes,Auspicious Group Services,,06/05/2020,"R 195,000.00"
17,South African Bureau of Standards (SANBS),"COVID-19 related activities: Fogging/Disinfecting of offices, buildings and laboratories",1 quote,Supercare,,13/05/2020,"R 7,272.77"
17,South African Bureau of Standards (SANBS),"COVID-19 related activities: Fogging/Disinfecting of offices, buildings and laboratories",1 quote,Khanya Cleaning Group,,25/05/2020,"R 1,092.50"
17,South African Bureau of Standards (SANBS),"COVID-19 related activities: Fogging/Disinfecting of offices, buildings and laboratories",1 quote,Delta Cleaning and Hygiene,,15/06/2020,"R 9,522.00"
17,South African Bureau of Standards (SANBS),"COVID-19 related activities: Fogging/Disinfecting of offices, buildings and laboratories",Emergency,Delta Cleaning and Hygiene,,17/06/2020,"R 91,312.50"
17,South African Bureau of Standards (SANBS),"COVID-19 related activities: Fogging/Disinfecting of offices, buildings and laboratories",1 quote,Khanya Cleaning Group,,01/07/2020,"R 1,380.00"
17,South African Bureau of Standards (SANBS),"COVID-19 related activities: Fogging/Disinfecting of offices, buildings and laboratories",1 quote,Delta Cleaning and Hygiene,,09/07/2020,"R 9,522.00"
17,South African Bureau of Standards (SANBS),PPEs : Alcohol based hand sanitizer,Emergency,Infection Protection Products,1980/002565/07,17/03/2020,"R 8,595.80"
17,South African Bureau of Standards (SANBS),PPEs : Alcohol based hand sanitizer,Emergency,"M Jnr & Olwethu Consulting T/A
MJO",2014/035097/07,26/03/2020,"R 120,300.00"
17,South African Bureau of Standards (SANBS),PPEs : Sanitizer refill bottles,Emergency,"M Jnr & Olwethu Consulting T/A
MJO",2014/035097/07,26/03/2020,"R 32,700.00"
17,South African Bureau of Standards (SANBS),PPEs : Surgical masks,Emergency,DJ Montoya Training and Projects,2008/026290/23,01/04/2020,"R 12,500.00"
17,South African Bureau of Standards (SANBS),PPEs : Thermometers,Emergency,Ramoeng Business Consultants,2010/018037/23,01/04/2020,"R 74,970.00"
17,South African Bureau of Standards (SANBS),PPEs : Latex gloves,1 quote,DJ Montoya Training and Projects,2008/026290/23,17/04/2020,"R 2,910.00"
17,South African Bureau of Standards (SANBS),PPEs : Thermometers,1 quote,Makrosafe Holdings,1999/019559/07,24/04/2020,"R 8,050.00"
17,South African Bureau of Standards (SANBS),PPEs : Sanitizer refill bottles,1 quote,The Dental Warehouse,1978/016918/07,30/04/2020,"R 9,000.00"
17,South African Bureau of Standards (SANBS),PPEs : Alcohol based hand sanitizer,3 quotes,JD Strategic Investments,2011/105035/23,07/05/2020,"R 119,937.50"
17,South African Bureau of Standards (SANBS),PPEs : Fabric masks,3 quotes,Radeen Fashions,1962/000459/07,12/05/2020,"R 121,790.75"
17,South African Bureau of Standards (SANBS),PPEs : Alcohol based hand sanitizer,3 quotes,Chemtron,2012/068783/07,15/05/2020,"R 359,950.00"
17,South African Bureau of Standards (SANBS),PPEs : Face shields,3 quotes,Linn Business,2019/065450/07,15/05/2020,"R 65,000.00"
17,South African Bureau of Standards (SANBS),PPEs : Boot covers,3 quotes,JD Strategic Investment,2011/105035/23,15/05/2020,"R 1,300.00"
17,South African Bureau of Standards (SANBS),PPEs : N95 masks,3 quotes,Igugulindiwe Pty Ltd,2014/057318/07,18/05/2020,"R 12,420.00"
17,South African Bureau of Standards (SANBS),PPEs : Disposable gowns,3 quotes,Nhlayiseko Holdings,2016/392246/07,18/05/2020,"R 80,000.00"
17,South African Bureau of Standards (SANBS),PPEs : Surgical masks,3 quotes,Nhlayiseko Holdings,2016/392246/07,18/05/2020,"R 800,000.00"
17,South African Bureau of Standards (SANBS),PPEs : Latex gloves,3 quotes,Igugulindiwe Pty Ltd,2014/057318/07,18/05/2020,"R 17,600.00"
17,South African Bureau of Standards (SANBS),PPEs : Conti suits,3 quotes,Nhlayiseko Holdings,2016/392246/07,29/07/2020,"R 91,000.00"
17,South African Bureau of Standards (SANBS),PPEs : Automated sanitizer dispensers,3 quotes,Ezweni Corporations,2014/190987/07,29/07/2020,"R 148,569.36"
17,South African Bureau of Standards (SANBS),PPEs : Thermometers,3 quotes,ANL Holdings,2013/148815/07,29/07/2020,"R 52,324.00"
