buyer_name,implementation_location_facility,supplier_name,central_supplier_database_number,director_names,director_surnames,implementation_location_other,implementation_location_district_municipality,implementation_location_province,MONTH,order_amount_zar
Eastern Cape Department of Health (DOH),Sir Henry Phase II,Freemason Construction,MAAA0058866,Papama,Mqamane,Mthatha,OR Tambo,Eastern Cape,July,6880804.00
Eastern Cape Department of Health (DOH),,,,Khalipha,Jombile,,,Eastern Cape,July,
Eastern Cape Department of Health (DOH),Lady Grey Hospital,Iinchali Trading cc,MAAA0024528,Mziwoxolo Derrick,Pumile,East London,Buffalo City,Eastern Cape,July,4929092.00
Eastern Cape Department of Health (DOH),Tafalofefe Hospital,Imivuzo Trading,MAAA0016177,Sandisiwe Piko,Magwentshu,East London,Buffalo City,Eastern Cape,July,4735746.00
Eastern Cape Department of Health (DOH),Canzibe Hospital,Intlangule 86 Trading cc,MAAA0085518,Anele,Mbele,Mthatha,OR Tambo,Eastern Cape,July,8848725.00
Eastern Cape Department of Health (DOH),Dordrecht Hospital,"Khumbeni Construction and
Trading",MAAA0008608,"Thembisa
Siphiwe Phillip","Ceke
Ceke",Queenstown,Chris Hani,Eastern Cape,July,4805144.45
Eastern Cape Department of Health (DOH),Steynsburg Hospital,Kinex Power Projects,MAAA0404247,"Khaya
Nomabhaca Rosamond
Azola","Mbewu
Mengezeleli
Mbewu",East London,Buffalo City,Eastern Cape,July,14875999.80
Eastern Cape Department of Health (DOH),Isilimela Hospital,Konstruct SGN Pty Ltd,MAAA0419693,Ketwa,Sogoni,Mthatha,OR Tambo,Eastern Cape,July,5714475.40
Eastern Cape Department of Health (DOH),Burgersdorp Hospital,Lakhaza Construction,MAAA0153620,Nkosithandile,Sitelo,East London,Buffalo City,Eastern Cape,July,3536556.26
Eastern Cape Department of Health (DOH),Cala Hospital,"Lathitha Construction &
Services",MAAA0011359,Phindiwe Tembela,Ntlebi,Queenstown,Chris Hani,Eastern Cape,July,6772937.54
Eastern Cape Department of Health (DOH),Sawas Hospital,Lezmin 1204,MAAA0071212,Sindiswa,Maome,East London,Buffalo City,Eastern Cape,July,8569718.70
Eastern Cape Department of Health (DOH),Madzikane Ka Zulu,LKG Group,MAAA0032952,Luyanda Kevin,Mbekela,Matatiele,Alfred Nzo,Eastern Cape,July,1944855.20
Eastern Cape Department of Health (DOH),Komga Hospital,NLG Group,MAAA0146558,Ndimphiwe,Gqweta,East London,Buffalo City,Eastern Cape,July,3394371.86
Kwa- Zulu Natal Department of Health (DOH),Mjanyane Hospital,"Nobantu Contracting and
Projects",MAAA0470951,Zandile Doreen,Mgeyane,Durban,Ethekwini,Kwa- Zulu Natal,July,6783551.21
Eastern Cape Department of Health (DOH),"Bambisana Hospital: Covered
walkway",Phumelela Consultancy,MAAA0358957,Xolisa,Dyasi,Port St Johns,OR Tambo,Eastern Cape,July,458160.00
Eastern Cape Department of Health (DOH),Stutterheim Hospital,Safika Construction,MAAA0056226,Sivuyile,Mkhokeli,Mdantsane,Buffalo City,Eastern Cape,July,11587843.72
Eastern Cape Department of Health (DOH),Siphethu Hospital,"Siza Kancane Trading
Enterprise 72",MAAA0341866,Simphiwe,Ndlela,Ntabankulu,Alfred Nzo,Eastern Cape,July,14470536.00
Eastern Cape Department of Health (DOH),Frere Hospital,SQT Construction and Civils,MAAA0178439,"Bukiwe
Phumeza","Sipunzi
Mpengesi",East London,Buffalo City,Eastern Cape,July,48818261.23
Eastern Cape Department of Health (DOH),Majorie Parrish Hospital,Star Time Trading cc,MAAA0185246,"Blessing
David","Mhlanga
Mhlanga",Port Elizabeth,Nelson Mandela,Eastern Cape,July,7012254.95
Eastern Cape Department of Health (DOH),Adelaide Hospital,Thowamvu Trading,MAAA0056354,Mvuzo,Dyantyi,Alice,Amathole,Eastern Cape,July,5171922.09
Eastern Cape Department of Health (DOH),Mthatha General Hospital,TICA Consultants Pty Ltd,MAAA0869040,Dianne  MerryAnn,Usher,East London,Buffalo City,Eastern Cape,July,48365041.80
Eastern Cape Department of Health (DOH),Komani Hospital,Vitsha Trading cc,MAAA0203452,Vitsha,Swana,Flagstaff,OR Tambo,Eastern Cape,July,13726961.67
Eastern Cape Department of Health (DOH),Dora Nginza,Willie Greef Trust,MAAA0143466,Willem,Greeff,Port Elizabeth,Nelson Mandela,Eastern Cape,July,33548878.85
Eastern Cape Department of Health (DOH),"Threater: Nelson Mandela
Academic",Zandla Ezishushu Group,MAAA0723075,Mthuthuzeli,Mketsu,East London,Buffalo City,Eastern Cape,July,2996055.21
Eastern Cape Department of Health (DOH),St Elizabeth Hospital,Zeezee Khula Trading Pty Ltd,MAAA0027823,Lwandile,Gcume,Lusikisiki,OR Tambo,Eastern Cape,July,2938542.00
Eastern Cape Department of Health (DOH),"Butterworth Nurses Home
Hospital",Avumile Business Investments,MAAA0067655,Vumile,Mtyobele,East London,Buffalo City,Eastern Cape,July,7890541.00
Eastern Cape Department of Health (DOH),Bhisho Hospital,"BNN Construction/ Sage Wise
1221",MAAA0391217,Batandwa,Tungata,East London,Buffalo City,Eastern Cape,July,6998594.22
Eastern Cape Department of Health (DOH),Nkqubela Hospital,Botani Construction,MAAA0057056,Tsepo,Hlanjwa,Cofimvaba,Chris Hani,Eastern Cape,July,4838909.92
Gauteng Department of Health (DOH),"Medical Gas: Cecelia
Makiwane Hospital",Bull and Bush Engineering,MAAA0017751,Mzwakhe Gerald,Smith,Midrand,Gauteng,Gauteng,July,1134799.88
Eastern Cape Department of Health (DOH),Bambisana Hospital,Cape to Cairo Investments Pty Ltd,MAAA0016765,"Phathuxolo
Tobelikaya",Daniso,Mthatha,OR Tambo,Eastern Cape,July,761910.00
Eastern Cape Department of Health (DOH),Duncan Village Clinic,ECY Construction,MAAA0927201,Jeanette Malikonopo,Motuba,East London,Buffalo City,Eastern Cape,July,1144671.80
Eastern Cape Department of Health (DOH),Bedford Hospital,Enkosi Mandela Dev,MAAA0172092,Martin Mathew,Mgidi,Mthatha,OR Tambo,Eastern Cape,July,4754442.65
Eastern Cape Department of Health (DOH),Sir Henry Phase II,Freemason Construction,MAAA0058866,"Papama
Khalipha","Mqamane
Jombile",Mthatha,OR Tambo,Eastern Cape,July,6880804.00
Eastern Cape Department of Health (DOH),Lady Grey Hospital,Iinchali Trading cc,MAAA0024528,Mziwoxolo Derrick,Pumile,East London,Buffalo City,Eastern Cape,July,4929092.00
Eastern Cape Department of Health (DOH),Tafalofefe Hospital,Imivuzo Trading,MAAA0016177,Sandisiwe Piko,Magwentshu,East London,Buffalo City,Eastern Cape,July,4735746.00
Eastern Cape Department of Health (DOH),Canzibe Hospital,Intlangule 86 Trading cc,MAAA0085518,Anele,Mbele,Mthatha,OR Tambo,Eastern Cape,July,8848725.00
Eastern Cape Department of Health (DOH),Dordrecht Hospital,"Khumbeni Construction and
Trading",MAAA0008608,"Thembisa
Siphiwe Phillip","Ceke
Ceke",Queenstown,Chris Hani,Eastern Cape,July,4805144.45
Eastern Cape Department of Health (DOH),Steynsburg Hospital,Kinex Power Projects,MAAA0404247,"Khaya
Nomabhaca Rosamond
Azola","Mbewu
Mengezeleli
Mbewu",East London,Buffalo City,Eastern Cape,July,14875999.80
Eastern Cape Department of Health (DOH),Isilimela Hospital,Konstruct SGN Pty Ltd,MAAA0419693,Ketwa,Sogoni,Mthatha,OR Tambo,Eastern Cape,July,5714475.40
Eastern Cape Department of Health (DOH),Burgersdorp Hospital,Lakhaza Construction,MAAA0153620,Nkosithandile,Sitelo,East London,Buffalo City,Eastern Cape,July,3536556.26
Eastern Cape Department of Health (DOH),Cala Hospital,Lathitha Construction & Services,MAAA0011359,Phindiwe Tembela,Ntlebi,Queenstown,Chris Hani,Eastern Cape,July,6772937.54
Eastern Cape Department of Health (DOH),Sawas Hospital,Lezmin 1204,MAAA0071212,Sindiswa,Maome,East London,Buffalo City,Eastern Cape,July,8569718.70
Eastern Cape Department of Health (DOH),Madzikane Ka Zulu,LKG Group,MAAA0032952,Luyanda Kevin,Mbekela,Matatiele,Alfred Nzo,Eastern Cape,July,1944855.20
Eastern Cape Department of Health (DOH),Komga Hospital,NLG Group,MAAA0146558,Ndimphiwe,Gqweta,East London,Buffalo City,Eastern Cape,July,3394371.86
Kwa- Zulu Natal Department of Health (DOH),Mjanyane Hospital,Nobantu Contracting and Projects,MAAA0470951,Zandile Doreen,Mgeyane,Durban,Ethekwini,Kwa- Zulu Natal,July,6783551.21
Eastern Cape Department of Health (DOH),"Bambisana Hospital:
Covered walkway",Phumelela Consultancy,MAAA0358957,Xolisa,Dyasi,Port St Johns,OR Tambo,Eastern Cape,July,458160.00
Eastern Cape Department of Health (DOH),Stutterheim Hospital,Safika Construction,MAAA0056226,Sivuyile,Mkhokeli,Mdantsane,Buffalo City,Eastern Cape,July,11587843.72
Eastern Cape Department of Health (DOH),Siphethu Hospital,"Siza Kancane Trading Enterprise
72",MAAA0341866,Simphiwe,Ndlela,Ntabankulu,Alfred Nzo,Eastern Cape,July,14470536.00
Eastern Cape Department of Health (DOH),Frere Hospital,SQT Construction and Civils,MAAA0178439,"Bukiwe
Phumeza","Sipunzi
Mpengesi",East London,Buffalo City,Eastern Cape,July,48818261.23
Eastern Cape Department of Health (DOH),Majorie Parrish Hospital,Star Time Trading cc,MAAA0185246,"Blessing
David","Mhlanga
Mhlanga",Port Elizabeth,Nelson Mandela,Eastern Cape,July,7012254.95
Eastern Cape Department of Health (DOH),Adelaide Hospital,Thowamvu Trading,MAAA0056354,Mvuzo,Dyantyi,Alice,Amathole,Eastern Cape,July,5171922.09
Eastern Cape Department of Health (DOH),Mthatha General Hospital,TICA Consultants Pty Ltd,MAAA0869040,Dianne  MerryAnn,Usher,East London,Buffalo City,Eastern Cape,July,48365041.80
Eastern Cape Department of Health (DOH),Komani Hospital,Vitsha Trading cc,MAAA0203452,Vitsha,Swana,Flagstaff,OR Tambo,Eastern Cape,July,13726961.67
Eastern Cape Department of Health (DOH),Dora Nginza,Willie Greef Trust,MAAA0143466,Willem,Greeff,Port Elizabeth,Nelson Mandela,Eastern Cape,July,33548878.85
Eastern Cape Department of Health (DOH),"Threater: Nelson Mandela
Academic",Zandla Ezishushu Group,MAAA0723075,Mthuthuzeli,Mketsu,East London,Buffalo City,Eastern Cape,July,2996055.21
Eastern Cape Department of Health (DOH),St Elizabeth Hospital,Zeezee Khula Trading Pty Ltd,MAAA0027823,Lwandile,Gcume,Lusikisiki,OR Tambo,Eastern Cape,July,2938542.00
Eastern Cape Department of Health (DOH),Komani Hospital Phase 1,Cycle Civil and Projects,MAAA0046888,Siyabulela,Ntsanda,Mthatha,OR Tambo,Eastern Cape,Mhlanga,5344036.01
Eastern Cape Department of Health (DOH),Empilweni Hospital,Goavect,MAAA0128209,Lesley Loyiso,Ndaleni,Port Elizabeth,Nelson Mandela,Eastern Cape,Mhlanga,4889649.35
Eastern Cape Department of Health (DOH),Taylor Bequest Hospital: Matatiele,Imbono Architects,MAAA0430541,"Basil Paul
Philasande Sakhiw
Hubert Ludwig
Jan Malan Fjord","Buss
JBoelotrbaen d
Sieg
Jordaan",Mthatha,OR Tambo,Eastern Cape,Mhlanga,24923284.73
Eastern Cape Department of Health (DOH),"Isilimela Hospital, Port St Johns",JVPS Trading Enterprise,MAAA0700134,"Johannes
Phineas Malesela
Vino Malesela","Papo
Sekhaolelo
Makgotla",Mthatha,OR Tambo,Eastern Cape,Mhlanga,1691428.00
Eastern Cape Department of Health (DOH),"St Barnabas Hospital, Libode","Khethekanye Trading and
Projects 347",MAAA0157691,Loyiso Asanda,Maqabuka,Ngqeleni,OR Tambo,Eastern Cape,Mhlanga,784362.67
Eastern Cape Department of Health (DOH),"Sir Henry Elliot Hospital, Mthatha",Magz Projects,MAAA0417521,Anda,Magwentshu,Mthatha,OR Tambo,Eastern Cape,Mhlanga,2731787.34
Eastern Cape Department of Health (DOH),Frere Hospital : East London,"Mathew and Sons
Construction",MAAA0101841,Martin Mathew,Mgidi,"King Williams
Town",Buffalo City,Eastern Cape,Mhlanga,6578916.55
Gauteng Department of Health (DOH),Nessie Knight Hospital: Qumbu,Mayibuye i-Afrika Trading,MAAA0353313,Simthembile,Bantubani,Midrand,Gauteng,Gauteng,Mhlanga,5291616.90
Eastern Cape Department of Health (DOH),"Isilimela Hospital, Port St Johns","McCauley Trading and
Construction",MAAA0138240,"Lennox Nkosayitenj
Tembalethu
Odwa
Welile","Baanti
Ntsentse
Msindiswa
Cezula",Port St Johns,OR Tambo,Eastern Cape,Mhlanga,364840.00
Eastern Cape Department of Health (DOH),"Dr Malizompehle Hosiptal, Tsolo",MRQ Contractrors,MAAA0095937,"Madora Richard
Lelethu","Qangani
Qangani",Mthatha,OR Tambo,Eastern Cape,Mhlanga,4948162.20
Eastern Cape Department of Health (DOH),All Saints Hospital,"Oguyonke Catering and
Construction",MAAA0891741,Mokhata,Sekhibidu,Ezibeleni SP,Chris Hani,Eastern Cape,Mhlanga,6402652.03
Eastern Cape Department of Health (DOH),"Orsmond Hospital: Sarah
Baartman","Oxegon Electrical and
Maintenance",MAAA0925931,Xolani,Mogane,Port Elizabeth,Nelson Mandela,Eastern Cape,Mhlanga,3036752.30
Eastern Cape Department of Health (DOH),Winterberg TB Hospital,Pandani Construction,MAAA0885602,Nhlanhla,Kolele,East London,Buffalo City,Eastern Cape,Mhlanga,3548491.75
Eastern Cape Department of Health (DOH),"Hewu Hospital, Whittlesea",Silver Star Trading 437,MAAA0289282,"Molly
Getrude Nomseben","Ntsaluba
Bi usakwe",Queenstown,Chris Hani,Eastern Cape,Mhlanga,4104375.82
Eastern Cape Department of Health (DOH),"Livingstone Hospital, Port
Elizabeth","SNZN JV Imbumba
Development",MAAA0699912,Zona,Ningiza,East London,Buffalo City,Eastern Cape,Mhlanga,11656006.93
Eastern Cape Department of Health (DOH),Glen Grey : Lady Frere,"Waving High Trading and
Projects",MAAA0084481,Lusapho,Mzwakali,Queenstown,Chris Hani,Eastern Cape,Mhlanga,5425180.87
Eastern Cape Department of Health (DOH),Madwaleni Hospital,Anopha Design ARC,MAAA0091965,"Rangarirai
Mfundo
Andrew
James","Muchabaiwa
Dosi
Mwanjira",East London,Buffalo City,Eastern Cape,May,19735588.37
Eastern Cape Department of Health (DOH),Willomore Hospital,Erivision Pty Ltd,MAAA0004311,Malibongwe,Lusasa,Port Elizabeth,Nelson Mandela,Eastern Cape,May,1506560.85
Eastern Cape Department of Health (DOH),"Bambisana Hospital
Phase 3","Khanya Trading and
Projects",MAAA0722652,Okhanyo,Qokweni,Lusikisiki,OR Tambo,Eastern Cape,May,124792.25
Eastern Cape Department of Health (DOH),St Lucy Hospital,PDN Afrika JV,MAAA0887659,Nkosiphendule,Ntsebenza,East London,Buffalo City,Eastern Cape,May,39672526.13
"Kwa- Zulu
Natal Department of Health (DOH)",Mlamlii Hospital,"Qhakaza Africa
Consulting",MAAA0338677,"Mandisa
Princess",Daki,Durban,Ethekwini,"Kwa- Zulu
Natal",May,43769699.41
Eastern Cape Department of Health (DOH),"Nompumelelo Hospital
Phase 2",SNZN Construction,MAAA0347201,Zona,Ningiza,East London,Buffalo City,Eastern Cape,May,730716.02
Eastern Cape Department of Health (DOH),Aliwal North Hospital,Stermount Projects,MAAA0001581,Linda,Matshabane,East London,Buffalo City,Eastern Cape,May,31203516.52
Eastern Cape Department of Health (DOH),Victoria Hospital Phase 2,"2KS Construction and
Projects",MAAA0023656,Odwa,Matshaya,East London,Buffalo City,Eastern Cape,April,992105.00
Eastern Cape Department of Health (DOH),Ngqamakhwe CMH,Antivirus Trading,MAAA0168868,Mongezi,Ngxotho,Butterworth,Amathole,Eastern Cape,April,143246.40
Eastern Cape Department of Health (DOH),Sir Henry (Mthatha General),Athindura Trading,MAAA0101831,Qiqa Tembelani,Mpiti,Bizana,Alfred Nzo,Eastern Cape,April,1799931.01
Eastern Cape Department of Health (DOH),Sir Henry,Athindura Trading,MAAA0101831,Qiqa Tembelani,Mpiti,Bizana,Alfred Nzo,Eastern Cape,April,5868223.74
Eastern Cape Department of Health (DOH),Zithulele Hospital,Botani Construction,MAAA0057056,"Tsepo
Asanda","Hlanjwa
Hlanjwa",Cofimvaba,Chris Hani,Eastern Cape,April,977511.50
Eastern Cape Department of Health (DOH),Midlands Hospital,Esotho Trading,MAAA0121786,Samora,Madikane,East London,Buffalo City,Eastern Cape,April,1359316.00
Eastern Cape Department of Health (DOH),Frontier Hospital,"Evermore Engineering and
Projects",MAAA0610078,Glenda Ntombikayise,Madikane,Engcobo,Chris Hani,Eastern Cape,April,395489.00
