buyer_name,implementation_location_province,No,implementation_location_other,items_description,order_number,invoice_date,order_amount_zar,procurement_method,supplier_name,implementation_status
South African Social Security Agency (SASSA),Eastern Cape,16,Nelson Mandela Metro,Cloth Masks (274),16236,2020-05-05,9590.00,Normal Procument process,Goods Delivered,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,17,Nelson Mandela Metro,Body Thermometer infrared ( 7),16237,2020-05-05,43400.00,Normal Procument process,In Your Tank Petroleum (Pty)Ltd,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,17,Nelson Mandela Metro,BP Monitor,16432,2020-07-08,20300.00,Normal Procument process,Sonzwaca,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,17,Nelson Mandela Metro,Surgical masks,16432,2020-07-08,7980.00,Normal Procument process,Sonzwaca,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,17,Nelson Mandela Metro,Disposable towels,16432,2020-07-08,5880.00,Normal Procument process,Sonzwaca,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,17,Nelson Mandela Metro,Bins with Lids,16432,2020-07-08,1820.00,Normal Procument process,Sonzwaca,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,17,Nelson Mandela Metro,Thermometer Batteries,16432,2020-07-08,5040.00,Normal Procument process,Sonzwaca,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,17,Nelson Mandela Metro,Face Shields,16333,2020-05-27,21074.00,Normal Procument process,Thula Senze Trading,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,17,Nelson Mandela Metro,Cloth Masks,16334,2020-05-27,5520.00,Normal Procument process,Mr Lee Trading,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,17,Nelson Mandela Metro,Hand gloves,16334,2020-05-27,3480.00,Normal Procument process,Mr Lee Trading,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,17,Nelson Mandela Metro,Sanitiser,16334,2020-05-27,42940.12,Normal Procument process,Mr Lee Trading,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,17,Nelson Mandela Metro,Cloth masks,16236,2020-05-05,6850.00,Normal Procument process,Golden Stitches 1 Co Op,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,18,Sarah Baartman District,Hand Sanitzers,16206,2020-03-24,1984.50,Normal Procument process,Cyber Enginering & Projects,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,18,Sarah Baartman District,Hand Sanitzers,16436,2020-07-09,12744.00,Normal Procument process,Ziphozihle Security & Cleaning,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,18,Sarah Baartman District,Surgical masks,16225,2020-04-28,73600.00,Normal Procument process,Multi Surge,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,18,Sarah Baartman District,Cloth Masks,16308,2020-05-15,6150.00,Normal Procument process,Thula Senze,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,18,Sarah Baartman District,Sanitizers,16308,2020-05-15,22547.00,Normal Procument process,Thula Senze,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,18,Sarah Baartman District,Gloves,16308,2020-05-15,828.00,Normal Procument process,Thula Senze,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,18,Sarah Baartman District,Cloth Masks,16361,2020-06-02,10073.70,Normal Procument process,Ezabathembu trading,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,18,Sarah Baartman District,Desk screens,16388,2020-06-11,82743.20,Normal Procument process,dabane solutions,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,19,Joe Gqabi District Office,Hand Sanitzers,16185,2020-03-18,1999.00,Normal Procument process,Thamtham Investments,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,20,Joe Gqabi District Office,Cloth Masks,16223,2020-04-24,1980.00,Normal Procument process,Kaizen Primary Co-op,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,21,Joe Gqabi District Office,Cloth Masks,16232,2020-04-30,5000.00,Normal Procument process,Kaizen Primary Co-op,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,21,Joe Gqabi District Office,Face Shields,16337,2020-05-28,11970.00,Normal Procument process,Visor,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,21,Joe Gqabi District Office,Gloves,16348,2020-05-29,4500.00,Normal Procument process,Evergreen Latex,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,21,Joe Gqabi District Office,Sanitizers,16339,2020-05-28,37260.00,Normal Procument process,Promed,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,21,Joe Gqabi District Office,Sanitizers bottles,16390,2020-06-15,3813.00,Normal Procument process,Geemabie,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,21,Joe Gqabi District Office,Cloth masks,16344,2020-05-28,1500.00,Normal Procument process,Beladin Co-op,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,22,Chris Hani District Office,Hand Sanitzers,16187,2020-03-19,2000.00,Normal Procument process,Gold Apple,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,23,Chris Hani District Office,Surgical Masks,16216,2020-04-17,25990.00,Normal Procument process,24/7 Services,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,24,Chris Hani District Office,Cloth Masks,16234,2020-05-05,11900.00,Normal Procument process,Imvelo Sewing Co-op,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,24,Chris Hani District Office,Thula Senze,16308,2020-05-15,29525.97,Normal Procument process,Thula Senze,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,24,Chris Hani District Office,Dest screens,16329,2020-05-25,118415.00,Normal Procument process,Max Sports Agencies,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,24,Chris Hani District Office,Hand Sanitzers,16327,2020-05-25,71999.20,Normal Procument process,promed,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,25,Alfred Nzo District Office,Hand Sanitzers,16186,2020-03-18,1998.00,Normal Procument process,K2012012150 South Africa,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,25,Alfred Nzo District Office,Desk Shield Screens,16438,2020-07-10,17001.20,Normal Procument process,Singabathwa Trading,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,25,Alfred Nzo District Office,Sanitisers,16438,2020-07-10,6999.70,Normal Procument process,Singabathwa Trading,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Alfred Nzo District Office,Cloth Masks,16235,2020-05-02,8400.00,Normal Procument process,Sinozinto Multi Purpose Co-Op,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Alfred Nzo District Office,Faceshield,16323,2020-05-20,15587.00,Normal Procument process,J and S Tool,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Alfred Nzo District Office,Gloves,16240,2020-05-08,2700.00,Normal Procument process,Sam Sam,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Alfred Nzo District Office,Cloth Masks,16332,2020-05-26,12760.00,Normal Procument process,Phumaphambili,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Alfred Nzo District Office,BP Monitors,16380,2020-06-05,25890.00,Normal Procument process,Siyive Trading,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Amathole District,Hand Sanitzers,16205,2020-03-23,1998.00,Normal Procument process,Iviama Trading,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Amathole District,Facial Shield Masks (40),16219,2020-04-19,1739.13,Normal Procument process,Regent Corporate Administrators 65 CC,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Amathole District,Cloth Masks and Gloves,16233,2020-05-04,135780.00,Normal Procument process,Afriwaste Group,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Amathole District,Desk Screens,16426,2020-07-08,100000.00,Normal Procument process,Kuboni Business Solutions,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Amathole District,Microfiber cleaning cloth,16426,2020-07-08,135200.00,Normal Procument process,Kuboni Business Solutions,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Amathole District,Gloves,16426,2020-07-08,12000.00,Normal Procument process,Kuboni Business Solutions,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Amathole District,Sanitisers,16426,2020-07-08,10374.00,Normal Procument process,Kuboni Business Solutions,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Amathole District,Desk Screens,16359,2020-06-02,348865.00,Normal Procument process,Willmake it 18,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Amathole District,Sanitisers,16363,2020-06-03,298180.00,Normal Procument process,Iviama,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,Amathole District,Cloth Masks,16351,2020-06-01,9775.00,Normal Procument process,Zatho dox,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,OR Tambo District,Cloth Masks (100),16238,2020-05-06,2000.00,Normal Procument process,Cador Multi purpose Co-op,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,OR Tambo District,Desk screens,16258,2020-06-02,108050.00,Normal Procument process,Kwakwasa,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,OR Tambo District,Cloth Masks,16320,2020-05-20,10800.00,Normal Procument process,Phumaphambili,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,OR Tambo District,Hand sanitisers,16321,2020-05-20,12966.25,Normal Procument process,Alenco Medical,Goods Delivered
South African Social Security Agency (SASSA),Eastern Cape,26,OR Tambo District,Hand sanitisers,16437,2020-07-09,22632.00,Normal Procument process,Alenco Medical,Goods Delivered
