MANAGEMENT AREA,ITEM DESCRIPTION,NAME OF SUPPLIER,COMPANY REGISTRATION NO,"PROCUREMENT PROCESS FOLLOWED
('TRANSVERSAL CONTRACT NO/SUPPLIER
IDENTIFIED BY TREASURY/DEVIATION/
PROCUREMENT METHOD)",UNIT OF MEASURE,ORDER NUMBER,ORDER DATE,ORDER QUANTITY,UNIT PRICE,ORDER VALUE
Durban,Flow Meter double flow with ball & tube,Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,10,"R1,079.80","R                           10,798.00"
Durban,Stethoscope,Selective Decisions,2001/066559/23,RT 4-2017,each,"F-431745 (DB-
014011)",3/24/2020,50,R27.07,"R                             1,353.50"
Durban,Stethoscope,Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,15,R455.00,"R                             6,825.00"
Durban,Nebulizer,Class Three Medical Solutions,2017/535986/07,RT 2-1-2016,each,"F-431750 (DB-
014031)",3/27/2020,10,"R5,184.20","R                           51,842.00"
Durban,Over shoe non woven (single use),Umusa Kami Supplies,2019/443164/07,Quotation,each,"F-431423 (DB-
014013)",4/3/2020,900 x 100's,R0.77,"R                             6,935.00"
Durban,Head Covers (single use),Umusa Kami Supplies,2019/443164/07,Quotation,each,"F-431423 (DB-
014013)",4/3/2020,900 x 100's,R0.74,"R                             6,659.00"
Durban,Laringoscope,Unicore Holdings,2011/000574/07,RT 4-2017,each,"F-431746 (DB-
013983)",3/24/2020,10,"R1,576.86","R                           15,768.60"
Durban,Flu Vaccine,Kahma Biotech,1997/014365/07,RT 285-2019,vial,"F-431733 (DB-
014035)",3/21/2020,3450,R39.93,"R                         137,758.50"
Durban,Full face shield   (Visors),Flawless Enterprise,2015/431254/07,Quotation,each,"F-431426 (DB-
014012)",4/8/2020,1000,R95.00,"R                           95,000.00"
Durban,Water boot (gumboots),BBF Safety Group,2014/095914/07,RT 59-2019,pair,"F-431734 (DB-
014028 & DB-
014029)",3/21/2020,646,R152.00,"R                           98,192.00"
Durban,"Bed, Hospital, Two Section",Hospi-Furn,2009/003345/07,RT 24-2016,each,"F-431738 (DB-
014030)",3/22/2020,28,"R8,165.79","R                         228,642.12"
Durban,Flow Meter Oxygen Single,East Coast Medical,2011/043248/23,RT 2-2016,each,DB-013980,3/22/2020,20,R575.74,"R                           13,514.80"
Durban,"Bottle, medicine, with pump, 500ml",Medi-Core Technologies,2013/198711/07,RT 298-2018,each,"F-431747 (DB-
014024)",3/25/2020,1000,R7.52,"R                             7,520.00"
Durban,Service : Sanitize all areas in Durban,Total Pest Management Services,2004/027335/23,Quotation,service,"F-431730 (DB-
013970)",3/20/2020,"1 service for 5
consecutive days","R290,000.00","R                         290,000.00"
Durban,"Hand Soap, Dettol, 200ml",Siyabonga Marketing Solutions,2016/456730/07,Quotation,each,"F-431419 (DB-
014010)",4/1/2020,530,R55.00,"R                           29,150.00"
Durban,"Sprayer, 16L Plastic Knapsack (to spray vehicles, cells,
etc.)",Total Pest Management Services,2004/027335/23,Quotation,each,"F-431430 (DB-
014036)",4/13/2020,10,"R1,200.00","R                           12,000.00"
Durban,Biocide D (sachets for the sprayer's),Total Pest Management Services,2004/027335/23,Quotation,sachets,"F-431430 (DB-
014036)",4/13/2020,3000,R5.50,"R                           16,500.00"
Durban,M/S Pest Control (decontimination),Total Pest Management Services,2004/027335/23,Quotation,service,DB-014162,6/8/2020,1,"R24,000.00","R                           24,000.00"
,Full face shield   (Visors),Unitrade 1032,1998/002665/23,Quotation,each,DB-014355,7/27/2020,1000,R18.00,"R                           18,000.00"
,Gown Isollation COVID037,Terata Supplies,2017/469259/07,Quotation,each,DB-014394,7/29/2020,750,R57.00,"R                           42,750.00"
,Coverall Protective Bodysuit Disposable XX-Large,Promed Technologies,2014/162486/07,RT 32-2019,each,DB-014349,7/20/2020,500,17.35,"R                             8,675.00"
,"Draw Sheets, Disposable, white regtangular",Promed Technologies,2014/162486/07,RT 32-2019,each,DB-014349,7/20/2020,1000,2.62,"R                             2,620.00"
,"Sleeve, Protector, single use, arm sleeve cover",Medi-Core Technologies,2013/198711/07,RT 32-2019,each,DB-014346,7/20/2020,2000,0.25,R                                500.00
,Mask Surgical Type 1,Chemical World,2019/253242/07,RT 32-2019,each,DB-014357,7/29/2020,200,19.26,"R                             3,852.00"
Empangeni,Surgical masks,BPK LEGACY PTY LTD,2019/471742/07,NON CONTRACT,EACH,AC-404592,6/4/2020,10000,23,"R                  230,000.00"
Empangeni,Surgical masks,CHEMICAL WORLD,2019/253242/07,RT32-2019,BOX,AC-404567,19-03-2020,200,14.95,"R                             2,290.00"
Glencoe,N95 masks,THREE MED SOLUTTION,2017/535986/07,NON CONTRACT,BOX,AC-404589,2/4/2020,66,2233.88,"R                         147,436.00"
Glencoe,N95 masks,LIORA MEDICAL SUPPLIES,2011/013434/23,TR32-2019,BOX,AC-404566,19-03-2020,700,160.5,"R                         112,350.00"
Glencoe,Disposable Gown,BPK LEGACY PTY LTD,2019/471742/09,NON CONTRACT,EACH,AC-404594,7/4/2020,200,250,"R                           50,000.00"
Glencoe,Full face shield (Protective goggles ),BPK LEGACY PTY LTD,2019/471742/09,NON CONTRACT,EACH,AC-404594,7/4/2020,100,250,"R                           25,000.00"
Glencoe,Gloves,Flawless Enterprise,2015/143125/07,NON CONTRACT,each,AC-404588,4/2/2020,65250,1.54,"R                         100,875.00"
Glencoe,Non Sterile Golves,PROMED TECHNOLOGIES,2014/16248/07,RT76-2020,BOX,AC-404562,3/19/2020,250,46,"R                           15,650.00"
Glencoe,Gloves latex disposable large,EVERGREEN LATEX CC,2002/057771/23,RT76-2020,BOX,AC-404563,3/19/2020,400,78,"R                           48,700.00"
Glencoe,Temperature Scanner,Drop Dot PTY,2013/001934/07,NON CONTRACT,Each,AC-404595,4/15/2020,30,2300,"R                           69,000.00"
Glencoe,Alcohol based hand sanitiser 5lt,MASETHEMBE TRADING,2012/173413/07,NON CONTRACT MAAA0140020,5LT,AC-404575,3/24/2020,400,550,"R                         220,000.00"
Glencoe,Alcohol based hand sanitiser 500ml,MASETHEMBE TRADING,2012/173413/07,NON CONTRACT MAAA0140020,500ML,AC-404575,3/24/2020,150,150,"R                           23,850.00"
Glencoe,Alcohol based hand sanitiser 500ml,BAARS PHARMACEUTICALS,2012/056577/07,RT300-2017,500ML,AC-404561,3/19/2020,15000,14.01,"R                         210,150.00"
Glencoe,Sanitation Service to Maphumulo correctional centre,ZULULAND PEST CONTROL,1988/010133/23,NON CONTRACT,ONCE OFF SERVICE,AC-404590,1/4/2020,ONCE OFF SERVICE,12995,"R                           12,995.00"
Glencoe,Sanitation Service to Management area,ZULULAND PEST CONTROL,1988/010133/23,,ONCE OFF SERVICE,AC-404579,24-03-2020,ONCE OFF SERVICE,89585,"R                           89,585.00"
Glencoe,Surgical scrub 500ml,BAARS PHARMACEUTICALS,2012/056577/07,RT300-2017,500ML,AC-404561,19-03-2020,15000,21.15,"R                         317,250.00"
Glencoe,Paper towels,PROMED TECHNOLOGIES,2014/16248/07,RT14-2019,PKT,AC-404564,3/19/2020,5000,10.5,"R                           52,500.00"
Glencoe,Spray Bottles/Pressure sprayer (5 liters),ZULULAND PEST CONTROL,1988/010133/23,NON CONTRACT,EACH,AC-404596,16/4/2020,30,280,"R                             8,400.00"
Glencoe,Surgical masks,HYCHEM PTY LTD,2012/045088/07,NON CONTRACT,EACH,AC-404598,17/4/2020,15000,16.1,"R                         241,500.00"
Glencoe,Surgical masks,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,20000,12.48,"R                         249,600.00"
Glencoe,Apron plastics,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,5000,1.7,"R                             8,500.00"
Kokstad,Eye protection,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,300,149,"R                           44,700.00"
Kokstad,Visor,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,300,75,"R                           22,500.00"
Kokstad,Gowns isolation/Surgical gowns,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,3000,87.83,"R                         263,500.00"
Kokstad,Boot covers,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,1000,1.3,"R                             1,300.00"
Kokstad,Sanitizer and disinfected 25l,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,100,1635,"R                         163,545.00"
Kokstad,Bionazard bags and body bags,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,1530,7.098,"R                           10,860.00"
Kokstad,Spray bottles 500ml,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,20,24.3,R                                486.00
Kokstad,"Surgical gloves size 7.5,8,8.5,9",IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,6000,2.76,"R                           16,560.00"
Kokstad,"Examation gloves M,L,XL",IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,15000,2.78,"R                           41,700.00"
Kokstad,"Overalls size M,L,XL and XXL",IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/4/2020,800,300.11,"R                         240,088.00"
,Secured hands free dispenser sanitiser,CHERMA SALES AND MARK,2007/242717/23,NON CONTRACT,EACH,AC-404753,15/5/2020,65,2000,"R                         130,000.00"
,Secured hands free dipenser hand wash soap,CHERMA SALES AND MARK,2007/242717/23,NON CONTRACT,EACH,AC-404753,15/5/2020,42,2000,"R                           84,000.00"
,Batteries,CHERMA SALES AND MARK,2007/242717/23,NON CONTRACT,EACH,AC-404753,15/5/2020,300,15,"R                             4,500.00"
Empangeni,Sanitiser hands refill,CHERMA SALES AND MARK,2007/242717/23,NON CONTRACT,EACH,AC-404753,15/5/2020,400,60,"R                           24,000.00"
Empangeni,Hand soap refill,CHERMA SALES AND MARK,2007/242717/23,NON CONTRACT,EACH,AC-404753,15/5/2020,300,20,"R                             6,000.00"
Empangeni,First Aid Kit,MR FIRST AID,1990/007637/07,RT24-13-001,EACH,AC-404755,21/5/2020,19,471.55,"R                             8,959.45"
Empangeni,Transfer Board,DELTA SURGICAL PTY LTD,2008/023602/07,RT24-09-001,EACH,AC-404759,22/5/2020,18,5460.65,"R                           98,291.70"
EMPANGENI,Pressure Relief Matresses,"ARJO HUNTLEIGH SOUTH AFRICA
PTY LTD",2001/016670/07,RT24-02-23,EACH,AC-404758,22/5/2020,5,6353.17,"R                           31,765.85"
Empangeni,Stadio Meter,DELTA SURGICAL SA,2008/023602/07,RT24-08-009,EACH,AC-404757,21/5/2020,19,1279.23,"R                           24,305.37"
Empangeni,Matress Cover Bed,"HOSPITAL EQUIPMENT
MANUFACTURERS PTY LTD",2000/000651/07,RT24-02-15,EACH,AC-404756,21/5/2020,103,563.12,"R                           58,001.36"
Empangeni,Emergency Trolley,SIYAKHANDA MEDICAL SERVICES,2001/001606/07,RT24-12-001,EACH,AC-404765,22/5/2020,9,20431.22,"R                         183,880.98"
Empangeni,Over bed table,HOSPI-FURN PTY LTD,2009/003345/07,RT24-07-004,EACH,AC-404764,22/5/2020,103,2205.17,"R                         227,132.51"
Empangeni,Hospital bed,HOSPI-FURN PTY LTD,2009/003345/07,RT24-02-005,EACH,AC-404764,22/5/2020,103,14346.49,"R                     1,477,688.47"
Empangeni,Dresing trolley,NEW HORIZON METALS CC,2000/007991/23,RT24-12-009,EACH,AC-404763,22/5/2020,14,1183.57,"R                           16,569.98"
Empangeni,Screen mobile 4 fold,"HOSPITAL EQUIP MANUFACTURES
PTY LTD",2000/000651/07,RT24-11-009,EACH,AC-404762,22/5/2020,20,2772.24,"R                           55,444.80"
Empangeni,Decontamination services Qalakabusha,ZULULAND PEST CONTROL,1988/010133/23,NON CONTRACT,ONCE OFF SERVICE,AC-404780,12/6/2020,ONCE OFF SERVICE,39905,"R                           39,905.00"
Empangeni,"Decontamination services Adm &Qalakabusha holding
cells",BIDVEST STEINER,2000/011155/07,NON-CONTRACT,ONCE OFF SERVICE,AC-404787,23/6/2020,ONCE OFF SERVICE,22356,"R                           22,356.00"
Empangeni,Decontamination services at 16A unit Qalakabusha,BIDVEST STEINER,2000/011155/07,NO-CONTRACT,ONCE OFF SERVICE,AC-404801,2/7/2020,ONCE OFF SERVICE,22356,"R                           22,356.00"
Empangeni,Biocide D surface sanitizer,CHERMA SALES AND MARK,2007/242717/23,NON-CONTRACT,LR,AC-404802,2/7/2020,200,320,"R                           64,000.00"
Empangeni,Hand sanitizing liquid,CHERMA SALES AND MARK,2007/242717/23,NON-CONTRACT,LR,AC-404802,2/7/2020,63,950,"R                           59,850.00"
Empangeni,Decontamination services Qalakabusha & Meduim,BIDVEST STEINER,2000/011155/07,NON CONTRACT,ONCE OFF SERVICE,AC-404791,24/6/2020,ONCE OFF SERVICE,18274.5,"R                           18,274.50"
Empangeni,Goggles,ZAKHAYA FITNESS,2019/090382/07,NON-CONTRACT,EACH,AC-404808,7/7/2020,1000,45,"R                           45,000.00"
Empangeni,Face shield,ZAKHAYA FITNESS,2019/090382/07,NON-CONTRACT,EACH,AC-404808,7/7/2020,1300,25,"R                           32,500.00"
Empangeni,"Decontamination services Empangeni Community
Corrections",ZULULAND PEST CONTROL,1988/010133/23,NON-CONTRACT,ONCE OFF SERVICE,AC-404804,4/7/2020,ONCE OFF SERVICE,1092.5,"R                             1,092.50"
Empangeni,N95 masks,PHUNGULA 16 TRADING,2016/321200/07,NON-CONTRACT,EACH,AC-404810,8/7/2020,3000,17.48,"R                           52,440.00"
Empangeni,Disposable gown,ZAKHAYA FITNESS,2019/090382/07,NON-CONTRACT,EACH,AC-404809,8/7/2020,2200,56,"R                         123,200.00"
Empangeni,Coveralls large and X-large,ZAKHAYA FITNESS,2019/090382/07,NON-CONTRACT,EACH,AC-404814,8/7/2020,2000,60,"R                         120,000.00"
Empangeni,Surgical mask,NYALA PARK INN CC,2009/015426/23,NON-CONTRACT,EACH,AC-404811,8/7/2020,13000,8.9,"R                         115,700.00"
Empangeni,Body bags,CHERMA SALES AND MARK,2007/242717/23,NON-CONTRACT,EACH,AC-404813,8/7/2020,2000,150,"R                         150,000.00"
Empangeni,Strait Aprons with bib,CHERMA SALES AND MARK,2007/242717/23,NON-CONTRACT,EACH,AC-404813,8/7/2020,20000,1,"R                           20,000.00"
Empangeni,Heavy duty gloves,BPK LEGACY PTY LTD,2019/471742/07,NON-CONTRACT,EACH,AC-404815,8/7/2020,3000,2,"R                             6,000.00"
Empangeni,Face cloth mask 3 layers,OB SKWARED,2016/315042/07,NON CONTRACT,EACH,AC-404766,22/5/2020,1500,19,"R                           28,500.00"
Kokstad,,,,,,,,,,
Kokstad,GLENCOE MANAGEMENT AREA,,,,,,,,,
Kokstad,Surgical masks,Chemical World CC,2019/253242/07,Transversal Contract,BOXES,G-557822,2020:03:20,100,R 14.95,"R                             1,495.00"
Kokstad,Surgical masks,Medi-Core Technologies,2013/198711/07,Transversal Contract,BOXES,G-557 831,2020:03:23,80,R 345.00,"R                           27,600.00"
Kokstad,Surgical masks,MIP ISMAILS TRADING,2014/195150/07,Deviation,EACH,G-709248,2020:04:20,1400,R 15.00,"R                           21,000.00"
Kokstad,Surgical masks,Kwathuthuko Trading Enterprise,2015/219579/07,Deviation,EACH,G-557 848,2020:04:21,10000,R 15.00,"R                         150,000.00"
Kokstad,Disposable aprons,Central Medical,1995/003785/07,Transversal Contract,EACH,G-557 821,2020:03:20,6000,R 0.32,"R                             1,920.00"
Kokstad,,Medi-Core Technologies,2013/198711/07,Transversal Contract,Packet,G-557 831,2020:03:23,50,R 45.00,"R                             2,250.00"
Kokstad,Gloves latex disposable large,MZR Trading,2017/526848/07,Deviation,EACH,G-557 827,2020:03:20,4000,R350 per 50's,"R                           28,000.00"
Kokstad,Alcohol based hand sanitiser,FB BEE ENTERPRISE,2018/444951/07,Deviation,LITRE,G-557 828,2020:03:20,300,R2400 per 25L,"R                           28,800.00"
Kokstad,,JH Chemicals,2015/310741/07,Deviation,LITRE,G-557 833,2020:03:26,700,R1035 per 25L,"R                           28,980.00"
Kokstad,,JH Chemicals,2015/310741/07,Deviation,LITRE,G-0709 242,2020:04:06,500,R1495 per 25L,"R                           29,900.00"
Kokstad,Rubber boots (Gumboots),BBF Safety Group,2014/095914/07,Transversal Contract,PAIR,G-557826,2020:03:20,182,R 164.35,"R                           29,911.70"
Kokstad,Gloves examination Type 1 - Large,Promed Technologies,2014/162486/07,Transversal Contract,BOX,G557 823,2020:03:20,400,R 46.00,"R                           18,400.00"
Kokstad,Mask Face -Aseptic Dust/Mist Respirator,Safarmex,CANCELLED,Transversal Contract,BOX,G-557 819,2020:03:20,500,R 119.73,"R                           59,865.00"
Kokstad,GLOVES Sterile Type 2 - Large,Evergreen Latex,CANCELLED,Transversal Contract,BOX,G-557 824,2020:03:20,50,R 92.00,"R                             4,600.00"
Kokstad,DETTOL,MZR Trading,2017/526848/07,Deviation,LITRE,G-557 829,2020:03:20,500,85.00 per 2L,"R                           21,250.00"
Kokstad,Protex anti bacterial,MZR Trading,2017/526848/07,Deviation,each,G-557 830,2021:03:20,200,R 12.50,"R                             2,500.00"
Kokstad,"Disinfecting Correctional Centre's and Community
Corrections office's",Professional Pest Control,2007/181557/23,Deviation,each,G-557 830,2020:03:23,1,"R 29,900.00","R                           29,900.00"
Kokstad,Wall Mounted Soap dispensers,Bidvest Steiner Newcastle,,Deviation,each,G-709241,2020:04:02,30,R 559.13,"R                           16,773.90"
Kokstad,PVC Face visor,Hychem (Pty) Ltd,2012/045088/07,Deviation,Each,G-709245,2020.04.15,2000,R 12.93,"R                           25,875.00"
,PVC Face visor Black Head Band,Hychem (Pty) Ltd,2012/045088/07,Deviation,Each,GN-013311,2020.07.06,500,R 60.00,"R                           29,997.75"
,Cap Cover,Imperial Body Works,2002/004067/23,Deviation,EACH,GN-013385,2020.07.09,100,R 110.00,"R                           11,000.00"
,Sleeve Protections,Imperial Body Works,2002/004067/23,Deviation,EACH,GN-013385,2020.07.09,100,R 110.00,"R                           11,000.00"
,Coverall Bodysuits,Imperial Body Works,2002/004067/23,Deviation,EACH,GN-013385,2020.07.09,1000,R 100.00,"R                         100,000.00"
,Face Shield Premium Tough Visor,MIP ISMAILS TRADING,2014/195150/07,Deviation,EACH,GN-013386,2020.07.09,100,R 200.00,"R                           20,000.00"
,Gown Surgical,MIP ISMAILS TRADING,2014/195150/07,Deviation,EACH,GN-013386,2020.07.09,1000,R 90.00,"R                           90,000.00"
,Shoe Covers,Kenli Trading and Projects,2014/106775/07,Deviation,EACH,GN-013387,2020.07.09,100,R 145.00,"R                           14,500.00"
,Biocide-Detergent,inspect-a-Pest,2007/009937/23,Deviation,LITRE,GN-013305,2020.06.08,500,R 39.10,"R                           19,550.00"
,,Hychem (Pty) Ltd,2012/045088/07,Deviation,LITRE,AC-085666,2020.07.09,2500,R 17.25,"R                           43,125.00"
,Receiver Large/Medium,Tigijimi Trading and Projects,2017/232679/07,Deviation,EACH,AC-085651,2020.05.22,16,R 348.82,"R                             5,581.12"
,Needles Holder Long,Tigijimi Trading and Projects,2017/232679/07,Deviation,EACH,AC-085651,2020.05.22,16,R 163.00,"R                             2,608.00"
,Discecting Forceps,Tigijimi Trading and Projects,2017/232679/07,Deviation,EACH,AC-085651,2020.05.22,16,R 250.35,"R                             4,005.60"
,Suction Machine,Tigijimi Trading and Projects,2017/232679/07,Deviation,EACH,AC-085652,2020.05.22,2,"R 4,961.30","R                             9,922.60"
,Strechers,Tigijimi Trading and Projects,2017/232679/07,Deviation,EACH,AC-085652,2020.05.22,8,"R 1,404.50","R                           11,236.00"
,Hand Sanitizer,BARRS PHARMACEUTICALS INDUSTR,E2S012/056577/07,Transversal Contract,eACH,GN-013244,2020.03.19,2000,R 15.79,"R                           31,580.00"
,Sanitizer Detergent Bio-Cide,Hychem (Pty) Ltd,2012/045088/07,Deviation,LITRE,GN-013425,2020.07.17,2500,R 17.25,"R                           43,125.00"
,Decontamination of Estcourt room 28,Professional Pest Control,2007/181557/23,Deviation,EACH,GN-013441,2020.07.28,1,"R 1,500.00","R                             1,500.00"
,Decontamination of NKR Reception Office,Professional Pest Control,2007/181557/23,Deviation,EACH,GN-013441,2020.07.28,1,"R 1,500.00","R                             1,500.00"
,Decontamination of NKR Reception Office,Professional Pest Control,2007/181557/23,Deviation,EACH,GN-013441,2020.07.28,1,"R 1,500.00","R                             1,500.00"
,"Decontamination of Glencoe School/Reception/Dundee
Office",Professional Pest Control,2007/181557/23,Deviation,EACH,GN-013441,2020.07.28,1,"R 7,150.00","R                             7,150.00"
,Acu-Check Glucometer kit,Sanibonani Holdings,2004/000822/07,Deviation,EACH,AC-085653,2020.05.22,16,R 390.00,"R                             6,240.00"
,Cuff and Bladder Adult,Sanibonani Holdings,2004/000822/07,Deviation,EACH,AC-085653,2020.05.22,16,R 43.45,R                                695.20
Kokstad,,,,,,,,,,
Kokstad,KOKSTAD MANAGEMENT AREA,,,,,,,,,
Kokstad,Surgical masks disposable,CLASS THREE MEDICAL SOLUTION,2017/535986/07,QUOTATIONS,PK,AI-663624,4/1/2020,6650,R 63.83,"R                         182,666.00"
,Scrub Suits,"Logan Medical and Surgical (PTY)
LTD",2012/056508/07,RT2,EACH,AH-100921,3/19/2020,200,R17.33,"R                             3,466.00"
