No,Office,Description,Order Number,Order Date,Value,Procurement Strategy,Awarded To,Comments
26,Alfred Nzo District Office,Faceshield,16323,20-05-2020,"15,587.00",Normal Procument process,J and S Tool,Goods Delivered
26,Alfred Nzo District Office,Gloves,16240,08-05-2020,"2,700.00",Normal Procument process,Sam Sam,Goods Delivered
26,Alfred Nzo District Office,Cloth Masks,16332,26-05-2020,"12,760.00",Normal Procument process,Phumaphambili,Goods Delivered
26,Alfred Nzo District Office,BP Monitors,16380,05-06-2020,"25,890.00",Normal Procument process,Siyive Trading,Goods Delivered
26,Amathole District,Hand Sanitzers,16205,23-03-2020,"1,998.00",Normal Procument process,Iviama Trading,Goods Delivered
26,Amathole District,Facial Shield Masks (40),16219,19-04-2020,"1,739.13",Normal Procument process,Regent Corporate Administrators 65 CC,Goods Delivered
26,Amathole District,Cloth Masks and Gloves,16233,04-05-2020,"135,780.00",Normal Procument process,Afriwaste Group,Goods Delivered
26,Amathole District,Desk Screens,16426,08-07-2020,"100,000.00",Normal Procument process,Kuboni Business Solutions,Goods Delivered
26,Amathole District,Microfiber cleaning cloth,16426,08-07-2020,"135,200.00",Normal Procument process,Kuboni Business Solutions,Goods Delivered
26,Amathole District,Gloves,16426,08-07-2020,"12,000.00",Normal Procument process,Kuboni Business Solutions,Goods Delivered
26,Amathole District,Sanitisers,16426,08-07-2020,"10,374.00",Normal Procument process,Kuboni Business Solutions,Goods Delivered
26,Amathole District,Desk Screens,16359,02-06-2020,"348,865.00",Normal Procument process,Willmake it 18,Goods Delivered
26,Amathole District,Sanitisers,16363,03-06-2020,"298,180.00",Normal Procument process,Iviama,Goods Delivered
26,Amathole District,Cloth Masks,16351,01-06-2020,"9,775.00",Normal Procument process,Zatho dox,Goods Delivered
26,OR Tambo District,Cloth Masks (100),16238,06/05/2020,"2,000.00",Normal Procument process,Cador Multi purpose Co-op,Goods Delivered
26,OR Tambo District,Desk screens,16258,02/06/2020,"108,050.00",Normal Procument process,Kwakwasa,Goods Delivered
26,OR Tambo District,Cloth Masks,16320,20-05-2020,"10,800.00",Normal Procument process,Phumaphambili,Goods Delivered
26,OR Tambo District,Hand sanitisers,16321,20-05-2020,"12,966.25",Normal Procument process,Alenco Medical,Goods Delivered
26,OR Tambo District,Hand sanitisers,16437,09-07-2020,"22,632.00",Normal Procument process,Alenco Medical,Goods Delivered
