GAUTENG REGION,,,,,,,,,,,
Gloves Disp.,Blue Magnolia Trading,"2004/040087/23
2004/040087/23
2004/040087/23
2017/324146/07
2017/324146/07
2013/104462/07",QA-003494,JB-013306,08 May 2020,12,R 119.5000,"R                             1,434.00",,,
thermometer,Blue Magnolia Trading,QA-003494,JB-013306,08 May 2020,2,"R 2,900.0000","R                            5,800.00",,,,
disinfectant sanitiser,Blue Magnolia Trading,QA-003494,JB-013306,08 May 2020,20,R 49.0000,R                                980.00,,,,
decontamination,Cliffmixwell,QA-003539,JB-013601,23 June 2020,1,R 913.1000,R                                913.10,,,,
decontamination,Cliffmixwell,QA-003538,JB-013595,23 June 2020,1,"R 2,024.0000","R                            2,024.00",,,,
Sanitizer covid 19,Isaico General Dealers,QA-003488,JB-013289,06 May 2020,150,R 140.0000,"R                          21,000.00",,,,
disinfectant,Alrtmary Projects and Trading,2014/279715/07,QA-003469, QJHB31/2020,JB-013260,17 April 2020,18000,R 27.2900,"R                        4 91,220.00",,
Mask Medical,Mercury Projects,2014/025452/07,QA-003482,JB-013285,30 April 2020,1000,R 28.0000,"R                          28,000.00",,,
Thermometer,mothomong trading,2007/138176/23,QA-003486,JB-013290,06 May 2020,11,"R 1,982.6200","R                          21,792.82",,,
mask medical,cognitive medical supplies,2018/633427/07,QA-003499, QJHB42/2020,JB-013321,13 May 2020,40000,R 8.5140,"R                        3 40,560.00",,
Gloves Disp.,Elegant Line Trading,2006/203644/23,QA-003489,JB-013297,08 May 2020,90,R 190.0000,"R                          17,100.00",,,
Gloves Disp.,Elegant Line Trading,2006/203644/23,QA-003489,JB-013297,08 May 2020,30,R 190.0000,"R                            5,700.00",,,
Gloves Disp.,Elegant Line Trading,2006/203644/23,QA-003489,Jb-013297,08 May 2020,30,R 190.0000,"R                             5,700.00",,,
Mask Medical,Imvelo Yabantu,2019/615370/07,QA-003480, QJHB37/2020,Jb-013282,30 April 2020,10000,R 28.5000,"R                        2 85,000.00",,
Mask Medical,Mercury Projects,2014/025452/07,QA-003484,jb-013287,30 April 2020,1000,R 28.0000,"R                          28,000.00",,,
Bleach Laundry,sathekxe Projects,2016/196073/07,QA-003479, QJHB25/2020,jb-013283,30 April 2020,6000,R 23.8900,"R                        1 43,340.00",,
biocide,sathekxe Projects,2016/196073/07,QA-003479, QJHB25/2020,jb-013283,30 April 2020,5000,R 3.4000,"R                          17,000.00",,
Sanitizer covid 19,sathekxe Projects,2016/196073/07,QA-003479, QJHB25/2020,jb-013283,03 April 2020,6000,R 24.8000,"R                        1 48,800.00",,
Gloves Disp.,promed technologies,2014/162486/07,RT76, 47132203-00020,jb-013388,25 May 2020,200,R 46.0000,"R                            9,200.00",,
Gloves Disp.,promed technologies,2014/162486/07,RT76, 42132203-00021,jb-013388,25 May 2020,200,R 46.0000,"R                             9,200.00",,
Gloves Disp.,promed technologies,2014/162486/07,RT76, 42132203-00019,jb-013388,25 May 2020,200,R 46.0000,"R                             9,200.00",,
Gloves Disp.,mudzi holdings,2017/503960/07,QA-003481, QJHB39/2020,jb-013284,30 April 2020,1400,R 184.0000,"R                        2 57,600.00",,
disinfectant sanitiser,lilarei projects,2015/117818/07,QA-003483, QJHB30/2020,jb-013286,30 April 2020,1500,R 330.0000,"R                        4 95,000.00",,
mask,MUKHONA ENTERPRISE,2016/116341/07,QA-003485,jb-013288,30 April 2020,2500,R 11.9900,"R                          29,975.00",,,
decontamination,MAANDA-NES INVESTMENTS,2014/098098/07,QA-003510,jb-013461,08 June 2020,1,"R 139,460.0000","R                        1 39,460.00",,,
Paper towel,"PROMED TECHNOLOGIES2014/162486/07
CLIFFMIXWELL2017/324146/07",2014/162486/07,RT14, 14111703-00003,jb-013412,09 June 2020,250,R 10.5000,"R                             2,625.00",,
decontamination,QA-003542,jb-013607,29 July 2020,1,"R 4,889.8000","R                            4,889.80",,,,,
Solution Chlorhexidine,Bars Pharmaceuticals industries,2012/056577/07,RT300, 51284804-00002,jb-013385,25 May 2020,1000,R 8.6640,"R                            8,663.99",,
Thermometer,Shaded Tree,2013/016610/07,QA-003487,jb-013291,03 June 2020,10,"R 2,875.0000","R                          28,750.00",,,
,,,,,,,,,,,
,,,,,,,,"R                     2,912,135.21",,,
,,,,,,,,,,,
ITEM DESCRIPTION,Name of Supplier,COMPANY REGISTRATION NO,"RT Contract/Quotation
Number",Order No.,Order Date,"Ordered
Quantity",Price Per Unit,Total Price,,,
"PROMED TECHNOLOGIES2014/162486/07
CLIFFMIXWELL2017/324146/07",2014/162486/07,,,,,,,,,,
Gloves Cleaning Heavy duty (each),EVERGREEN LATEX,2002/057771/23,RT76,PP-008627,20200316,1160,R              7 8.00,"R                          90,480.00",,,
Gloves surgical  (each),PROMED,2014/162486/07,RT76,PP-008656,20200319,80000,R                0.78,"R                          62,400.00",,,
Gloves surgical  (each),EVERGREEN LATEX,2002/057771/23,RT76,"PP-005658
PP-008659
PP-008660",20200319,80000,R                0.50,"R                          39,888.00",,,
Surgical Masks,Biologica Pharmaceuticals,2013/067392/07,RTCOVID19,V-887303,20200414,910,"R         1,332.50","R                     1,212,575.00",,,
Surgical Masks,Biologica Pharmaceuticals,2013/067392/07,RTCOVID19,V-887329,20200320,90,"R         1,332.50","R                        1 19,925.00",,,
Surgical Masks,Biologica Pharmaceuticals,2013/067392/07,RT296,V-887303,20200320,300,R              2 6.65,"R                             7,995.00",,,
Tongue depressor,EVERGREEN LATEX,2002/057771/23,RT32,PP-008638,20200318,10000,R                0.09,R                                868.00,,,
Infra-Red Electronic Thermometers.,MULTISURGE,2014/170364/07,RTCOVID19,V-887325,20200403,30,"R         2,300.00","R                          69,000.00",,,
Infra-Red Electronic Thermometers.,SANBONANI HOLDINGS,2004/000822/07,Quotation,V-887327,20200408,16,"R         1,500.00","R                          24,000.00",,,
Mask N95 (each),LIORA MEDICAL SUPPLIES,2011/013434/23,RT32,PP-008620,20200309,65100,R                5.35,"R                        3 48,285.00",,,
Brush Surgical Nail (Reusable),LOGAN MEDICAL,2012/056508/07,RT32,PP-008649,20200319,200,R                8.30,"R                            1,660.00",,,
Brush Surgical Nail,LOGAN MEDICAL,2012/056508/07,RT32,pp-008648,20200319,500,R                3.01,"R                             1,505.00",,,
Masks Surgical (each),CHEMICAL WORLD,2019/253242/07,RT32,PP-008641,20200318,30000,R                0.30,"R                             8,970.00",,,
Masks Surgical (each),TRIPPLE MED DISTRIBUTORS,2011/129850/07,RTCOVID19,V-887306,20200320,60000,R                0.26,"R                          15,600.00",,,
Masks Surgical (each),QUALITY MED SUPPLIES,2015/019742/07,RTCOVID19,V-887305,20200320,40000,R                0.21,"R                            8,280.00",,,
Sanitizer  Hand (Per litre),LECHOBA MED,2005/044442/07,RTCOVID19,V-887309,20200320,150,R            121.50,"R                          18,225.00",,,
Sanitizer  Hand (500ML),LOGAN MEDICAL,2012/056508/07,RTCOVID19,V-887313,20200320,100,R              9 2.00,"R                            9,200.00",,,
Sanitizer  Hand (Per litre),CITY MEDICAL,1993/018125/23,Quotation,PP-008589,20200324,25,R            139.80,"R                             3,495.00",,,
Surgical Scrub 500ml,Barrs,2012/056577/07,RT300,PP-008633,20200318,240,R              2 1.92,"R                             5,260.80",,,
PAPER TOWELS,PROMED TECH,2014/162486/07,RT14,PT-010133,20200320,10000,R              1 0.50,"R                        1 05,000.00",,,
PROTECTIVE GOGGLES,LECHOBA MED,2005/044442/07,RTCOVID19,V-887324,20200402,200,R              6 5.90,"R                          13,180.00",,,
Masks Surgical (each),IMPERIAL HEATH SIENCE,1993/003465/07,NDOH/NT,V-887331,4/20/2020,863750,R              1 2.48,"R                   10,779,600.00",,,
Gloves surgical sterile 9,IMPERIAL HEATH SIENCE,1993/003465/07,NDOH/NT,V-887331,4/20/2020,50000,R                2.76,"R                        1 38,000.00",,,
PROTECTIVE GOGGLES,LECHOBA MED,2005/044442/07,RTCOVID19,V-887328,20200414,800,R              6 5.90,"R                          52,720.00",,,
Gloves surgical sterile 9,IMPERIAL HEATH SIENCE,1993/003465/07,NDOH/NT,V-887331,4/20/2020,5000,R                2.76,"R                          13,800.00",,,
Coverall protective clothing bodysuit disp large,TRIPLE C MEDICAL SUPPLIES,2019/385058/07,Quotation,PP-008819,6/30/2020,100,R              8 5.55,"R                             8,555.00",,,
Coverall protective clothing bodysuit disp X-large,TRIPLE C MEDICAL SUPPLIES,2019/385058/07,Quotation,PP-008819,6/30/2020,150,R              8 5.55,"R                          12,832.50",,,
Decontamination,Mpholetins Projects,2014/147875/07,Quotations,PT-010411,7/28/2020,1,"R       13,924.55","R                          13,924.55",,,
Decontamination,Cetha Merchants,2017/033020/07,"Formal Price quoation
PTAQ14/2020",PT-010301,20200717,6,"R       79,255.95","R                        4 75,535.70",,,
Decontamination,Maanda_Nes Investment,2014/098098/07,Quotations,A-476928,7/3/2020,1,"R       12,443.21","R                          12,443.21",,,
,,,,,,,,"R                   13,673,202.76",,,
ITEM DESCRIPTION,Name of Supplier,COMPANY REGISTRATION NO,"RT Contract/Quotation
Number",Order No.,Order Date,"Ordered
Quantity",Price Per Unit,Total Price,,,
Alcohol based hand sanitiser 500 ml,Lechoba Medical Technologies,2005/044442/07,"NT Instruction No 8 of
2019/2020 Annexure A
RTCOVID19-008",AH-280568,3/23/2020,246,R              6 0.75,"R                          14,944.50",,,
Alcohol based hand sanitiser 500 ml,Tripple N Medical Distributors,2011/129850/07,"NT Instruction No 8 of
2019/2020 Annexure A
RTCOVID19-008",AH-280569,3/23/2020,177,R              8 4.33,"R                          14,926.41",,,
Alcohol based hand sanitiser 500 ml,Cleaning Specialist,2016/082258/07,Petty cash,N/A,3/18/2020,11,R            181.82,"R                            2,000.00",,,
Biocide D / Bleach,Lynx Chemicals,1988/018201/23,Quotation,AH-280574,3/25/2020,1250,R                5.40,"R                             6,750.00",,,
Coal Tar,Lynx Chemicals,1988/018201/23,Quotation,AH-280574,3/25/2020,750,R              1 2.60,"R                            9,450.00",,,
Decontamination,Pest Control Specialist,"8,307,305,153,083",Emergency Quotation,AH-280605,6/26/2020,1,"R       11,650.00","R                          11,650.00",,,
Decontamination,Pest Control Specialist,"8,307,305,153,083",Emergency Quotation,AH-280606,6/29/2020,1,"R       15,280.00","R                          15,280.00",,,
Decontamination,Pest Control Specialist,"8,307,305,153,083",Quotation,AH-280609,7/3/2020,1,"R         6,550.00","R                             6,550.00",,,
Decontamination,Pest Control Specialist,"8,307,305,153,083",Petty cash,N/A,7/8/2020,1,"R         1,840.00","R                             1,840.00",,,
Decontamination,Ntabayemvula,2017/095241/07,Quotation KRU22/2020,KG-004277,7/21/2020,100000,R                1.49,"R                        1 49,000.00",,,
Disinfectant General Purpose,Lynx Chemicals,1988/018201/23,Quotation,AH-280574,3/25/2020,1600,R                5.90,"R                            9,440.00",,,
Disposable Aprons,Central Medical,1995/003785/07,RT32/2019,AH-280572,3/24/2020,3000,R                0.32,R                                960.00,,,
Disposable Caps,Euphorbia Trading Enterprises,2008/046567/23,Quotation,AH-280591,4/14/2020,3800,R                1.56,"R                             5,928.00",,,
Disposable Linen,Promed Technologies,2014/162486/07,RT32/2019,KG-004233,5/22/2020,1000,R                2.18,"R                             2,180.00",,,
Disposable Thermometers,DR Temp,2013/120599/07,RT33/2019,AH-280593,4/17/2020,20000,R                3.22,"R                          64,400.00",,,
Heavy duty rubber cleaning glove,Euphorbia Trading Enterprises,2008/046567/23,Quotation,AH-280591,4/14/2020,1000,R              4 0.25,"R                          40,250.00",,,
Liquid Hand Washing soap,Lynx Chemicals,1988/018201/23,Quotation,AH-280574,3/25/2020,250,R              1 2.90,"R                             3,225.00",,,
Matress Cover for hospitals,Hospital Equipment Manuafacturer,2000/000651/07,RT24/2016,KG-004232,5/22/2020,400,R            563.12,"R                        2 25,248.00",,,
Paper towels,Promed Technologies,2014/162486/07,,AH-280602,4/24/2020,3500,R              1 0.50,"R                          36,750.00",,,
Paper towels Holders,Shosho Industrial Supplies,2003/009940/23,RT14/2019,AH-280601,4/24/2020,70,R            148.55,"R                          10,398.50",,,
Sanitizer (mounted and handheld),Euphorbia Trading Enterprises,2008/046567/23,Quotation,AH-280591,4/14/2020,60,R            733.70,"R                          44,022.00",,,
Sanitizer Wet Wipes,Euphorbia Trading Enterprises,2008/046567/23,Quotation,AH-280591,4/14/2020,2000,R              3 1.05,"R                          62,100.00",,,
Soap Dispensers,Euphorbia Trading Enterprises,2008/046567/23,Quotation,AH-280591,4/14/2020,70,R            733.70,"R                          51,359.00",,,
Surgical Gloves Non Sterile,Evergreen Latex,2002/057771/23,RT76/2020,AH-208575,3/25/2020,2000,R                0.50,R                                997.20,,,
Surgical Gloves Sterile Type 1,Supra Healthcare Johannesburg,2007/027848/07,RT76/2020,KG-004226,5/18/2020,900,R                2.45,"R                             2,208.42",,,
Surgical masks,Biologica Pharmaceuticals,2013/067392/07,RT296/2020,AH-280571,3/24/2020,800,R              2 6.65,"R                          21,320.00",,,
Surgical masks,Imperial Logistics South Africa,1993/003465/07,"NT Instruction No 3 of
2020/2021 Covid 031",AH-280596,4/21/2020,4000,R              1 2.48,"R                          49,920.00",,,
Temperature Scanner,Multisurge,2014/170364/07,"NT Instruction No 8 of
2019/2020 Annexure A
RTCOVID19-018",AH-280570,3/24/2020,5,"R         2,300.00","R                          11,500.00",,,
Temperature Scanner,Lechoba Medical Technology,2010/069513/23,"NT Instruction No 8 of
2019/2020 Annexure A
RTCOVID-19-018",AH-280592,4/15/2020,15,"R         1,348.99","R                          20,234.85",,,
Spray bottles,West Rand Pack,2000/076447/23,Petty cash,N/A,6/11/2020,34,R              5 3.72,"R                            1,826.60",,,
Batteries,Game Key West,"199100680507000G101/22042020/928
4/104/0543",Petty cash,N/A,4/20/2020,5,R            171.99,R                                859.95,,,
Rain Suits,Western Gas,2014/181533/07,Petty cash,N/A,4/9/2020,6,R              8 0.00,R                                480.00,,,
,,,,,,,,"R                        8 97,998.43",,,
ITEM DESCRIPTION,Name of Supplier,COMPANY REGISTRATION NO,"RT Contract/Quotation
Number",Order No.,Order Date,"Ordered
Quantity",Price Per Unit,Total Price,,,
Gloves surgical  (each),SUPRA HEALTHCARE,2007/027848/07(CSD:MAA0015240),RT76,LW-011637,24/03/2020,2000,R            170.14,"R                        3 40,280.00",,,
Infra-Red Electronic Thermometers.,BULELANI ENGEENIARING,2015/268006/07,Quotation,G-108151,16/04/2020,9,"R         3,220.00","R                          28,980.00",,,
Mask N95 (each),LIORA MEDICAL SUPPLIES,2011/013434/23(CSD:MAA0002271),RT300,LW-011629,24/03/2020,20000,R                5.35,"R                        1 07,000.00",,,
Sanitizer  Hand (Per litre),GLOBAL INSYNC,2017/144143/07(CSD:MAAA0143660),Quotation,G-107287,27/03/2020,200,R            161.00,"R                          32,200.00",,,
Sanitizer Surface,PROMED TECHNOLOGIES,2014/162486/07(CSD:MAAA035214),RT289,LW-011656,24/03/2020,200,R              9 0.00,"R                          18,000.00",,,
PAPER TOWEL,PROMED TECHNOLOGIES,2014/162486/07(CSD:MAAA035214),RT14,LW-011638,24/03/2020,6000,R              5 5.75,"R                        3 34,500.00",,,
LINEN SAVERS,MEDDREG TECHNOLOGY,2003/014869/23(CSD:MAAA0278517),RT32,LW-011639,24/03/2020,5000,R                0.95,"R                            4,750.00",,,
N95 MASK,LICHOBA MED&TECHNOLOGIES,2001/044442/07(CSD:MAAA0038766),RT32,G-107278,24/03/2020,120,R              1 8.75,"R                             2,250.00",,,
MEDICAL DISPOSABLE BAG,PROMED TECHNOLOGIES,2014/162486/07(CSD:MAAA035214),RT32,G-107280,25/03/2020,2500,R                5.00,"R                          12,500.00",,,
HAND SANITIZER,ONALIMAATLA INVESTMENTS,2015/366839/07(CSD:MAAA0024730),Quotation,G-107283,25/03/2020,2800,R              7 0.00,"R                        1 96,000.00",,,
BLEACH BIOSIDE,DUMA HEALTH CARE,2015/004395/07(CSD:MAAA0099731),Quotation,G-107284,25/03/2020,1000,R              1 8.97,"R                          18,970.00",,,
BOOTS COVER,DUMA HEALTH CARE,2015/004395/07(CSD:MAAA0099731),Quotation,G-107284,25/03/2020,3000,R                5.76,"R                          17,280.00",,,
ENT SET,DUMA HEALTH CARE,2015/004395/07(CSD:MAAA0099731),Quotation,G-107284,25/03/2020,4,"R       13,524.00","R                          54,096.00",,,
COVER MATTRESS BED,HOSPITAL EQUIPMENT MANUFACTURE,2S000/000651/07(CSD:MAAA0106830),RT24,LW-011641,20/03/2020,225,R            400.00,"R                          90,000.00",,,
DECONTAMINATION OF OFFICES,"CICIMA PROPERTY MANAGEMENT
SOLUTION",2011/121121/07(CSD:MAAA0605241,Quotation,G-108223,30/06/2020,1788SQM,R              1 5.52,"R                          27,758.00",,,
DECONTAMINATION OF OFFICES,BIG O TRADING 873,2010/148833/23(CSDMAAA0026754),Quotation,G-108224,03/07/2020,3395SQM,R              1 5.50,"R                          52,622.50",,,
,,,"R                     1,337,186.50",,,,,,,,
ITEM DESCRIPTION,Name of Supplier,COMPANY REGISTRATION NO,"RT Contract/Quotation
Number",Order No.,Order Date,"Ordered
Quantity",Price Per Unit,Total Price,,,
Gloves surgical  (each),PROMED,2014/162486/07,RT76,MR-005593,3/18/2020,70000,R                0.46,"R                          32,200.00",,,
Infra-Red Electronic Thermometers.,RABUSA HOLDINGS,"2013/203408/07
2012/056577/07",MR 68/2020,MR-005635,4/8/2020,18,"R         1,502.00","R                          27,036.00",,,
Sanitizer  Hand (Per litre) (500ml),BARRS CHEMICALS,RT 300,MR-005588,3/18/2020,16000,R              1 5.92,"R                        2 54,720.00",,,,
gowns,PROMED,2014/162486/07,RT 76,MR-005586,3/18/2020,5000,R              2 3.83,"R                        1 19,150.00",,,
linen savers,LOGAN MEDICAL,2012/056508/07,RT 32,MR-005584,3/18/2020,5000,R                0.78,"R                            3,900.00",,,
paper towels medical,PROMED,2014/162486/07,RT 76,MR-005586,3/18/2020,300,R              3 5.26,"R                          10,578.00",,,
DECONTAMINATION,CLIFFMIXWELL,2017/324146/07,Quotation,MR-005720,6/12/2020,1091,R                4.00,"R                            4,364.00",,,
DECONTAMINATION,MN INVESTMENT,2014/098098/07,Quotation,MR-005721,6/17/2020,1920,R                4.20,"R                             8,065.00",,,
,,,,,,,,"R                        4 47,584.00",,,
,,,,,,,,,,,
ITEM DESCRIPTION,Name of Supplier,COMPANY REGISTRATION NO,"RT Contract/Quotation
Number",Order No.,Order Date,"Ordered
Quantity",Price Per Unit,Total Price,,,
GOGGELS SAFETY,QUALITY SUPPLIERS,2015/019742/07,RT32,AI-320905,20200324,120,R              6 5.00,"R                            7,800.00",,,
SURGICAL SCRUB 5 LR,Barrs Pharmacetical,2012/056577/07,RT300,AI-320994,20200318,50,R            159.93,"R                             7,996.50",,,
SURGICAL SCRUB 500ML,Barrs Pharmacetical,2012/056577/07,RT300,AI-320994,20200318,30,R              2 1.92,R                                657.60,,,
PAPER TOWELS 230MM,Promed Technology,2014/162486/07,RT14,AI-320992,20200318,800,R              3 1.75,"R                          25,400.00",,,
PLASTIC COVER MATRESS,Promed Technology,2014/162486/07,RT32,AI-320992,20200318,1000,R                2.18,"R                             2,180.00",,,
PLASTIC BOOT COVERS KNEE LENGTH PAIRS,Mr First Aid,1990/00763/07,Price Quotation,ZD-012343,20200324,83,R              6 0.95,"R                             5,058.85",,,
SPRAY PRESSURE 5L AGPRO,Hinterland,1984/008258/07,Quotation,PETTY CASH,20200520,8,R 249.90,"R 1,999.10",,,
SPRAY PRESSURE 5L AGPRO,Hinterland,1984/008258/07,Quotation,PETTY CASH,20200506,6,R 249.90,"R 1,499.30",,,
5L PRESSURE SPRAYER,Cullinan Hardware CC,CK92/27776/23,Quotation,PETTY CASH,20200507,2,R 250.00,R 500.00,,,
"R                          53,091.35",,,,,,,,,,,
"TOTAL AMOUNTR                   20,546,435.70",,,,,,,,,,,
