EASTERN CAPE REGION,,,,,,,,,,,
MANAGEMENT AREA,ITEM DESCRIPTION,SUPPLIER NAME,"COMPANY
REGISTRATION NO",PROCUREMENT PROCESS FOLLOWED,ORDER DATE,ORDER AMOUNT,,,,,
Amathole,Lepu LFR30B Infrared thermometre,Class Three Medical Solutions,2017/535986/07,Price quotation below R30 000.00,"Thursday, April 16, 2020","R                                 6,064.41",,,,,
Amathole,Liberty select examination gloves - Lightly powdered.,Algoa Plastics,1987/016715/23,Petty Cash,"Monday, April 6, 2020","R                                 1,335.00",,,,,
Amathole,"Mask, surgical fluid resistant",Ndindi &Yongs,2017/175166/07,Price quotation below R30 000.00,"Wednesday, July 22, 2020","R                              28,950.00",,,,,
Amathole,Medical Hand Sanitizer 70% alcohol,Mdazane Investments,2018/561785/07,Price quotation below R30 000.00,"Tuesday, June 9, 2020","R                                 6,750.00",,,,,
Amathole,Paper towels 'Pro wipe',Promed Technologies,2014/162486/07,Transversal Contract (RT14),"Thursday, March 19, 2020","R                              52,500.00",,,,,
Amathole,Paper Towels 'Pro wipe',Promed Technologies,2014/162486/07,Transversal Contract (RT32),"Monday, March 30, 2020","R                              10,900.00",,,,,
Amathole,Premier nitrile,Fundam A Trading,2015/245341/07,Price quotation below R30 000.00,"Friday, March 20, 2020","R                              10,350.00",,,,,
Amathole,Sanitizer 5 litre,Vital Life,2015/448013/07,Transversal Contract (RT296-10/014),"Thursday, May 28, 2020","R                              43,700.00",,,,,
Amathole,Sanitizer hand 70% alcohol,BARRS Phamaceuticals Industry,2014/095914/07,Transversal Contract (RT300),"Friday, July 24, 2020","R                              33,160.00",,,,,
Amathole,Sanitizer hand 70% alcohol,Eagles Eye Express,2017/188014/07,Price quotation below R30 000.01,"Wednesday, July 22, 2020","R                              29,599.80",,,,,
Kirkwood,Biocide Bleach: No Branding,Qualipharm,1997/052217/23,CONTRACT HP 08-2017SSP,"Monday, March 23, 2020","R                                 3,508.50",,,,,
Kirkwood,Biocide Bleach: No Branding,Qualipharm,1997/052217/23,CONTRACT HP 08-2017SSP,"Monday, March 23, 2020","R                                 5,281.50",,,,,
Kirkwood,Body Bags,Tara Healthcare,2019/237077/07,RTCOVID19-014,"Wednesday, 26 June 2020","R                              10,500.00",,,,,
Kirkwood,BP Cuffs: Class Three Medical Solutions,Class Three Medical Solutions,2017/535986/07,RT2,"Thursday, March 19, 2020",R                                    483.00,,,,,
Kirkwood,BP Cuffs: Class Three Medical Solutions,Class Three Medical Solutions,2017/535986/07,RT2,"Thursday, March 19, 2020",R                                    292.33,,,,,
Kirkwood,BP Cuffs: Class: No Branding,Class Three Medical Solutions,2017/535986/07,RT2,"Tuesday, March 31, 2020",R                                    322.00,,,,,
Kirkwood,BP Cuffs: Class: No Branding,Class Three Medical Solutions,2017/535986/07,RT2,"Tuesday, March 31, 2020",R                                    198.22,,,,,
Kirkwood,BP Machine: Class No Branding,Class Three Medical Solutions,2017/535986/07,RT2,"Tuesday, March 31, 2020","R                              18,418.40",,,,,
Kirkwood,BP Machine: Class Three Medical Solutions,Class Three Medical Solutions,2017/535986/07,RT2,"Thursday, March 19, 2020","R                              27,627.60",,,,,
Kirkwood,Digital Thermometer,Multisurge,2014/170364/07,RTCOVID19-018,"Friday, March 20, 2020","R                              13,800.00",,,,,
Kirkwood,Disposable Aprons: LDE Aprons,New Heights,2019/467590/07,DEVIATION PROCUREMENT METHOD,"Friday, April 17, 2020","R                              45,600.00",,,,,
Kirkwood,Disposable Aprons: No Branding,Central Medical,1995/003785/07,RT32,"Tuesday, March 17, 2020",R                                    960.00,,,,,
Kirkwood,Disposable Aprons: No Branding,Central Medical,1995/003785/07,RT32,"Wednesday, March 18, 2020","R                                 2,720.00",,,,,
Kirkwood,Disposable Gowns: No Branding,Multisurge,2014/170364/07,RTCOVID19-015,"Monday, 24 June 2020","R                            184,000.00",,,,,
Kirkwood,Disposable Red Bags: Flowe- PAC,New Heights,2019/467590/07,DEVIATION PROCUREMENT METHOD,"Friday, April 17, 2020","R                              13,500.00",,,,,
Kirkwood,Disposable Red Bags: No Branding,Promed Technology,2014/162486/07,RT COVID19-010,"Monday, March 30, 2020","R                              26,800.00",,,,,
Kirkwood,Face Shield: Unpacked,Extra Dimentions,2001/02881/23,DEVIATION PROCUREMENT METHOD,"Thursday, March 26, 2020","R                                 5,175.00",,,,,
Kirkwood,Fumigation of Logistic Stores,Mast Pest Control,Sole Proprietorship,QUOTATION/SERVICE,"Wednesday, 29 April 2020","R                              17,400.00",,,,,
Kirkwood,Gloves Disposable: Medi-Mate,Extra Dimentions,2001/02881/23,DEVIATION PROCUREMENT METHOD,"Thursday, March 26, 2020","R                              35,880.00",,,,,
Kirkwood,Gloves Surgical: Haylard,Fresh and Clean,2002/096275/23,DEVIATION PROCUREMENT METHOD,"Wednesday, 20 May 2020","R                              29,400.00",,,,,
Kirkwood,Googles,Multisurge,2014/170364/07,RTCOVID19-015,"Monday, 24 June 2020","R                              28,750.00",,,,,
Kirkwood,Hand Sanitizer: FLEXXI SAN 09,Extra Dimentions,2001/028681/23,DEVIATION PROCUREMENT METHOD,"Thursday, March 26, 2020","R                            215,625.00",,,,,
Kirkwood,Hand Sanitizer: No Branding,Barsrs Pharmaceuticals Ind,2012/056577/07,RT300,"Tuesday, March 17, 2020","R                              15,920.00",,,,,
Kirkwood,Hand Sanitizer: No Branding,Barsrs Pharmaceuticals Ind,2012/056577/07,RT300,"Monday, March 23, 2020","R                              16,081.80",,,,,
Kirkwood,Hand Sanitizer: No Branding,Barsrs Pharmaceuticals Ind,2012/056577/07,RT300,"Wednesday, March 18, 2020","R                              15,601.60",,,,,
Kirkwood,High Risk Gloves (Rubber Handle),Multisurge,2014/170364/07,RTCOVID19-015,"Monday, 24 June 2020","R                              10,350.00",,,,,
Kirkwood,Linen Savers: No Branding,Meddreg Technology,2003/014869/23,RT32,"Wednesday, March 18, 2020","R                                 2,080.00",,,,,
Kirkwood,Mask N95: Haylard,Liora Medical Supplies,2011/013434/23,RT32,"Wednesday, March 18, 2020","R                                 6,553.75",,,,,
Kirkwood,Mask N95: Haylard,Sunset Brook,2004/051469/23,DEVIATION PROCUREMENT METHOD,"Friday, April 17, 2020","R                            106,388.10",,,,,
Kirkwood,Mask N95: No Branding,Liora Medical Supplies,2011/013434/23,RT32,"Tuesday, March 17, 2020","R                                 5,617.50",,,,,
Kirkwood,Matreee Covers: No Branding,Hospital Equipment Manufact,2000/000651/07,RT24,"Monday, March 23, 2020","R                              45,000.00",,,,,
Kirkwood,Matreee Covers: Unpacked,Extra Dimentions,2001/02881/23,DEVIATION PROCUREMENT METHOD,"Thursday, March 26, 2020","R                              45,885.00",,,,,
Kirkwood,Matress Bed: No Branding,KAP BEDDING,1988/070308/07,DEVIATION PROCUREMENT METHOD,"Thursday, 14 May 2020","R                              29,756.25",,,,,
Kirkwood,Non Sterile Gloves: Evergreen,Extra Dimentions,2001/02881/23,DEVIATION PROCUREMENT METHOD,"Thursday, March 26, 2020","R                              62,790.00",,,,,
Kirkwood,Non Sterile Gloves: No Branding,Evergreen  Latex,2002/057771/23,RT76,"Tuesday, March 17, 2020","R                              17,940.00",,,,,
Kirkwood,Over Shoe Disposable: No Branding,Fresh and Clean,2002/096275/23,DEVIATION PROCUREMENT METHOD,"Wednesday, 20 May 2020","R                              15,147.00",,,,,
Kirkwood,Protective Bodysuit: No Branding,Fresh and Clean,2002/096275/23,DEVIATION PROCUREMENT METHOD,"Wednesday, 20 May 2020","R                            126,875.00",,,,,
Kirkwood,Service: Decontamination,Fresh and Clean,2002/096275/23,QUOTATION/SERVICE,"Monday, 03 June 2020",R                                    842.00,,,,,
Kirkwood,Sprayer Back Carrying: No Branding,Eastview Trading,2007/116803/23,DEVIATION PROCUREMENT METHOD,"Thursday, 23 April 2020","R                              11,445.30",,,,,
Kirkwood,Surgical Gloves: No Branding,Evergreen  Latex,2002/057771/23,RT76,"Saturday, April 18, 2020","R                              42,900.00",,,,,
Kirkwood,Surgical Mask,Business Venture Investment No 1882,2016/003864/07,DEVIATION PROCUREMENT METHOD,"Monday, 13 April 2020","R                              46,000.00",,,,,
Kirkwood,Surgical Masks: No Branding,Chemical World-,2019/253242/07,RT32,"Tuesday, March 17, 2020",R                                    747.50,,,,,
Kirkwood,Surgical Masks: No Branding,Chemical World,2019/253242/07,RT32,"Tuesday, March 17, 2020",R                                    747.50,,,,,
Kirkwood,Surgical Masks: No Branding,Tripple N Medical Distributors,2011/129850/07,RTCOVID19-002,"Monday, March 23, 2020","R                              32,550.00",,,,,
Kirkwood,Surgical Masks: Unpacked,Bravoscan,2016/442334/07,DEVIATION PROCUREMENT METHOD,"Friday, April 17, 2020","R                            161,000.00",,,,,
Kirkwood,Surgical Masks: Unpacked,The Filing System,2007/191055/23,DEVIATION PROCUREMENT METHOD,"Tuesday, March 31, 2020","R                              29,900.00",,,,,
Kirkwood,Surgical Scrub: Kleenhand AB,Extra Dimentions,2001/02881/23,DEVIATION PROCUREMENT METHOD,"Thursday, March 26, 2020","R                              74,280.00",,,,,
Kirkwood,Surgical Scrub: No Branding,Barsrs Pharmaceuticals Ind,2012/056577/07,RT300,"Tuesday, March 17, 2020","R                              21,150.00",,,,,
Kirkwood,Surgical Scrub: No Branding,Barsrs Pharmaceuticals Ind,2012/056577/07,RT300,"Wednesday, March 18, 2020","R                              20,727.00",,,,,
Kirkwood,Surgical Scrub: No Branding,Barsrs Pharmaceuticals Ind,2012/056577/07,RT300,"Monday, March 23, 2020","R                              21,481.60",,,,,
Lusikisiki,70% alcohol based Sanitizer  Hand,Promed Technologies,2014/162486/07,Price quotation,"Thursday, April 16, 2020","R                              29,960.00",,,,,
Lusikisiki,70% alcohol based hand sanitizers,Z MAR TRADING,2013/170759/07,Price quotation,2020.07.21,"R                              29,000.00",,,,,
Lusikisiki,Clear face shield,MAWOWO TRADING,2017/184290/07,Price quotation,2020.07.21,"R                              12,900.00",,,,,
Lusikisiki,Coveralls,KWETANE &SONS ELECTRICAL &PROJECTS,2017/061266/07,Price quotation,2020.07.17,"R                              29,250.00",,,,,
Lusikisiki,Disposable gowns,IMELA OLUWA TRADING,2017/121087/07,Price quotation,2020.07.17,"R                              16,000.00",,,,,
Lusikisiki,Gloves surgical  -single use,Ako Tech Industries,2018/282270/07,Price quotation,"Friday, March 27, 2020","R                              18,750.00",,,,,
Lusikisiki,Heavy duty gloves,MM SANDA TRADING,2018/309948/07,Price quotation,2020.07.21,"R                              19,000.00",,,,,
Lusikisiki,Infra-Red Electronic Thermometers.,Mhlaba Group,2017/134862/07,Price quotation,"Thursday, April 2, 2020","R                              29,250.00",,,,,
Lusikisiki,Masks Surgical (each) 3 ply,Mhlaba Group,2017/134862/07,Price quotation,"Thursday, April 2, 2020","R                              28,600.00",,,,,
Mthatha,70% alcohol based Sanitizer  Hand,Ewe Projects,2015/054348/07,Price quotation,"Tuesday, March 31, 2020","R                              28,500.00",,,,,
Mthatha,70% alcohol based hand sanitizers,"BARRS PHARMACEUTICALS INDUSTRIES
(PTY)LTD",20212/056577/07,RT\300-2017,2020.03.25,"R                              28,800.00",,,,,
Mthatha,70% alcohol based Surface sanitizers,Promed Technologies,2014/162486/07,Price quotation,"Thursday, April 16, 2020","R                              29,700.00",,,,,
Mthatha,70% alcohol based Surface sanitizers,IMVELISO HOLDINGS,2015/339801/07,Price quotation,2020.05.28,"R                                9,954.00",,,,,
Mthatha,ACC-CHEC INSTANT KIT (with blue tooth),SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,RT\2-1-2016,2020.04.23,"R                                5,850.00",,,,,
Mthatha,BP METER ELETRONIC LCD SCREEN,SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,RT\2-1-2016,2020.04.23,"R                              20,800.00",,,,,
Mthatha,Coveralls,ZONDIPHASE,2014/172473/07,Price quotation,2020.05.28,"R                              29,250.00",,,,,
Mthatha,Coveralls,MABIKA GROUP,2016/082774/07,Price quotation,2020.07.07,"R                              27,600.00",,,,,
Mthatha,DIAGNOSTIC SET GP PLUS,SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,RT\2-1-2016,2020.04.23,"R                                6,510.00",,,,,
Mthatha,Disposable aprons,AKO TECH INDUSTRIES,2018/282270/07,Price quotation,2020.04.08,"R                              29,450.00",,,,,
Mthatha,Disposable gloves,Ako Tech Industries,2018/282270/07,Price quotation,"Tuesday, March 31, 2020","R                              18,750.00",,,,,
Mthatha,Disposable gloves,Promed Technologies,2014/162486/07,RT\76-2020,"Thursday, April 2, 2020","R                              59,800.00",,,,,
Mthatha,Disposable gowns,Snethemba On Your Service,2016/400946/07,Price quotation,2020.07.06,"R                              28,000.00",,,,,
Mthatha,Disposable Linen,Promed Technologies,2014/162486/07,RT\32-2019,"Friday, April 3, 2020","R                                4,360.00",,,,,
Mthatha,Gumboots,BBF SAFETY  GROUP (PTY),2012/056577/07,RT\59-2019,2020.04.09,"R                              49,305.00",,,,,
Mthatha,HB METER DIG inc 25 strips,SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,RT\2-1-2016,2020.04.23,"R                                5,350.00",,,,,
Mthatha,Infra-Red Electronic Thermometers.,Mhlaba Group,2017/134862/07,Price quotation,"Friday, April 3, 2020","R                              29,250.00",,,,,
Mthatha,Mask N95 (each),Ako Tech Industries,2018/282270/07,Price quotation,"Friday, March 27, 2020","R                              20,100.00",,,,,
Mthatha,Masks Surgical (each) 3 ply,Mhlaba Group,2017/134862/07,Price quotation,"Wednesday, April 8, 2020","R                              28,600.00",,,,,
Mthatha,Masks Surgical (each) 3 ply,Snethemba On Your Service,2016/400946/07,Price quotation,"Friday, April 3, 2020","R                              27,500.00",,,,,
Mthatha,Matress Cover for hospitals,HOSPITAL EQUIP MANUFACTURERS,2000/000651/07,RT\24-2015,2020.04.08,"R                              90,000.00",,,,,
Mthatha,NEBULIZER FLO Eolo,SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,RT\2-1-2016,2020.04.23,"R                              10,950.00",,,,,
Mthatha,OXSOR 60 FINGERTIP PULSE OXIMETER,SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,RT\2-1-2016,2020.04.23,"R                                4,000.00",,,,,
Mthatha,Paper towels,Promed Technologies,2014/162486/07,RT\32-2019,"Wednesday, March 25, 2020","R                              17,630.00",,,,,
Mthatha,STETHOSCOPE DELUXE DUAL HEAD ADULT,SANBONANI HOLDINGS (PTY)LTD,2004/000822/07,RT\2-1-2016,2020.04.23,"R                                1,002.00",,,,,
SADA,Alcohol Based Hand Sanitiser,NJU Projects & General Trading,2018/297547/07,RTCOVID19,"Thursday, March 26, 2020","R                                 4,500.00",,,,,
SADA,Disposable Apron,Akotech Industries,2018/282270/07,Quotation,"Thursday, April 2, 2020","R                              15,500.00",,,,,
SADA,"Eye Protection,Visors, Gown,Coveralls",It Crare Chemicals Suppliers,2015/102820/07,RTCOVID19,"Tuesday, May 5, 2020","R                            275,000.00",,,,,
SADA,Gloves,Zondiphase,2014/172473/07,Quotation,"Thursday, April 2, 2020","R                              18,750.00",,,,,
SADA,Gloves,Zondiphase,2014/172473/07,Quotation,"Thursday, April 2, 2020","R                              18,750.00",,,,,
SADA,Gloves,Zondiphase,2014/172473/07,Quotation,"Thursday, April 2, 2020","R                              18,750.00",,,,,
SADA,Gloves,Zondiphase,2014/172473/07,Quotation,"Thursday, April 2, 2020","R                              18,750.00",,,,,
SADA,Gloves,Zondiphase,2014/172473/07,Quotation,"Thursday, April 2, 2020","R                              18,750.00",,,,,
SADA,Gloves,Evergreen Latex,2002/057771/24,RTCOVID19,"Friday, May 8, 2020","R                              74,790.00",,,,,
SADA,Gloves Latex Disposable Large,Evergreen Latax Cc,2002/057771/23,RTCOVID19,"Friday, March 20, 2020","R                              34,902.00",,,,,
SADA,N95 Mask,Labo Trading And Projects,CK99/24159/23,Quotation,"Wednesday, April 1, 2020","R                              19,320.00",,,,,
SADA,N95 Mask,Labo Trading And Projects,CK99/24159/23,Quotation,"Wednesday, April 1, 2020","R                              19,320.00",,,,,
SADA,N95 Mask,Labo Trading And Projects,CK99/24159/23,Quotation,"Wednesday, April 1, 2020","R                              19,320.00",,,,,
SADA,N95 Mask,Labo Trading And Projects,CK99/24159/23,Quotation,"Wednesday, April 1, 2020","R                              19,320.00",,,,,
SADA,N95 Mask,Motla Investment,2005/148565/23,RTCOVID19,"Thursday, July 23, 2020","R                              18,900.00",,,,,
SADA,Sanitizer,Labo Trading And Projects,CK99/24159/23,Quotation,"Wednesday, April 1, 2020","R                              25,875.00",,,,,
SADA,Sanitizer,Labo Trading And Projects,CK99/24159/23,Quotation,"Wednesday, April 1, 2020","R                              25,875.00",,,,,
SADA,Sanitizer,Labo Trading And Projects,CK99/24159/23,Quotation,"Wednesday, April 1, 2020","R                              25,875.00",,,,,
SADA,Sanitizer,Labo Trading And Projects,CK99/24159/23,Quotation,"Wednesday, April 1, 2020","R                              25,875.00",,,,,
SADA,Sanitizer,Labo Trading And Projects,CK99/24159/23,Quotation,"Wednesday, April 1, 2020","R                              25,875.00",,,,,
SADA,Sanitizer,Zondiphase,2014/172473/07,Quotation,"Friday, April 3, 2020","R                              29,625.00",,,,,
SADA,Sanitizer,Zondiphase,2014/172473/07,Quotation,"Friday, April 3, 2020","R                              29,625.00",,,,,
SADA,Sanitizer,Zondiphase,2014/172473/07,Quotation,"Friday, April 3, 2020","R                              29,625.00",,,,,
SADA,Sanitizer,Zondiphase,2014/172473/07,Quotation,"Friday, April 3, 2020","R                              29,625.00",,,,,
SADA,Sanitizer,Zondiphase,2014/172473/07,Quotation,"Tuesday, April 21, 2020","R                              29,625.00",,,,,
SADA,Sanitizer,Unitrade 1032 cc,1998/002665/23,RTCOVID19,2020.05.11,"R                            375,200.00",,,,,
SADA,Sanitizer,It Crare Chemicals Suppliers,2015/102820/07,RTCOVID20,"Wednesday, July 29, 2020","R                            220,000.00",,,,,
SADA,Surgical Mask,Labo Trading And Projects,CK99/24159/23,Quotation,"Thursday, April 2, 2020","R                              17,595.00",,,,,
SADA,Surgical Mask,Labo Trading And Projects,CK99/24159/23,Quotation,"Thursday, April 2, 2020","R                              17,595.00",,,,,
SADA,Surgical Mask,Labo Trading And Projects,CK99/24159/23,Quotation,"Thursday, April 2, 2020","R                              17,595.00",,,,,
SADA,Surgical Mask,Zondiphase,2014/172473/07,Quotation,"Thursday, April 2, 2020","R                              29,750.00",,,,,
SADA,Surgical Mask,Zondiphase,2014/172473/07,Quotation,"Thursday, April 2, 2020","R                              29,750.00",,,,,
SADA,Surgical Mask,Zondiphase,2014/172473/07,Quotation,"Thursday, April 2, 2020","R                              29,750.00",,,,,
SADA,Surgical Mask,Zondiphase,2014/172473/07,Quotation,"Friday, April 3, 2020","R                              29,750.00",,,,,
SADA,Surgical Mask,Zondiphase,2014/172473/07,Quotation,"Friday, April 3, 2020","R                              29,750.00",,,,,
SADA,Surgical Mask,Zondiphase,2014/172473/07,Quotation,"Friday, April 3, 2020","R                              29,750.00",,,,,
SADA,Surgical Mask,Multisurge Pty Ltd,2014/170364/07,RTCOVID19,"Tuesday, May 5, 2020","R                            184,000.00",,,,,
SADA,Surgical Mask,Motla Investment,2005/148565/23,RTCOVID19,"Thursday, July 23, 2020","R                            204,400.00",,,,,
SADA,Temperature Scanners,Labo Trading And Projects,CK99/24159/23,Quotation,"Wednesday, April 1, 2020","R                              27,600.00",,,,,
St Albans,Chlorhexidine,Barrs,2012/056577/07,Contract,"Wednesday, March 25, 2020","R                              17,536.00",,,,,
St Albans,Chlorhexidine,Biotech Labs,1990/007220/07,Contract,"Thursday, April 9, 2020","R                              69,000.00",,,,,
St Albans,Coveral Suits: Capsule Wet,Fresh and Clean,2002/096275/23,Written Qoutation,"Wednesday, April 8, 2020","R                                5,280.00",,,,,
St Albans,Covering Gowns:Hartman Folidris Gown,Fresh and Clean,2002/096275/23,Written Qoutation,"Wednesday, April 8, 2020",R                                   880.00,,,,,
St Albans,Damp Dust Cloths:No Branding,Zondiphase,2014/172473/07,"Written QoutationFriday, April 10, 2020","R                                2,676.17",,,,,,
St Albans,Decontamination,Imphepo Technologies,2015/031522/07,Written Qoutation,"Wednesday, April 15, 2020","R                              47,008.50",,,,,
St Albans,Decontamination,Imphepo Technologies,2015/031522/07,Written Qoutation,"Friday, May 29, 2020","R                                9,413.25",,,,,
St Albans,Decontamination,Master Pest Control,6204175218082,Written Qoutation,"Thursday, June 18, 2020","R                                2,376.00",,,,,
St Albans,Decontamination,Kingswe IT Consultants,2012/164848/07,Written Qoutation,"Wednesday, June 24, 2020","R                           195,050.00",,,,,
St Albans,Decontamination,Uponmanywaters,2012/072018/07,Written Qoutation,"Thursday, July 2, 2020","R                                5,328.70",,,,,
St Albans,Decontamination,Master Pest Control,6204175218082,Written Qoutation,"Saturday, July 4, 2020","R                              12,282.50",,,,,
St Albans,Decontamination of St Albans Med B,Impepho Technologies,2015/031522/07,Written Qoutation,"Tuesday, April 14, 2020","R                              47,008.50",,,,,
