Entity,Covid-19 related costs,PPEs,,,
,,Petty cash,,,
,,US-PECTS,,,
12-Mar-20,Supply & Delivery of Hand Sanitiser,TRADING,2008/252819/23,"R10,875.00",
,,ENTERPRISE,,,
,,US-PECTS,,,
12-Mar-20,Waterless Sanitizer 1 L,TRADING,2008/252819/23,"R12,800.00",
,,ENTERPRISE,,,
17-Mar-20,Hand Sanitiser,Sound Conexions,1999/032082/23,"R72,000.00",
,Latex hand gloves (900 boxes) 90 000,,,,
17-Mar-20,,Sound Conexions,1999/032082/23,"R189,000.00",
,gloves all offices,,,,
,,KITSO,,,
,,PROJECTS AND,,,
19-Mar-20,Latex hand gloves,,2009/145212/23,"R207,000.00",
,,EVENTS,,,
,,MANAGEMENT,,,
,,MOBILE,,,
,,TELEPHONE,,,
25-Mar-20,GPAA Gallo Hosting Internet,,1993/001436/07,"R251,505.00",
,,NETWORKS,,,
,,PTY LTD / MTN,,,
,,LECHOBA,,,
26-Mar-20,Procurement of goggles,MEDICAL,2005/044442/07,"R15,525.00",
,,TECHNOLOGIES,,,
,,TRIPPLE N,,,
26-Mar-20,Procurement of Hand Sanitizers,MEDICAL,2011/129850/07,"R168,660.00",
,,DISTRIBUTORS,,,
,,TARA,,,
26-Mar-20,Procurement of Digital Body Thermometer,,2019/237077/07,"R84,027.65",
,,HEALTHCARE,,,
,,NEXTEC,,,
,Emergency: 1k White Biometric Cards,SECURITY AND,,,
26-Mar-20,,,1994/006897/07,"R22,977.00",
,x1500,BUILDING,,,
,,TECHNOLOGIES,,,
,"Emergency: Setup & Connect VPN ,",EOH MTHOMBO,,,
26-Mar-20,,,1998/000103/07,"R9,982.00",
,Configuration Testing &,(Pty) Ltd,,,
,,MASANA,,,
,COVID 19 Hand Sanitiser - Emergency,HYGIENE,,,
20-Apr-20,,,2014/110265/07,"R107,295.00",
,Procurement,SERVICES (PTY),,,
,,LTD,,,
21-Apr-20,Emergency Purchase: Masks (COVID 19),Sound Conexions,2009/205308/23,"R26,500.00",
,,Deviation:,HYGIENE,,
1-Jul-20,Sanitation of GPAA,Emergency,SERVICES (PTY),"R22,301.95",
,Head Office,Approval,LTD,,
,,,MASANA,,
,Disinfection of Cape,Deviation:,HYGIENE,,
6-Jul-20,Town Offices - COVID-,Emergency,SERVICES (PTY),"R5,405.00",
,19,Approval,LTD,,
,,Competitive,BORATILE,,
15-Jul-20,,,,"R79,454.55",
,Themometers and,Bidding,TRADING AND,,
,sanitising dispensers,<R500k,PROJECTS,,
,,,MASANA,,
,Emergency:,Deviation:,HYGIENE,,
17-Jul-20,,,,"R2,484.00",
,Disinfection of Block,Emergency,SERVICES (PTY),,
,A& B,Approval,LTD,,
,,,MASANA,,
17-Jul-20,,Deviation:,HYGIENE,"R5,405.00",
,Disinfection Of,Emergency,SERVICES (PTY),,
,Mafikeng Office,Approval,LTD,,
,,,MASANA,,
17-Jul-20,,Deviation:,HYGIENE,"R19,872.00",
,Disinfection of Blocks,Emergency,SERVICES (PTY),,
,C-H,Approval,LTD,,
,,,MASANA,,
,,Deviation:,HYGIENE,,
22-Jul-20,,,,"R5,405.00",
,"Emergency:Deconta,in",Emergency,SERVICES (PTY),,
,ation of Bisho Office,Approval,LTD,,
,,,MASANA,,
23-Jul-20,,Competitive,HYGIENE,"R103,500.00",
,Sanitizer Spray,Bidding,SERVICES (PTY),,
,suitable for paper,<R500k,MLTADSANA,,
,Disinfection services,Competitive,HYGIENE,,
23-Jul-20,for 6 months.,Bidding,SERVICES (PTY),"R478,691.20",
,GPAA/GEPF Offices,<R500k,LTD,,
,,,MASANA,,
,Emergency:,Deviation:,HYGIENE,,
24-Jul-20,Disinfection of block,Emergency,SERVICES (PTY),"R4,968.00",
,"EA,mBe &rg Cen acty H: ead Office",Approval,MLTADSANA,,
,Disinfection/Decontami,Deviation:,HYGIENE,,
28-Jul-20,nation of Kimberly,Emergency,SERVICES (PTY),"R6,204.61",
,office,Approval,LTD,,
,,,MASANA,,
,Covid-19 Tests for,Deviation:,HYGIENE,,
30-Jul-20,,,,"R1,105,000.00",
,Staff and Contractors,Emergency,SERVICES (PTY),,
,"(Security, Cleaners",Approval,LTD,,
,"Hand Sanitizer, Masks, Gloves, Wet Wipes - PRO-LEGENDS",,,,
21-Apr-20,,2007/236236/23,"R105,236.00",,
,For PE (Covid 19) TRADING CC,,,,
,BYTES,,,,
21-Apr-20,Laptop rental and new Wi-Fi Routers MANAGED,1984/003805/07,"R407,355.30",,
,"SOLUTIONS, A",,,,
21-Apr-20,Face Masks: Emergency Procurement Sound Conexions,2009/205308/23,"R81,250.00",,
,MASANA,,,,
,Emergency: Disinfection of Trevenna &,,,,
30-Apr-20,HYGIENE,2014/110265/07,"R36,115.75",,
,Head Office,,,,
,SERVICES (PTY),,,,
,MAKGOBJANA,,,,
30-Apr-20,Covid 19- Procurement of face shields,2016/191547/07,"R9,998.00",,
,HOLDINGS,,,,
,MASANA,,,,
,Emergency: Disinfecting of Regional &,,,,
8-May-20,HYGIENE,2014/110265/07,"R89,477.82",,
,Satellite Offices,,,,
,SERVICES (PTY),,,,
,Emergency:Car hire to transport GPAA TIRISANO,,,,
8-May-20,,2002/065229/23,"R63,314.69",,
,employees to & from wor TRAVEL CC,,,,
,KAMATSIKAA,,,,
,Emergency: Disinfection of GPAA Nelspruit,,,,
13-May-20,TRADING,2006/114060/23,"R6,600.00",,
,Office,,,,
,KEINTTSEOR PRISES,,,,
13-May-20,Themometers and surgical masks PROJECTS AND,2009/145212/23,"R140,530.00",,
,EVENTS,,,,
13-May-20,Hand Sanitizers 500ml PRO-PC cc,1993/009323/23,"R101,775.00",,
,MABOKA,,,,
13-May-20,Perspex Screens GROUP (PTY),2013/041395/07,"R49,200.00",,
,ULTSD-PECTS,,,,
13-May-20,Visors TRADING,2008/252819/23,"R63,000.00",,
,EUNTIKEOR PRISE,,,,
14-May-20,3ply Cloth Masks (DTIC Specifications) LOLWETHU,2017/106963/07,"R69,000.00",,
,BEONTREARTPILREI SE,,,,
20-May-20,Surgical Masks for Head Office TRADING AND,2008/085219/23,"R57,500.00",,
,MPRAOSAJENCAT S,,,,
,Disfenction of Port Elizabeth & Durban,,,,
25-May-20,HYGIENE,2014/110265/07,"R10,810.00",,
,Office,,,,
,SPEHRINVOICTE S (PTY),,,,
25-May-20,Sanitizing Dispensers and Perspex Screens HOSTALGIC,2017/542077/07,"R119,600.00",,
,,WAKHANYANE,,,
,COVID - PPE Stock: Waterless Hand,,,,
29-May-20,,PTY LTD T/A,2013/210196/07,"R95,696.43",
,Sanitiser,,,,
,,WALTONS,,,
,,SIGN FACETS,,,
29-May-20,Emergency: Supply of  Perspex Screens,,2001/016701/23,"R210,450.00",
,,CC,,,
,Covid 19 Tests for Employees - Emergency,LANCET,,,
7-Jun-20,,,1996/006950/07,"R170,000.00",
,Approval (CEO),LABORATORIES,,,
,,LIFE EMPLOYEE,,,
9-Jun-20,EAP Services in response to Covid 19,HEALTH,2012/077831/07,"R249,378.81",
,,SOLUTIONS,,,
18-Jun-20,1000 Jabba Evolve 65 Bluetooth Headset,PRO-PC cc,1993/009323/23,"R301,875.00",
,,MASANA,,,
,Emergency Disinfection of Head Office &,HYGIENE,,,
19-Jun-20,,,2014/110265/07,"R41,637.82",
,Trevenna,SERVICES (PTY),,,
,,LTD,,,
,,MASANA,,,
,Emergency: Decontamination of Bisho &,HYGIENE,,,
24-Jun-20,,,2014/110265/07,"R10,810.00",
,Mthatha Office,SERVICES (PTY),,,
,,LTD,,,
,,MASANA,,,
,Emergency: Decontamination of,HYGIENE,,,
24-Jun-20,,,2014/110265/07,"R4,025.00",
,Johannesburg Office,SERVICES (PTY),,,
,,LTD,,,
,No costs incurred for,,,,
6-Jul-20,Covid-19 related,RFQ,Maverick,"R165,385.81",
,activities,,,,
,,Mothizamo,,,
28-May-20,Face Masks,,2016/445473/07,"R27,500.00",
,,Trading,,,
,Sanitisers and wet,,,,
11-Mar-20,,3 Quatations,Servest,"R3,795.00",
,wipes,,,,
,Surface disinfect and,,We clean it all,,
29-Apr-20,,3 Quatations,,"R5,500.00",
,thermometers,,shop,,
,Hand sanitizer refill,,We clean it all,,
11-Jun-20,,3 Quatations,,"R10,800.00",
,sachets,,shop,,
,,,IRBA Staff memeber,,
9-Jun-20,180 face masks for staff members,Rita Hattingh,- No company,"R3,150.00",
,,,established,,
29-Apr-20,Hand sanitisers,Servest,1997/006391/07,"R6,513.60",
3-Jun-20,Reception desk screen,Signarama,2011/099901/23,"R4,143.43",
,,We clean it all,,,
29/04/2020,Gloves,,2017/509402/07,"R1,850.00",
,,shop,,,
,,We clean it all,,,
11-Jun-20,Sanitation work stations,,2017/509402/07,"R12,150.00",
,,shop,,,
,,Emergency,,,
,Disinfection of the,,,,
26-Mar-20,,procurement,Bidvest Cleaning,,
,building,,,,
,,(Two quotes),,,
,,,,"R12,773.60",
,,Expansion on,,,
,Disinfection of the,,Monabo Hygiene,,
10-Jul-20,,cleaning,,,
,building,,Services,,
,,contract,,"R12,773.63",
,,Expansion on,,,
,Disinfection of the,,Monabo Hygiene,,
20-Jul-20,,cleaning,,,
,building,,Services,,
,,contract,,"R12,773.63",
,,Expansion on,,,
,Disinfection of the,,Monabo Hygiene,,
25-Jul-20,,cleaning,,,
,building,,Services,,
,,contract,,,
,,,,"R12,773.63",
,,Monabo Hygiene,,,
,Gloves,,,,
,,Services,,,
10-Mar-20,,,2009/037882/23,R267.90,
,,Life Healthcare,,,
,Gloves,,,,
,,Pharmacy,,,
17-Mar-20,,,203/024367/07,R169.70,
,Hand sanitizers,Lenasi Projects,,,
19-Mar-20,,,2016/138002/07,"R1,990.00",
,"Hand sanitisers, Surface sanitisers,",,,,
,,GDF Holdings,,,
,"Gloves, Masks & Plastic aprons",,,,
17-Apr-20,,,2016/365362/07,"R132,262.50",
,Thermometers,Quintillion Tek,,,
14-May-20,,,2019/293985/07,"R3,777.00",
,Face Shield,Makro,,,
17-May-20,,,1991/006805/07,"R1,512.40",
,Footstand Sanitizer dispenser,Quintillion Tek,,,
31-May-20,,,2019/293985/07,"R1,509.84",
,Counters Shield ( Glass Protector),GDF Holdings,,,
18-Jun-20,,,2016/365362/07,"R4,899.00",
,Thermometer,GDF Holdings,,,
15-Jun-20,,,2016/365362/07,R850.00,
,Floor Stickers  (social distance marker),Box Shop,,,
17-Jun-20,,,1991/006805/07,"R1,380.00",
Dischem23-Jun-20,Masks,,2005/009766/07,"R1,493.20",
,Foot stand Sanitiser dispenser including,,,,
,,Plastic shop,,,
23-Jun-20,Sanitiser,,,R899.97,
,,,Social distancing,,
29-Apr-20,Shereno Printers,RFQ,,"R55,344.00",
,,,stickers,,
,,SAWAB Freight,,,
25-Mar-20,Gloves,forwarders and,MAAA0899559,"R540,500.00",
,,Consultant,,,
,,Mafunasi Holding,,,
26-Mar-20,3 Ply Mask,,MAAA0442953,"R766,500.00",
,,(PTY) LTD,,,
,,Kuleti Suppliers,,,
25-Mar-20,Gloves,,MAAA855028,"R90,000.00",
,,PTY LTD,,,
,,Kuleti Suppliers,,,
25-Mar-20,3 Ply Mask,,MAAA855028,"R192,000.00",
,,PTY LTD,,,
,,Supra latex PTY,,,
27-Mar-20,Gloves,,MAAA0015240,"R139,752.60",
,,LTD,,,
,,Tele Business,,,
27-Mar-20,5L Sanitary,,MAAA0128321,"R1,449,000.00",
,,Solutions,,,
6-Apr-20,Facial Tissues and Wet Wipes,Cybermotives,MAAA0481732,"R57,582.00",
,,Kuleti Suppliers,,,
2-Apr-20,Gloves,,MAAA855028,"R205,470.00",
,,PTY LTD,,,
,,Lechoba Medical,,,
24-Apr-20,Body suits,,MAAA0038766,"R15,324.00",
,,technologies,,,
,,Lechoba Medical,,,
2-Apr-20,Body suits,,MAAA0038766,"R30,155.16",
,,technologies,,,
,,Tele Business,,,
1-Apr-20,Gloves and Masks,,MAAA0128321,"R80,610.00",
,,Solutions,,,
,,SAWAB Freight,,,
3-Apr-20,Gloves and Masks,forwarders and,MAAA0899559,"R6,142.50",
,,Consultant,,,
,,Drager South,,,
30-Mar-20,Goggles,,MAAA0000557,"R15,324.00",
,,Africa PTY LTD,,,
,,Drager South,,,
30-Mar-20,Protective Body suits,,MAAA0000557,"R1,125,701.08",
,,Africa PTY LTD,,,
2-Apr-20,Disposable box,Averda,MAAA0070719,"R30,721.00",
,,Westrand,,,
2-Apr-20,Plexi glass,Commodities,MAAA0720008,"R109,004.00",
,,Trading,,,
,,Westrand,,,
2-Apr-20,Plexi glass,Commodities,MAAA0720008,"R109,004.00",
,,Trading,,,
,,SAWAB Freight,,,
3-Apr-20,Gloves and Masks,Forwarders and,MAAA0899559,"R5,460.00",
,,Consultant,,,
,,SAWAB Freight,,,
23-Mar-20,Gloves,Forwarders and,MAAA0899559,"R345,000.00",
,,Consultant,,,
,,SAWAB Freight,,,
23-Mar-20,3 Ply Mask,Forwarders and,MAAA0899559,"R124,631.25",
,,Consultant,,,
24-Mar-20,Hand sanitizers Dust Masks and Gloves,Mfumo Project,MAAA0030805,"R24,100.00",
,,Westrand,,,
24-Mar-20,"Sanitiser, Dust Masks and Gloves",Commodities,MAAA0720008,"R28,750.00",
,,Trading,,,
,,Tele Business,,,
2-Apr-20,Masks,,MAAA0128321,"R23,287.50",
,,Solutions,,,
7-Apr-20,Masks,Mfumo Projects,MAAA0720008,"R269,100.00",
,,SAWAB Freight,,,
24-Mar-20,Gloves and Mask,Forwarders and,MAAA0128321,"R5,460.00",
,,Consultant,,,
,,SAWAB Freight,,,
24-Mar-20,Gloves,Forwarders and,MAAA0128321,"R300,000.00",
,,Consultant,,,
1-Apr-20,Masks,RDL,MAAA0180393,"R4,313,141.70",
,,Westrand,,,
29-Apr-20,500ml empty bottles,,MAAA0128321,"R20,400.00",
,,Commodities,,,
,,Westrand,,,
24-Apr-20,Plexi glass,,MAAA0128321,"R147,281.20",
,,Westrand,,,
29-Apr-20,Red packaging tape,,MAAA0128321,"R19,080.00",
,,Commodities,,,
28-Apr-20,Face shields,Menags Trading,MAAA0173191,"R495,000.00",
29-Apr-20,Masks and gloves,Multisurge,MAAA0004727,"R118,059.00",
24-Apr-20,Masks and gloves,Tripple -N,MAAA0001283,"R104,673.00",
30-Apr-20,Gloves and Mask,Tripple -N,MAAA0001283,"R276,750.00",
,,SAWAB Freight,,,
23-Mar-20,Gloves and Mask,Forwarders and,MAAA0128321,"R679,477.50",
,,Consultant,,,
,,SAWAB Freight,,,
1-Mar-20,Gloves and Mask,Forwarders and,MAAA0128321,"R7,840.13",
,,Consultant,,,
,,SAWAB Freight,,,
20-Mar-20,Gloves and Mask,Forwarders and,MAAA0128321,"R15,099.50",
,,Consultant,,,
,,Supra latex PTY,,,
27-Mar-20,Gloves,,MAAA0015240,"R139,752.60",
,,LTD,,,
,,Westrand,,,
2-Apr-20,Gloves,,MAAA0720008,"R376,695.00",
,,Commodities,,,
,,Tele Business,,,
1-Apr-20,Gloves,,MAAA0128321,"R7,650.00",
,,Solutions,,,
,,Tele Business,,,
1-Apr-20,Masks,,MAAA0128321,"R67,500.00",
,,Solutions,,,
20-Apr-20,2ply Facial Tissue and Larger wet wipes,Cyber Motives,MAAA0481732,"R339,746.20",
,,Tele Business,,,
1-Apr-20,Gloves and Masks,,MAAA0128321,"R75,150.00",
,,Solutions,,,
,,Tele Business,,,
14-Apr-20,Masks,,MAAA0128321,"R11,316.00",
,,Solutions,,,
,,SAWAB Freight,,,
24-Mar-20,Masks,Forwarders and,MAAA0015240,"R124,631.25",
,,Consultants,,,
,,Westrand,,,
30-Apr-20,Rollsoff red tape,,MAAA0128321,"R19,080.00",
,,Commodities,,,
,,Menag's Trading,,,
30-Apr-20,Reusable face shields,,MAAA0180393,"R495,000.00",
,,and Projects,,,
2-Apr-20,Gloves,SAWAB Freight,MAAA0128321,"R128,700.00",
,,SAWAB Freight,,,
2-Apr-20,Masks,Forwarders and,MAAA0128321,"R216,450.00",
,,Consultants,,,
,,Tele Business,,,
1-Apr-20,Masks and Sanitize,,MAAA0128321,"R86,437.50",
,,Solutions,,,
23-Mar-20,Masks and Gloves,Forwarders and,MAAA0128321,"R43,700.00",
,,Consultants,,,
26-Mar-20,Body suits,Drager SA,MAAA0000557,"R1,299,500.00",
23-Mar-20,Masks & gloves,Dladlama Trading,MAAA0055164,"R28,549.80",
,Masks ,  gloves, Wet wipes , Sanitizers ,
,Hand Free Sanitiser Stand Foot Dispenser ,,,,
,PVC Face Shield (Branded) , High Quality,JD Strategic,,
5-May-20,,,MAAA0850880,"R16,261,145.85",
,Squeeze Bottle 500ml , Alcohol wipes Pkt,Investment,,
,10 each & Surface Disinfectant750ml spray,,,,
,bottle,,,,
,Infrared Non-Contact Thermometer Digital,Motlaloko,,,
4-May-20,,,MAAA0896173,"R900,000.00",
,Electronic Forehead Scanners,General (Pty) Ltd,,,
,,Tammy Tailor,,,
26-May-20,Branded Cloth Masks,,MAAA0901377,"R2,194,200.00",
,Microbial fogging the,,Specialist Pets,,
27-Mar-20,,Deviation,,,
,building (3rd  floor),,control,,
,,,,"R4,800.00",
,Microbial fogging the,,,,
,,,Specialist Pets,,
31-May-20,building (2nd and 4th,Deviation,,,
,,,control,,
,floor),,,"R4,800.00",
11-May-20,Deep cleaning,RFQ,Quatro cleaning,,
,,,,"R2,080.00",
,Microbial fogging the,,Specialist Pets,,
1-Jun-20,,Deviation,,,
,building,,control,,
,,,,"R19,575.00",
,Microbial fogging the,,Specialist Pets,,
9-Jun-20,,Deviation,,,
,building,,control,,
,,,,"R19,575.00",
,Microbial fogging the,,Specialist Pets,,
6-Jul-20,,RFQ,,,
,building,,control,,
,,,,"R19,575.00",
25-Jun-20,Deep cleaning,RFQ,Belivit,,
,,,,"R7,171.00",
,Emergency Microbial,,Specialist Pets,,
7-Jul-20,,RFQ,,,
,foggings,,control,,
,,,,"R19,575.00",
,,,Specialist Pets,,
22-Jul-20,Microbial foggings,RFQ,,,
,,,control,,
,,,,"R93,841.00",
14-Apr-20,FFP1 Masks,Axxiom (PTY) Ltd,MAAA0116779,"R52,000.00",
14-Apr-20,N95 Masks,Axxiom (PTY) Ltd,MAAA0116780,"R12,400.00",
14-Apr-20,Small Laxet free gloves-powder free,Axxiom (PTY) Ltd,MAAA0116781,"R1,128.00",
14-Apr-20,Medium Laxet free gloves-powder free,Axxiom (PTY) Ltd,MAAA0116782,"R1,128.00",
14-Apr-20,Large Laxet free gloves-powder free,Axxiom (PTY) Ltd,MAAA0116783,"R1,128.00",
14-Apr-20,Hand sanitiser 50 ml,Axxiom (PTY) Ltd,MAAA0116784,"R40,000.00",
25-Mar-20,Hand sanitiser 500 ml,Logan Medical,MAAA0367330,"R9,200.00",
26-Mar-20,Hand sanitiser 100 ml,Quatro Cleaning,MAAA0367330,"R2,975.00",
14-Apr-20,Temperature scanning equipment,,,,
,,Axxiom (PTY) Ltd,MAAA0116784,"R14,000.00",
4-Jun-20,,,,,
,Foot pedal dispenser sanitiser,Axxiom (PTY) Ltd,MAAA0116784,"R11,270.00",
,Deep cleaning and,,,,
,fogging all Land Bank,,Monabo Hygiene,,
17-Apr-20,offices,RFQ,Services,"R200,636.00",
,560 Social distancing,,Blackmoon,,
4-May-20,stickers,RFQ,Services,"R5,600.00",
,Deep cleaning of East,,Monabo Hygiene,,
17-Jun-20,London Office,RFQ,Services,"R4,209.00",
,Deep cleaning of,,Monabo Hygiene,,
29-Jul-20,Pietermaritzburg office,RFQ,Services,"R5,700.00",
,20 Sanitizer Dispensers and 20 Sanitizer,Total Healthcare,,,
13-Mar-20,Refills,Services,2013/035528/07,"R33,465.00",
,,Monabo Hygiene,,,
27-Mar-20,10 Sanitizers and 12 Boxes of gloves,Services,2018/199762/07,"R8,009.00",
,,Botsengkwala,,,
8-Apr-20,600 Disposable Masks,Hygiene services,2009/165043/23,"R17,250.00",
,,Total Healthcare,,,
24-Apr-20,25 Digital Thermometers,Services,2013/035528/07,"R45,937.00",
,,Ukusa Office,,,
29-Apr-20,2 Boxes of gloves and 2 boxes of masks,Solutions,2005/044766/23,"R2,158.00",
15-May-20,500 Face Shields,RouterTech,1989/031759/23,"R32,608.00",
,,Masana Hygiene,,,
20-May-20,1000 Reuseable Cloth masks,Services,2014/110265/07,"R27,500.00",
,50 Travel Packs,Botsengkwala,,,
22-Jun-20,"(Mask,gloves,sanitizer,disinfectant wipes)",Hygiene,2009/165043/23,"R10,100.00",
3-Jul-20,5 Sanitizers,Black Excellence,2017/489865/07,"R2,100.00",
16-Jul-20,22 Empty Spray Bottles for Sanitizer refills,Black Excellence,2017/489865/07,R550.00,
26-Mar-20,Microbial Fogging,RFQ,Kagollo,"R960,000.00",
18-Mar-20,Deep Cleaning,RFQ,Lapeng la gae,"R511,750.00",
,Disinfectants Microbial,,,,
29-Jul-20,Fogging Machines.,RFQ,Tumis Projects,"R85,750.00",
21-May-20,Sanitiser Stands,RFQ,Melokuhle,"R75,637.00",
15-Jun-20,Infrared Thermometers,RFQ,Mmusi,"R14,100.00",
29-Jul-20,Sanitizers,Steiner,1969/005893/07,"R37,557.00",
18 & 24 Mar-20,Sanitizers,KPRG,1996/051772/23,"R32,056.00",
,,Protechnik,,,
18-May-20,Sanitizers,Laboratories,1968/008611/30,"R9,394.00",
30-Mar-20,Gloves,Life Occupation,2012/07783/07,"R1,185.00",
4-Jun-20,Masks & gloves,Servest,1997/006391/07,"R4,844.00",
30-Apr-20,Masks,Hamisi,2015/077626/07,"R93,656.00",
