FREE STATE AND NORTHERN CAPE,,,,,,,,,,,
REGION,,,,,,,,,,,
ITEM DESCRIPTION,NAME OF SUPPLIER,COMPANY REGISTRATION NO,PROCUREMENT PROCESS FOLLOWED,ORDER NUMBER,ORDER DATE,UNIT OF MEASURE,ORDER,UNIT PRICE,ORDER VALUE,,
COVERALLS L,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1008,4/21/2020,each,250,R300.11,"R75,027.00",,
COVERALLS XL,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1008,4/21/2020,each,250,R300.11,"R75,027.00",,
COVERALLS XXL,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1008,4/21/2020,each,250,R300.11,"R75,027.00",,
COVERALLS XXXL,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1008,4/21/2020,each,250,R300.11,"R75,027.00",,
APRON PLASTIC FULL BODY SINGLE USE,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1007,4/21/2020,each,100,R170.00,"R17,000.00",,
EYE PROTECTION GOGLES,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1007,4/21/2020,each,600,"R89,400.00","R89,400.00",,
VISOR DISPOSABLE,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1007,4/21/2020,each,500,"R37,500.00","R37,500.00",,
GOWNS ISOLATION,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1007,4/21/2020,each,2,"R128,500.00","R128,500.00",,
SURGICAL MASKS,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1006,4/21/2020,box,100,R5 11.00,"R5 11,100.00",,
N95 MASKS,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1006,4/21/2020,box,100,"R2,986.50","R2 98,650.00",,
KN95 MASK,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1006,4/21/2020,box,500,R4 13.00,"R2 06,800.00",,
EXAMINATION GLOVES023,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1005,4/21/2020,box,50,R2 78.00,"R1 39,900.00",,
EXAMINATION GLOVES024,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1005,4/21/2020,box,50,R2 78.00,"R1 39,900.00",,
EXAMINATION GLOVES025,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1005,4/21/2020,box,50,R2 78.00,"R1 39,900.00",,
Gloves surgical  (each),IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1003,4/21/2020,box,50,R1 38.00,"R6,900.00",,
Gloves surgical  (each),IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1003,4/21/2020,box,50,R1 38.00,"R6,900.00",,
SURGICAL GLOVES,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1002,4/21/2020,box,50,R1 38.00,"R6,900.00",,
SURGICAL GLOVES,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1002,4/21/2020,box,50,R1 38.00,"R6,900.00",,
SURGICAL GLOVES,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1002,4/21/2020,box,50,R1 38.00,"R6,900.00",,
SURGICAL GLOVES,IMPERIAL HEALTH SCIENCE,1993/003465/07,COVID19,GDM 1002,4/21/2020,box,50,R1 38.00,"R6,900.00",,
BP CUFF,STAT TAKEN MEDICAL,,RT4-2017,GDM472,5/4/2020,each,6,R9 02.85,"R5,417.10",,
SUNCTION UNIT MOBILE,ECOMED MEDICAL,2016/084766/07,RT 2-2016,GDM474,5/4/2020,each,2,"R5,266.48","R10,532.96",,
PULSE OXIMETER,ECOMED MEDICAL,2016/084766/07,RT2-2016,GDM1012,5/7/2020,each,4,"R10,112.18","R40,448.72",,
AMBUBAG,ECOMED MEDICAL,2016/084766/07,RT4-2017,GDM1015,5/7/2020,EACH,2,R3 21.80,R6 43.60,,
LARYNGOSCOPE,UNICORE HOLDINGS,2011/000574/07,RT4-2017,GDM1013,2020.05.07,EACH,2,"R1,682.87","R 3,365.74",,
Mask Dust,Lechoba Medical Technology,2005/044442/07,COVID19,GDM014505,2020.06.29,Box,5,R18.75,"R93,750.00",,
Coverall Small,ARC Technologies,2017/162066/07,COVID19,GDM014506,2020.06.29,EACH,194,R5 75.00,"R1 11,550.00",,
Coverall,ALFREHUTCH TRADING,2008/130764/23,COVID19,GDM440,2020.03.20,each,2,R 89.76,"R1 79,520.00",,
COLESBERG,,,,,,,,,,,
MASK SURGICAL,C &S SUPPLIERS,2013/046169/07,RT 296-2020,DA-005037,"2020,03.21",EACH,"1,5",R26.65,"39,975.00",,
SANITIZER DISINFECTED,C &S SUPPLIERS,2013/046169/07,RT 296-2020,DA-005038,2020.03.21,250ML,500L,R40.37,"R20,185.00",,
SURFACE SANITIZER,C &S SUPPLIERS,2013/046169/07,RT 296-2020,DA-005038,2020.03.21,20 L,200L,"R1,069.10","R21,382.00",,
HAND SANITIZER,C &S SUPPLIERS,2013/046169/07,DEVIATION,CL-006372,2020.03.16,250ML,390L,R39.90,"R15,561.00",,
DISPOSABLE OVERALL,C &S SUPPLIERS,2013/046169/07,DEVIATION,CL-006372,2020.03.16,EACH,50,R218.50,"R10,925.00",,
SAFETY GOGGLES,SJ 75 MOHALE CONTR,2019/522428/07,DEVIATION,CL-006372,2020.03.16,EACH,10,R39.00,R390.00,,
N95 MASK,SJ 75 MOHALE CONTR,2019/522428/07,DEVIATION,CL-006372,2020.03.16,EACH,100,R15.00,"R1,500.00",,
GLOVES YELLOW,OVISH OVISH,2016/046562/07,DEVIATION,CL-006372,2020.03.16,PAIRS,50,R10.00,R500.00,,
BLEACH,IMPERIAL HEALTH SCIENCES,1993/003465/07,DEVIATION,CL-006372,2020.03.16,25 L,125,R200.00,"R1,000.00",,
HAND SANITIZER,IMPERIAL HEALTH SCIENCES,1993/003465/07,DEVIATION,CL-006373,2020.03.17,5L,50,R700.00,"R7,000.00",,
DISPOSABLE OVERALL,IMPERIAL HEALTH SCIENCES,1993/003465/07,DEVIATION,CL-006373,2020.03.17,EACH,50,R              220.00,"R                11,000.00",,
HAND SANITIZER,IMPERIAL HEALTH SCIENCES,1993/003465/07,DEVIATION,CL-006374,2020.03.25,5L,200,R              700.00,"R                28,000.00",,
SURGICAL GLOVES,IMPERIAL HEALTH SCIENCES,1993/003465/07,RT CONTRACT,CL-006375,2020.04.20,PAIRS,500,R              138.00,"R                  1,380.00",,
SURGICAL GLOVES,IMPERIAL HEALTH SCIENCES,1993/003465/07,RT CONTRACT,CL-006375,2020.04.20,PAIRS,500,R              138.00,"R                  1,380.00",,
SURGICAL GLOVES,IMPERIAL HEALTH SCIENCES,1993/003465/07,RT CONTRACT,CL-006375,2020.04.20,PAIRS,350,R              250.00,"R                  1,750.00",,
SURGICAL GLOVES,IMPERIAL HEALTH SCIENCES,1993/003465/07,RT CONTRACT,CL-006375,2020.04.20,PAIRS,350,R              250.00,"R                  1,750.00",,
EXAMINATION GLOVES,IMPERIAL HEALTH SCIENCES,1993/003465/07,RT CONTRACT,CL-006375,2020.04.20,PAIRS,300,R              278.00,"R                  1,668.00",,
BIOHAZARD BAGS,"IMPERIAL LOGISTICS SOUTH AFRICA
GROUP",1993/003465/07,RT CONTRACT,CL-006375,2020.04.20,EACH,300,R                  1.80,R                      540.00,,
N95 MASK RESPIRATOR,BIOLOGICAL PHARMACERTICAL,2013/067392/07,RT CONTRACT,CL-006375,2020.04.20,EACH,50,"R          2,986.50","R                14,932.50",,
DIGITAL THERMOMETER,BIOLOGICAL PHARMACERTICAL,2013/067392/07,RT CONTRACT,CL-006375,2020.04.20,EACH,8,"R          1,888.50","R                15,108.00",,
SANITISERS AND DISINFECTANTS,BIOLOGICAL PHARMACERTICAL,2013/067392/07,RT CONTRACT,CL-006375,2020.04.20,25L,175,"R          1,635.45","R                11,448.15",,
Examination Gloves - type 2 L,BIOLOGICAL PHARMACERTICAL,2013/067392/07,YES,AC-765154,2020.04.21,Box of 100,20,R              278.00,"R                  5,560.00",,
MASK SURGICAL,BIOLOGICAL PHARMACERTICAL,2013/067392/07,RT 296-2020,CL-006493,"2020,07.17",EACH,5,R                26.65,"R""133,250.00",,
SURGICAL GLOVES,BIOLOGICAL PHARMACERTICAL,2013/067392/07,RT 296-2020,CL-006493,"2020,07.17",PAIRS,"2,5",R                  4.40,"11,000.00",,
,,,,,,,,,,,
GROENPUNT,,,,,,,,,,,
Surgical Mask,Alfrehutch Trading,2008/130764/23,RT32-2019,VR-006445,3/27/2020,Box of 50,8,R              294.54,"R                  2,356.32",,
Surgical Mask,Multi Surge (Pty)Ltd,N/A,RT76-2020,GR-0005062,3/27/2020,Box of 50,100,R              460.00,"R                46,000.00",,
Surgical Mask,Safarmex,2007/033535/07,RT32-2019,GR-012938,6/12/2020,Box of 50,200,R              119.73,"R                23,946.00",,
N95 Mask,Chemical World,2019/253242/07,RT32-2019,SA-005630,3/20/2020,Box of 50,400,R                14.95,"R                  5,980.00",,
N95 Mask,Chemical World,2019/253242/07,RT32-2019,GR-012696,3/20/2020,Box of 30,200,R                14.95,"R                  2,990.00",,
N95 Mask,Central Medical (Pty)Ltd,1995/003785/07,RT32-2019,GR-012703,3/20/2020,Box of 30,100,R                14.95,"R                  1,495.00",,
N95 Mask,"BIOLOGICO PHARMACEUTICALS (PTY)
LTD",N/A,RT296-2020,GR-0005088,3/31/2020,Box of 30,200,R                26.65,"R                  5,330.00",,
Alcohol based hand sanitiser,Barrs Pharmaceutical Industries,N/A,RT300-2017,GR-012697,3/20/2020,500ml,480,R                15.79,"R                  7,579.20",,
Alcohol based hand sanitiser,Unitrade 1032 CC,N/A,RTCovid-19,GR-0005063,4/1/2020,500ml,1,R                62.10,"R                62,100.00",,
Alcohol based hand sanitiser,Barrs Pharmaceutical Industries,N/A,RT300-2017,GR-012708,3/20/2020,500ml,100,R                15.92,"R                  1,592.00",,
Alcohol based hand sanitiser,Unitrade 1032 CC,1998/002665/23,RT300-2017,SA-005622,3/19/2020,500ml,2,R                16.41,"R                32,820.00",,
Alcohol based hand sanitiser,Barrs Pharmaceutical Industries,N/A,RT300-2017,VR-006423,3/19/2020,500ml,750,R                15.79,"R                11,842.50",,
Alcohol based hand sanitiser,"Stix Transport Services & General
Dealer",2014/213000/07,Deviation,N697015,4/1/2020,bottle,200,R              135.00,"R                27,000.00",,
Biocide D/Bleach,Three40 Trading,2018/389965/07,Normal Price quotation,N697017,4/6/2020,Litre,1,R                17.50,"R                17,500.00",,
Gloves,Evergreen Latex,2002/057771/23,RT76-2020,SA-005615,3/18/2020,Box of 100,"7,5",R                  0.50,"R                  3,739.50",,
Gloves,Evergreen Latex,2002/057771/23,RT300-2017,VR-006436,3/19/2020,Box of 100,730,R                92.00,"R                67,160.00",,
Gloves,MediCart,2016/534688/07,Deviation,GR-0005079,7/2/2020,Box of 100,2,R                  2.65,"R                  5,290.00",,
Gloves,Promed Technologies,2014/162488/07,RT76-2020,GR-0005085,3/31/2020,Box of 100,200,R                46.60,"R                  9,320.00",,
Gloves,Evergreen Latex,2002/057771/23,RT76-2020,GR-012700,3/20/2020,Box of 100,100,R                50.82,"R                  5,082.00",,
Gloves,Evergreen Latex,2002/057771/23,RT76-2020,GR-0012695,3/20/2020,Box of 100,100,R                49.86,"R                  4,986.00",,
Spray bottle,Barrs Pharmaceutical Industries,N/A,RT300-2017,GR-012704,3/20/2020,500ml,100,R                21.15,"R                  2,115.00",,
Infrared Tempature Scanner,Multi Surge (Pty)Ltd,N/A,RT76-2020,GR-0005062,3/27/2020,ea,10,"R          2,300.00","R                23,000.00",,
Surface sanitiser,Barrs Pharmaceutical Industries,N/A,RT300-2017,GR-012702,3/20/2020,5L,100,R                14.01,"R                  1,401.00",,
Disposable Aprons,Central Medical (Pty)Ltd,1995/003785/07,RT32-2019,GR-0005087,3/31/2020,ea,2,R                  0.32,R                      640.00,,
Disposable Gowns,"Lechoba Medical Technologies
(Pty)Ltd",2005/04444/07,RT76-2020,GR-0005086,3/31/2020,ea,200,R                59.95,"R                11,990.00",,
Disposable Gowns,Logan Medical and Surgical,2012/056508/07,RT300-2017,GR-012933,6/12/2020,ea,3,R                  6.90,"R                20,700.00",,
Disposable Gowns (Isolation),MediCart,2016/534688/07,Deviation,GR-0005079,7/2/2020,ea,200,R                75.67,"R                15,134.00",,
Coveralls,MediCart,2016/534688/07,Deviation,GR-0005079,7/2/2020,ea,500,R              121.90,"R                60,950.00",,
Boot covers,Medical International Orthopaedic,2007/023366/23,RT300-2017,GR-012937,6/12/2020,Box of 100,100,R                19.23,"R                  1,923.00",,
Flu Vaccine,Kahma Biotech (pty)Ltd,1997/014365/07,RT76-2020,GR-0005089,3/30/2020,ea,1,R                39.93,"R                39,930.00",,
Paper towel,Promed Technologies,,RT14,SA-005621,3/19/2020,ea,340,R                55.75,"R                18,955.00",,
Faceshield,MediCart,2016/534688/07,Deviation,GR-0005079,7/2/2020,ea,100,R                69.23,"R                  6,923.00",,
Mop Caps,MediCart,2016/534688/07,Deviation,GR-0005079,7/2/2020,ea,1,R                  0.75,R                      750.00,,
,,,,,,,,,,,
GROOTVLEI,,,,,,,,,,,
"SURGICAL GLOVES, STERILE, TYPE 1 SIZE 6
(RUBBER LATEX)",Imperial Logistics South Africa,1993/003465/07,"National Treasury Instruction No 03 of 2020/2021 Par
4",GV - 004045,Not Known Yet,50 PAIRS,20,R              138.00,"R                  2,760.00",,
"SURGICAL GLOVES, STERILE, TYPE 1 SIZE
6.5",Imperial Logistics South Africa,1993/003465/07,"National Treasury Instruction No 03 of 2020/2021 Par
4",GV - 004045,Not Known Yet,50 PAIRS,30,R              138.00,"R                  4,140.00",,
"SURGICAL GLOVES, STERILE, TYPE 1 SIZE 7",Imperial Logistics South Africa,1993/003465/07,"National Treasury Instruction No 03 of 2020/2021 Par
4",GV - 004045,Not Known Yet,50 PAIRS,30,R              138.00,"R                  4,140.00",,
"SURGICAL GLOVES, STERILE, TYPE 1 SIZE
7.5",Imperial Logistics South Africa,1993/003465/07,"National Treasury Instruction No 03 of 2020/2021 Par
4",GV - 004045,Not Known Yet,50 PAIRS,30,R              138.00,"R                  4,140.00",,
"SURGICAL GLOVES, STERILE, TYPE 1 SIZE 8",Imperial Logistics South Africa,1993/003465/07,"National Treasury Instruction No 03 of 2020/2021 Par
4",GV - 004045,Not Known Yet,50 PAIRS,30,R              138.00,"R                  4,140.00",,
"SURGICAL GLOVES, STERILE, TYPE 1 SIZE
8.5",Imperial Logistics South Africa,1993/003465/07,"National Treasury Instruction No 03 of 2020/2021 Par
4",GV - 004045,Not Known Yet,50 PAIRS,20,R              138.00,"R                  2,760.00",,
"SURGICAL GLOVES, STERILE, TYPE 1 SIZE 9",Imperial Logistics South Africa,1993/003465/07,"National Treasury Instruction No 03 of 2020/2021 Par
4",GV - 004045,Not Known Yet,50 PAIRS,10,R              138.00,"R                  1,380.00",,
"EXAMINATION GLOVES, TYPE 1 SIZE
SMALL",Imperial Logistics South Africa,1993/003465/07,"National Treasury Instruction No 03 of 2020/2021 Par
4",GV - 004045,Not Known Yet,BOX OF 100,20,R              278.00,"R                  5,560.00",,
"EXAMINATION GLOVES, TYPE 1 SIZE
MEDIUM",Imperial Logistics South Africa,1993/003465/07,"National Treasury Instruction No 03 of 2020/2021 Par
4",GV - 004045,Not Known Yet,BOX OF 100,40,R              278.00,"R                11,120.00",,
"EXAMINATION GLOVES, TYPE 1 SIZE LARGE",Imperial Logistics South Africa,1993/003465/07,"National Treasury Instruction No 03 of 2020/2021 Par
4",GV - 004045,Not Known Yet,BOX OF 100,40,R              278.00,"R                11,120.00",,
"EXAMINATION GLOVES, TYPE 1 SIZE X-
LARGE",Imperial Logistics South Africa,1993/003465/07,"National Treasury Instruction No 03 of 2020/2021 Par
4",GV - 004045,Not Known Yet,BOX OF 100,20,R              278.00,"R                  5,560.00",,
"EXAMINATION GLOVES, TYPE 2 SIZE",,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
SMALL,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 100,20,R,278.00,R,"5,560.00"
"EXAMINATION GLOVES, TYPE 2 SIZE",,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
MEDIUM,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 100,40,R,278.00,R,"11,120.00"
,,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
"EXAMINATION GLOVES, TYPE 2 SIZE LARGE",,,,,,,,,,,
,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 100,40,R,278.00,R,"11,120.00"
"EXAMINATION GLOVES, TYPE 2 SIZE X-",,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
LARGE,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 100,20,R,278.00,R,"5,560.00"
,,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
"SURGICAL FACE MASK, ASEPTIC, BLUE",,,,,,,,,,,
,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 50,40,R,511.00,R,"20,440.00"
"SURGICAL MASK, SINGLE USE WITH",,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
ELASTIC EAR,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 50,20,R,624.00,R,"12,480.00"
,,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
N95 MASK - RESPIRATOR,,,,,,,,,,,
,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 50,10,R,"2,986.50",R,"29,865.00"
,,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
KN95 MASK - RESPIRATORDUST MASK,,,,,,,,,,,
,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 10,10,R,413.60,R,"4,136.00"
,,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
"APRON PLASTIC FULL BODY, SINGLE USE",,,,,,,,,,,
,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 100,60,R,170.00,R,"10,200.00"
,,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
"EYE PROTECTION, GOGGLES",,,,,,,,,,,
,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,EACH,80,R,149.00,R,"11,920.00"
,,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
"VISOR, DISPOSABLE",,,,,,,,,,,
,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,EACH,160,R,75.00,R,"12,000.00"
,,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
"ISOLLATION, GOWNS",,,,,,,,,,,
,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,EACH,600,R,64.25,R,"38,550.00"
,,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
"SANITIZER, 25 LITRE",,,,,,,,,,,
,Imperial Logistics South Africa,1993/003465/07,4,GV-004048,Not Known Yet,25 LITRE,40,R,"1,635.45",R,"65,418.00"
,,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
"GOWN, SURGICAL, NON-WOVEN",,,,,,,,,,,
,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,EACH,200,R,135.00,R,"27,000.00"
,,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
BOOT COVERS,,,,,,,,,,,
,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,BOX OF 100,40,R,130.00,R,"5,200.00"
,,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
SPRAY BOTTLES,,,,,,,,,,,
,Imperial Logistics South Africa,1993/003465/07,4,GV-004048,Not Known Yet,500ML,300,R,24.50,R,"7,350.00"
,,,National Treasury Instruction No 03 of 2020/2021 Par,,,,,,,,
DIGITAL THERMOMETER (INFRARED),,,,,,,,,,,
,Imperial Logistics South Africa,1993/003465/07,4,GV - 004045,Not Known Yet,EACH,20,R,"1,888.50",R,"37,770.00"
Hand sanitizer,,,,,,,,,,,
,Biological Pharma,2013/067392/07,RT 296-2020 item 08-271,GV-004001,4/8/2020,Pack,1000,R,26.65,R,"26,650.00"
Mask Surgical,,,,,,,,,,,
,Allenco medical,2001/068091/23,covid19 - 004,GV-004021,4/9/2020,Each,3000,R,9.00,R,"27,000.00"
Masks N95,,,,,,,,,,,
,Liora Medical,2011/013434/23,RT 32 item 42295407-0003,GV-020125,3/20/2020,Box of 30,197,R,5.35,R,"1,053.95"
Goggles,,,,,,,,,,,
,Lechoba Medical Technologies,2005/044442/07,Covid19-016,GV-020098,4/9/2020,Each,80,R,65.90,R,"5,272.00"
"ISOLLATION, GOWNS",,,,,,,,,,,
,workhorse Workwear,2015/295425/07,price quotation,GV-020285,5/5/2020,EACH,60,R,100.03,R,"6,003.00"
Gloves examination sterile,,,,,,,,,,,
,Evergreen latex,2002/057771/23,RT76 item 42132203-000039,GV-020128,3/20/2020,Boxes of 100,99,R,92.00,R,"9,108.00"
Gloves Surgical Sterile Type 2,,,,,,,,,,,
,Medtex (Pty) Ltd,1992/003572/07,"RT76 item 42132205-00021,22,23,24,25",GV-004032,4/15/2020,Box of 100,80,R,495.08,R,"39,606.40"
Gloves Surgical Sterile Type 1,,,,,,,,,,,
,Supra Healthcare Jhb,2007/027848/07,"RT76 item 42132205-0029,30,31,32,33,34,35",GV-004033,4/15/2020,Box of 100,100,R,245.38,R,"24,538.00"
"Gloves clear plastic surgical, Type 1",,,,,,,,,,,
,Supra Healthcare Jhb,2007/027848/07,Covid19 - 001,GV-020217,4/15/2020,Box of 100,600,R,99.88,R,"59,928.00"
Overalls,,,,,,,,,,,
,Tumey Consulting,2008/222244/23,price quotation,GV-020298,5/4/2020,each,45,R,247.83,R,"11,152.35"
Hand sanitizer,,,,,,,,,,,
,Barrs Pharmaceuticals,2012/056577/07,RT300  item 51284804-00002,GV-020126,3/20/2020,500ml,3100,R,16.41,R,"50,871.00"
Surgical Scrubs,,,,,,,,,,,
,Barrs Pharmaceuticals,2012/056577/07,RT 300 item 51472802-0000,GV-004026,4/14/2020,500ml,300,R,21.15,R,"6,345.00"
Towel paper,,,,,,,,,,,
,Promed Technologies,2014/162486/07,RT14 item 14111703-000003,GV-020144,5/5/2020,,500,R,31.75,R,"15,875.00"
Towel paper,,,,,,,,,,,
,Promed Technologies,2014/162486/07,RT14 item 14111703-000003,GV-020144,3/25/2020,Each,500,R,38.00,R,"18,550.00"
"Gowns Hospital, short sleeve",,,,,,,,,,,
,Logan medical and Surgical,2012/056508/07,RT 32item 42131504-0011,GV-020297,4/9/2020,medium,1000,R,5.98,R,"5,980.00"
"Gowns Hospital, short sleeve",,,,,,,,,,,
,Logan medical and Surgical,2012/056508/07,RT 32 item 42131504-0012,GV-020297,4/9/2020,large,1000,R,6.90,R,"6,900.00"
"Gowns Hospital, short sleeve",,,,,,,,,,,
,Logan medical and Surgical,2012/056508/07,RT 32 item 42131504-0013,GV-020297,4/9/2020,X-Large,1000,R,8.05,R,"8,050.00"
Isollation gowns Large (long sleeves),,,,,,,,,,,
,Logan medical and Surgical,2012/056508/07,Covid19-005,GV-020333,4/9/2020,Each,600,R,40.25,R,"24,150.00"
Apron straight (single use),,,,,,,,,,,
,Domoney Bros,2018/093083/07,price quotation,GV-020289,5/6/2020,box of 10,30,R,264.50,R,"7,935.00"
Apron Plastic (light green),,,,,,,,,,,
,Central medical,1995/003785/07,RT 32 item 42131601-00006,GV-020016,2/26/2020,Each,3000,R,0.32,R,960.00
Disposable scrub suits - Medium,,,,,,,,,,,
,Logan medical and Surgical,2012/056508/07,RT 32 item 42131608-00002,GV-004006,4/9/2020,Set,500,R,17.33,R,"8,665.00"
Sleeve protector (single use),,,,,,,,,,,
,Medi-Core Technologies,2013/198711/07,RT 32 item 42131610-00000,GV-020329,4/9/2020,Each,5000,R,0.22,R,"1,100.00"
Disposable caps white,,,,,,,,,,,
,workhorse Workwear,2015/295425/07,price quotation,GV-020256,4/28/2020,PACK OF 100,30,R,30.00,R,900.10
Gumboots white,,,,,,,,,,,
,Tswellang Trading,2002/020849/07,price quotation,GV-020188,28/04/2020,pair,40,R,156.00,R,"6,210.00"
Gumboots white,,,,,,,,,,,
,BBF Safety Group,2014/095914/07,RT 59 item 53111501-00023,GV-020255,4/9/2020,Pair,40,R,164.35,R,"6,574.00"
Over shoe non-waven (single use),,,,,,,,,,,
,Domoney Bros,2018/093083/07,price quotation,GV-004055,5/6/2020,box,5,R,65.00,R,325.00
Disposable Linen -Disposable draw sheets,,,,,,,,,,,
,Promed Technologies,2014/162486/07,RT 32 item 42132105-00000,GV-020332,5/5/2020,EACH,6000,R,2.18,R,"13,080.00"
Disposable Linen -Disposable draw sheets,,,,,,,,,,,
,Promed Technologies,2014/162486/07,RT 32 item 42132105-00000,GV-004003,4/8/2020,each,6000,R,2.18,R,"13,080.00"
Linen savers,,,,,,,,,,,
