Vote,Department,Description,Entity Name,CSD Supplier Number,Payment Amount,Commitment Amount,Total Expenditure
1,Vote 1 : Premier,ADVERTISEMENT,FCB CAPE TOWN,MAAA0236791 ,R0.00 ,"R81,554.67 ","R81,554.67 "
1,Vote 1 : Premier,ADVERTISEMENT,FCB CAPE TOWN,MAAA0236791 ,R0.00 ,"R549,999.99 ","R549,999.99 "
1,Vote 1 : Premier,COMMUNICATION,FCB CAPE TOWN,MAAA0236791 ,"R3,335,672.44 ","R1,434,000.25 ","R4,769,672.69 "
1,Vote 1 : Premier,ADVERTISING,FCB CAPE TOWN,MAAA0236791 ,"R81,554.66 ",R0.00 ,"R81,554.66 "
1,Vote 1 : Premier,CONSULT:BUSINESS&ADVISORY SERV,FCB CAPE TOWN,MAAA0236791 ,"R1,178,290.00 ","R1,178,290.00 ","R2,356,580.00 "
1,Vote 1 : Premier,CONSULT:BUSINESS&ADVISORY SERV,FCB CAPE TOWN,MAAA0236791 ,"R197,426.25 ","R197,426.25 ","R394,852.50 "
1,Vote 1 : Premier,AV for use of cloth mask,FCB CAPE TOWN,MAAA0236791 ,"R136,834.79 ","R53,400.52 ","R190,235.31 "
1,Vote 1 : Premier,Radio,FCB CAPE TOWN,MAAA0236791 ,R0.00 ,"R59,541.25 ","R59,541.25 "
1,Vote 1 : Premier,CONTRACTORS,FCB CAPE TOWN,MAAA0236791 ,"R1,408,624.53 ",R0.00 ,"R1,408,624.53 "
1,Vote 1 : Premier,CONTRACTORS,FCB CAPE TOWN,MAAA0236791 ,"R37,400.00 ",R0.00 ,"R37,400.00 "
1,Vote 1 : Premier,CONTRACTORS,FCB CAPE TOWN,MAAA0236791 ,"R160,886.82 ",R0.00 ,"R160,886.82 "
1,Vote 1 : Premier,CONTRACTORS,FCB CAPE TOWN,MAAA0236791 ,"R163,018.69 ",R0.00 ,"R163,018.69 "
1,Vote 1 : Premier,Campaign,FCB CAPE TOWN,MAAA0236791 ,"R1,894,783.35 ","R8,505.37 ","R1,903,288.72 "
1,Vote 1 : Premier,Stage 2 Media Schedule,FCB CAPE TOWN,MAAA0236791 ,R0.00 ,"R1,300,000.00 ","R1,300,000.00 "
1,Vote 1 : Premier,ADVERTISING,FCB CAPE TOWN,MAAA0236791 ,"R1,557,663.44 ","R31,312.94 ","R1,588,976.38 "
1,Vote 1 : Premier,ADVERTISING,FCB CAPE TOWN,MAAA0236791 ,"R1,611,252.39 ",R0.00 ,"R1,611,252.39 "
1,Vote 1 : Premier,ADVERTISEMENT,FCB CAPE TOWN,MAAA0236791 ,"R4,479,899.25 ","R640,186.10 ","R5,120,085.35 "
1,Vote 1 : Premier,ADVERTISING,FCB CAPE TOWN,MAAA0236791 ,"R223,743.92 ",R377.16 ,"R224,121.08 "
1,Vote 1 : Premier,CONSULT:BUSINESS&ADVISORY SERV,FCB CAPE TOWN,MAAA0236791 ,"R2,030,670.00 ","R2,030,670.00 ","R4,061,340.00 "
1,Vote 1 : Premier,Software licence - Subscription,Geoterra Image,MAAA0023489 ,"R523,250.00 ",R0.00 ,"R 523 250,00 "
1,Vote 1 : Premier,Trigget Spray Bottles,KPG MEDIA TECHNOLOGIES,MAAA0367381 ,R0.00 ,"R7,866.00 ","R7,866.00 "
1,Vote 1 : Premier,2 Ply Folded Paper Towels,KPG MEDIA TECHNOLOGIES,MAAA0367381 ,R0.00 ,"R7,590.00 ","R7,590.00 "
1,Vote 1 : Premier,SIM CARDS,LIQUID TELECOMS,MAAA0002119 ,"R189,004.80 ","R1,080,451.45 ","R1,269,456.25 "
1,Vote 1 : Premier,Software licence-Cloud,OMEGA DIGITAL ,MAAA0084718 ,"R162,150.00 ",R0.00 ,"R162,150.00 "
1,Vote 1 : Premier,NEW CRM SOLUTIONS,Oracle Corporation (South Africa) (Pty),MAAA0094612,R0.00 ,"R4,560,800.00 ","R4,560,800.00 "
1,Vote 1 : Premier,"Router, installation fee and 12 internet month service",RSA WEB ,MAAA0498723 ,"R79,653.00 ","R81,338.81 ","R160,991.81 "
1,Vote 1 : Premier,Internet Services,Telkom,MAAA0016750 ,R0.00 ,"R120,870.00 ","R120,870.00 "
1,Vote 1 : Premier,MIFI DEVICES,VODACOM,MAAA0006299 ,R0.00 ,"R229,540.00 ","R229,540.00 "
1,Vote 1 : Premier,LTE ROUTER,VODACOM,MAAA0006299 ,R0.00 ,"R90,900.00 ","R90,900.00 "
1,Vote 1 : Premier,SANITISERS - 5 Litre,XERUS SURGICAL,MAAA0007334 ,"R68,381.00 ",R0.00 ,"R68,381.00 "
1,Vote 1 : Premier,SANITISERS - 500ml,XERUS SURGICAL,MAAA0007334 ,"R155,700.00 ",R0.00 ,"R155,700.00 "
1,Vote 1 : Premier,MASKS- BRANDED,ZEBRA MEDICAL SUPPLIES,MAAA0126506 ,"R157,320.00 ",R0.00 ,"R157,320.00 "
3,Vote 3 : Provincial Treasury,"GLOVES,DISPOSABLE , LATEX FREE, NITRILE, EXAMINATION,",AMCOMED,MAAA0074321,"R1,840.00 ",R0.00 ,"R1,840.00 "
3,Vote 3 : Provincial Treasury,"SANITIZER DETERGENT , HAND, 70 PERCENT ALCOHOL, 100M",AMCOMED,MAAA0074321,"R5,992.20 ",R0.00 ,"R5,992.20 "
3,Vote 3 : Provincial Treasury,PRINTING OF VINYL DECAL STICKERS,BLACKBURN SOLUTIONS (Pty) Ltd,MAAA0593401,"R3,450.00 ",R0.00 ,"R3,450.00 "
3,Vote 3 : Provincial Treasury,"MASK,MEDICAL , FACE, CLOTH",I K N S TRADING,MAAA0063017,"R39,330.00 ",R0.00 ,"R39,330.00 "
3,Vote 3 : Provincial Treasury,"DISINFECTANT , SURFACE AND HAND LIQUID, 70 PERCENT A",ORACLE MEDICAL,MAAA0009975,"R24,500.00 ",R0.00 ,"R24,500.00 "
3,Vote 3 : Provincial Treasury,"DUCT TAPE, 48MMX25M,RED IN COLOUR",ORACLE MEDICAL,MAAA0009975,R990.00 ,R0.00 ,R990.00 
3,Vote 3 : Provincial Treasury,"DISINFECTANT , SURFACE AND HAND LIQUID, 70 PERCENT A  1 LIT THERMOMETER , DIGITAL INFRARED, NON CONTACT, KOD",ORACLE MEDICAL,MAAA0009975,"R6,230.00 ",R0.00 ,"R6,230.00 "
3,Vote 3 : Provincial Treasury,"SANITIZER DETERGENT , HAND, 70 PERCENT ALCOHOL, 500M",ORACLE MEDICAL,MAAA0009975,"R12,460.00 ",R0.00 ,"R12,460.00 "
3,Vote 3 : Provincial Treasury,"SANITIZER DETERGENT , REFILL, 70 PERCENT ALCOHOL,",ORACLE MEDICAL,MAAA0009975,"R13,500.00 ",R0.00 ,"R13,500.00 "
3,Vote 3 : Provincial Treasury,"THERMOMETER , DIGITAL INFRARED, NON CONTACT, KOD",ORACLE MEDICAL,MAAA0009975,"R13,000.00 ",R0.00 ,"R13,000.00 "
4,Vote 4 : Community Safety ,"WIPES,CLEANING ",AMANTHI TRADERS ,MAAA0034819 ,"R15,300.00 ",R0.00 ,"R15,300.00 "
4,Vote 4 : Community Safety ,"THERMOMETER,DIGITAL ",AMCOMED ,MAAA0074321 ,"R80,097.50 ",R0.00 ,"R80,097.50 "
4,Vote 4 : Community Safety ,"THERMOMETER,DIGITAL ",AMCOMED ,MAAA0074321 ,"R3,432.75 ",R0.00 ,"R3,432.75 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,C4 INVESTMENTS ,MAAA0002496 ,"R26,125.00 ",R0.00 ,"R26,125.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,C4 INVESTMENTS ,MAAA0002496 ,"R4,750.00 ",R0.00 ,"R4,750.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,C4 INVESTMENTS ,MAAA0002496 ,"R5,937.50 ",R0.00 ,"R5,937.50 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,C4 INVESTMENTS ,MAAA0002496 ,"R5,937.50 ",R0.00 ,"R5,937.50 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,C4 INVESTMENTS ,MAAA0002496 ,"R5,937.50 ",R0.00 ,"R5,937.50 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,C4 INVESTMENTS ,MAAA0002496 ,"R4,464.00 ",R0.00 ,"R4,464.00 "
4,Vote 4 : Community Safety ,"PARTITIONS, COVID19 SCREENS ",DAFFODIL TRADING 39 ,MAAA0344915 ,"R47,960.00 ",R0.00 ,"R47,960.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,DIBA CONSULTANCY AND EVENTS M,MAAA0396196,R0.00,"R30,225.00","R30,225.00"
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,DISTINCTIVE CHOICE 248 ,MAAA0108302 ,"R5,175.00 ",R0.00 ,"R5,175.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,DISTINCTIVE CHOICE 248 ,MAAA0108302 ,"R5,175.00 ",R0.00 ,"R5,175.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,DISTINCTIVE CHOICE 248 ,MAAA0108302 ,"R6,624.00 ",R0.00 ,"R6,624.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,DISTINCTIVE CHOICE 248 ,MAAA0108302 ,"R5,520.00 ",R0.00 ,"R5,520.00 "
4,Vote 4 : Community Safety ,"MASK,MEDICAL , SINGLE USE, FLUID RESISTANT, ELASITIC EA",FG LOOPS,MAAA0028564 ,"R24,989.50 ",R0.00 ,"R24,989.50 "
4,Vote 4 : Community Safety ,"MASK,MEDICAL , SINGLE USE, FLUID RESISTANT, ELASITIC EA",FG LOOPS,MAAA0028564 ,"R24,989.50 ",R0.00 ,"R24,989.50 "
4,Vote 4 : Community Safety ,"THERMOMETER,DIGITAL ",GRINNELL SECURITY SERVICES (PTY) ,MAAA0106693 ,"R9,746.25 ",R0.00 ,"R9,746.25 "
4,Vote 4 : Community Safety ,FOGGING BUILDING ,MERIDIAN HYGIENE ,MAAA0563261 ,"R9,158.03 ",R0.00 ,"R9,158.03 "
4,Vote 4 : Community Safety ,COVID19 TESTING ,MOMENTUM OCSA ,MAAA0467389 ,"R63,654.80 ",R0.00 ,"R63,654.80 "
4,Vote 4 : Community Safety ,"PROTECTOR SHIELD , FACE, CLEAR PET, 400 X 230 MM ",OUTDOOR POWER ,MAAA0002943 ,"R10,005.00 ",R0.00 ,"R10,005.00 "
4,Vote 4 : Community Safety ,"PROTECTOR SHIELD , FACE, CLEAR PET, 400 X 230 MM ",OUTDOOR POWER CC ,MAAA0002943 ,"R7,500.30 ",R0.00 ,"R7,500.30 "
4,Vote 4 : Community Safety ,DECONTAMINATION ,RENTOKIL INITIAL ,MAAA0102243 ,"R10,580.00 ",R0.00 ,"R10,580.00 "
4,Vote 4 : Community Safety ,SOCIAL DISTANCE MARKERS ,RIBBENS OFFICE SOLUTIONS ,MAAA0582311 ,"R6,013.35 ",R0.00 ,"R6,013.35 "
4,Vote 4 : Community Safety ,"PARTITIONS, COVID19 SCREENS ",RIBBENS OFFICE SOLUTIONS ,MAAA0582311 ,"R4,191.75 ",R0.00 ,"R4,191.75 "
4,Vote 4 : Community Safety ,"PARTITIONS, COVID19 SCREENS ",RIBBENS OFFICE SOLUTIONS ,MAAA0582311 ,"R2,716.86 ",R0.00 ,"R2,716.86 "
4,Vote 4 : Community Safety ,"MASK,SAFETY , PROTECTIVE FACE MASK ",RUSH SCHOOL AND SPORTWEAR ,MAAA0895357 ,R0.00 ,"R370,000.00 ","R370,000.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563 ,"R1,175.00 ",R0.00 ,"R1,175.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563 ,"R5,875.00 ",R0.00 ,"R5,875.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563 ,"R5,875.00 ",R0.00 ,"R5,875.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563 ,"R7,050.00 ",R0.00 ,"R7,050.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563 ,"R5,875.00 ",R0.00 ,"R5,875.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563 ,"R5,875.00 ",R0.00 ,"R5,875.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563 ,"R5,875.00 ",R0.00 ,"R5,875.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563 ,"R5,875.00 ",R0.00 ,"R5,875.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563 ,"R5,875.00 ",R0.00 ,"R5,875.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563 ,"R5,875.00 ",R0.00 ,"R5,875.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563 ,"R5,875.00 ",R0.00 ,"R5,875.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563 ,"R5,875.00 ",R0.00 ,"R5,875.00 "
4,Vote 4 : Community Safety ,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563 ,"R5,875.00 ",R0.00 ,"R5,875.00 "
4,Vote 4 : Community Safety ,"SANITIZER DETERGENT , HAND, SPRAY, 5L ",SWARVE ,MAAA0072192 ,"R6,200.11 ",R0.00 ,"R6,200.11 "
4,Vote 4 : Community Safety ,"SANITIZER DETERGENT , HAND, SPRAY, 25L ",TECHNOLOGY STRATEGY CORP ,MAAA0873509 ,"R247,726.10 ",R0.00 ,"R247,726.10 "
4,Vote 4 : Community Safety ,"SANITIZER DETERGENT , HAND, 70 PERCENT ALCOHOL, 500M",ML TRIPLE A SOLUTIONS ,MAAA0497059 ,"R4,400.00 ",R0.00 ,"R4,400.00 "
4,Vote 4 : Community Safety ,"SANITIZER DETERGENT , HAND, SPRAY, 25L ",TRIPLE A SOLUTIONS ,MAAA0497059 ,"R1,150.00 ",R0.00 ,"R1,150.00 "
4,Vote 4 : Community Safety ,"SANITIZER DETERGENT , HAND, SPRAY, 5L ",TRIPLE A SOLUTIONS ,MAAA0497059 ,"R2,880.00 ",R0.00 ,"R2,880.00 "
4,Vote 4 : Community Safety ,"SANITIZER DETERGENT , REFILL, 70 PERCENT ALCOHOL, 1 L",RE TRIPLE A SOLUTIONS ,MAAA0497059 ,"R178,400.00 ",R0.00 ,"R178,400.00 "
5,Vote 5 : Education ,DECONTAMINATION ,ATLANTIC PEST AND HYGIENE SOLUT,MONS MAAA0169889 ,"R36,226.00 ",R0.00 ,"R36,226.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",ATLANTIC PEST AND HYGIENE SOLUT,MONS MAAA0169889 ,"R1,786.00 ",R0.00 ,"R1,786.00 "
5,Vote 5 : Education ,"CLEANING , STEAM ",ATLANTIC PEST AND HYGIENE SOLUT,MONS MAAA0169889 ,"R6,286.10 ","R1,667.50 ","R7,953.60 "
5,Vote 5 : Education ,"MASK,MEDICAL , SURGICAL, FACE, DISPOSABLE ",BAGAZIO PROMOTIONS ,MAAA0155570 ,"R38,612.40 ",R0.00 ,"R38,612.40 "
5,Vote 5 : Education ,DECONTAMINATION ,BIDVEST PRESTIGE ,MAAA0029711 ,"R5,899.50 ",R0.00 ,"R5,899.50 "
5,Vote 5 : Education ,CLEANING ,BIDVEST SERVICES ,MAAA0029711 ,"R13,805.53 ",R0.00 ,"R13,805.53 "
5,Vote 5 : Education ,Feeding ,BOLDWEN TRADING ,MAAA0009039 ,"R141,427.73 ",R0.00 ,"R141,427.73 "
5,Vote 5 : Education ,Feeding ,BOLDWEN TRADING ,MAAA0009039 ,"R133,479.08 ",R0.00 ,"R133,479.08 "
5,Vote 5 : Education ,Feeding ,BOLDWEN TRADING ,MAAA0009039 ,"R110,464.76 ",R0.00 ,"R110,464.76 "
5,Vote 5 : Education ,Feeding ,BOLDWEN TRADING ,MAAA0009039 ,"R71,191.61 ",R0.00 ,"R71,191.61 "
5,Vote 5 : Education ,Feeding ,BOLDWEN TRADING ,MAAA0009039 ,"R64,456.76 ",R0.00 ,"R64,456.76 "
5,Vote 5 : Education ,Feeding ,BOLDWEN TRADING ,MAAA0009039 ,"R34,750.71 ",R0.00 ,"R34,750.71 "
5,Vote 5 : Education ,"DISPENSER,LIQUID , HAND SANITIZER DISPENSER, TOUCH F","EE, BRAND SATIN, UNIVERSE STAINLESS STEEL, ",1100ML MAAA0159096 ,"R44,022.00 ",R0.00 ,"R44,022.00 "
5,Vote 5 : Education ,"DISPENSER,LIQUID , HAND SANITIZER DISPENSER, TOUCH F","EE, BRAND SATIN, UNIVERSE STAINLESS STEEL, ",1100ML MAAA0159096 ,"R4,540.00 ",R0.00 ,"R4,540.00 "
5,Vote 5 : Education ,"DISPENSER,LIQUID , HAND SANITIZER DISPENSER, TOUCH F","EE, BUSY SATIN, BEE SUPPLIERS STAINLESS STEEL, ",1100ML MAAA0052128 ,"R56,850.00 ",R0.00 ,"R56,850.00 "
5,Vote 5 : Education ,HAND SANITISER ,CENTRE FOR CONSERVATION EDUC,,,,
5,Vote 5 : Education ,DECONTAMINATION ,CHIN TRANSPORT SERVICES ,MAAA0881716 ,"R1,500.00 ",R0.00 ,"R1,500.00 "
5,Vote 5 : Education ,DECONTAMINATION ,COBEY FIRE ,MAAA0909814 ,"R1,437.50 ",R0.00 ,"R1,437.50 "
5,Vote 5 : Education ,DECONTAMINATION ,CONNOR PEST CONTROL SERVICE ,MAAA0784846 ,"R1,611.36 ",R0.00 ,"R1,611.36 "
5,Vote 5 : Education ,CLEANING ,CONNOR PEST CONTROL SERVICE ,MAAA0784846 ,R940.00 ,R0.00 ,R940.00 
5,Vote 5 : Education ,CLEANING ,CONNOR PEST CONTROL SERVICE ,MAAA0784846 ,"R1,195.00 ",R0.00 ,"R1,195.00 "
5,Vote 5 : Education ,CLEANING ,CONNOR PEST CONTROL SERVICE ,MAAA0784846 ,"R2,180.00 ",R0.00 ,"R2,180.00 "
5,Vote 5 : Education ,COVID - 19 MEDICAL SUPPLIES ,COURIERIT SA (PTY) LTD ,MAAA0078613 ,"R968,993.85 ",R0.00 ,"R968,993.85 "
5,Vote 5 : Education ,DECONTAMINATION ,COVID19 DISINFECTION (PTY) LTD ,MAAA0935069 ,"R1,995.20 ",R0.00 ,"R1,995.20 "
5,Vote 5 : Education ,DECONTAMINATION ,COVID19 FOGGING (PTY) LTD ,MAAA0935041 ,"R1,999.77 ",R0.00 ,"R1,999.77 "
5,Vote 5 : Education ,"THERMOMETER,MEDICAL ; MIN/MAX 40 ",CRANIUM MEDICAL PRODUCTS ,MAAA0058940 ,"R4,968.00 ",R0.00 ,"R4,968.00 "
5,Vote 5 : Education ,DECONTAMINATION ,D.I.S PEST DIVISION ,MAAA0092316 ,"R39,590.00 ",R0.00 ,"R39,590.00 "
5,Vote 5 : Education ,DECONTAMINATION ,DAFFODIL TRADING 39 ,MAAA0344915 ,"R39,598.24 ",R0.00 ,"R39,598.24 "
5,Vote 5 : Education ,"SANITIZER DETERGENT , SANITIZER HAND WASH, ENRICHED",DAFFODIL TRADING 39,MAAA0344915 ,"R7,500.00 ",R0.00 ,"R7,500.00 "
5,Vote 5 : Education ,PEST CONTROL ,DAFFODIL TRADING 39 ,MAAA0344915 ,"R4,300.00 ",R0.00 ,"R4,300.00 "
5,Vote 5 : Education ,DECONTAMINATION ,DOEPA TRADING 36 ,MAAA0222216 ,"R4,510.00 ",R0.00 ,"R4,510.00 "
5,Vote 5 : Education ,"SANITIZER DETERGENT , HAND, WATERLESS, HALLY, 50ML",DOEPA TRADING 36 ,MAAA0222216 ,"R10,977.50 ",R0.00 ,"R10,977.50 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DOEPA TRADING 36 ,MAAA0222216 ,"R6,460.00 ",R0.00 ,"R6,460.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DOEPA TRADING 36 ,MAAA0222216 ,"R4,000.00 ",R0.00 ,"R4,000.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DOEPA TRADING 36 ,MAAA0222216 ,"R4,350.00 ",R0.00 ,"R4,350.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DOEPA TRADING 36 ,MAAA0222216 ,"R5,854.00 ",R0.00 ,"R5,854.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DOEPA TRADING 36 ,MAAA0222216 ,"R3,070.00 ",R0.00 ,"R3,070.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DOEPA TRADING 36 ,MAAA0222216 ,"R2,350.00 ",R0.00 ,"R2,350.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DOEPA TRADING 36 ,MAAA0222216 ,"R1,524.80 ",R0.00 ,"R1,524.80 "
5,Vote 5 : Education ,DECONTAMINATION ,DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316 ,"R11,750.00 ",R0.00 ,"R11,750.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316 ,"R1,900.00 ",R0.00 ,"R1,900.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316 ,R950.00 ,R0.00 ,R950.00 
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316 ,"R1,450.00 ",R0.00 ,"R1,450.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316 ,"R1,900.00 ",R0.00 ,"R1,900.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316 ,"R2,000.00 ",R0.00 ,"R2,000.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316 ,"R1,700.00 ",R0.00 ,"R1,700.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316 ,"R1,450.00 ",R0.00 ,"R1,450.00 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316 ,"R2,500.00 ",R0.00 ,"R2,500.00 "
5,Vote 5 : Education ,DECONTAMINATION ,ECO-HYGIENE ,MAAA0905741 ,"R5,084.50 ",R0.00 ,"R5,084.50 "
5,Vote 5 : Education ,DECONTAMINATION ,ENVIRO-SAFE ,MAAA0085930 ,"R24,895.00 ",R0.00 ,"R24,895.00 "
5,Vote 5 : Education ,PEST CONTROL ,ENVIRO-SAFE ,MAAA0085930 ,"R3,590.13 ",R0.00 ,"R3,590.13 "
5,Vote 5 : Education ,"MASK,MEDICAL , FACE, CLOTH ",EXCELL BUILDING MAINTENANCE C,MAAA0837714 ,"R11,250.00 ",R0.00 ,"R11,250.00 "
5,Vote 5 : Education ,PEST CONTROL ,EXCELL BUILDING MAINTENANCE C,MAAA0837714 ,"R4,626.43 ","R3,800.00 ","R8,426.43 "
5,Vote 5 : Education ,DECONTAMINATION ,EXCELL CONSUMABLES ,MAAA0011153 ,"R19,670.75 ",R0.00 ,"R19,670.75 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",EXCELL CONSUMABLES ,MAAA0011153 ,"R5,864.15 ",R0.00 ,"R5,864.15 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",EXCELL CONSUMABLES ,MAAA0011153 ,"R5,232.50 ",R0.00 ,"R5,232.50 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",EXCELL CONSUMABLES ,MAAA0011153 ,"R6,037.50 ",R0.00 ,"R6,037.50 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",EXCELL CONSUMABLES ,MAAA0011153 ,"R3,415.50 ",R0.00 ,"R3,415.50 "
5,Vote 5 : Education ,"FUMIGATION , PREMISES ",EXCELL CONSUMABLES ,MAAA0011153 ,"R7,210.50 ",R0.00 ,"R7,210.50 "
5,Vote 5 : Education ,DECONTAMINATION ,FELIX CLEANING ,MAAA0141254 ,"R1,995.00 ",R0.00 ,"R1,995.00 "
5,Vote 5 : Education ,"CLEANING , STEAM ",FELIX CLEANING ,MAAA0141254 ,"R1,962.00 ",R0.00 ,"R1,962.00 "
5,Vote 5 : Education ,DECONTAMINATION ,GERMAPHOB SOLUTIONS ,MAAA0937207 ,"R1,962.50 ",R0.00 ,"R1,962.50 "
5,Vote 5 : Education ,ADVERTISEMENT ,GOVERNMENT PRINTING WORKS ,N/A ,R504.40 ,R0.00 ,R504.40 
5,Vote 5 : Education ,"SOAP , LIQUID, HANDWASH, DISPENSER, SOFTC FRESH, 800",,MAAA0880787 ,"R3,280.00 ","R19,885.60 ","R23,165.60 "
5,Vote 5 : Education ,HIRE DISPENSER ,ML GPC PROJECTS ,MAAA0880787 ,"R15,289.47 ",R0.00 ,"R15,289.47 "
5,Vote 5 : Education ,DECONTAMINATION ,GPC PROJECTS ,MAAA0685571 ,"R1,972.75 ",R0.00 ,"R1,972.75 "
