,GAUTENG REGION,,,,,,,,,,
,ITEM DESCRIPTION,Name of Supplier,COMPANY REGISTRATION NO,"Procurement Process
Followed",Order No.,Order Date,"Ordered
Quantity",Price Per Unit,Total Price,,
BAVIAANSPOORT,,,,,,,,,,,
,Gloves Cleaning Heavy duty (each),Kgosi botshelo,2013/168791/07,Quotation,AH-565519,2020.05.04,1400,R              1 9.80,"R                          27,720.00",,
,Infra-Red Electronic Thermometers.,Multisurge PTY LTD,2014/170364/07,RT76,AH-565501,2020.04.08,20,"R         2,300.00","R                          46,000.00",,
,sleeve protector,Medicore Technologies,2013/198711/07,RT32,AH-565479,2020.03.26,1000,R                0.22,R                                220.00,,
,Mask N95,Liora Medical Suppliers,2011/013434/23,RT32,AH-565490,2020.03.20,15390,R                5.35,"R                          82,336.50",,
,Medical hand sanitizer,Lechoba medical,2005/044442/07,RT COVID 19-008,AH-565511,2020.04.16,1000,R              6 0.75,"R                          60,750.00",,
,Goggles,Lechoba medical,2005/044442/07,RT COVID 19-016,AH-565511,2020.01.16,30,R              6 5.90,"R                             1,977.00",,
,Digital body thermometer,Lechoba medical,2005/044442/07,RT COVID 19-018,AH-565511,2020.01.16,20,"R         1,348.99","R                          26,979.80",,
,Mask surgical standard,Lechoba medical,2005/044442/07,RT COVID 19-004,AH-565512,2020.04.17,250,R              1 0.99,"R                            2,747.50",,
,Protective cover bodysuit,Lechoba medical,2005/044442/07,RTCOVID 19-014,AH-565512,2020.04.17,50,R            358.99,"R                          17,949.50",,
,Suit scrap,Logan Medical and Surgical,2012/056508/07,RT32,AH-565482,2020.03.18,30,R              1 7.33,R                                519.90,,
,Decontamination,NEOWAN,2014/033967/07,BVP108/2020,AH-565525,2020.07.02,45000m2,R                4.03,"R                        1 81,125.00",,
,"sanitizer hand 500 ml
sanitizer hand 500 ml",BARS Pharmoceuticals industries pty lt,2012/056577/07,RT300,AH-565486,20.03.19,10000,R              1 5.92,"R                        1 59,200.00",,
,BARS Pharmoceuticals industries pty lt,2012/056577/07,RT300,"AH-565488
BV-008129",20.03.20,10000,R              1 6.41,"R                        1 64,100.00",,,
,Tents,Nkhumise roux supplies & services,2018/443261/07,Price Quotation,BV-008177,2020.06.19,4,"R       22,940.77","R                          91,763.10",,
,Mask surgical,Alibratech Investment Trading,2012/019426/07,"FROM PPE COVID 19
SUPPLIER LIST",AH-565526,2020.07.29,29000,R              1 0.22,"R                        2 96,380.00",,
,Visor/face shield,Alibratech Investment Trading,2012/019426/07,"FROM PPE COVID 19
SUPPLIER LIST",AH-565526,2020.07.29,2700,R            108.00,"R                        2 91,600.00",,
,Coveralls,Alibratech Investment Trading,2012/019426/07,"FROM PPE COVID 19
SUPPLIER LIST",AH-565526,2020.07.29,1040,R            286.20,"R                        2 97,648.00",,
,Wall mounted sanitizer machine,Leglow Trading enterprise,2018/088576/07,Quotation,AH-565518,2020.05.04,10,"R         1,700.00","R                          17,000.00",,
,,,,,,,,,"R                     1,766,016.30",,
,,,,,,,,,,,
,ITEM DESCRIPTION,Name of Supplier,COMPANY REGISTRATION NO,"RT Contract/Quotation
Number",Order No.,Order Date,"Ordered
Quantity",Price Per Unit,Total Price,,
BOKSBURG,,,,,,,,,,,
,Masks Surgical (each),IMPERIAL HEALTH SUPPLIER,1993/003465/07,COVID-19,A-476815,22/04/2020,80,R            624.00,"R                          49,920.00",,
,Sanitizer  Hand (Per litre),BARRS PHARMACEUITICAL,2012/056577/07,RT32,G-106380,3/20/2020,2000,R              1 5.79,"R                          31,580.00",,
,Full face shield (Protective goggles ),LECHOBA MEDICAL,2005/044442/07,RTCOVID-19-016,G-106399,3/24/2020,200,R              3 8.81,"R                            7,762.00",,
,Non Sterile Golves,DKT3 CONSULTING,2017/510363/07,"Quotations below R30
000.00",A-476806,3/4/2020,200,R            149.50,"R                          29,900.00",,
,Temperature Scanner,LECHOBA MEDICAL,2005/044442/07,RTCOVID-19-018,G-109399,3/24/2020,220,"R         1,539.75","R                        3 38,745.00",,
,Linen Savers,MEDDREG TECHNOLOGY,2003/014869/23,RT32,G-109850,3/20/2020,2000,R                1.04,"R                             2,080.00",,
,Disposable Gown,PROMED TECHNOLOGY,2014/162486/07,RT32,G-109845,3/20/2020,200,R              2 3.83,"R                            4,766.00",,
,Sanitizer,PAINO TRADING,2012/178955/07,"Quotations below R30
000.00",A-476803,3/27/2020,240,R            120.00,"R                          28,800.00",,
,Coveralls meduim,LECHOBA MEDICAL,2005/044442/07,NDOH/NT,A-476813,14/04/2020,50,R            358.99,"R                          17,949.50",,
,Coveralls 2xlarge,LECHOBA MEDICAL,2005/044442/07,NDOH/NT,A-476813,14/04/2020,50,R            358.99,"R                          17,949.50",,
,Sanitizer 400ml,LECHOBA MEDICAL,2005/044442/07,NDOH/NT,A-476813,14/04/2020,2000,R              6 0.75,"R                        1 21,500.00",,
,Decontamination,MAANDA NES INVESTMENTS,2014/098098/07,Price Quotation,A-476828,25/06/2020,1,"R         8,547.00","R                            8,547.00",,
,Decontamination,CLIFFMIXWELL TRADING,2017/324146/07,Formal Price Quotation,A-476829,01/07/2020,76,R                2.50,"R 190,000.00",,
,,,,,,,,,"R                        8 49,499.00",,
,ITEM DESCRIPTION,Name of Supplier,COMPANY REGISTRATION NO,"RT Contract/Quotation
Number",Order No.,Order Date,"Ordered
Quantity",Price Per Unit,Total Price,,
JOHANNESBURG,,,,,,,,,,,
,Sanitizer covid 19,Kiarah Chemicals,2002/015423/23,QA-003492, QJHB38/2020,JB-013299,08 May 2020,3750,R 81.4100,"R                        3 05,287.50",
,Mask Medical,Blue Magnolia Trading,2004/040087/23,Covid-19,JB-013311,08 May 2020,"1,6",R 14.9500,"R                          23,920.00",,
,sprayer pesticide,mothomong trading,2007/138176/23,QA-003504,JB-013384,25 May 2020,20,"R 1,200.0000","R                          24,000.00",,
,Gloves Disp.,Blue Magnolia Trading,"2004/040087/23
2004/040087/23
2004/040087/23
2017/324146/07
2017/324146/07
2013/104462/07",QA-003494,JB-013306,08 May 2020,12,R 119.5000,"R                             1,434.00",,
,thermometer,Blue Magnolia Trading,QA-003494,JB-013306,08 May 2020,2,"R 2,900.0000","R                            5,800.00",,,
,disinfectant sanitiser,Blue Magnolia Trading,QA-003494,JB-013306,08 May 2020,20,R 49.0000,R                                980.00,,,
,decontamination,Cliffmixwell,QA-003539,JB-013601,23 June 2020,1,R 913.1000,R                                913.10,,,
,decontamination,Cliffmixwell,QA-003538,JB-013595,23 June 2020,1,"R 2,024.0000","R                            2,024.00",,,
,Sanitizer covid 19,Isaico General Dealers,QA-003488,JB-013289,06 May 2020,150,R 140.0000,"R                          21,000.00",,,
,disinfectant,Alrtmary Projects and Trading,2014/279715/07,QA-003469, QJHB31/2020,JB-013260,17 April 2020,18000,R 27.2900,"R                        4 91,220.00",
,Mask Medical,Mercury Projects,2014/025452/07,QA-003482,JB-013285,30 April 2020,1000,R 28.0000,"R                          28,000.00",,
,Thermometer,mothomong trading,2007/138176/23,QA-003486,JB-013290,06 May 2020,11,"R 1,982.6200","R                          21,792.82",,
,mask medical,cognitive medical supplies,2018/633427/07,QA-003499, QJHB42/2020,JB-013321,13 May 2020,40000,R 8.5140,"R                        3 40,560.00",
,Gloves Disp.,Elegant Line Trading,2006/203644/23,QA-003489,JB-013297,08 May 2020,90,R 190.0000,"R                          17,100.00",,
,Gloves Disp.,Elegant Line Trading,2006/203644/23,QA-003489,JB-013297,08 May 2020,30,R 190.0000,"R                            5,700.00",,
,Gloves Disp.,Elegant Line Trading,2006/203644/23,QA-003489,Jb-013297,08 May 2020,30,R 190.0000,"R                             5,700.00",,
,Mask Medical,Imvelo Yabantu,2019/615370/07,QA-003480, QJHB37/2020,Jb-013282,30 April 2020,10000,R 28.5000,"R                        2 85,000.00",
,Mask Medical,Mercury Projects,2014/025452/07,QA-003484,jb-013287,30 April 2020,1000,R 28.0000,"R                          28,000.00",,
,Bleach Laundry,sathekxe Projects,2016/196073/07,QA-003479, QJHB25/2020,jb-013283,30 April 2020,6000,R 23.8900,"R                        1 43,340.00",
,biocide,sathekxe Projects,2016/196073/07,QA-003479, QJHB25/2020,jb-013283,30 April 2020,5000,R 3.4000,"R                          17,000.00",
,Sanitizer covid 19,sathekxe Projects,2016/196073/07,QA-003479, QJHB25/2020,jb-013283,03 April 2020,6000,R 24.8000,"R                        1 48,800.00",
,Gloves Disp.,promed technologies,2014/162486/07,RT76, 47132203-00020,jb-013388,25 May 2020,200,R 46.0000,"R                            9,200.00",
,Gloves Disp.,promed technologies,2014/162486/07,RT76, 42132203-00021,jb-013388,25 May 2020,200,R 46.0000,"R                             9,200.00",
,Gloves Disp.,promed technologies,2014/162486/07,RT76, 42132203-00019,jb-013388,25 May 2020,200,R 46.0000,"R                             9,200.00",
,Gloves Disp.,mudzi holdings,2017/503960/07,QA-003481, QJHB39/2020,jb-013284,30 April 2020,1400,R 184.0000,"R                        2 57,600.00",
,disinfectant sanitiser,lilarei projects,2015/117818/07,QA-003483, QJHB30/2020,jb-013286,30 April 2020,1500,R 330.0000,"R                        4 95,000.00",
,mask,MUKHONA ENTERPRISE,2016/116341/07,QA-003485,jb-013288,30 April 2020,2500,R 11.9900,"R                          29,975.00",,
,decontamination,MAANDA-NES INVESTMENTS,2014/098098/07,QA-003510,jb-013461,08 June 2020,1,"R 139,460.0000","R                        1 39,460.00",,
,Paper towel,"PROMED TECHNOLOGIES2014/162486/07
CLIFFMIXWELL2017/324146/07",2014/162486/07,RT14, 14111703-00003,jb-013412,09 June 2020,250,R 10.5000,"R                             2,625.00",
,decontamination,QA-003542,jb-013607,29 July 2020,1,"R 4,889.8000","R                            4,889.80",,,,
,Solution Chlorhexidine,Bars Pharmaceuticals industries,2012/056577/07,RT300, 51284804-00002,jb-013385,25 May 2020,1000,R 8.6640,"R                            8,663.99",
,Thermometer,Shaded Tree,2013/016610/07,QA-003487,jb-013291,03 June 2020,10,"R 2,875.0000","R                          28,750.00",,
,,,,,,,,,,,
,,,,,,,,,"R                     2,912,135.21",,
,,,,,,,,,,,
,ITEM DESCRIPTION,Name of Supplier,COMPANY REGISTRATION NO,"RT Contract/Quotation
Number",Order No.,Order Date,"Ordered
Quantity",Price Per Unit,Total Price,,
KGOSI MAMPURU II,,,,,,,,,,,
,Gloves Cleaning Heavy duty (each),EVERGREEN LATEX,2002/057771/23,RT76,PP-008627,20200316,1160,R              7 8.00,"R                          90,480.00",,
,Gloves surgical  (each),PROMED,2014/162486/07,RT76,PP-008656,20200319,80000,R                0.78,"R                          62,400.00",,
,Gloves surgical  (each),EVERGREEN LATEX,2002/057771/23,RT76,"PP-005658
PP-008659
PP-008660",20200319,80000,R                0.50,"R                          39,888.00",,
,Surgical Masks,Biologica Pharmaceuticals,2013/067392/07,RTCOVID19,V-887303,20200414,910,"R         1,332.50","R                     1,212,575.00",,
,Surgical Masks,Biologica Pharmaceuticals,2013/067392/07,RTCOVID19,V-887329,20200320,90,"R         1,332.50","R                        1 19,925.00",,
,Surgical Masks,Biologica Pharmaceuticals,2013/067392/07,RT296,V-887303,20200320,300,R              2 6.65,"R                             7,995.00",,
,Tongue depressor,EVERGREEN LATEX,2002/057771/23,RT32,PP-008638,20200318,10000,R                0.09,R                                868.00,,
,Infra-Red Electronic Thermometers.,MULTISURGE,2014/170364/07,RTCOVID19,V-887325,20200403,30,"R         2,300.00","R                          69,000.00",,
,Infra-Red Electronic Thermometers.,SANBONANI HOLDINGS,2004/000822/07,Quotation,V-887327,20200408,16,"R         1,500.00","R                          24,000.00",,
,Mask N95 (each),LIORA MEDICAL SUPPLIES,2011/013434/23,RT32,PP-008620,20200309,65100,R                5.35,"R                        3 48,285.00",,
,Brush Surgical Nail (Reusable),LOGAN MEDICAL,2012/056508/07,RT32,PP-008649,20200319,200,R                8.30,"R                            1,660.00",,
,Brush Surgical Nail,LOGAN MEDICAL,2012/056508/07,RT32,pp-008648,20200319,500,R                3.01,"R                             1,505.00",,
,Masks Surgical (each),CHEMICAL WORLD,2019/253242/07,RT32,PP-008641,20200318,30000,R                0.30,"R                             8,970.00",,
,Masks Surgical (each),TRIPPLE MED DISTRIBUTORS,2011/129850/07,RTCOVID19,V-887306,20200320,60000,R                0.26,"R                          15,600.00",,
,Masks Surgical (each),QUALITY MED SUPPLIES,2015/019742/07,RTCOVID19,V-887305,20200320,40000,R                0.21,"R                            8,280.00",,
,Sanitizer  Hand (Per litre),LECHOBA MED,2005/044442/07,RTCOVID19,V-887309,20200320,150,R            121.50,"R                          18,225.00",,
,Sanitizer  Hand (500ML),LOGAN MEDICAL,2012/056508/07,RTCOVID19,V-887313,20200320,100,R              9 2.00,"R                            9,200.00",,
,Sanitizer  Hand (Per litre),CITY MEDICAL,1993/018125/23,Quotation,PP-008589,20200324,25,R            139.80,"R                             3,495.00",,
"PROMED TECHNOLOGIES2014/162486/07
CLIFFMIXWELL2017/324146/07",2014/162486/07,,,,,,,,,,
Surgical Scrub 500ml,Barrs,2012/056577/07,RT300,PP-008633,20200318,240,R              2 1.92,"R                             5,260.80",,,
PAPER TOWELS,PROMED TECH,2014/162486/07,RT14,PT-010133,20200320,10000,R              1 0.50,"R                        1 05,000.00",,,
PROTECTIVE GOGGLES,LECHOBA MED,2005/044442/07,RTCOVID19,V-887324,20200402,200,R              6 5.90,"R                          13,180.00",,,
Masks Surgical (each),IMPERIAL HEATH SIENCE,1993/003465/07,NDOH/NT,V-887331,4/20/2020,863750,R              1 2.48,"R                   10,779,600.00",,,
Gloves surgical sterile 9,IMPERIAL HEATH SIENCE,1993/003465/07,NDOH/NT,V-887331,4/20/2020,50000,R                2.76,"R                        1 38,000.00",,,
PROTECTIVE GOGGLES,LECHOBA MED,2005/044442/07,RTCOVID19,V-887328,20200414,800,R              6 5.90,"R                          52,720.00",,,
Gloves surgical sterile 9,IMPERIAL HEATH SIENCE,1993/003465/07,NDOH/NT,V-887331,4/20/2020,5000,R                2.76,"R                          13,800.00",,,
Coverall protective clothing bodysuit disp large,TRIPLE C MEDICAL SUPPLIES,2019/385058/07,Quotation,PP-008819,6/30/2020,100,R              8 5.55,"R                             8,555.00",,,
Coverall protective clothing bodysuit disp X-large,TRIPLE C MEDICAL SUPPLIES,2019/385058/07,Quotation,PP-008819,6/30/2020,150,R              8 5.55,"R                          12,832.50",,,
Decontamination,Mpholetins Projects,2014/147875/07,Quotations,PT-010411,7/28/2020,1,"R       13,924.55","R                          13,924.55",,,
Decontamination,Cetha Merchants,2017/033020/07,"Formal Price quoation
PTAQ14/2020",PT-010301,20200717,6,"R       79,255.95","R                        4 75,535.70",,,
Decontamination,Maanda_Nes Investment,2014/098098/07,Quotations,A-476928,7/3/2020,1,"R       12,443.21","R                          12,443.21",,,
,,,,,,,,"R                   13,673,202.76",,,
ITEM DESCRIPTION,Name of Supplier,COMPANY REGISTRATION NO,"RT Contract/Quotation
Number",Order No.,Order Date,"Ordered
Quantity",Price Per Unit,Total Price,,,
Alcohol based hand sanitiser 500 ml,Lechoba Medical Technologies,2005/044442/07,"NT Instruction No 8 of
2019/2020 Annexure A
RTCOVID19-008",AH-280568,3/23/2020,246,R              6 0.75,"R                          14,944.50",,,
Alcohol based hand sanitiser 500 ml,Tripple N Medical Distributors,2011/129850/07,"NT Instruction No 8 of
2019/2020 Annexure A
RTCOVID19-008",AH-280569,3/23/2020,177,R              8 4.33,"R                          14,926.41",,,
Alcohol based hand sanitiser 500 ml,Cleaning Specialist,2016/082258/07,Petty cash,N/A,3/18/2020,11,R            181.82,"R                            2,000.00",,,
Biocide D / Bleach,Lynx Chemicals,1988/018201/23,Quotation,AH-280574,3/25/2020,1250,R                5.40,"R                             6,750.00",,,
Coal Tar,Lynx Chemicals,1988/018201/23,Quotation,AH-280574,3/25/2020,750,R              1 2.60,"R                            9,450.00",,,
Decontamination,Pest Control Specialist,"8,307,305,153,083",Emergency Quotation,AH-280605,6/26/2020,1,"R       11,650.00","R                          11,650.00",,,
Decontamination,Pest Control Specialist,"8,307,305,153,083",Emergency Quotation,AH-280606,6/29/2020,1,"R       15,280.00","R                          15,280.00",,,
Decontamination,Pest Control Specialist,"8,307,305,153,083",Quotation,AH-280609,7/3/2020,1,"R         6,550.00","R                             6,550.00",,,
Decontamination,Pest Control Specialist,"8,307,305,153,083",Petty cash,N/A,7/8/2020,1,"R         1,840.00","R                             1,840.00",,,
Decontamination,Ntabayemvula,2017/095241/07,Quotation KRU22/2020,KG-004277,7/21/2020,100000,R                1.49,"R                        1 49,000.00",,,
Disinfectant General Purpose,Lynx Chemicals,1988/018201/23,Quotation,AH-280574,3/25/2020,1600,R                5.90,"R                            9,440.00",,,
Disposable Aprons,Central Medical,1995/003785/07,RT32/2019,AH-280572,3/24/2020,3000,R                0.32,R                                960.00,,,
Disposable Caps,Euphorbia Trading Enterprises,2008/046567/23,Quotation,AH-280591,4/14/2020,3800,R                1.56,"R                             5,928.00",,,
Disposable Linen,Promed Technologies,2014/162486/07,RT32/2019,KG-004233,5/22/2020,1000,R                2.18,"R                             2,180.00",,,
