DHET:PROCUREMENT OF PPEs AS AT 06 AUGUT 2020,,,,,,,,,,,
No,SUPPLIER NAME,ITEM DESCRIPTION,Unit of Issue,Quantity,TOTAL COST,"Goods/
Services","Procuremetn
method","Deviation
(yes or no)",Deviation (a) why,Deviation  (b) detail,"What were the reasons that the goods/service were
purchased from a specified company"
11,TARA HEALTHCARE,Sanitizer,500ml,2400,"R    236,400.00",Goods,"National
Treasury
Trasnversal
Contract",No,NA,NA,"This item was procured from National Treasury
transversal contracts RT 296-2020; RT32-2019; RT76-
2020. Quotations are sourced from the listed
contractors where the cheapest quotations are selected
from award. There is no financial threshold limit for
quotations selected from transversal contracts. ."
12,TARA HEALTHCARE,Sanitizer,500ml,29,"R        2,856.50",Goods,"National
Treasury
Trasnversal
Contract",No,NA,NA,"This item was procured from National Treasury
transversal contracts RT 296-2020; RT32-2019; RT76-
2020. Quotations are sourced from the listed
contractors where the cheapest quotations are selected
from award. There is no financial threshold limit for
quotations selected from transversal contracts."
13,SUPRA HEALTHCARE,Apron,pk of 100,150,"R      18,975.00",Goods,"National
Treasury
Trasnversal
Contract",No,NA,NA,"This item was procured from National Treasury
transversal contracts RT 296-2020; RT32-2019; RT76-
2020. Quotations are sourced from the listed
contractors where the cheapest quotations are selected
from award. There is no financial threshold limit for
quotations selected from transversal contracts."
14,Kaytie Identity Promotions,"Cloth masks  (re-
useable)",Box of 100,3802,"R      87,446.00",Goods,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
15,Tomema Trading,"Appointment of a
service provider for the
provision of
comprehensive
cleaning and hygiene
service for the
Department of Higher
Education and
Training in three its
builing, 117- 123
Francis Baard Street,
178 Ndinaye House
and Indlela situated in
Olifantsfontein for a
period three months",PM,3 months,"R 1,244,534.49",Services,Bid ito PPPFA,Yes,"The services could not be
sourced through the normal
bid process as it would take
at least 3 months.","Treasury approval was
obtained to source at least 3
quotations from suppliers on
the Treasury central supplier
database (CSD). Five
prospective local SMME
bidders were invited to quote
for the services captured in a
terms of reference.","Quotations received were evaluated by an appointed
Bid Evaluation Committee where the selection and final
award was based on the Preferential Procurement
Policy Framwork Regulations. The bidder scoring the
highest points was appointed."
16,Muvigo Africa Solutions,"Supply and delivery of
thermometers",ea,14,"R      19,320.00",Goods,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
17,Tripple N Medical,Surgical Masks,Box of 100,10000,"R    102,200.00",Goods,"National
Treasury
Trasnversal",No,NA,NA,"This item was procured from National Treasury
transversal contracts RT 296-2020; RT32-2019; RT76-
2020. Quotations are sourced from the listed
contractors where the cheapest quotations are selected
from award. There is no financial threshold limit for
quotations selected from transversal contracts."
"",,Face shield,ea,350,"R      28,003.50",Goods,"National
Treasury
Trasnversal
Contract",,,,
"",,"Bacticide hand
disinfectant",500ml,6000,"R    480,000.00",Goods,"National
Treasury
Trasnversal
Contract",,,,
18,SupraHealthCare,"Disposable plastic
aprons",ea,15000,"R      18,975.00",Goods,"National
Treasury
Trasnversal
Contract",No,NA,NA,"This item was procured from National Treasury
transversal contracts RT 296-2020; RT32-2019; RT76-
2020. Quotations are sourced from the listed
contractors where the cheapest quotations are selected
from award. There is no financial threshold limit for
quotations selected from transversal contracts."
19,"King T Square Trading 33
cc","General purpose PVC
Gumboots (unisex)",pair,70,"R      24,500.00",Goods,"National
Treasury
Trasnversal
Contract",No,NA,NA,"This item was procured from National Treasury
transversal contracts RT 296-2020; RT32-2019; RT76-
2020. Quotations are sourced from the listed
contractors where the cheapest quotations are selected
from award. There is no financial threshold limit for
quotations selected from transversal contracts."
20,Samilson Group,Durable rubber gloves,Box of 100,500,"R      11,350.00",Goods,"National
Treasury
Trasnversal
Contract",No,NA,NA,
21,"King T Square Trading 33
cc",High pressure washer,ea,6,"R      20,400.00",Goods,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
22,KTF Africa,"Surgical Disposable
gloves",Box of 100,100,"R      17,250.00",Goods,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
23,Tara Healthcare (Pty) Ltd,"Disposable plastic
aprons (NSF)",pk of 100,780,R           782.00,Goods,"National
Treasury
Trasnversal
Contract",No,NA,NA,"This item was procured from National Treasury
transversal contracts RT 296-2020; RT32-2019; RT76-
2020. Quotations are sourced from the listed
contractors where the cheapest quotations are selected
from award. There is no financial threshold limit for
quotations selected from transversal contracts."
24,Makase Solutions,"Fumigation services -
NW regional office",PM,3months,"R      78,234.00",Services,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
25,Tripple N Medical,Disposable  gloves,Box of 100,10 boxes,"R        2,000.00",Goods,"National
Treasury
Trasnversal
Contract",No,NA,NA,"This item was procured from National Treasury
transversal contracts RT 296-2020; RT32-2019; RT76-
2020. Quotations are sourced from the listed
contractors where the cheapest quotations are selected
from award. There is no financial threshold limit for
quotations selected from transversal contracts."
"",,Sanitiser,10L,1,"R        5,110.00","National
Treasury
Trasnversal
Contract",,,,,
"",,Empty bottles 750ML,750ml,3,"R        1,200.00","National
Treasury
Trasnversal
Contract",,,,,
"",,Disposable Masks,Box of 100,10 boxes,R           172.50,"National
Treasury
Trasnversal
Contract",,,,,
26,4Matik,Domestos,25L,15,"R        6,000.00",Goods,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
"",,Jik,3L,55,"R        2,750.00","3-Quotation
system ito
PPPFA",,,,,
"",,Pine Gel,25L,15,"R        6,900.00","3-Quotation
system ito
PPPFA",,,,,
"",,Pine Soap,25L,15,"R        5,370.00","3-Quotation
system ito
PPPFA",,,,,
"",,Mr Min,300ml,150,"R        5,250.00","3-Quotation
system ito
PPPFA",,,,,
"",,Teak Oil,500ml,150,"R        5,400.00","3-Quotation
system ito
PPPFA",,,,,
"",,Sunlight Liq,5L,45,"R        8,829.00","3-Quotation
system ito
PPPFA",,,,,
27,Samilson Group,"Fogging of DHET
Offices - 123 Francis
Baard - 178 Ndinaye &
Indlela Olifantsfontein",PM,3xbuildings for 6 months,"R    198,992.00",Services,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
28,GakePhaloe,"Medical Examinatio
Beds and Contour
Plastic Chairs",ea,8x beds + 20 chairs,"R      24,600.00",Goods,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
29,"Mketwa Construction &
Projects","Ruby Pink Soap 5
Litres for Warehouse
at INDLELA",5L,250,"R      25,000.00",Goods,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
30,Kuhlaria Holdings,"Deep Cleaning
Services in North West",PM,3,"R      66,119.25",Services,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
31,GIY Cleaning Services,"Deep Cleaning and
Fumigation in Cape
Town - Adderley Street",PM,1,"R      31,740.00",Services,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
32,Welcome Mbali Trading,"Foot pedal sanitizer
dispensers",ea,20,"R      2 7,000.00",Goods,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
33,Aporele Trading,"Fumigation of Offices -
Limpopo Regional
Offices
RENTMEESTER
BUILDING",PM,6,"R      3 8,700.00",Service,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
34,"Eyamaphemba Project (Pty)
Ltd","Fumigation KZN
Regional Office -
Pietermaritzburg",PM,1,"R        6 ,456.59",Service,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
35,First Office Stationery,"Printing of COVID-19
Floor stickers",ea,135,"R      1 0,800.00",Goods,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
36,Grayan,"Cleaning Services
Limpopo Regional
Offices
RENTMEESTER
BUILDING",PM,6 months,"R    1 92,245.50",Service,"3-Quotation
system ito
PPPFA",No,NA,NA,"3 Quotations were sourced from the Treasury central
supplier database (CSD). Quotations were evaluated
and scored in terms of the 80/20 Preferential
Procurement Policy Framework Regulations where the
bidder scoring the highest points were appointed."
37,Tripple N,"520 Face Cloth Masks
(with laces) + 50 Covid
19 Clear Perspex
Screens","Masks = ea
screens = ea",520 x masks + 50 screens,"R    6 10,203.00",Goods,"National
Treasury
Trasnversal
Contract",No,NA,NA,"This item was procured from National Treasury
transversal contracts RT 296-2020; RT32-2019; RT76-
2020. Quotations are sourced from the listed
contractors where the cheapest quotations are selected
from award. There is no financial threshold limit for
quotations selected from transversal contracts."
