EGION,TOTAL AMOUNT SPEND,,,,,,,,,,
HEAD OFFICE,53402159.91,,,,,,,,,,
GAUTENG,20546435.70,,,,,,,,,,
WESTEN CAPE,31819147.82,,,,,,,,,,
EASTEN CAPE,10240353.52,,,,,,,,,,
LIMPOPO MPUMALANGA AND NOTHWEST,11095455.88,,,,,,,,,,
FEESTATE AND NOTHEN CAPE EGION,8071331.90,,,,,,,,,,
KWAZULU NATAL,26434006.23,,,,,,,,,,
TOTAL AMOUNT,127103552.83,,,,,,,,,,
HEAD OFFICE,,,,,,,,,,,
ITEM DESCIPTION,SUPPLIE NAME,COMPANY EGISTATION NO,POCUEMENT POCESS FOLLOWED,ODE DATE,UNIT OF MEASUE,UNIT PICE,ODE QUANTITY,TOTAL PICE,,,
Infa-ed Electonic Themometes,Isibane Taining (Pty) Ltd,2016/481835/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",28-Ma-20,Each,2869.25,20,57385.00,,,
Gloves,Isibane Taining (Pty) Ltd,2016/481835/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",28-Ma-20,pai,2.60,20000,51980.00,,,
Hand sanitize,Isibane Taining (Pty) Ltd,2016/481835/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",28-Ma-20,5l,977.50,100,97750.00,,,
Mask FFP1 medical use,Olive Divine Inteio,2017/139508/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",31-Ma-20,Each,27.00,2000,54000.00,,,
N95 masks civil use,Olive Divine Inteio,2017/139508/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",31-Ma-20,Each,90.00,600,54000.00,,,
N95 masks medical use,Olive Divine Inteio,2017/139508/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",31-Ma-20,Each,160.00,500,80000.00,,,
Delivey,Olive Divine Inteio,2017/139508/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",31-Ma-20,1,2500.00,1,2500.00,,,
Sugical gloves,Maanda Nes Investments,2014/098098/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",31-Ma-20,Each,28.20,800,22560.00,,,
Latex gloves disposable lage,Maanda Nes Investments,2014/098098/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",31-Ma-20,Box of 100,350.00,70,24500.00,,,
Heavy duty ubbe cleaning gloves,Maanda Nes Investments,2014/098098/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",31-Ma-20,Each,65.00,60,3900.00,,,
Sugical masks,Masil ecycling (Pty) Ltd T/A SaDaBo (Pty),2013/161463/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",31-Ma-20,Each,78.20,500,39100.00,,,
Mask FFP2,LPteds t Contol and Cleaning Specialists,2014/192737/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",31-Ma-20,Each,74.75,440,32890.00,,,
Gloves non-steile,Pest Contol and Cleaning Specialists,2014/192737/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",31-Ma-20,Box of 100,230.00,1500,345000.00,,,
Hand sanitize,Selamed (Pty) Ltd,2007/020703/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",1-Ap-20,25L,4387.49,184,807298.16,,,
Suface and hand sanitize,Altis Biologics,2002/021295/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",2-Ap-20,Lite,74.75,49000,3662750.00,,,
Outsouced tanspot nationwide,Altis Biologics,2002/021295/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",2-Ap-20,1,391000.00,1,391000.00,,,
5in0c0lumdli nCgle ians unaatnucael efill plastic,Selamed (Pty) Ltd,2007/020703/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",3-Ap-20,Each,28.75,10000,287500.00,,,
1bo5tltiltee w Citleha no nsaetlual efill plastic,Selamed (Pty) Ltd,2007/020703/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",3-Ap-20,Each,51.75,10000,517500.00,,,
"bAonttti-lem wicitohb niaols feolgging using high
pessue",Pimecae Hygien Sevices,2006/009318/23,"Deviation - A confimed COVID-19 case was epoted at National Head Office and
offices had to be decontaminated using emegecy delegations to pevent the",14-Ap-20,Sqm,41.91,4173,174887.99,,,
Sanitize handsans gel,Health Advance Institute,2001/085429/23,"spead of the vius
Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National",14-Ap-20,25l,2300.00,400,920000.00,,,
"Fie etadant foam with fie
etadant tapaulin cove",Duafoam NW,2013/189591/07,"Opeations Cente  that thee is lead times of 2 to 3 weeks
Deviation - Item not listed on Annexue A to Teasuy Instuction Note 8 of
2019/2020. Item equied ugently fo identified quaantine sites.",14-Ap-20,Each,2360.95,200,472190.00,,,
"apid measuement infaed
themomete",Selamed (Pty) Ltd,2007/020703/07,"Opeations Cente  that thee is lead times of 2 to 3 weeks
Deviation - Item not listed on Annexue A to Teasuy Instuction Note 8 of
2019/2020. Item equied ugently fo identified quaantine sites.",15-Ap-20,Each,2875.00,355,1020625.00,,,
"Infa-ed themomete handheld
tempeatue scannes",Too Good Bands,2005/042495/07,"Opeations Cente  that thee is lead times of 2 to 3 weeks
Deviation - Item not listed on Annexue A to Teasuy Instuction Note 8 of
2019/2020. Item equied ugently fo identified quaantine sites.",15-Ap-20,Each,2127.50,1000,2127500.00,,,
"Fie etadant foam with fie
etadant tapaulin cove",Duafoam NW,2013/189591/07,"Deviation - Item not listed on Annexue A to Teasuy Instuction Note 8 of
2019/2020. Item equied ugently fo identified quaantine sites.",15-Ap-20,Each,2360.95,7000,16526650.00,,,
Hostel mattess with built in pillow,Standfoam,1997/007963/07,"Deviation - Item not listed on Annexue A to Teasuy Instuction Note 8 of
2019/2020. Item equied ugently fo identified quaantine sites.",24-Ap-20,Each,2222.15,3000,6666435.00,,,
Sugical mask wate esistant,Bitline SA 368 cc,2001/007673/23,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",24-Ap-20,Each,13.22,100000,1322000.00,,,
Cloth mask,Klevas Accessoies (Pty) Ltd,2012/225847/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",11-May-20,Each,24.73,2000,49460.00,,,
Cloth mask,FBK Clothing & Textiles cc,2010/066054/23,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",11-May-20,Each,25.00,1000,25000.00,,,
Cloth mask,Bizocket Tade & Pojects,2013/180207/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",11-May-20,Each,25.00,1000,25000.00,,,
Cloth mask,The Expess Penquins Consulting,2015/194676/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",11-May-20,Each,23.00,20000,460000.00,,,
Cloth mask,Tselana Media,2009/077956/23,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",11-May-20,Each,25.00,100000,2500000.00,,,
Cloth mask,Flamingo Moon Tading,2004/020790/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",13-May-20,Each,23.00,37000,851000.00,,,
Sugical masks 3Ply,Clea Ceek Tading,2011/006538/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",21-May-20,Each,8.63,6000,51780.00,,,
Hand sanitize,Clea Ceek Tading,2011/006538/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",21-May-20,1 lite,75.24,1000,75240.00,,,
Hand sanitize,Clea Ceek Tading,2011/006538/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",21-May-20,5 lite,374.84,600,224904.00,,,
Hand sanitize,Clea Ceek Tading,2011/006538/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",21-May-20,25 lite,1868.18,40,74727.20,,,
Cloth mask,Quick Quilting,2013/229807/07,"Deviation - Depatment placed odes with sevice povides listed on Annexue A
to Teasuy Instuction Note 8 of 2019/2020. egions epoted to ou National
Opeations Cente  that thee is lead times of 2 to 3 weeks",22-May-20,Each,17.94,15000,269100.00,,,
Fogging cans 400ml,Selamed (Pty) Ltd,2007/020703/07,"Deviation - Item not listed on Annexue A to Teasuy Instuction Note 8 of
2019/2020. Item equied ugently fo identified quaantine sites.",5-Jun-20,Each,192.00,100,19200.00,,,
"Anti-micobial fogging using high
pessue",Pimecae Hygien Sevices,2006/009318/23,"Deviation - A confimed COVID-19 case was epoted at National Head Office and
offices had to be decontaminated using emegecy delegations to pevent the
spead of the vius",9-Jun-20,Sqm,19.55,10364,202616.20,,,
Themal fogging sevices,Botho Ubuntu Contact Cleaning,2014/078403/07,"Deviation - A confimed COVID-19 case was epoted at National Head Office and
offices had to be decontaminated using emegecy delegations to pevent the
spead of the vius",20-Jun-20,Sqm,5.70,1633,9314.06,,,
Sugical masks,Impeial Logistics SA Goup,1993/003465/07,National Teasuy appointed agent,20-Ap-20,Each,12.48,220000,2745600.00,,,
,,,,,,,,,,,
TOTAL AMOUNT,,,,,,,,53402159.91,,,
GAUTENG EGION,,,,,,,,,,,
ITEM DESCIPTION,Name of Supplie,COMPANY EGISTATION NO,"Pocuement Pocess
Followed",Ode No.,Ode Date,"Odeed
Quantity",Pice Pe Unit,Total Pice,,,
,,,,,,,,,,,
Gloves Cleaning Heavy duty (each),Kgosi botshelo,2013/168791/07,Quotation,AH-565519,2020.05.04,1400,19.80,27720.00,,,
Infa-ed Electonic Themometes.,Multisuge PTY LTD,2014/170364/07,T76,AH-565501,2020.04.08,20,2300.00,46000.00,,,
sleeve potecto,Medicoe Technologies,2013/198711/07,T32,AH-565479,2020.03.26,1000,0.22,220.00,,,
Mask N95,Lioa Medical Supplies,2011/013434/23,T32,AH-565490,2020.03.20,15390,5.35,82336.50,,,
Medical hand sanitize,Lechoba medical,2005/044442/07,T COVID 19-008,AH-565511,2020.04.16,1000,60.75,60750.00,,,
Goggles,Lechoba medical,2005/044442/07,T COVID 19-016,AH-565511,2020.01.16,30,65.90,1977.00,,,
Digital body themomete,Lechoba medical,2005/044442/07,T COVID 19-018,AH-565511,2020.01.16,20,1348.99,26979.80,,,
Mask sugical standad,Lechoba medical,2005/044442/07,T COVID 19-004,AH-565512,2020.04.17,250,10.99,2747.50,,,
Potective cove bodysuit,Lechoba medical,2005/044442/07,TCOVID 19-014,AH-565512,2020.04.17,50,358.99,17949.50,,,
Suit scap,Logan Medical and Sugical,2012/056508/07,T32,AH-565482,2020.03.18,30,17.33,519.90,,,
Decontamination,NEOWAN,2014/033967/07,BVP108/2020,AH-565525,2020.07.02,45000m2,4.03,181125.00,,,
"sanitize hand 500 ml
sanitize hand 500 ml",BAS Phamoceuticals industies pty lt,2012/056577/07,T300,AH-565486,20.03.19,10000,15.92,159200.00,,,
,BAS Phamoceuticals industies pty lt,2012/056577/07,T300,"AH-565488
BV-008129",20.03.20,10000,16.41,164100.00,,,
Tents,Nkhumise oux supplies & sevices,2018/443261/07,Pice Quotation,BV-008177,2020.06.19,4,22940.77,91763.10,,,
Mask sugical,Alibatech Investment Tading,2012/019426/07,"FOM PPE COVID 19
SUPPLIE LIST",AH-565526,2020.07.29,29000,10.22,296380.00,,,
Viso/face shield,Alibatech Investment Tading,2012/019426/07,"FOM PPE COVID 19
SUPPLIE LIST",AH-565526,2020.07.29,2700,108.00,291600.00,,,
Covealls,Alibatech Investment Tading,2012/019426/07,"FOM PPE COVID 19
SUPPLIE LIST",AH-565526,2020.07.29,1040,286.20,297648.00,,,
Wall mounted sanitize machine,Leglow Tading entepise,2018/088576/07,Quotation,AH-565518,2020.05.04,10,1700.00,17000.00,,,
,,,,,,,,1766016.30,,,
,,,,,,,,,,,
ITEM DESCIPTION,Name of Supplie,COMPANY EGISTATION NO,"T Contact/Quotation
Numbe",Ode No.,Ode Date,"Odeed
Quantity",Pice Pe Unit,Total Pice,,,
Masks Sugical (each),IMPEIAL HEALTH SUPPLIE,1993/003465/07,COVID-19,A-476815,22/04/2020,80,624.00,49920.00,,,
Sanitize  Hand (Pe lite),BAS PHAMACEUITICAL,2012/056577/07,T32,G-106380,3/20/2020,2000,15.79,31580.00,,,
Full face shield (Potective goggles ),LECHOBA MEDICAL,2005/044442/07,TCOVID-19-016,G-106399,3/24/2020,200,38.81,7762.00,,,
Non Steile Golves,DKT3 CONSULTING,2017/510363/07,"Quotations below 30
000.00",A-476806,3/4/2020,200,149.50,29900.00,,,
Tempeatue Scanne,LECHOBA MEDICAL,2005/044442/07,TCOVID-19-018,G-109399,3/24/2020,220,1539.75,338745.00,,,
Linen Saves,MEDDEG TECHNOLOGY,2003/014869/23,T32,G-109850,3/20/2020,2000,1.04,2080.00,,,
Disposable Gown,POMED TECHNOLOGY,2014/162486/07,T32,G-109845,3/20/2020,200,23.83,4766.00,,,
Sanitize,PAINO TADING,2012/178955/07,"Quotations below 30
000.00",A-476803,3/27/2020,240,120.00,28800.00,,,
Covealls meduim,LECHOBA MEDICAL,2005/044442/07,NDOH/NT,A-476813,14/04/2020,50,358.99,17949.50,,,
Covealls 2xlage,LECHOBA MEDICAL,2005/044442/07,NDOH/NT,A-476813,14/04/2020,50,358.99,17949.50,,,
Sanitize 400ml,LECHOBA MEDICAL,2005/044442/07,NDOH/NT,A-476813,14/04/2020,2000,60.75,121500.00,,,
Decontamination,MAANDA NES INVESTMENTS,2014/098098/07,Pice Quotation,A-476828,25/06/2020,1,8547.00,8547.00,,,
Decontamination,CLIFFMIXWELL TADING,2017/324146/07,Fomal Pice Quotation,A-476829,01/07/2020,76,2.50,190000.00,,,
,,,,,,,,849499.00,,,
ITEM DESCIPTION,Name of Supplie,COMPANY EGISTATION NO,"T Contact/Quotation
Numbe",Ode No.,Ode Date,"Odeed
Quantity",Pice Pe Unit,Total Pice,,,
Sanitize covid 19,Kiaah Chemicals,2002/015423/23,QA-003492, QJHB38/2020,JB-013299,08 May 2020,3750,81.4100,305287.50,,
Mask Medical,Blue Magnolia Tading,2004/040087/23,Covid-19,JB-013311,08 May 2020,16,14.9500,23920.00,,,
spaye pesticide,mothomong tading,2007/138176/23,QA-003504,JB-013384,25 May 2020,20,1200.0000,24000.00,,,
Gloves Disp.,Blue Magnolia Tading,"2004/040087/23
2004/040087/23
2004/040087/23
2017/324146/07
2017/324146/07
2013/104462/07",QA-003494,JB-013306,08 May 2020,12,119.5000,1434.00,,,
themomete,Blue Magnolia Tading,QA-003494,JB-013306,08 May 2020,2,2900.0000,5800.00,,,,
disinfectant sanitise,Blue Magnolia Tading,QA-003494,JB-013306,08 May 2020,20,49.0000,980.00,,,,
decontamination,Cliffmixwell,QA-003539,JB-013601,23 June 2020,1,913.1000,913.10,,,,
decontamination,Cliffmixwell,QA-003538,JB-013595,23 June 2020,1,2024.0000,2024.00,,,,
Sanitize covid 19,Isaico Geneal Deales,QA-003488,JB-013289,06 May 2020,150,140.0000,21000.00,,,,
disinfectant,Altmay Pojects and Tading,2014/279715/07,QA-003469, QJHB31/2020,JB-013260,17Apil2020,18000,27.2900,491220.00,,
Mask Medical,Mecuy Pojects,2014/025452/07,QA-003482,JB-013285,30 Apil 2020,1000,28.0000,28000.00,,,
Themomete,mothomong tading,2007/138176/23,QA-003486,JB-013290,06 May 2020,11,1982.6200,21792.82,,,
mask medical,cognitive medical supplies,2018/633427/07,QA-003499, QJHB42/2020,JB-013321,13 May 2020,40000, 8.5140,                        3 40560.00,,
Gloves Disp.,Elegant Line Tading,2006/203644/23,QA-003489,JB-013297,08 May 2020,90, 190.0000,17100.00,,,
Gloves Disp.,Elegant Line Tading,2006/203644/23,QA-003489,JB-013297,08 May 2020,30, 190.0000,5700.00,,,
Gloves Disp.,Elegant Line Tading,2006/203644/23,QA-003489,Jb-013297,08 May 2020,30, 190.0000,5700.00,,,
Mask Medical,Imvelo Yabantu,2019/615370/07,QA-003480, QJHB37/2020,Jb-013282,30 Apil 2020,10000,28.5000,285000.00,,
Mask Medical,Mecuy Pojects,2014/025452/07,QA-003484,jb-013287,30 Apil 2020,1000,28.0000,28000.00,,,
Bleach Laundy,sathekxe Pojects,2016/196073/07,QA-003479, QJHB25/2020,jb-013283,30 Apil 2020,6000,23.8900,143340.00,,
biocide,sathekxe Pojects,2016/196073/07,QA-003479, QJHB25/2020,jb-013283,30 Apil 2020,5000,3.4000,17000.00,,
Sanitize covid 19,sathekxe Pojects,2016/196073/07,QA-003479, QJHB25/2020,jb-013283,03 Apil 2020,6000,24.8000,148800.00,,
Gloves Disp.,pomed technologies,2014/162486/07,T76, 47132203-00020,jb-013388,25 May 2020,200,46.0000,9200.00,,
Gloves Disp.,pomed technologies,2014/162486/07,T76, 42132203-00021,jb-013388,25 May 2020,200,46.0000,9200.00,,
Gloves Disp.,pomed technologies,2014/162486/07,T76, 42132203-00019,jb-013388,25 May 2020,200,46.0000,9200.00,,
Gloves Disp.,mudzi holdings,2017/503960/07,QA-003481, QJHB39/2020,jb-013284,30 Apil 2020,1400,184.0000,257600.00,,
disinfectant sanitise,lilaei pojects,2015/117818/07,QA-003483, QJHB30/2020,jb-013286,30 Apil 2020,1500,330.0000,495000.00,,
mask,MUKHONA ENTEPISE,2016/116341/07,QA-003485,jb-013288,30 Apil 2020,2500,11.9900,29975.00,,,
decontamination,MAANDA-NES INVESTMENTS,2014/098098/07,QA-003510,jb-013461,08 June 2020,1,139460.0000,139460.00,,,
Pape towel,"POMED TECHNOLOGIES2014/162486/07
CLIFFMIXWELL2017/324146/07",2014/162486/07,T14, 14111703-00003,jb-013412,09 June 2020,250,10.5000,2625.00,,
decontamination,QA-003542,jb-013607,29 July 2020,1, 4889.8000,                            4889.80,,,,,
Solution Chlohexidine,Bas Phamaceuticals industies,2012/056577/07,T300, 51284804-00002,jb-013385,25 May 2020,1000,8.6640,8663.99,,
Themomete,Shaded Tee,2013/016610/07,QA-003487,jb-013291,03 June 2020,10,2875.0000,28750.00,,,
,,,,,,,,,,,
,,,,,,,,2912135.21,,,
,,,,,,,,,,,
ITEM DESCIPTION,Name of Supplie,COMPANY EGISTATION NO,"T Contact/Quotation
Numbe",Ode No.,Ode Date,"Odeed
Quantity",Pice Pe Unit,Total Pice,,,
"POMED TECHNOLOGIES2014/162486/07
CLIFFMIXWELL2017/324146/07",2014/162486/07,,,,,,,,,,
Gloves Cleaning Heavy duty (each),EVEGEEN LATEX,2002/057771/23,T76,PP-008627,20200316,1160,78.00,90480.00,,,
Gloves sugical  (each),POMED,2014/162486/07,T76,PP-008656,20200319,80000,0.78,62400.00,,,
Gloves sugical  (each),EVEGEEN LATEX,2002/057771/23,T76,"PP-005658
PP-008659
PP-008660",20200319,80000,0.50,39888.00,,,
Sugical Masks,Biologica Phamaceuticals,2013/067392/07,TCOVID19,V-887303,20200414,910,1332.50,1212575.00,,,
Sugical Masks,Biologica Phamaceuticals,2013/067392/07,TCOVID19,V-887329,20200320,90,1332.50,119925.00,,,
Sugical Masks,Biologica Phamaceuticals,2013/067392/07,T296,V-887303,20200320,300,26.65,7995.00,,,
Tongue depesso,EVEGEEN LATEX,2002/057771/23,T32,PP-008638,20200318,10000,0.09,868.00,,,
Infa-ed Electonic Themometes.,MULTISUGE,2014/170364/07,TCOVID19,V-887325,20200403,30,2300.00,69000.00,,,
Infa-ed Electonic Themometes.,SANBONANI HOLDINGS,2004/000822/07,Quotation,V-887327,20200408,16,1500.00,24000.00,,,
Mask N95 (each),LIOA MEDICAL SUPPLIES,2011/013434/23,T32,PP-008620,20200309,65100,5.35,348285.00,,,
Bush Sugical Nail (eusable),LOGAN MEDICAL,2012/056508/07,T32,PP-008649,20200319,200,8.30,1660.00,,,
Bush Sugical Nail,LOGAN MEDICAL,2012/056508/07,T32,pp-008648,20200319,500,3.01,1505.00,,,
Masks Sugical (each),CHEMICAL WOLD,2019/253242/07,T32,PP-008641,20200318,30000,0.30,8970.00,,,
Masks Sugical (each),TIPPLE MED DISTIBUTOS,2011/129850/07,TCOVID19,V-887306,20200320,60000,0.26,15600.00,,,
Masks Sugical (each),QUALITY MED SUPPLIES,2015/019742/07,TCOVID19,V-887305,20200320,40000,0.21,8280.00,,,
Sanitize  Hand (Pe lite),LECHOBA MED,2005/044442/07,TCOVID19,V-887309,20200320,150,121.50,18225.00,,,
Sanitize  Hand (500ML),LOGAN MEDICAL,2012/056508/07,TCOVID19,V-887313,20200320,100,92.00,9200.00,,,
Sanitize  Hand (Pe lite),CITY MEDICAL,1993/018125/23,Quotation,PP-008589,20200324,25,139.80,3495.00,,,
Sugical Scub 500ml,Bas,2012/056577/07,T300,PP-008633,20200318,240,21.92,5260.80,,,
PAPE TOWELS,POMED TECH,2014/162486/07,T14,PT-010133,20200320,10000,10.50,105000.00,,,
POTECTIVE GOGGLES,LECHOBA MED,2005/044442/07,TCOVID19,V-887324,20200402,200,65.90,13180.00,,,
