No,DEPT/ENTITY,CSD NO,SUPPLIER NAME,CO REG NUM,ITEM CATEGORY,ITEM DESCRIPTION,QNT,UNIT PRICE,TOTAL PRICE,TOTAL VAL RECALC,SYS ORDER NO,SYS INVOICE No,"SYS INVOICE
AMOUNT","SYS INVOICE
DATE","SYS INVOICE
RECEIPT DATE","SYS
PAYMENT
DATE","SYS
PAYMENT No","SYS
DISPURSE NO","SYS PAYMENT
AMOUNT","PAYMENT
PERIOD",PAY VAR,STATUS,"COMMITMENT
OUTSTANDING",ORDERS CLOSED,,,
11,AGRICULTURE,MAAA0034212,Msarikeng General Supply,2006/059494/23,Masks - Non Surgical,Cleaning industrial dust masks,144, 6.00,86400.00,#VALUE!,HO-004457,MGS-201823,R86400.00,4/22/2020,4/22/2020,4/23/2020,2467680,1147700,86400.00,2020/06,0.00,CLOSED,0.00,0.00,,,
12,AGRICULTURE,MAAA0216602,Ponontle Consulting,2009/119342/23,Masks - Non Surgical,Surgical  masks,46,18.75,862500.00,862500.00,HO-004471,SURGMASK012,R862500.00,5/26/2020,5/26/2020,5/26/2020,2468793,1148485,862500.00,2020/06,0.00,CLOSED,,0.00,,,
13,AGRICULTURE,MAAA0352514,Promed Technologies,2014/162486/07,Cleaning,"DisinfectantSurface: Sterwise
RT 2",15, 90.00,135000.00,#VALUE!,HO-004445,I N 103816,R135000.00,5/22/2020,5/25/2020,5/25/2020,2468753,1148480,135000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
14,AGRICULTURE,"MAAA0350093
MAAA0350093
MAAA0350093",Regid Printers,2010/119314/23,Gloves,Gloves cleaner rubber,100, 70.00,7000.00,#VALUE!,HO-004452,RIG-9984669,R7000.00,4/17/2020,4/22/2020,4/23/2020,2467686,1147701,7000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
15,AGRICULTURE,Regid Printers,2010/119314/23,Cleaning,Two Piece work suits,159,R 250.00,39750.00,#VALUE!,HO-004452,RIG-9984669,R39750.00,4/17/2020,4/22/2020,4/23/2020,2467686,1147701,R39750.00,2020/06,R0.00,CLOSED,R0.00,0.00,,,,
16,AGRICULTURE,Regid Printers,2010/119314/23,Cleaning,Boots Leather,155,R350.00,54250.00,#VALUE!,HO-004452,RIG-9984669,R54250.00,4/17/2020,4/22/2020,4/23/2020,2467686,1147701,R54250.00,2020/06,R0.00,CLOSED,R0.00,0.00,,,,
17,COGHSTA,MAAA0887806,Lehumo la Khomotso,2009/118509/23,Gloves,examination hand gloves,5,0.98,4900.00,4900.00,OR-005124,175-2020,R4900.00,6/24/2020,6/24/2020,6/24/2020,2454739,1129177,4900.00,2020/06,0.00,CLOSED,0.00,0.00,,,
18,COGHSTA,MAAA0887806,Lehumo la Khomotso,2009/118509/23,Sanitiser,sanitizers,80,4950.00,396000.00,396000.00,OR-005124,175-2020,R396000.00,6/24/2020,6/24/2020,6/24/2020,2454739,1129177,396000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
19,COGHSTA,MAAA0486753,Mogau Medical Supplies,2017/303774/07,Building - Disinfecting,"Disinfection/ decontamination
of buildings",41918,9.10,381453.80,381453.80,OR-005119,M  OG28,R381453.80,6/2/2020,6/3/2020,6/9/2020,2454506,1129011,381453.80,2020/06,0.00,CLOSED,0.00,0.00,,,
20,COGHSTA,MAAA0232894,Pitje Services,2016/210430/07,Cleaning,Bar soaps,2,19.00,38000.00,38000.00,OR-005122,220,R38000.00,6/22/2020,6/23/2020,6/24/2020,2454727,1129176,38000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
21,COGHSTA,MAAA0232894,Pitje Services,2016/210430/07,Digital Themormetres,Themometers,20,2779.00,55580.00,55580.00,OR-005122,220,R55580.00,6/22/2020,6/23/2020,6/24/2020,2454727,1129176,55580.00,2020/06,0.00,CLOSED,0.00,0.00,,,
22,COGHSTA,MAAA0232894,Pitje Services,2016/210430/07,Sanitiser,Empty spray bottles,2,40.50,81000.00,81000.00,OR-005122,220,R81000.00,6/22/2020,6/23/2020,6/24/2020,2454727,1129176,81000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
23,COGHSTA,MAAA0749242,Zaukhakhata Trading Projects,2017/505907/07,Masks - Face Cloth,Cloth Masks,5,16.00,80000.00,80000.00,OR-005123,2/2020,R80000.00,7/12/2020,7/14/2020,7/24/2020,2455316,1129691,80000.00,2020/07,0.00,CLOSED,0.00,0.00,,,
24,HEALTH,MAAA0902717,AG Medical,2012/202604/07,Masks - Surgical,3 Ply Mask Surgical,100,16.10,1610000.00,1610000.00,LC/20/1404,INV-0001LPPDH/O,R1609195.00,4/7/2020,4/15/2020,4/15/2020,2658784,1189657,1609195.00,2020/06,805.00,CLOSED,0.00,805.00,,,
25,HEALTH,MAAA0504867,Akanani TE (Pty) Ltd,2014/195490/07,Other PPE - Health,Sleeve Protecor,10,45.50,455000.00,455000.00,LC/20/1611,125LPPD,R455000.00,5/25/2020,6/20/2020,6/22/2020,2673041,1196739,455000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
26,HEALTH,MAAA0504867,Akanani TE (Pty) Ltd,2014/195490/07,Face Shields / Visors,Face Visors Shileds,1647,35.00,576450.00,576450.00,LC/20/1573,126LPPD,R576450.00,6/1/2020,6/11/2020,6/17/2020,2672456,1196739,576450.00,2020/06,0.00,CLOSED,0.00,0.00,,,
27,HEALTH,MAAA0073547,Asitanga trading and projects,2014/099500/07,Masks - Surgical,3 Ply Mask Surgical,100,20.00,2000000.00,2000000.00,NOT APPLIC,2  0  5LPPD,R2000000.00,4/21/2020,4/22/2020,4/23/2020,2660109,1189932,2000000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
28,HEALTH,MAAA0008395,B D IT Solutions,2010/111225/23,Masks - Surgical,3 Ply Mask Surgical,100,19.50,1950000.00,1950000.00,NOT APPLIC,0  0  1LDHLPPD,R1950000.00,4/17/2020,4/22/2020,4/28/2020,2660333,1191992,1950000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
29,HEALTH,MAAA0274867,Bapedi Conglomerate Holdings (Pty)Ltd,2014/266376/07,Face Shields / Visors,Face Visors Shileds,1647,35.00,576450.00,576450.00,NOT APPLIC,B   3 00520LPPD,R10428.36,5/30/2020,6/9/2020,6/9/2020,2671734,1195899,10428.36,2020/06,566021.64,CLOSED,0.00,566021.64,,,
30,HEALTH,MAAA0274867,Bapedi Conglomerate Holdings (Pty)Ltd,2014/266376/07,,,,,0.00,0.00,NOT APPLIC,D   0 50620LPPD,R91895.56,6/6/2020,6/11/2020,6/22/2020,2673023,1196732,91895.56,2020/06,-91895.56,CLOSED,0.00,-91895.56,,,
31,HEALTH,MAAA0274867,Bapedi Conglomerate Holdings (Pty)Ltd,2014/266376/07,,,,,0.00,0.00,NOT APPLIC,B   0 60620LPPD,R399217.26,6/6/2020,6/11/2020,6/15/2020,2672135,1196732,399217.26,2020/06,-399217.26,CLOSED,0.00,-399217.26,,,
32,HEALTH,MAAA0037500,Bas Medxpress cc,2006/057294/23,Face Shields / Visors,Face Visors Shileds,30,20.00,600000.00,600000.00,NOT APPLIC,BAS01812LPPD,R600000.00,4/22/2020,6/30/2020,7/20/2020,2679477,1199882,600000.00,2020/07,0.00,CLOSED,0.00,0.00,,,
33,HEALTH,MAAA0038716,Basani IT Solution,2017/430286/07,Masks - Surgical,3 Ply Mask Surgical,1000000,18.75,18745000.00,18745000.00,NOT APPLIC,1  5  5LPPD,R18745000.00,4/21/2020,4/22/2020,5/4/2020,2660760,1192117,18745000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
34,HEALTH,MAAA0563301,Big O Trading 844,2010/146011/23,Face Shields / Visors,Face Visors Shileds,1647,35.00,576450.00,576450.00,NOT APPLIC,B   IG09020LPPD,R35000.00,5/28/2020,6/9/2020,6/9/2020,2671735,1195898,35000.00,2020/06,541450.00,CLOSED,0.00,541450.00,,,
35,HEALTH,MAAA0563301,Big O Trading 844,2010/146011/23,Face Shields / Visors,Face Visors Shileds,,,0.00,0.00,NOT APPLIC,B   IG09024LPPD,R44170.00,6/6/2020,6/8/2020,6/9/2020,2671716,1195898,44170.00,2020/06,-44170.00,CLOSED,0.00,-44170.00,,,
36,HEALTH,MAAA0563301,Big O Trading 844,2010/146011/23,Face Shields / Visors,Face Visors Shileds,,,0.00,0.00,NOT APPLIC,BIG09021LPPD,R35000.00,6/4/2020,7/1/2020,7/3/2020,2675553,1198931,35000.00,2020/07,-35000.00,CLOSED,0.00,-35000.00,,,
37,HEALTH,MAAA0563301,Big O Trading 844,2010/146011/23,Face Shields / Visors,Face Visors Shileds,,,0.00,0.00,NOT APPLIC,BIG09022LPPD,R166355.00,6/5/2020,7/1/2020,7/3/2020,2675554,1198931,166355.00,2020/07,-166355.00,CLOSED,0.00,-166355.00,,,
38,HEALTH,MAAA0563301,Big O Trading 844,2010/146011/23,Face Shields / Visors,Face Visors Shileds,,,0.00,0.00,NOT APPLIC,BIG09023LPPD,R295925.00,6/5/2020,7/1/2020,7/3/2020,2675555,1198931,295925.00,2020/07,-295925.00,CLOSED,0.00,-295925.00,,,
39,HEALTH,MAAA0083386,Brian Pienaar North (Pty) Ltd,1999/000175/07,Protective Body Suit,Protective Cover Body suits,30,32.00,960000.00,960000.00,NOT APPLIC,0  4  0-INV10504LPPD,R97663.75,5/7/2020,5/18/2020,5/19/2020,2665256,1192598,97663.75,2020/06,862336.25,CLOSED,0.00,862336.25,,,
40,HEALTH,MAAA0083386,Brian Pienaar North (Pty) Ltd,1999/000175/07,Other PPE - Health,Balaklava Theatre caps,30,79.00,2370000.00,2370000.00,NOT APPLIC,0  4  0-INV10392LPPD,R158976.00,4/28/2020,4/28/2020,4/30/2020,2660620,1192036,158976.00,2020/06,2211024.00,CLOSED,0.00,2211024.00,,,
41,HEALTH,MAAA0031001,Clinipro,2006/036925/07,Sanitiser,"Automated Hand Sanitizer
Dispensers",3,960.00,2880000.00,2880000.00,MO-000510,I N  CP11352MOK,R9108.37,3/13/2020,3/13/2020,3/25/2020,2652843,1186533,46689.86,2020/06,2833310.14,CLOSED,0.00,2833310.14,,,
42,HEALTH,MAAA0031001,Clinipro,2006/036925/07,Sanitiser,Hand Sanitizers (1 litre Refill),30,170.00,5100000.00,5100000.00,MO-000510,I N  CP11352MOK,R10174.05,3/13/2020,3/13/2020,3/25/2020,2652843,1186533,46689.86,2020/06,5053310.14,CLOSED,0.00,5053310.14,,,
43,HEALTH,MAAA0031001,Clinipro,2006/036925/07,Sanitiser,"Hand Sanitisers with Manual
Dispensers (1litres)",30,270.00,8100000.00,8100000.00,MO-000510,I N  CP11352MOK,R11467.80,3/13/2020,3/13/2020,3/25/2020,2652843,1186533,46689.86,2020/06,8053310.14,CLOSED,0.00,8053310.14,,,
44,HEALTH,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,0.00,MO-000510,I N  CP11352MOK,R15939.64,3/13/2020,3/13/2020,3/25/2020,2652843,1186533,46689.86,2020/06,-46689.86,CLOSED,0.00,-46689.86,,,
45,HEALTH,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,0.00,NOT APPLIC,I N   CP11491LPPD,R57819.73,5/4/2020,5/18/2020,5/19/2020,2665237,1192558,57819.73,2020/06,-57819.73,CLOSED,0.00,-57819.73,,,
46,HEALTH,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,0.00,NOT APPLIC,I N   CP11420LPPDH/O,R340009.00,4/6/2020,4/15/2020,4/15/2020,2658770,1189543,340009.00,2020/06,-340009.00,CLOSED,0.00,-340009.00,,,
47,HEALTH,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,0.00,NOT APPLIC,I N   CP11428LPPDH/O,R340009.00,4/8/2020,4/15/2020,4/15/2020,2658773,1189543,340009.00,2020/06,-340009.00,CLOSED,0.00,-340009.00,,,
48,HEALTH,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,0.00,NOT APPLIC,I N   CP11442LPPD,R340009.00,4/9/2020,5/18/2020,5/19/2020,2665262,1192558,340009.00,2020/06,-340009.00,CLOSED,0.00,-340009.00,,,
49,HEALTH,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,0.00,NOT APPLIC,I N   CP11447,R561014.85,4/17/2020,4/17/2020,4/17/2020,2659214,1189543,561014.85,2020/06,-561014.85,CLOSED,0.00,-561014.85,,,
50,HEALTH,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,0.00,NOT APPLIC,I N   CP0327LPPDH/O,R654636.99,4/2/2020,4/15/2020,4/15/2020,2658805,1189543,654636.99,2020/06,-654636.99,CLOSED,0.00,-654636.99,,,
51,HEALTH,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,0.00,NOT APPLIC,I N   CP11407LPPDH/O,R745004.50,3/31/2020,4/15/2020,4/15/2020,2658779,1189543,745004.50,2020/06,-745004.50,CLOSED,0.00,-745004.50,,,
52,HEALTH,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,0.00,NOT APPLIC,I N   CP11565LPPD,R748019.80,5/18/2020,5/19/2020,5/20/2020,2665649,1192558,748019.80,2020/06,-748019.80,CLOSED,0.00,-748019.80,,,
53,HEALTH,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,0.00,NOT APPLIC,I N   CP11560LPPD,R816021.60,5/15/2020,5/18/2020,5/20/2020,2665668,1192558,816021.60,2020/06,-816021.60,CLOSED,0.00,-816021.60,,,
54,HEALTH,MAAA0031001,Clinipro,2006/036925/07,,,,,0.00,0.00,NOT APPLIC,I N   CP11749LPPD,R816021.60,6/5/2020,6/8/2020,6/9/2020,2671720,1195644,816021.60,2020/06,-816021.60,CLOSED,0.00,-816021.60,,,
55,HEALTH,MAAA0073610,Confidence no 1 trading (Pty) Ltd,2016/109856/07,Gown - Surgical Sterile,Surgical Gown (Sterile),62,120.00,7440000.00,7440000.00,NOT APPLIC,5  4  LPPD,R443520.00,6/12/2020,6/19/2020,6/24/2020,2674117,1196744,443520.00,2020/06,6996480.00,CLOSED,0.00,6996480.00,,,
56,HEALTH,MAAA0073610,Confidence no 1 trading (Pty) Ltd,2016/109856/07,Gowns - Surgical non sterile,Surgical Gown (Non-Sterile),186,96.00,17856000.00,17856000.00,NOT APPLIC,5  3  LPPD,R2628672.00,6/12/2020,6/17/2020,6/24/2020,2674116,1196744,2628672.00,2020/06,15227328.00,CLOSED,0.00,15227328.00,,,
57,HEALTH,MAAA0073610,Confidence no 1 trading (Pty) Ltd,2016/109856/07,,,,,0.00,0.00,NOT APPLIC,5  0  LPPD,R5137728.00,6/10/2020,6/17/2020,6/24/2020,2674110,1196744,5137728.00,2020/06,-5137728.00,CLOSED,0.00,-5137728.00,,,
58,HEALTH,MAAA0073610,Confidence no 1 trading (Pty) Ltd,2016/109856/07,,,,,0.00,0.00,NOT APPLIC,5  1  LPPD,R8302272.00,6/12/2020,6/19/2020,6/24/2020,2674114,1196744,8302272.00,2020/06,-8302272.00,CLOSED,0.00,-8302272.00,,,
59,HEALTH,MAAA0935195,Crustalos Cartour (Pty) Ltd,2014/094213/07,Masks - Face Cloth,Face Cloth Masks,50,20.00,1000000.00,1000000.00,NOT APPLIC,003LPPD,R457880.00,6/18/2020,6/19/2020,7/7/2020,2677936,1198953,457880.00,2020/07,542120.00,CLOSED,0.00,542120.00,,,
60,HEALTH,MAAA0935195,Crustalos Cartour (Pty) Ltd,2014/094213/07,,,,,0.00,0.00,NOT APPLIC,001LPPD,R154000.00,6/18/2020,6/19/2020,7/7/2020,2677937,1198953,154000.00,2020/07,-154000.00,CLOSED,0.00,-154000.00,,,
61,HEALTH,MAAA0935195,Crustalos Cartour (Pty) Ltd,2014/094213/07,,,,,0.00,0.00,NOT APPLIC,002LPPD,R188520.00,6/18/2020,6/19/2020,7/7/2020,2677938,1198953,188520.00,2020/07,-188520.00,CLOSED,0.00,-188520.00,,,
62,HEALTH,MAAA0006695,C Matodzi Projects,2003/054146/23,Masks - Surgical,Mask Respirator KN95,46154,27.50,1269235.00,1269235.00,NOT APPLIC,CMP001LPPD,R1269235.00,7/14/2020,7/16/2020,7/22/2020,2680103,1199825,1269235.00,2020/07,0.00,CLOSED,0.00,0.00,,,
63,HEALTH,MAAA0737017,Dadbro Investment PTY LTD,1974/002306/07,Protective Body Suit,Disposal protective body suite,3871,249.00,963879.00,963879.00,NOT APPLIC,D037LPPD,R337379.82,7/16/2020,7/20/2020,7/21/2020,2680281,1199823,337379.82,2020/07,626499.18,CLOSED,0.00,626499.18,,,
64,HEALTH,MAAA0737017,Dadbro Investment PTY LTD,1974/002306/07,,,,,0.00,0.00,NOT APPLIC,D036LPPD,R144662.49,7/20/2020,7/22/2020,7/22/2020,2680514,1199823,144662.49,2020/07,-144662.49,CLOSED,0.00,-144662.49,,,
65,HEALTH,MAAA0737017,Dadbro Investment PTY LTD,1974/002306/07,,,,,0.00,0.00,NOT APPLIC,D038LPPD,R481793.32,7/24/2020,7/27/2020,7/27/2020,2682137,1199823,481793.32,2020/07,-481793.32,CLOSED,0.00,-481793.32,,,
66,HEALTH,MAAA0350318,Devine Catering and Events,2014/071447/07,Masks - Surgical,Masks - Surgical,100,20.00,2000000.00,2000000.00,NOT APPLIC,2  0  2011,R2000000.00,4/17/2020,4/17/2020,4/17/2020,2659213,1189668,2000000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
67,HEALTH,MAAA0465242,Eagles Eyes Suppliers,2017/188014/07,Other PPE - Health,Rubber Boots,500,150.00,75000.00,75000.00,NOT APPLIC,0  1  /04/2020LPPD,R75000.00,4/17/2020,4/22/2020,4/23/2020,2660212,1190109,75000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
68,HEALTH,MAAA0013061,ENPRO Laboratories,2015/027863/07,Masks - Surgical,3 Ply Mask Surgical,1500000,16.00,24000000.00,24000000.00,NOT APPLIC,2  4  58,R600000.00,4/6/2020,4/15/2020,4/15/2020,2658804,1189666,600000.00,2020/06,23400000.00,CLOSED,0.00,23400000.00,,,
69,HEALTH,MAAA0013061,ENPRO Laboratories,2015/027863/07,,,,,0.00,0.00,NOT APPLIC,2  4  59H/O,R1140000.00,4/6/2020,4/15/2020,4/15/2020,2658812,1189666,1140000.00,2020/06,-1140000.00,CLOSED,0.00,-1140000.00,,,
70,HEALTH,MAAA0200619,Fhedzisani Catering fresh prod,2003/064888/23,Protective Body Suit,Disposal protective body suite,3871,249.00,963879.00,963879.00,NOT APPLIC,0089/2020LPPD,R337395.00,7/6/2020,7/8/2020,7/8/2020,2678433,1198577,337395.00,2020/07,626484.00,CLOSED,0.00,626484.00,,,
71,HEALTH,MAAA0200619,Fhedzisani Catering fresh prod,2003/064888/23,,,,,0.00,0.00,NOT APPLIC,0088/2020LPPD,R144669.00,7/6/2020,7/8/2020,7/8/2020,2678436,1198577,144669.00,2020/07,-144669.00,CLOSED,0.00,-144669.00,,,
72,HEALTH,MAAA0200619,Fhedzisani Catering fresh prod,2003/064888/23,,,,,0.00,0.00,NOT APPLIC,0090/2020LPPD,R481815.00,7/6/2020,7/8/2020,7/8/2020,2678437,1198577,481815.00,2020/07,-481815.00,CLOSED,0.00,-481815.00,,,
73,HEALTH,MAAA0867994,Footprint Industries,2016/448035/07,Gloves,Glove Surgical latex sterile,144,6.90,993600.00,993600.00,NOT APPLIC,0002LPPD,R993600.00,7/22/2020,7/23/2020,7/27/2020,2681344,1199948,993600.00,2020/07,0.00,CLOSED,0.00,0.00,,,
74,HEALTH,MAAA0765536,GIGY’S TRADING (PTY) LTD,2014/121345/07,Digital Themormetres,Digital Themormetres,3,1978.00,5934000.00,5934000.00,NOT APPLIC,0  0  12020/05LPPD,R5934000.00,5/16/2020,5/18/2020,6/2/2020,2669335,1195561,5934000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
75,HEALTH,MAAA0901646,Glen Life Group of Companies (Pty) Ltd,2013/127388/07,Gloves,Heavy Duty Gloves,10,27.00,270000.00,270000.00,NOT APPLIC,2  0  06/002LPPD,R270000.00,6/15/2020,6/19/2020,6/22/2020,2673028,1196718,270000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
76,HEALTH,MAAA0901646,Glen Life Group of Companies (Pty) Ltd,2013/127388/07,Face Shields / Visors,Face Visors Shileds,1647,35.00,576450.00,576450.00,NOT APPLIC,2  0  06/001LPPD,R568400.00,6/5/2020,6/5/2020,6/9/2020,2671617,1195882,568400.00,2020/06,8050.00,CLOSED,0.00,8050.00,,,
77,HEALTH,MAAA0901646,Glen Life Group of Companies (Pty) Ltd,2013/127388/07,Masks - Surgical,3 Ply Mask Surgical,100,18.00,1800000.00,1800000.00,NOT APPLIC,"2  0  04/002LPPD
2004/001
2004/003",R54000.00,06/04/2020,09/04/2020,4/15/2020,2658793,1189662,54000.00,2020/06,1746000.00,CLOSED,0.00,1746000.00,,,
78,HEALTH,MAAA0901646,Glen Life Group of Companies (Pty) Ltd,2013/127388/07,,,,,0.00,0.00,NOT APPLIC,2  0  04/001,R846000.00,4/17/2020,4/17/2020,4/17/2020,2658801,1189662,846000.00,2020/06,-846000.00,CLOSED,0.00,-846000.00,,,
79,HEALTH,MAAA0901646,Glen Life Group of Companies (Pty) Ltd,2013/127388/07,,,,,0.00,0.00,NOT APPLIC,"2  0  04/002LPPD
2004/001
2004/003",R900000.00,4/17/2020,4/17/2020,4/17/2020,2659212,1189662,900000.00,2020/06,-900000.00,CLOSED,0.00,-900000.00,,,
80,HEALTH,MAAA0009973,GRM TRADING ENTERPRISE CC,2007/094111/23,Protective Body Suit,Disposal protective body suite,3871,249.00,963879.00,963879.00,NOT APPLIC,INV003/20LPPD,R337395.00,7/17/2020,7/23/2020,7/27/2020,2681328,1199944,337395.00,2020/07,626484.00,CLOSED,0.00,626484.00,,,
81,HEALTH,MAAA0009973,GRM TRADING ENTERPRISE CC,2007/094111/23,,,,,0.00,0.00,NOT APPLIC,INV002/20LPPD,R481815.00,7/17/2020,7/20/2020,7/27/2020,2681331,1199944,481815.00,2020/07,-481815.00,CLOSED,0.00,-481815.00,,,
82,HEALTH,MAAA0009973,GRM TRADING ENTERPRISE CC,2007/094111/23,,,,,0.00,0.00,NOT APPLIC,INV001/20LPPD,R144669.00,7/17/2020,7/20/2020,7/27/2020,2681334,1199944,144669.00,2020/07,-144669.00,CLOSED,0.00,-144669.00,,,
83,HEALTH,MAAA0099117,Gabrocia PTY LTD,2016/001467/07,Protective Body Suit,Disposal protective body suite,3871,249.00,963879.00,963879.00,NOT APPLIC,GBR-058LPPD,R144662.49,7/6/2020,7/10/2020,7/20/2020,2680013,1199928,144662.49,2020/07,819216.51,CLOSED,0.00,819216.51,,,
84,HEALTH,MAAA0099117,Gabrocia PTY LTD,2016/001467/07,,,,,0.00,0.00,NOT APPLIC,GBR-060LPPD,R481793.32,7/6/2020,7/10/2020,7/21/2020,2680093,1199928,481793.32,2020/07,-481793.32,CLOSED,0.00,-481793.32,,,
85,HEALTH,MAAA0099117,Gabrocia PTY LTD,2016/001467/07,,,,,0.00,0.00,NOT APPLIC,GBR-059LPPD,R337379.82,7/6/2020,7/10/2020,7/21/2020,2680097,1199928,337379.82,2020/07,-337379.82,CLOSED,0.00,-337379.82,,,
86,HEALTH,MAAA0473374,Green Motion Trading Enterprise,2017/179733/07,Gowns - Surgical non sterile,Surgical Gown (Non-Sterile),225,96.00,2160000.00,2160000.00,NOT APPLIC,G   R001LPPD,R2160000.00,6/17/2020,6/19/2020,6/24/2020,2674119,1196748,2160000.00,2020/06,0.00,CLOSED,0.00,0.00,,,
87,HEALTH,MAAA0098608,Harold Group Holdings,2013/113426/07,"Disposal protective body
suite",Disposal protective body suite,3871,249.00,963879.00,963879.00,NOT APPLIC,02/20/20021LPPD,R481950.32,7/18/2020,7/22/2020,7/22/2020,2680492,1199219,481950.32,2020/07,481928.68,CLOSED,0.00,481928.68,,,
88,HEALTH,MAAA0098608,Harold Group Holdings,2013/113426/07,,,,,0.00,0.00,NOT APPLIC,03/20/20021LPPD,R144662.49,7/18/2020,7/22/2020,7/22/2020,2680493,1199219,144662.49,2020/07,-144662.49,CLOSED,0.00,-144662.49,,,
