Entity Name|CSD Supplier Number|Sum of Commitment Amount|Sum of Payment Amount|Sum of Total Expenditure
RUWACON|MAAA0002920|R0.00|R2,544,334.86|R2,544,334.86
TEQNIKO|MAAA0498806|R0.00|R2,540,178.50|R2,540,178.50
PROTEA HOTEL DURBANVILLE|MAAA0085024|R0.00|R2,488,435.75|R2,488,435.75
BIDVEST PROPERTIES (PROPRIETARY)|MAAA0912629|R0.00|R2,487,604.49|R2,487,604.49
SIYAKANDA MEDICAL|MAAA0015272|R0.00|R2,454,198.05|R2,454,198.05
PN MEDICAL MAAA0036326||R0.00|R2,372,017.45|R2,372,017.45
Patient Focus Africa (PTA) Ltd MAAA0150908||R0.00|R2,167,998.16|R2,167,998.16
PHOENIX NEOMED MAAA0009564||R0.00|R2,135,400.50|R2,135,400.50
REKHA CONSTRUCTION MAAA0371725||R0.00|R2,050,266.41|R2,050,266.41
TRANSPORT AND ECONOMIC SUPPORT MAAA0365479||R0.00|R1,906,355.01|R1,906,355.01
AMCOMED MAAA0074321||R0.00|R1,843,439.20|R1,843,439.20
F. BOCKS CONSTRUCTION MAAA0306802||R0.00|R1,822,271.00|R1,822,271.00
Leda Medical Services MAAA0201415||R0.00|R1,799,170.50|R1,799,170.50
EBRAHIM DAWOOD T/A MOUNTAIN VIEW T/AWNA/aY S- not registered on CSD||R0.00|R1,783,456.46|R1,783,456.46
TRIPLE 3 SERVICES MAAA0754888||R0.00|R1,690,710.00|R1,690,710.00
K2 Medical MAAA0121986||R0.00|R1,687,866.60|R1,687,866.60
SPARKS AND ELLIS MAAA0029943||R0.00|R1,606,435.00|R1,606,435.00
RJ MECHANICAL MAAA0433117||R0.00|R1,606,032.75|R1,606,032.75
DOVECOR MAAA0020403||R0.00|R1,550,157.45|R1,550,157.45
WCGH ENGINEERING -||R0.00|R1,467,000.00|R1,467,000.00
ECOMED MEDICAL MAAA0058963||R0.00|R1,434,844.25|R1,434,844.25
TEQNIKO ENGINEERING MAAA0498806||R0.00|R1,374,742.00|R1,374,742.00
ENIGMA DESIGNS MAAA0460917||R0.00|R1,350,829.94|R1,350,829.94
DENBAR MAAA0018344||R0.00|R1,287,964.90|R1,287,964.90
LIQUID TELECOMS MAAA0002119||R1,080,451.45|R189,004.80|R1,269,456.25
AC Disposables and Cleaning Products MAAA0371836||R0.00|R1,217,500.00|R1,217,500.00
ECLIPSE STATIONERS MAAA0002981||R0.00|R1,138,500.00|R1,138,500.00
MARCUS MEDICAL MAAA0006754||R0.00|R1,094,821.60|R1,094,821.60
MANTELLA IT SERVICES MAAA0035280||R0.00|R1,080,459.93|R1,080,459.93
BOE Distributors -||R0.00|R1,050,000.00|R1,050,000.00
HIGHWAY LUX(PTY) LTD MAAA0503930||R0.00|R1,019,040.00|R1,019,040.00
Aim to Clean Services MAAA0656849||R1,013,763.05|R0.00|R1,013,763.05
Indigo Brands MAAA0902049||R0.00|R999,994.00|R999,994.00
ARNISTON SEASIDE COTTAGES(PTY)LT MAAA0695741||R0.00|R983,535.00|R983,535.00
CHM VUWANI MAAA0393512||R0.00|R983,130.68|R983,130.68
COURIERIT SA (PTY) LTD MAAA0078613||R0.00|R968,993.85|R968,993.85
REEDS COUNTRY LODGE MAAA0902063||R0.00|R947,810.00|R947,810.00
M Meyer Surgical Sales T/A Intermed MAAA0162480||R0.00|R908,500.00|R908,500.00
AZ BUILDING MANAGEMENT MAAA0393555||R0.00|R874,256.33|R874,256.33
Samcho Cleaning Services MAAA0036826||R871,500.00|R0.00|R871,500.00
PYRAMID ELECTRICAL MAAA0085004||R0.00|R800,000.00|R800,000.00
RAPITRADE 458 PTY LTD MAAA0177467||R0.00|R799,000.00|R799,000.00
THE NEW TULBAGH HOTEL MAAA0410819||R0.00|R714,000.00|R714,000.00
MEDITEK HEMCO MAAA0664971||R0.00|R683,291.54|R683,291.54
Business connection MAAA0001820||R666,310.00|R0.00|R666,310.00
TRIPLE A SOLUTIONS MAAA0497059||R0.00|R658,370.00|R658,370.00
PRIMWOOD MAAA0061153||R0.00|R623,755.00|R623,755.00
MIDDELPLAAS PAARL GUESTHOUSE PTY N/a - not registered on CSD||R0.00|R620,540.00|R620,540.00
KARCHER (ITS) MAAA0128359||R0.00|R610,707.53|R610,707.53
Eclipse Stationers MAAA0002981||R0.00|R610,305.00|R610,305.00
Dimension Data MAAA0023731||R0.00|R601,900.87|R601,900.87
BRAND UNIVERSE MAAA0159096||R0.00|R574,752.00|R574,752.00
Minus 40 MAAA0012645||R0.00|R573,625.41|R573,625.41
HOSPITAL EQUIPMENT MANUFACTURERS MAAA0106830||R0.00|R566,114.25|R566,114.25
BOLDWEN TRADING MAAA0009039||R0.00|R555,770.65|R555,770.65
ROB DYER SURGICAL MAAA0024688||R0.00|R549,240.00|R549,240.00
NO FEAR SYSTEMS MAAA0189388||R0.00|R538,872.90|R538,872.90
BFECT MAAA0117170||R0.00|R516,710.00|R516,710.00
ABACUS MAAA0016733||R0.00|R502,739.14|R502,739.14
MONTAGU COUNTRY HOTEL MAAA0014901||R0.00|R488,655.00|R488,655.00
AC TRADING MAAA0004703||R0.00|R465,800.00|R465,800.00
CATAGE SERVICES MAAA0018344||R0.00|R443,566.50|R443,566.50
Compass Medical MAAA0007736||R0.00|R434,224.89|R434,224.89
TRIPLE PEAKS MAAA0130826||R0.00|R426,010.00|R426,010.00
VILLA CONTESSSA GUEST HOUSE MAAA0634420||R0.00|R421,260.00|R421,260.00
Pallet Supply Company MAAA0746775||R0.00|R406,033.95|R406,033.95
RUSH SCHOOL AND SPORTWEAR MAAA0895357||R370,000.00|R0.00|R370,000.00
STEADY GROW TRADING 44 CC MAAA0080550||R3,588.00|R362,480.00|R366,068.00
AB INDUSTRIAL AND HOME MAINTENAN MAAA0160000||R0.00|R362,066.00|R362,066.00
NEW HORIZON MAAA0074071||R0.00|R343,804.71|R343,804.71
PETEENS MAAA0141803||R0.00|R342,480.00|R342,480.00
DAMAS GUEST FARM MAAA0574686||R0.00|R339,060.00|R339,060.00
LLUVIA SUGAR DISTRIBUTORS(PTY)LT N/a - not registered on CSD||R0.00|R330,000.00|R330,000.00
RODLIN DESIGN MAAA0414051||R0.00|R329,823.90|R329,823.90
ALTITUDE MAAA0122206||R0.00|R321,073.79|R321,073.79
VODACOM MAAA0006299||R320,440.00|R0.00|R320,440.00
I K N S TRADING MAAA0063017||R0.00|R312,755.00|R312,755.00
Sanbonani Holdings MAAA0005799||R0.00|R300,000.00|R300,000.00
SWARTBERG GUESTHOUSE MAAA0913090||R0.00|R274,200.00|R274,200.00
DU KLOOF LODGE CC MAAA0668393||R0.00|R260,750.00|R260,750.00
BIDVEST SERVICES MAAA0029711||R0.00|R260,143.29|R260,143.29
ZEBRA MEDICAL SUPPLIES MAAA0126506||R0.00|R256,693.80|R256,693.80
TECHNOLOGY STRATEGY CORP MAAA0873509||R0.00|R247,726.10|R247,726.10
Kotsedi Medical MAAA0059445||R0.00|R246,100.00|R246,100.00
TWB PLUMBING MAAA0165561||R0.00|R242,236.00|R242,236.00
DELTA SURGICAL MAAA0007941||R0.00|R242,202.00|R242,202.00
WELCH ALLYN MAAA0007964||R0.00|R239,628.00|R239,628.00
Xerus MAAA0007334||R0.00|R233,983.31|R233,983.31
XERUS SURGICAL MAAA0007334||R0.00|R231,899.00|R231,899.00
ASSUR DEVELOPERS MAAA0589528||R0.00|R224,910.00|R224,910.00
CONTAINER WORLD MAAA0585625||R0.00|R211,000.00|R211,000.00
Supra Healthcare MAAA0091094||R0.00|R209,150.50|R209,150.50
THOKOMALA MOBILITY SERVICE MAAA0054737||R0.00|R208,741.62|R208,741.62
HEMOCUE SA MAAA0050495||R0.00|R207,729.98|R207,729.98
House of Monatic MAAA0100895||R0.00|R207,000.00|R207,000.00
OOM PIET ACCOMMODATION MAAA0745501||R0.00|R204,350.00|R204,350.00
TRIPLE PEAKS COMMODITIES PTY LTD MAAA0130826||R0.00|R197,580.00|R197,580.00
J AND J REWARDS (PTY) LTD MAAA0903642||R0.00|R195,500.00|R195,500.00
SHABBA MAN TRADING MAAA0537970||R0.00|R193,590.00|R193,590.00
UITVLUGT GUEST HOUSE MAAA0511963||R0.00|R174,575.00|R174,575.00
DOEPA TRADING 36 MAAA0222216||R0.00|R174,446.30|R174,446.30
OBSIDIAN HEALTH MAAA0097854||R0.00|R172,097.50|R172,097.50
OMEGA DIGITAL MAAA0084718||R0.00|R162,150.00|R162,150.00
VIRTUEDA HEALTH MAAA0784255||R0.00|R161,000.00|R161,000.00
RSA WEB MAAA0498723||R81,338.81|R79,653.00|R160,991.81
KARCHER MAAA0128359||R0.00|R150,660.00|R150,660.00
Marcus Medical MAAA0006754||R0.00|R148,469.60|R148,469.60
NAMAQUA CATERING(PTY) LTD N/a - not registered on CSD||R0.00|R140,671.40|R140,671.40
HOTLINE PLUMBING AND RENOVATIONS MAAA0932266||R0.00|R140,138.50|R140,138.50
QUICK RELEASE ENTERPRISE MAAA0873841||R0.00|R135,582.00|R135,582.00
Triple N Medical Distributors MAAA0001283||R0.00|R130,200.00|R130,200.00
Allenco Medical & Dental Supplies MAAA0003731||R0.00|R124,300.00|R124,300.00
TRIWES ENGINEERING MAAA0043654||R0.00|R124,151.70|R124,151.70
Telkom MAAA0016750||R120,870.00|R0.00|R120,870.00
AM INITIATIVES (PTY) LTD T/A DUNN'S CASTLE N/a - not registered on CSD||R0.00|R116,710.00|R116,710.00
FTA Enterprises MAAA0050392||R0.00|R109,154.80|R109,154.80
REACTIVE MAINTENANCE SPECIALISTS MAAA0199179||R0.00|R108,607.05|R108,607.05
BELLCORE MAAA0773542||R0.00|R99,990.00|R99,990.00
Ilex South Africa -||R0.00|R97,830.50|R97,830.50
PTA AGENCIES MAAA0028803||R0.00|R97,785.00|R97,785.00
K2020242405 T/A MOZAK TRADE MAAA0926698||R0.00|R96,800.00|R96,800.00
AW JOHNSON (AVRIL'S CATERING) MAAA0103821||R0.00|R96,724.00|R96,724.00
ORACLE MEDICAL (PTY) LTD MAAA0009975||R0.00|R94,680.00|R94,680.00
GANSBAAI BOARDING LODGE N/a - not registered on CSD||R0.00|R94,660.00|R94,660.00
LEOVSA MAAA0690134||R0.00|R94,058.00|R94,058.00
XERUS MAAA0007334||R0.00|R84,172.00|R84,172.00
Meddreg Technology cc MAAA0278517||R0.00|R83,500.00|R83,500.00
LEADERS MEUBILEERDERS MAAA0027034||R0.00|R80,890.00|R80,890.00
MEDI-INDUSTRIAL TRADING (PTY) LT MAAA0015286||R0.00|R80,500.00|R80,500.00
CATERMARKET -||R0.00|R77,165.00|R77,165.00
MPACT OPERATIONS MAAA0583055||R0.00|R75,325.00|R75,325.00
S AND S CATERING MAAA0282563||R0.00|R72,850.00|R72,850.00
VIVO PROJECTS MAAA0893698||R0.00|R72,307.71|R72,307.71
GROUNDPLAY ENTERPRISES MAAA0525917||R718.75|R68,040.00|R68,758.75
Isepa Cleaning MAAA0332596||R0.00|R67,500.00|R67,500.00
SAGE HEALTH SOLUTIONS (PTY)LTD MAAA0370369||R0.00|R66,000.00|R66,000.00
PEST CONTROL (BOLAND) MAAA0016755||R0.00|R65,285.50|R65,285.50
PREMIER ENDOSCOPY MAAA0015709||R0.00|R64,020.50|R64,020.50
MOMENTUM OCSA MAAA0467389||R0.00|R63,654.80|R63,654.80
JAKASA GUESTHOUSE MAAA0913075||R0.00|R62,735.30|R62,735.30
MLUNGU INDUSTRIES MAAA0026409||R977.50|R61,677.47|R62,654.97
M AND H OFFICE EQUIPMENT MAAA0016337||R38,612.40|R22,036.00|R60,648.40
TRIGON TRAVEL MAAA0059417||R0.00|R60,049.45|R60,049.45
BUSY BEE SUPPLIERS MAAA0052128||R0.00|R56,850.00|R56,850.00
Medicore Technologies MAAA0013514||R0.00|R54,452.20|R54,452.20
C4 INVESTMENTS MAAA0002496||R0.00|R53,151.50|R53,151.50
PLAYTIME PRODUCTIONS MAAA0752842||R0.00|R51,854.00|R51,854.00
DAFFODIL TRADING 39 MAAA0344915||R0.00|R51,398.24|R51,398.24
FG UNIFORMS MAAA0028564||R0.00|R49,979.00|R49,979.00
SHEQ-4-AFRICA MANAGEMENT AND CONSULTMAANACAY0 S1E6R5V81IC8ES||R0.00|R49,049.86|R49,049.86
DAFFODIL TRADING 39 MAAA0344915||R0.00|R47,960.00|R47,960.00
EXCELL CONSUMABLES MAAA0011153||R0.00|R47,430.90|R47,430.90
DLT ENTERPRISES MAAA0161984||R0.00|R46,750.00|R46,750.00
ATLANTIC PEST AND HYGIENE SOLUTIONS MAAA0169889||R1,667.50|R44,298.10|R45,965.60
BMS MEDICAL MAAA0210403||R0.00|R45,177.83|R45,177.83
TRIPLE M MANUFACTURING MAAA0582586||R0.00|R41,940.50|R41,940.50
CARL'S EVENTS N/a - not registered on CSD||R0.00|R41,220.00|R41,220.00
D.I.S PEST DIVISION MAAA0092316||R0.00|R39,590.00|R39,590.00
BAGAZIO PROMOTIONS MAAA0155570||R0.00|R38,612.40|R38,612.40
GPC PROJECTS MAAA0880787||R19,885.60|R18,569.47|R38,455.07
TRIPLE 3 BAND SOLUTIONS (PTY MAAA0384047||R0.00|R37,650.00|R37,650.00
AJ ROSSOUW N/a - not registered on CSD||R0.00|R36,600.00|R36,600.00
CHEFS CONNECTION MAAA0280735||R0.00|R36,570.00|R36,570.00
FABULOUS DISTRIBUTORS MAAA0654001||R35,420.00|R0.00|R35,420.00
ITC PEST CONTROL SERVICES AND SOLUTIONSMAAA0148041||R0.00|R34,445.00|R34,445.00
SEBENZISANA TRADING 23 MAAA0004235||R0.00|R33,880.00|R33,880.00
SEIKOU SOLUTIONS MAAA0661442||R0.00|R33,844.99|R33,844.99
Triple Peaks MAAA0130826||R0.00|R33,600.00|R33,600.00
MONTDOR PRINCE ALBERT(PTY)LTD MAAA0525666||R0.00|R31,950.00|R31,950.00
DYNAMIC CONSTRUCTION & SUPPLIES MAAA0882490||R0.00|R31,925.00|R31,925.00
RAFMIR SUPPLIES MAAA0007265||R8,249.80|R23,213.00|R31,462.80
DIBA CONSULTANCY AND EVENTS MANAGEMMENATA A0396196||R30,225.00|R0.00|R30,225.00
RE-IMBURSEMENT (CLAIM BACK) N/A||R26,220.00|R3,009.00|R29,229.00
BELINDA MOSTERT (Magnolia Guesthouse) MAAA0131181||R0.00|R29,120.00|R29,120.00
ENVIRO-SAFE MAAA0085930||R0.00|R28,485.13|R28,485.13
K2020242405 T/A Mozak Trade MAAA0926698||R0.00|R27,800.00|R27,800.00
BLACKBURN SOLUTIONS MAAA0594301||R0.00|R25,610.50|R25,610.50
DYNAMIC INTEGRATED SOLUTIONS MAAA0092316||R0.00|R25,600.00|R25,600.00
LA BELLE CREATIONS MAAA0396401||R0.00|R24,600.00|R24,600.00
MEDISA TRADING MAAA0316710||R0.00|R23,103.45|R23,103.45
DISTINCTIVE CHOICE 248 MAAA0108302||R0.00|R22,494.00|R22,494.00
SAFARMEX MAAA0070251||R0.00|R22,462.00|R22,462.00
KPG MEDIA TECHNOLOGIES MAAA0367381||R15,456.00|R6,882.75|R22,338.75
LINDA JACOBS PROMOTIONS MAAA0094623||R0.00|R22,080.00|R22,080.00
HARBOUR HOUSE HOTEL N/a - not registered on CSD||R0.00|R22,000.00|R22,000.00
Akacia Medical MAAA0116943||R0.00|R21,459.00|R21,459.00
SCS & SERVICES -||R0.00|R21,013.00|R21,013.00
OUTDOOR POWER MAAA0002943||R0.00|R20,585.00|R20,585.00
Gathering storm Investers MAAA0043654||R0.00|R20,251.50|R20,251.50
AMEERA BAKER MAAA0674084||R13,250.00|R6,750.00|R20,000.00
RB & SONS MAAA0486227||R0.00|R19,380.80|R19,380.80
AMANTHI TRADERS MAAA0034819||R0.00|R19,298.00|R19,298.00
MAINSTRUCT PROJECTS MAAA0005327||R0.00|R19,092.88|R19,092.88
PHIABREE HOLDINGS MAAA0305382||R14,250.00|R4,000.00|R18,250.00
MUSTADAFIN FOUNDATION MAAA0571900||R0.00|R17,700.00|R17,700.00
Central Medical MAAA0010548||R0.00|R17,600.00|R17,600.00
RASSOL CLEAN MAAA0017388||R0.00|R16,370.25|R16,370.25
ME ENTERPRISES AND PEST CONTROL SERVICEMS AAA0024884||R0.00|R15,950.00|R15,950.00
LUOMO ATLANTIS MANUFACTURING (IMVUSA MTRAADAIN0G91 1046831)||R0.00|R15,825.00|R15,825.00
FABULOUS DISTRIBUTORS (PTY) LTD MAAA0654001||R0.00|R15,750.01|R15,750.01
WALKER BAY PEST CONTROL MAAA0467209||R0.00|R15,408.50|R15,408.50
SUNSET BEACH TRADING 426CC MAAA0013856||R0.00|R14,994.00|R14,994.00
TEMPERATURE MONITOR SOLUTIONS AF MAAA0093280||R0.00|R13,915.00|R13,915.00
SUNNYSIDE LOGISTICS MAAA0026416||R0.00|R13,180.00|R13,180.00
RIBBENS OFFICE SOLUTIONS MAAA0582311||R0.00|R12,921.96|R12,921.96
MS YAEL TELIAS N/a - not registered on CSD||R0.00|R12,650.00|R12,650.00
ME PEST CONTROL MAAA0024884||R0.00|R12,480.00|R12,480.00
A GIERDIEN T/A CAPE MALAY CATERING N/a - not registered on CSD||R0.00|R12,375.00|R12,375.00
CONSTANTIA COTTAGE N/a - not registered on CSD||R0.00|R12,180.00|R12,180.00
DENNEHOF KAROO GUESTHOUSE N/a - not registered on CSD||R0.00|R12,160.00|R12,160.00
CYMOD (PTY) LTD MAAA0446855||R0.00|R11,655.25|R11,655.25
VAL-U-PAC DISTRIBUTORS MAAA0031087||R0.00|R11,500.00|R11,500.00
EXCELL BUILDING MAINTENANCE CIVI MAAA0837714||R0.00|R11,250.00|R11,250.00
SAHARSA ENTERPRISE MAAA0156167||R0.00|R10,944.85|R10,944.85
RENTOKIL INITIAL MAAA0102243||R0.00|R10,580.00|R10,580.00
BrainPlay MAAA0274010||R0.00|R10,472.00|R10,472.00
DIGITAL ON DEMAND MAAA0301421||R0.00|R10,144.38|R10,144.38
GRINNELL SECURITY SERVICES (PTY) MAAA0106693||R0.00|R9,746.25|R9,746.25
M-Photo MAAA0194855||R0.00|R9,660.00|R9,660.00
CAPITIL PRESS MAAA0021289||R0.00|R9,512.97|R9,512.97
RIBBENS OFFICE MAAA0582311||R0.00|R9,397.80|R9,397.80
FIDELITY CLEANING SERVICES MAAA0793224||R3,082.00|R6,164.00|R9,246.00
MERIDIAN HYGIENE MAAA0563261||R0.00|R9,158.03|R9,158.03
D AND J STATIONERS MAAA0073970||R0.00|R9,100.00|R9,100.00
Logan Medical MAAA0009035||R0.00|R8,441.00|R8,441.00
EXCELL BUILDING MAINTENANCE CIVIL MAAA0837714||R3,800.00|R4,626.43|R8,426.43
LASEC SA MAAA0004575||R7,980.00|R0.00|R7,980.00
KLAASEN KHALO SERVICES MAAA0872900||R0.00|R7,604.09|R7,604.09
OUTDOOR POWER CC MAAA0002943||R0.00|R7,500.30|R7,500.30
WORTELGAT OUTREACH TRUST N/a - not registered on CSD||R0.00|R7,475.00|R7,475.00
SATS SERVICES MAAA0110807||R0.00|R6,900.00|R6,900.00
MKENKE TRANSPORT AND PROJECTS MAAA0663881||R0.00|R6,900.00|R6,900.00
KEPTRA TRADING MAAA0065830||R0.00|R6,765.56|R6,765.56
PEST CONTROL SPECIALISTS WEST COAST MAAA0015302||R0.00|R6,670.00|R6,670.00
WELDING DOCTOR MAAA0555635||R862.50|R5,776.00|R6,638.50
VILLIERSDORP KOOPERASIE MAAA0011684||R0.00|R6,529.01|R6,529.01
NEW AGE MEDIDENT MAAA0016850||R0.00|R6,500.00|R6,500.00
SWARVE MAAA0072192||R0.00|R6,200.11|R6,200.11
CONNOR PEST CONTROL SERVICE MAAA0784846||R0.00|R5,926.36|R5,926.36
BIDVEST PRESTIGE|MAAA0029711|R0.00|R5,899.50|R5,899.50
PEST RELIEVERS|MAAA0079199|R0.00|R5,692.50|R5,692.50
MABODI TRADING AND INVESTMENTS|MAAA0025194|R0.00|R5,379.00|R5,379.00
ECO-HYGIENE|MAAA0905741|R0.00|R5,084.50|R5,084.50
TTREZNIQUE TOURS|MAAA0414788|R5,054.40|R0.00|R5,054.40
CRANIUM MEDICAL PRODUCTS|MAAA0058940|R0.00|R4,968.00|R4,968.00
CRANIUM|MAAA0058940|R0.00|R4,922.80|R4,922.80
GROBIR MEDICAL SUPPLIERS (PTY) L|MAAA0030518|R0.00|R4,900.00|R4,900.00
SOLARGREENSA|MAAA0155055|R0.00|R4,478.96|R4,478.96
LUNETHA HOLDINGS|MAAA0608663|R0.00|R4,128.80|R4,128.80
SHE-QMS CONSULTING AND PROJECTS|MAAA0868137|R0.00|R3,977.00|R3,977.00
FELIX CLEANING|MAAA0141254|R0.00|R3,957.00|R3,957.00
COMTEC GROUP|MAAA0906518|R0.00|R3,675.40|R3,675.40
TRIPLE C MEDICAL SUPPLIES|MAAA0829101|R0.00|R3,672.00|R3,672.00
PRESTIGE 7784|MAAA0626741|R0.00|R3,486.00|R3,486.00
PRONTO KLEEN & CITY SECURITY|MAAA0034632|R0.00|R3,483.00|R3,483.00
BLACKBURN SOLUTIONS (Pty) Ltd|MAAA0593401|R0.00|R3,450.00|R3,450.00
TUSK CONSTRUCTION SUPPRT SERV|MAAA0369431|R3,332.50|R0.00|R3,332.50
COMPASS MEDICAL WASTE SERVICES|MAAA0007736|R0.00|R3,229.50|R3,229.50
TERMINIX|MAAA0076192|R0.00|R2,808.00|R2,808.00
CMK SERVICES & SUPPLIES|MAAA0043725|R2,670.00|R0.00|R2,670.00
MAVERICK TRADING 1106|MAAA0144163|R2,275.00|R0.00|R2,275.00
COVID19 FOGGING (PTY) LTD|MAAA0935041|R0.00|R1,999.77|R1,999.77
