buyer_name,supplier_name,items_description,cost_per_unit_zar,order_amount_zar
Public Works and Infrastructure,Capital Bath,Accommodation: Quarantine Site,1139.00,
Public Works and Infrastructure,Capital Ivy Villa Hotel,Accommodation: Quarantine sites,950.00,
Public Works and Infrastructure,Capital Ivy Villa Hotel,Accommodation: Quarantine Site,1139.00,
Public Works and Infrastructure,Capital Melrose,Accommodation: Quarantine sites,950.00,
Public Works and Infrastructure,Capital Melrose,Accommodation: Quarantine Site,1139.00,
Public Works and Infrastructure,Capital Menlyn Maine,Accommodation: Quarantine Site,1139.00,
Public Works and Infrastructure,Capital on Empire,Accommodation: Quarantine Site,1139.00,
Public Works and Infrastructure,Capital on Park,Accommodation: Quarantine sites,950.00,
Public Works and Infrastructure,Capital on Park,Accommodation: Quarantine Site,1139.00,
Public Works and Infrastructure,Capital Rosebank,Accommodation: Quarantine sites,950.00,
Public Works and Infrastructure,Cathcart Building,Emergency Procurement Delegation. Estimated Cost,9200.00,
Public Works and Infrastructure,Centurion Lake Hotel,Accommodation: Quarantine site,1200.00,
Public Works and Infrastructure,Centurion Lake Hotel,Accommodation: Quarantine Site,1050.00,
Public Works and Infrastructure,Centurion Legacy Hotel,Accommodation: Quarantine Site,1130.00,
Public Works and Infrastructure,Chibotse Family Projects,Cleaning Services Coligny,37393.00,
Public Works and Infrastructure,Chithibunga Cleaning,Provision of cleaning services at various offices (JHBE19/277),88572.00,
Public Works and Infrastructure,Chithibunga Cleaning,"Provision of cleaning services at various offices
(JHBE19/277)",131882.00,
Public Works and Infrastructure,Chithibunga Cleaning,Provision of cleaning services at various offices (JHBE20/019),131882.00,
Public Works and Infrastructure,Chithibunga Cleaning,Provision of cleaning services at various offices(JHBE20/019),88572.00,
Public Works and Infrastructure,City Lodge Durban Hotel,Accommodation: Quarantine Site,1208.00,
Public Works and Infrastructure,City Lodge Grand West Cape Town,Accommodation: Quarantine site,1050.00,
Public Works and Infrastructure,City Lodge Grand West Cape Town,Accommodation: Quarantine Site,1050.00,
Public Works and Infrastructure,City Lodge Umhlanga Ridge Durban,Accommodation: Quarantine Site,1206.00,
Public Works and Infrastructure,City Lodge V & A Cape Town Lodge,Accommodation: Quarantine site,1050.00,
Public Works and Infrastructure,City Lodge V & A Cape Town Lodge,Accommodation: Quarantine Site,1050.00,
Public Works and Infrastructure,Cityrama Enterprise,Cleaning Services Itsoseng,34994.00,
Public Works and Infrastructure,Cityrama Enterprise,Cleaning services Ramatlabama Borderpost,78829.00,
Public Works and Infrastructure,Civilux,Justice: Paul Pietersburg Magistrate Court - Decontamination of Justice and DPW facilities,158834.00,
Public Works and Infrastructure,Clicks,Batteries for scanners for Nepillar House,80.00,
Public Works and Infrastructure,Coastlands Umhlanga Hotel - DBN,Accommodation: Quarantine Site,1000.00,
Public Works and Infrastructure,Coastlands West Street Hotel -DBN,Accommodation: Quarantine Site,1000.00,
Public Works and Infrastructure,Com Sede,Deep cleaning  Magistrate office: Ehlanzeni cluster 2,120790.00,
Public Works and Infrastructure,Crazy Plastics,500Ml Trigger bottles and Kitchen Towels for Fleet Vehicles,850.00,
Public Works and Infrastructure,Crystal Pier Trading 148,Apron - plastic,19320.00,
Public Works and Infrastructure,Crystal Pier Trading 148,Sanitiser - hand liquid,9085000.00,
Public Works and Infrastructure,Dada World of Hardware,Mobile washing Basin(For Sickbay),5200.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","60% alcohol based hand sanitizer refill with
 pump in a hygienically sealed package on as
 and when required basis",813.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","60% alcohol based hand sanitizer refill with
 pump in a hygienically sealed package on as
 and when required basis",4878.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","60% alcohol based hand sanitizer refill with
 pump in a hygienically sealed package on as
 and when required basis",5610.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Alcohol based hand sanitiser refill with pump in hygienically sealed package,2337.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Alcohol based hand sanitiser refill with pump in hygienically sealed package,2033.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Automated / sensor hand sanitiser dispensers,32890.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Automated / sensor hand sanitiser dispensers,28600.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Automated/ sensor hand sanitizer dispensers (touch free) (adherence to SANS 490),5200.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Automated/ sensor hand sanitizer dispensers (touch free) (adherence to SANS 490); JHBE19/266-Quote # 2 dd 01 June 2020,72800.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Automated/ sensor hand sanitizer dispensers (touch free) (adherence to SANS 490); JHBE19/266-Quote # 2 dd 01 June 2020,83720.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",AUTOMATIC HAND SANITISER DISPENSER WITH STAND ; JHBE19/266-Quote # 2 dd 01 June 2020,4600.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",AUTOMATIC HAND SANITISER DISPENSER WITH STAND ; JHBE19/266-Quote # 2 dd 01 June 2020,5290.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",C SIZED BATTERIES FOR AUTO HAND SANITIZER DISPENSER WITH STAND ; JHBE19/266-Quote # 2 dd 01 June 2020,500.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",C SIZED BATTERIES FOR AUTO HAND SANITIZER DISPENSER WITH STAND ; JHBE19/266-Quote # 2 dd 01 June 2020,575.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",CLOTH MASK,25000.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",DAYOUMED INFRARED THERMOMETER; JHBE19/266-Quote # 2 dd 01 June 202,9893.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",DAYOUMED INFRARED THERMOMETER; JHBE19/266-Quote # 2 dd 01 June 202,11377.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",DISPOSABLE OVERALL LARGE ; JHBE19/266- Quote # 2 dd 01 June 2020,2200.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",DISPOSABLE OVERALL LARGE ; JHBE19/266- Quote # 2 dd 01 June 2020,2530.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",DISPOSABLE OVERALL MEDIUM ; JHBE19/266- Quote # 2 dd 01 June 2020,8580.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",DISPOSABLE OVERALL MEDIUM ; JHBE19/266- Quote # 2 dd 01 June 2020,9867.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",DISPOSABLE OVERALL X-LARGE ; JHBE19/266- Quote # 2 dd 01 June 2020,220.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",DISPOSABLE OVERALL X-LARGE ; JHBE19/266- Quote # 2 dd 01 June 2020,253.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",EMBROIDERY OF CLOTH MASK WITH DPW LOGO,22000.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",EMPTY SPRAY BOTTLE,1497.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",EMPTY SPRAY BOTTLE ; JHBE19/266-Quote # 2 dd 01 June 2020,998.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",EMPTY SPRAY BOTTLE ; JHBE19/266-Quote # 2 dd 01 June 2020,1148.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",ENERGIZER RECHARGEABLE BATTERY PACK ; JHBE19/266-Quote # 2 dd 01 June 2020,450.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",ENERGIZER RECHARGEABLE BATTERY PACK ; JHBE19/266-Quote # 2 dd 01 June 2020,518.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",ENERGIZER UNIVERSAL CHARGER FOR RECHARGEABLE BATTERIES ; JHBE19/266- Quote # 2 dd 01 June 2020,390.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",ENERGIZER UNIVERSAL CHARGER FOR RECHARGEABLE BATTERIES ; JHBE19/266- Quote # 2 dd 01 June 2020,449.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",FACE SHIELD,899.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","FACE SHIELD ; JHBE19/266-Quote # 2 dd 01
 June 2020",1798.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","FACE SHIELD ; JHBE19/266-Quote # 2 dd 01
 June 2020",2068.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Foam soap refill with pump in a hygienically
 sealed package",1558.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Foam soap refill with pump in a hygienically
 sealed package",1355.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Foam soap refill with pump in a hygienically
 sealed package (JHBE19/266-Quote # 1 dd
 24/04/2020)",1355.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Folded Hand Paper towels,8280.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Folded Hand Paper towels,7200.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",HAND SANITISER,19960.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","HAND SANITISER ; JHBE19/266-Quote # 2 dd
 01 June 2020",399.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","HAND SANITISER ; JHBE19/266-Quote # 2 dd
 01 June 2020",459.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Manual toilet seat cleaner dispenser ;
 JHBE19/266-Quote # 2 dd 01 June 2020",46000.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Manual toilet seat cleaner dispenser ;
 JHBE19/266-Quote # 2 dd 01 June 2020",52900.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",OVERHEADS,5800.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","OVERHEADS ; JHBE19/266-Quote # 2 dd 01
 June 2020",6670.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Overheads per month,6670.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Overheads per month,5800.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Supply and install automated foam hand soap
 dispenser",29900.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Supply and install automated foam hand soap
 dispenser",26000.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Supply of 60% alcohol based hand sanitisers
 100ml bottle",21519.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Supply of 60% alcohol based hand sanitisers
 100ml bottle",18713.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Supply of 60% alcohol based hand sanitisers
 150ml bottle",740.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Supply of 60% alcohol based hand sanitisers
 150ml bottle",643.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Supply of disposable powder free Latex gloves,17500.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Supply of disposable powder free Latex gloves,8050.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Supply of disposable powder free Latex gloves,7000.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Supply of disposable powder free Latex gloves;
 JHBE19/266-Quote # 2 dd 01 June 202",3500.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Supply of disposable powder free Latex gloves;
 JHBE19/266-Quote # 2 dd 01 June 202",4025.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Supply of surgical disposable face masks,57500.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution",Supply of surgical disposable face masks,50000.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Supply of surgical disposable face masks ;
 JHBE19/266-Quote # 2 dd 01 June 2020",80000.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Supply of surgical disposable face masks ;
 JHBE19/266-Quote # 2 dd 01 June 2020",92000.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Toilet seat cleaner refill in a hygienically sealed
 package ; JHBE19/266-Quote # 2 dd 01 June
 2020",5420.00,
Public Works and Infrastructure,"Deejoy Construction, Cleaning and Distribution","Toilet seat cleaner refill in a hygienically sealed
 package ; JHBE19/266-Quote # 2 dd 01 June
 2020",6233.00,
Public Works and Infrastructure,Dee'K Logistics,Decontamination of state property Group 3,471885.00,
Public Works and Infrastructure,Delik Trading and Projects,Cleaning Services Ventersdorp,36054.00,
Public Works and Infrastructure,DHT Wired,Purchasing of sickbay equipment,20657.00,
Public Works and Infrastructure,Dimatyofela Trading,Cleaning magistrate Court: Willowvalle,80100.00,
Public Works and Infrastructure,Dinny's Business Enterprise,"Provision of cleaning services at Vereeniging
 and Sebokeng Magistrate Courts
 (JHBE19/279)",126605.00,
Public Works and Infrastructure,Dinny's Business Enterprise,"Provision of cleaning services at Vereeniging
 and Sebokeng Magistrate Courts
 (JHBE19/279)",110060.00,
Public Works and Infrastructure,Dinny's Business Enterprise,"Provision of cleaning services at Vereeniging
 and Sebokeng Magistrate Courts
 (JHBE19/279)",126605.00,
Public Works and Infrastructure,Dinny's Business Enterprise,"Provision of cleaning services at Vereeniging
 and Sebokeng Magistrate Courts
 (JHBE20/021)",282480.00,
Public Works and Infrastructure,Dinny's Business Enterprise,"Provision of cleaning services at Vereeniging
 and Sebokeng Magistrate Courts
 (JHBE20/021)",110060.00,
Public Works and Infrastructure,DISCHEM,Purchase of Temperature scanners @ CGO,1000.00,
Public Works and Infrastructure,Dlekwane Trading and Projects,"decontamination and deep cleaning at
 different DPWI remote offices once off",205000.00,
Public Works and Infrastructure,Dreamfinders Trading & Projects 414,Decontamination of state property Group 6,336942.00,
Public Works and Infrastructure,Dumezulu Supplier and Projects,"Provision of cleaning services at Nigel,
 Brakpan, Springs and Daveyton Magistrate
 Courts (JHBE19/281)",121771.00,
Public Works and Infrastructure,Dumezulu Supplier and Projects,"Provision of cleaning services at Nigel,
 Brakpan, Springs and Daveyton Magistrate
 Courts (JHBE19/281)",223476.00,
Public Works and Infrastructure,Dumezulu Supplier and Projects,"Provision of cleaning services at Nigel,
 Brakpan, Springs and Daveyton Magistrate
 Courts (JHBE20/023)",223476.00,
Public Works and Infrastructure,Dumezulu Supplier and Projects,"Provision of cleaning services at Nigel,
 Brakpan, Springs and Daveyton Magistrate
 Courts (JHBE20/023)",121771.00,
Public Works and Infrastructure,Early Flush Toilet,Portable toilets X20 and Sanitart bins X20,85100.00,
Public Works and Infrastructure,East Cost Clothing,Emergency Process,13800.00,
Public Works and Infrastructure,Easter fire and safety,Cleaning services,6096.00,
Public Works and Infrastructure,Easter fire and safety,Cleaning services,15685.00,
Public Works and Infrastructure,Easter fire and safety,Cleaning services,9389.00,
Public Works and Infrastructure,Eastgate,Accommodation: Quarantine Site,1093.00,
Public Works and Infrastructure,Eco-Refined,Decontamination at Cullinan Magistrate,96840.00,
Public Works and Infrastructure,Ehrlick Park Lodge,Accommodation: Quarantine Site,1000.00,
Public Works and Infrastructure,"Endomed medical and surgical
 supplies",Disposable aprons,11000.00,
Public Works and Infrastructure,Engoza Trading,Emergency Procurement Delegation with 4 Quotes obtained.,161460.00,
Public Works and Infrastructure,Engoza Trading,Emergency Procurement Delegation with 5 Quotes obtained.,130272.00,
Public Works and Infrastructure,Engoza Trading,Emergency Procurement Delegation with 6 Quotes obtained.,116472.00,
Public Works and Infrastructure,Eri Vision Pty LTD,Emergency Procurement Delegation with 4 Quotes obtained.,189943.00,
Public Works and Infrastructure,Eri Vision Pty LTD,Emergency Procurement Delegation with 4 Quotes obtained.,197599.00,
Public Works and Infrastructure,Eri Vision Pty LTD,Emergency Procurement Delegation with 5 Quotes obtained.,98712.00,
Public Works and Infrastructure,Eri Vision Pty LTD,Emergency Procurement Delegation with 5 Quotes obtained.,122915.00,
Public Works and Infrastructure,Eri Vision Pty LTD,Emergency Procurement Delegation with 6 Quotes obtained.,77224.00,
Public Works and Infrastructure,Eri Vision Pty LTD,Emergency Process,18900.00,
Public Works and Infrastructure,Evergreen latex cc,Hand Gloves,124800.00,
Public Works and Infrastructure,Eyamadlomo Services (Pty) Ltd,Cleaning Magistrate courts: Maclear and Mt Fletcher,41160.00,
Public Works and Infrastructure,Eyamadlomo Services (Pty) Ltd,Cleaning Magistrate courts: Maclear and Mt Fletcher,36360.00,
Public Works and Infrastructure,Eyamadlomo Services (Pty) Ltd,Cleaning Magistrate courts: Mthatha High Court,38885.00,
Public Works and Infrastructure,Eyamadlomo Services (Pty) Ltd,Cleaning Magistrate courts: Mthatha Magistrate,38885.00,
Public Works and Infrastructure,Eyamadlomo Services (Pty) Ltd,Cleaning Magistrate courts: Sterkspruit,35285.00,
Public Works and Infrastructure,Eyamadlomo Services (Pty) Ltd,Cleaning Magistrate courts: Aliwal North,38885.00,
Public Works and Infrastructure,Eyamadlomo Services (Pty) Ltd,Cleaning Magistrate courts: Matatiel,30542.00,
Public Works and Infrastructure,Ezamabamba Trading,Emergency Procurement Delegation with 5 Quotes obtained.,152580.00,
Public Works and Infrastructure,Ezamabamba Trading,Emergency Procurement Delegation with 6 Quotes obtained.,141089.00,
Public Works and Infrastructure,Ezamabamba Trading,Emergency Process,29800.00,
Public Works and Infrastructure,Fabs Pty Ltd,Cleaning services @ Mamelodi Court,360003.00,
Public Works and Infrastructure,Fabs Pty Ltd,Cleaning services @ Mamelodi Court,36000.00,
Public Works and Infrastructure,Farm House – Free State,Accommodation: Quarantine Site,850.00,
Public Works and Infrastructure,Feli Fred Trading,Purchasing of 60%-70% alcohol based hand sanitisers,29325.00,
Public Works and Infrastructure,Fidelity Cleaning Services,PPE for Isolation Rooms (Blue Disposable Head Covers),136.00,
Public Works and Infrastructure,Fidelity Cleaning Services,PPE for Isolation Rooms (Blue Disposable Shoe Covers),1493.00,
Public Works and Infrastructure,Fidelity Cleaning Services,PPE for Isolation Rooms (Blue Disposable Surgical Gowns Large),3361.00,
Public Works and Infrastructure,Fidelity Cleaning Services,PPE for Isolation Rooms (Blue Disposable Surgical Overalls Large),3279.00,
Public Works and Infrastructure,Fidelity Cleaning Services,PPE for Isolation Rooms (Masks FFP1),317.00,
Public Works and Infrastructure,Fidelity Cleaning Services,PPE for Isolation Rooms First Aid Box Refills),1172.00,
Public Works and Infrastructure,Fine FIX Supply,Decontamination at Bronkhorstspruit Magistrate,102924.00,
Public Works and Infrastructure,First Million Development CC T/A Black Mountain Hotel,Accommodation: Quarantine Site,1150.00,
Public Works and Infrastructure,First Million Development CC T/A Windmill Casino Hotel,Accommodation: Quarantine Site,1050.00,
Public Works and Infrastructure,Flowtide Trading 128,Supply & delivery of surgical masks,392438.00,
Public Works and Infrastructure,Foodwear and Safety,Masks & Gloves,6381.00,
Public Works and Infrastructure,Fortuness Trading,Supply Of Non Sterile Examination Gloves,216000.00,
Public Works and Infrastructure,"Free Compass Sewing Primary Co-
 op",Cloth Masks,20000.00,
Public Works and Infrastructure,"Free Compass Sewing Primary Co-
 op",Digital Thermometer,7500.00,
Public Works and Infrastructure,"Free Compass Sewing Primary Co-
 op",Examination Gloves Large,22500.00,
Public Works and Infrastructure,"Free Compass Sewing Primary Co-
 op",Examination Gloves Medium,13500.00,
Public Works and Infrastructure,"Free Compass Sewing Primary Co-
 op",Examination Gloves Xlarge,18000.00,
Public Works and Infrastructure,"Free Compass Sewing Primary Co-
 op",Sanitizer 5 Litre bottle,92500.00,
Public Works and Infrastructure,"Free Compass Sewing Primary Co-
 op",Sanitizer 500ml bottle,27750.00,
Public Works and Infrastructure,"Free Compass Sewing Primary Co-
 op",Spray Bottle,22500.00,
Public Works and Infrastructure,"Free Compass Sewing Primary Co-
 op",Visor,63000.00,
Public Works and Infrastructure,Gadinelwe Construction & Projects,Cleaning contracts - Lockdown,87815.00,
Public Works and Infrastructure,Gadinelwe Construction & Projects,Cleaning contracts - Lockdown,95615.00,
Public Works and Infrastructure,Gadinelwe Construction & Projects,Cleaning contracts - Lockdown,99015.00,
Public Works and Infrastructure,Game Store,"Disposable Sheets/Pillow Cases x20;
Laminating Plastic x 3 packs; Drawing pins x 4 packs",2000.00,
Public Works and Infrastructure,GEE Square Construction,Cleaning Magistrate courts: Maclear,17841.00,
