Region,Cluster,Responsibility,Supplier,Supplier Registration Number,RFQ,Contract,hea_Number,PO Printed Date,Fund Name,Project Name,Sub Category Item,Item Name,QTY Ordered,QTY Received,PO Status,RFQ Amount,B-BBEE Contibutor Level,Contract Amount,INVOICE RECEIVED DATE,PAYMENT DATE,PAID WITHIN 30 DAYS
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0333840 BK AUGUST GROUP,2013/228658/07,YES,,POO00003BQ,2020-07-07T16:44:21.050,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"29,799.38",Non-compliant contributor,,7/10/2020,7/27/2020,17
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0635070 ORIS HYGIENE AND CHEMICAL SOLUTIONS,2018/049859/07,YES,,POO00003KB,2020-07-10T12:44:12.247,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"4,283.73",Level 1,,7/10/2020,7/27/2020,17
WESTERN CAPE,SWELLENDAM,LC SWELLENDAM,MAAA0550383 OVERBERG PEST CONTROL,1999/067843/23,YES,,POO000044B,2020-07-23T08:38:49.613,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"6,895.00",Non-compliant contributor,,7/10/2020,7/28/2020,18
WESTERN CAPE,KNYSNA,LC KNYSNA,MAAA0234220 GARRETT ASSEMBLIES,1986/013125/23,YES,,POO00003FM,2020-07-09T11:53:54.920,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"12,895.53",Level 2,,7/10/2020,7/30/2020,20
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0927977 CLAIRSERVICES,2020/233408/07,YES,,POO00003WC,2020-07-17T10:07:38.150,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"4,500.00",Level 1,,7/12/2020,7/28/2020,16
NORTHERN CAPE,KIMBERLEY,LC KIMBERLEY,MAAA0160451 TIRISO INVESTMENTS,1999/066851/23,YES,,POO00003D1,2020-07-08T15:50:49.557,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"3,656.19",Level 1,,7/13/2020,7/20/2020,7
NORTHERN CAPE,KIMBERLEY,LC KIMBERLEY,MAAA0160451 TIRISO INVESTMENTS,1999/066851/23,YES,,POO00003D0,2020-07-08T15:50:38.063,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,765,Level 1,,7/13/2020,7/20/2020,7
EASTERN CAPE,ALIWAL NORTH,LC ALIWAL NORTH,MAAA0911285 JUNCTION HEALTH CARE,2016/453951/07,YES,,POO00003XR,2020-07-17T13:03:40.493,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,3688.09,1,Completed,"23,603.78",Level 1,,7/13/2020,8/5/2020,23
MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0090530 RUDAMANS (NELSPRUIT),1985/003433/07,YES,,POO00003GW,2020-07-09T12:53:08.620,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE EQUIPMENT>R5000,CLEANER HIGH PRESSURE,3,3,Completed,"17,168.00",Non-compliant contributor,,7/14/2020,7/17/2020,3
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0563953 BHEKA SINOLWAZI TRADING,2017/501661/07,YES,,POO00003M0,2020-07-11T11:30:50.900,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"29,112.50",Level 1,,7/14/2020,7/23/2020,9
MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0908768 ABUTI APPAREL,2018/098062/07,YES,,POO00003ZX,2020-07-17T15:38:16.860,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"9,007.44",Level 1,,7/14/2020,7/27/2020,13
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0878416 TKG TRADING ENTERPRISES,2020/053728/07,YES,,POO00004NT,2020-07-31T15:34:38.510,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,"10,784.00",Level 1,,7/14/2020,8/7/2020,24
WESTERN CAPE,GEORGE,LC GEORGE,MAAA0461862 APCOT TRADING,2017/143621/07,YES,,POO00003PH,2020-07-14T11:49:57.293,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"21,600.00",Level 1,,7/15/2020,7/23/2020,8
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0333840 BK AUGUST GROUP,2013/228658/07,YES,,POO00003Q9,2020-07-14T13:53:42.697,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"5,725.45",Non-compliant contributor,,7/15/2020,7/27/2020,12
MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0748283 NOSHA TRADING AND PROJECTS,2009/172208/23,YES,,POO000046B,2020-07-22T15:06:51.410,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"9,796.00",Level 1,,7/15/2020,7/28/2020,13
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921 FIZNEF TRADING 10,2011/050820/23,YES,,POO000039S,2020-07-07T14:37:47.497,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"1,850.00",Level 4,,7/15/2020,8/6/2020,22
NORTH WEST,MOLOPO,LC MOLOPO,MAAA0008067 KAUPE PROJECTS AND TRANSPORT,2013/232612/07,YES,,POO00003SC,2020-07-15T14:31:41.583,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,CLEANING DETERGENTS,4,0,Awaiting Delivery,"15,900.00",Level 1,,7/16/2020,8/5/2020,20
NORTH WEST,MOLOPO,LC MOLOPO,MAAA0008067 KAUPE PROJECTS AND TRANSPORT,2013/232612/07,YES,,POO00003SC,2020-07-15T14:31:41.583,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,4,0,Awaiting Delivery,"15,900.00",Level 1,,7/16/2020,8/5/2020,20
NORTH WEST,MOLOPO,LC MOLOPO,MAAA0008067 KAUPE PROJECTS AND TRANSPORT,2013/232612/07,YES,,POO00003SC,2020-07-15T14:31:41.583,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,FACE MASK/ FACE SHIELD,5,0,Awaiting Delivery,"15,900.00",Level 1,,7/16/2020,8/5/2020,20
NORTH WEST,MOLOPO,LC MOLOPO,MAAA0008067 KAUPE PROJECTS AND TRANSPORT,2013/232612/07,YES,,POO00003SC,2020-07-15T14:31:41.583,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,DISPOSABLE PAPER/ PLASTIC ITEMS,"PAPER PLATES,SERVIETTES, FOAM CUPS, SPRAY BOTTLES, ETC",20,0,Awaiting Delivery,"15,900.00",Level 1,,7/16/2020,8/5/2020,20
NORTHERN CAPE,HOPETOWN,LC HOPETOWN,MAAA0053742 HALSTED AND CO,1952/001225/07,YES,,POO00003QD,2020-07-14T15:35:33.893,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITISER,2,2,Completed,"1,757.50",Level 4,,7/17/2020,7/27/2020,10
NORTHERN CAPE,HOPETOWN,LC HOPETOWN,MAAA0053742 HALSTED AND CO,1952/001225/07,YES,,POO00003QD,2020-07-14T15:35:33.893,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,WIPES/REFILL WIPES,1,1,Completed,"1,757.50",Level 4,,7/17/2020,7/27/2020,10
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0163198 JOJO DISTRIBUTORS,2015/316871/07,YES,,POO00003WB,2020-07-17T10:09:17.360,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"16,283.00",Level 1,,7/17/2020,7/27/2020,10
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0860526 AAA CONSUMABLES KWAZULU NATAL,2019/557180/07,YES,,POO00003W9,2020-07-17T10:13:06.063,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"6,000.00",Level 4,,7/17/2020,7/27/2020,10
EASTERN CAPE,KOMGA,LC KOMGA,MAAA0124921 FIZNEF TRADING 10,2011/050820/23,YES,,POO00003XG,2020-07-17T12:09:00.857,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"4,485.00",Level 4,,7/17/2020,8/4/2020,18
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0891486 TRAFFIC CLEANING SERVICES,2020/093594/07,YES,,POO00003LZ,2020-07-11T11:22:08.473,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"17,170.00",Level 1,,7/20/2020,7/27/2020,7
MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0692299 THE MOSERIES,2018/535634/07,YES,,POO0000402,2020-07-17T15:47:40.567,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,"39,168.00",Level 1,,7/20/2020,8/4/2020,15
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0080120 ZAIN BROTHERS,2010/116519/23,YES,,POO00003WF,2020-07-16T16:53:17.930,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS HOUS SUP:TOILETRIES,TOILETRIES,30,30,Completed,"84,525.00",Level 1,,7/20/2020,8/7/2020,18
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0080120 ZAIN BROTHERS,2010/116519/23,YES,,POO00003WD,2020-07-17T10:06:09.893,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,DISPOSABLE MATERIAL,PLASTIC BAGS FOR MARTIN YALE CONFIDENTIAL (PER 100),30,30,Completed,"50,849.70",Level 1,,7/20/2020,8/7/2020,18
WESTERN CAPE,KUILSRIVIER,LC KUILSRIVIER,MAAA0158098 CRJ HOLDINGS,2016/134858/07,YES,,POO000040W,2020-07-20T12:00:37.747,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"12,319.00",Level 1,,7/21/2020,7/21/2020,0
WESTERN CAPE,KUILSRIVIER,LC KUILSRIVIER,MAAA0034117 LEILAAS ELECTRICAL AND BUILDING DISTRIBUTORS,2014/037070/07,YES,,POO00003VP,2020-07-16T14:07:05.777,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"1,995.25",Level 1,,7/22/2020,7/22/2020,0
NORTH WEST,REGIONAL OFFICE: NORTH WEST PROV,NW: COURT OPERATIONS,MAAA0496457 MOKWENA WA MOGOPA,2017/325674/07,YES,,POO0000456,2020-07-22T12:46:08.883,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS MAT&SUP:HARDWARE,FOOT PADDEL SANITIZER STAND,70,70,Completed,"84,000.00",Level 1,,7/22/2020,7/24/2020,2
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO000041M,2020-07-20T15:08:23.323,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"29,400.00",Level 1,,7/22/2020,7/31/2020,9
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO000041K,2020-07-20T15:09:07.340,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"4,784.00",Level 1,,7/22/2020,7/31/2020,9
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO000041F,2020-07-20T15:10:17.173,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"18,940.00",Level 1,,7/22/2020,7/31/2020,9
GAUTENG,JOHANNESBURG,LC JOHANNESBURG,MAAA0669538 MOLADENCE TRADING AND PROJECTS,2018/459874/07,YES,,POO00003WN,2020-07-17T07:39:02.697,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,10,10,Completed,"24,870.00",Level 1,,7/22/2020,7/31/2020,9
GAUTENG,JOHANNESBURG,LC JOHANNESBURG,MAAA0669538 MOLADENCE TRADING AND PROJECTS,2018/459874/07,YES,,POO00003WN,2020-07-17T07:39:02.697,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,175,175,Completed,"24,870.00",Level 1,,7/22/2020,7/31/2020,9
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0081042 SUSKIA TRADING 1114,2010/019553/07,YES,,POO000042R,2020-07-21T14:01:03.553,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"3,919.20",Level 1,,7/22/2020,8/4/2020,13
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0311284 VITAL HYGIENE SOLUTIONS,2005/015071/23,YES,,POO00003VN,2020-07-16T14:03:34.860,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"19,759.97",Level 4,,7/22/2020,8/4/2020,13
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO000042Q,2020-07-21T14:06:18.043,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"4,140.00",Level 1,,7/22/2020,8/4/2020,13
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO000042P,2020-07-21T14:00:09.357,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"9,484.60",Level 1,,7/22/2020,8/4/2020,13
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO000042J,2020-07-21T14:05:28.340,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"2,709.18",Level 1,,7/22/2020,8/4/2020,13
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000042M,2020-07-21T14:01:53.960,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Awaiting Delivery,"7,848.22",Level 2,,7/22/2020,8/12/2020,21
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0102243 RENTOKIL INITIAL,1967/013286/07,YES,,POO00003LV,2020-07-11T10:45:37.460,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"93,840.00",Level 4,,7/23/2020,7/31/2020,8
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000042N,2020-07-21T13:57:58.563,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"5,587.03",Level 2,,7/23/2020,7/31/2020,8
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000042L,2020-07-21T14:02:40.693,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"5,034.01",Level 2,,7/23/2020,7/31/2020,8
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0635070 ORIS HYGIENE AND CHEMICAL SOLUTIONS,2018/049859/07,YES,,POO000047M,2020-07-23T12:16:22.573,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"8,852.00",Level 1,,7/23/2020,7/31/2020,8
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0891486 TRAFFIC CLEANING SERVICES,2020/093594/07,YES,,POO00003SL,2020-07-15T16:34:32.067,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"88,996.15",Level 1,,7/23/2020,8/3/2020,11
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000042S,2020-07-21T14:07:00.787,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"6,270.88",Level 2,,7/23/2020,8/4/2020,12
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000042K,2020-07-21T14:03:32.647,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"8,703.90",Level 2,,7/23/2020,8/4/2020,12
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000041J,2020-07-20T15:09:26.113,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"7,487.39",Level 2,,7/23/2020,8/4/2020,12
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000041H,2020-07-20T15:09:46.270,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,830.34,Level 2,,7/23/2020,8/4/2020,12
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000041G,2020-07-20T15:09:59.143,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"2,730.07",Level 2,,7/23/2020,8/4/2020,12
WESTERN CAPE,REGIONAL OFFICE: CAPE TOWN,WC: REGIONAL HEAD,MAAA0034117 LEILAAS ELECTRICAL AND BUILDING DISTRIBUTORS,2014/037070/07,YES,,POO000043B,7/21/2020 0:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE EQUIPMENT<R5000 MINOR ASSET,THERMOMETER/INFRA RED SCANNER,12,12,Completed,"10,396.00",Level 1,,7/23/2020,8/5/2020,13
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0927977 CLAIRSERVICES,2020/233408/07,YES,,POO0000488,2020-07-23T13:15:12.080,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"3,991.60",Level 1,,7/23/2020,8/7/2020,15
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0751680 KAIVALYA TRADING,2019/112801/07,YES,,POO00003NS,2020-07-13T16:09:06.680,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"6,379.28",Level 1,,7/24/2020,7/27/2020,3
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0359314 GERMGUARD SERVICES,2016/066011/07,YES,,POO000045S,2020-07-22T14:10:56.393,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"5,740.00",Level 1,,7/24/2020,7/28/2020,4
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0359314 GERMGUARD SERVICES,2016/066011/07,YES,,POO00003LW,2020-07-11T10:48:43.743,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,"3,815.00",Level 1,,7/24/2020,7/28/2020,4
MPUMALANGA,BARBERTON,LC BARBERTON,MAAA0603891 VILLA ENLIGHTED PROJECTS,2017/228073/07,YES,,POO000041S,2020-07-21T07:58:21.363,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS MAT&SUP:HARDWARE,FREE STANDING PERSPEX DIVIDER,5,5,Completed,"14,600.00",Level 1,,7/24/2020,7/29/2020,5
FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0081042 SUSKIA TRADING 1114,2010/019553/07,YES,,POO000044W,2020-07-22T12:09:27.933,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,"5,865.00",Level 1,,7/24/2020,8/4/2020,11
NORTHERN CAPE,JAN KEMPDORP,LC JAN KEMPDORP,MAAA0864976 ONALEKAGELO,2019/233335/07,YES,,POO000040L,2020-07-20T14:00:47.150,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE EQUIPMENT<R5000 MINOR ASSET,THERMOMETER/INFRA RED SCANNER,1,1,Completed,"1,850.00",Level 1,,7/24/2020,8/4/2020,11
