buyer_name,implementation_location_province,Cluster,implementation_location_other,supplier_name,company_registration_number,RFQ,Contract,hea_Number,PO Printed Date,Fund Name,Project Name,Sub Category Item,items_description,items_quantity,QTY Received,implementation_status,order_amount_zar,bbbee_status,Contract Amount,Invoice Receipt Date,invoice_date,PAID WITHIN 30 DAYS
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,MOLOPO,LC MOLOPO,MAAA0008067 KAUPE PROJECTS AND TRANSPORT,2013/232612/07,YES,,POO00003SC,2020-07-15T14:31:41.583,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,CLEANING DETERGENTS,4,0,Awaiting Delivery,15900.00,Level 1,,2020-07-16,2020-08-05,20
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,MOLOPO,LC MOLOPO,MAAA0008067 KAUPE PROJECTS AND TRANSPORT,2013/232612/07,YES,,POO00003SC,2020-07-15T14:31:41.583,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,4,0,Awaiting Delivery,15900.00,Level 1,,2020-07-16,2020-08-05,20
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,MOLOPO,LC MOLOPO,MAAA0008067 KAUPE PROJECTS AND TRANSPORT,2013/232612/07,YES,,POO00003SC,2020-07-15T14:31:41.583,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLOTHING,FACE MASK/ FACE SHIELD,5,0,Awaiting Delivery,15900.00,Level 1,,2020-07-16,2020-08-05,20
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,MOLOPO,LC MOLOPO,MAAA0008067 KAUPE PROJECTS AND TRANSPORT,2013/232612/07,YES,,POO00003SC,2020-07-15T14:31:41.583,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,DISPOSABLE PAPER/ PLASTIC ITEMS,"PAPER PLATES,SERVIETTES, FOAM CUPS, SPRAY BOTTLES, ETC",20,0,Awaiting Delivery,15900.00,Level 1,,2020-07-16,2020-08-05,20
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,HOPETOWN,LC HOPETOWN,MAAA0053742 HALSTED AND CO,1952/001225/07,YES,,POO00003QD,2020-07-14T15:35:33.893,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITISER,2,2,Completed,1757.50,Level 4,,2020-07-17,2020-07-27,10
Department of Justice and Constitutional Development (DoJ&CD),NORTHERN CAPE,HOPETOWN,LC HOPETOWN,MAAA0053742 HALSTED AND CO,1952/001225/07,YES,,POO00003QD,2020-07-14T15:35:33.893,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,WIPES/REFILL WIPES,1,1,Completed,1757.50,Level 4,,2020-07-17,2020-07-27,10
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0163198 JOJO DISTRIBUTORS,2015/316871/07,YES,,POO00003WB,2020-07-17T10:09:17.360,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,16283.00,Level 1,,2020-07-17,2020-07-27,10
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0860526 AAA CONSUMABLES KWAZULU NATAL,2019/557180/07,YES,,POO00003W9,2020-07-17T10:13:06.063,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,6000.00,Level 4,,2020-07-17,2020-07-27,10
Department of Justice and Constitutional Development (DoJ&CD),EASTERN CAPE,KOMGA,LC KOMGA,MAAA0124921 FIZNEF TRADING 10,2011/050820/23,YES,,POO00003XG,2020-07-17T12:09:00.857,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,4485.00,Level 4,,2020-07-17,2020-08-04,18
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0891486 TRAFFIC CLEANING SERVICES,2020/093594/07,YES,,POO00003LZ,2020-07-11T11:22:08.473,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,17170.00,Level 1,,2020-07-20,2020-07-27,7
Department of Justice and Constitutional Development (DoJ&CD),MPUMALANGA,REGIONAL OFFICE MPUMALANGA,MP: COURT OPERATIONS,MAAA0692299 THE MOSERIES,2018/535634/07,YES,,POO0000402,2020-07-17T15:47:40.567,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,0,Awaiting Delivery,39168.00,Level 1,,2020-07-20,2020-08-04,15
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0080120 ZAIN BROTHERS,2010/116519/23,YES,,POO00003WF,2020-07-16T16:53:17.930,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS HOUS SUP:TOILETRIES,TOILETRIES,30,30,Completed,84525.00,Level 1,,2020-07-20,2020-08-07,18
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0080120 ZAIN BROTHERS,2010/116519/23,YES,,POO00003WD,2020-07-17T10:06:09.893,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,DISPOSABLE MATERIAL,PLASTIC BAGS FOR MARTIN YALE CONFIDENTIAL (PER 100),30,30,Completed,50849.70,Level 1,,2020-07-20,2020-08-07,18
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,KUILSRIVIER,LC KUILSRIVIER,MAAA0158098 CRJ HOLDINGS,2016/134858/07,YES,,POO000040W,2020-07-20T12:00:37.747,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,12319.00,Level 1,,2020-07-21,2020-07-21,0
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,KUILSRIVIER,LC KUILSRIVIER,MAAA0034117 LEILAAS ELECTRICAL AND BUILDING DISTRIBUTORS,2014/037070/07,YES,,POO00003VP,2020-07-16T14:07:05.777,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,1995.25,Level 1,,2020-07-22,2020-07-22,0
Department of Justice and Constitutional Development (DoJ&CD),NORTH WEST,REGIONAL OFFICE: NORTH WEST PROV,NW: COURT OPERATIONS,MAAA0496457 MOKWENA WA MOGOPA,2017/325674/07,YES,,POO0000456,2020-07-22T12:46:08.883,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CONS MAT&SUP:HARDWARE,FOOT PADDEL SANITIZER STAND,70,70,Completed,84000.00,Level 1,,2020-07-22,2020-07-24,2
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO000041M,2020-07-20T15:08:23.323,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,29400.00,Level 1,,2020-07-22,2020-07-31,9
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0053933 NEW HEIGHTS COMMUNICATIONS,2011/131419/07,YES,,POO000041K,2020-07-20T15:09:07.340,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,4784.00,Level 1,,2020-07-22,2020-07-31,9
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO000041F,2020-07-20T15:10:17.173,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,18940.00,Level 1,,2020-07-22,2020-07-31,9
Department of Justice and Constitutional Development (DoJ&CD),GAUTENG,JOHANNESBURG,LC JOHANNESBURG,MAAA0669538 MOLADENCE TRADING AND PROJECTS,2018/459874/07,YES,,POO00003WN,2020-07-17T07:39:02.697,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,10,10,Completed,24870.00,Level 1,,2020-07-22,2020-07-31,9
Department of Justice and Constitutional Development (DoJ&CD),GAUTENG,JOHANNESBURG,LC JOHANNESBURG,MAAA0669538 MOLADENCE TRADING AND PROJECTS,2018/459874/07,YES,,POO00003WN,2020-07-17T07:39:02.697,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING MATERIALS,HAND SANITIZER,175,175,Completed,24870.00,Level 1,,2020-07-22,2020-07-31,9
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0081042 SUSKIA TRADING 1114,2010/019553/07,YES,,POO000042R,2020-07-21T14:01:03.553,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,3919.20,Level 1,,2020-07-22,2020-08-04,13
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0311284 VITAL HYGIENE SOLUTIONS,2005/015071/23,YES,,POO00003VN,2020-07-16T14:03:34.860,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,19759.97,Level 4,,2020-07-22,2020-08-04,13
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO000042Q,2020-07-21T14:06:18.043,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,4140.00,Level 1,,2020-07-22,2020-08-04,13
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO000042P,2020-07-21T14:00:09.357,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,9484.60,Level 1,,2020-07-22,2020-08-04,13
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0391253 TLHOLO GROUP,2016/534671/07,YES,,POO000042J,2020-07-21T14:05:28.340,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,2709.18,Level 1,,2020-07-22,2020-08-04,13
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000042M,2020-07-21T14:01:53.960,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Awaiting Delivery,7848.22,Level 2,,2020-07-22,2020-08-12,21
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0102243 RENTOKIL INITIAL,1967/013286/07,YES,,POO00003LV,2020-07-11T10:45:37.460,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,93840.00,Level 4,,2020-07-23,2020-07-31,8
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000042N,2020-07-21T13:57:58.563,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,5587.03,Level 2,,2020-07-23,2020-07-31,8
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000042L,2020-07-21T14:02:40.693,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,5034.01,Level 2,,2020-07-23,2020-07-31,8
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0635070 ORIS HYGIENE AND CHEMICAL SOLUTIONS,2018/049859/07,YES,,POO000047M,2020-07-23T12:16:22.573,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,8852.00,Level 1,,2020-07-23,2020-07-31,8
Department of Justice and Constitutional Development (DoJ&CD),KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0891486 TRAFFIC CLEANING SERVICES,2020/093594/07,YES,,POO00003SL,2020-07-15T16:34:32.067,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,88996.15,Level 1,,2020-07-23,2020-08-03,11
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000042S,2020-07-21T14:07:00.787,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,6270.88,Level 2,,2020-07-23,2020-08-04,12
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000042K,2020-07-21T14:03:32.647,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,8703.90,Level 2,,2020-07-23,2020-08-04,12
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000041J,2020-07-20T15:09:26.113,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,7487.39,Level 2,,2020-07-23,2020-08-04,12
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000041H,2020-07-20T15:09:46.270,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,830.34,Level 2,,2020-07-23,2020-08-04,12
Department of Justice and Constitutional Development (DoJ&CD),FREE STATE,REGIONAL OFFICE FREE STATE,FS: COURT OPERATIONS,MAAA0400377 KOL LOGISTICS,2015/219367/07,YES,,POO000041G,2020-07-20T15:09:59.143,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,CLEANING SERVICES,CLEANING SERVICES,1,1,Completed,2730.07,Level 2,,2020-07-23,2020-08-04,12
Department of Justice and Constitutional Development (DoJ&CD),WESTERN CAPE,REGIONAL OFFICE: CAPE TOWN,WC: REGIONAL HEAD,MAAA0034117 LEILAAS ELECTRICAL AND BUILDING DISTRIBUTORS,2014/037070/07,YES,,POO000043B,7/21/2020 0:00,COVID-19 RESPONSE FUNDS,COVID-19 RESPONSE,OFFICE EQUIPMENT<R5000 MINOR ASSET,THERMOMETER/INFRA RED SCANNER,12,12,Completed,10396.00,Level 1,,2020-07-23,2020-08-05,13
