buyer_name,No.,implementation_location_other,supplier_name,items_description,Unit Pice,cost_per_unit_zar,items_quantity,order_amount_zar,"Indicate: Normal process or
Deviation",Order date,invoice_date,company_registration_number
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",17,National,Hulisani Consulting,"Appointment of a Service Provider to Fog/Spray, Sanitize
and disinfect 4 floors +_ 350 Offices for Department of
Agriculture, Rural Development and Land Reform","R                              9,02",9.02,-350,390000.00,Deviation,20/05/2020,2020-05-20,2009/009115/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",18,National,Mmatshuene Tradig cc,"Appointment of a Service Provider to Supply and Deliver
Three Layer Face Masks for Department of Agriculture,
Rural Development and Land Reform","R                            28,00",28.00,15000,494500.00,Deviation,14/05/2020,2020-05-14,2003/031386/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",19,National,Mmatshuene Tradig cc,"Appointment of a Service Provider to Supply and Deliver
Three Layer Face Masks for Department of Agriculture,
Rural Development and Land Reform","R                            28,00",28.00,5000,140000.00,Deviation,14/05/2020,2020-05-14,2003/031386/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",20,National,Mmatshuene Tradig cc,"Appointment of a Service Provider to Supply and Deliver
Gloves for Department of Agriculture, Rural Development
and Land Reform","R                              3,50",3.50,40000,140000.00,Deviation,14/05/2020,2020-05-14,2003/031386/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",21,National,Mmatshuene Tradig cc,"Appointment of a Service Provider to Supply and Deliver
5L Sanitizer for Department of Agriculture, Rural
Development and Land Reform","R                          650,00",650.00,200,32000.00,Deviation,14/05/2020,2020-05-14,2003/031386/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",22,National,Maputiki Enterprise,"Appointment of a Service Provider to Supply and Deliver
Three Layer Face Masks for Department of Agriculture,
Rural Development and Land Reform","R                            19,50",19.50,25000,487500.00,Deviation,22/05/2020,2020-05-22,2018/599382/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",23,National,"Calvinate Investments (Pty)
Ltd","Appointment of a Service Provider to Supply and Deliver
Three Layer Face Masks for Department of Agriculture,
Rural Development and Land Reform","R                            19,20",19.20,25000,480000.00,Deviation,22/05/2020,2020-05-22,2012/207725/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",24,National,"BEE Spoiled Day Spa t/a
Pure Bliss Day Spa","Appointment of a Service Provider to Supply and Deliver
Three Layer Face Masks for Department of Agriculture,
Rural Development and Land Reform","R                            25,00",25.00,10 000,250000.00,Normal Process,,,2013/093128/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",25,National,Ozakwethu,"Appointment of a Service Provider to Supply and Deliver
digital Thermometer for Department of Agriculture, Rural
Development and Land Reform","R                       1 380,00",1380.00,100,138000.00,Normal Process,30/07/2020,2020-07-30,2020/124087/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",26,National,Quick Splash N Dash Carwas,"Appointment of a Service Provider to Supply and Deliver
Reception Shield and Desk Shields for Department of
Agriculture, Rural Development and Land Reform","981.50
500.00",,"100
530",363150.00,Normal Process,18/06/2020,2020-06-18,2019/089358/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",27,Gauteng,"TRM Consulting Engineers
and Project Managers",Fogging/ Disinfection services,"R                     21 000,00",21000.00,1,21000.00,Normal process,AH-245289,,2015/033268/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",28,Gauteng,"TRM Consulting Engineers
and Project Managers",Fogging/ Disinfection services,"R                     43 015,41",43015.41,1,43015.41,Normal process,AH-245290,,2015/033268/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",29,Gauteng,"TRM Consulting Engineers
and Project Managers",Fogging/ Disinfection services,"R 26 418,00",26418.00,1,26418.00,Deviation,AF-395201,,2015/033268/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",30,Gauteng,"TRM Consulting Engineers
and Project Managers",Fogging/ Disinfection services,"R 38 421,66",38421.66,1,38421.66,Deviation,AF-395202,,2015/033268/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",31,Gauteng,"TRM Consulting Engineers
and Project Managers",Fogging/ Disinfection services,"R 21 000,00",21000.00,1,21000.00,Deviation,13/07/2020,2020-07-13,2015/033268/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",32,Gauteng,"TRM Consulting Engineers
and Project Managers",Fogging/ Disinfection services,"R 26 418,00",26418.00,1,26418.00,Deviation,14/07/2020,2020-07-14,2015/033268/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",33,Gauteng,"TRM Consulting Engineers
and Project Managers",Fogging/ Disinfection services,"R 26 418,00",26418.00,1,26418.00,Deviation,21/07/2020,2020-07-21,2015/033268/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",34,Gauteng,"TRM Consulting Engineers
and Project Managers",Fogging/ Disinfection services,"R 26 418,00",26418.00,1,26418.00,Normal process,31/07/2020,2020-07-31,2015/033268/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",35,North West,Reatswelela,25 L Sanitiser,"R                       3 900,00",3900.00,50 (25L),195000.00,DEVIATION,13-Mar-20,2020-03-13,2007/230696
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",36,North West,Reatswelela,Disposable Musk,"R                              6,80",6.80,50 (100),34000.00,DEVIATION,13-Mar-20,2020-03-13,2007/230696
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",37,North West,Reatswelela,Gloves,"R                              2,80",2.80,40 (100),11200.00,DEVIATION,13-Mar-20,2020-03-13,2007/230696
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",38,North West,Reatswelela,1L Bottles,"R                            55,00",55.00,"20,00",1100.00,DEVIATION,13-Mar-20,2020-03-13,2007/230696
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",39,North West,Reatswelela,Double spray holder,"R                          150,00",150.00,"5,00",750.00,DEVIATION,13-Mar-20,2020-03-13,2007/230696
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",40,North West,Reatswelela,Single holder,"R                            75,00",75.00,"2,00",150.00,DEVIATION,13-Mar-20,2020-03-13,2007/230696
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",41,North West,Leabetswe trading,1 L Sanitiser,195.95,195.95,250,48987.50,DEVIATION,15-Apr-20,2020-04-15,2008/159038/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",42,North West,Leabetswe trading,250ml Sanitiser,40.95,40.95,1200,49140.00,DEVIATION,15-Apr-20,2020-04-15,2008/159038/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",43,North West,Leabetswe trading,Branded Cloth Musk,75,75.00,2350,176250.00,DEVIATION,15-Apr-20,2020-04-15,2008/159038/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",44,North West,Leabetswe trading,Disposable Musk,"R                          6,2295",6.23,2000,12459.00,DEVIATION,15-Apr-20,2020-04-15,2008/159038/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",45,North West,Leabetswe trading,Gloves,"R                          2,7695",2.77,2000,5539.00,DEVIATION,15-Apr-20,2020-04-15,2008/159038/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",46,North West,Rediko Enterprises (PTY)LTD,"Disinfection of Offices and Cars  -NWPSSC Westgallery
megacity  Buildings 5483m2",R20.00,20.00,1,109660.00,DEVIATION,30-Apr-20,2020-04-30,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",47,North West,Rediko Enterprises (PTY)LTD,"Megacity Building Motor vehicles disinfecting : 14
Bakkies (1X200) , 1 Bus(1X400) and 7 Sedan (1X150)","R                       4 100,00",4100.00,1,4100.00,DEVIATION,30-Apr-20,2020-04-30,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",48,North West,Rediko Enterprises (PTY)LTD,"Disinefcting of offices Ngaka Modiri Molema District
Office 1 Station Road , Molopo Building 784.45 m2",R20.00,20.00,1,15689.00,DEVIATION,30-Apr-20,2020-04-30,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",49,North West,Rediko Enterprises (PTY)LTD,"Molopo building Motor vehicles disinfecting : 2 bakkies
and 1 Sedan","R                          550,00",550.00,1,550.00,DEVIATION,30-Apr-20,2020-04-30,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",50,North West,Rediko Enterprises (PTY)LTD,"Disinecting of Bojanala District office leyds Street 1358
.39 m2",R20.00,20.00,1,27167.00,DEVIATION,30-Apr-20,2020-04-30,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",51,North West,Rediko Enterprises (PTY)LTD,Disinfecting of Bojanala District office ledys street 537m2,R20.00,20.00,1,10740.00,DEVIATION,30-Apr-20,2020-04-30,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",52,North West,Rediko Enterprises (PTY)LTD,"Motor vehicles disinfecting at Bojanala : 3 bakkies (200)
and 1 sedan (150)","R                          750,00",750.00,1,750.00,DEVIATION,30-Apr-20,2020-04-30,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",53,North West,Rediko Enterprises (PTY)LTD,"Disinfecting offices at Dr Kenneth kaunda District PC
Pelser Building 1433m2,",R20.00,20.00,1,28660.00,DEVIATION,30-Apr-20,2020-04-30,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",54,North West,Rediko Enterprises (PTY)LTD,"Motor vehicles disinfecting at Dr kenneth kaunda district
PC Pelser Building  : 3 bakkies (200) and 1 sedan (150)","R                          750,00",750.00,1,750.00,DEVIATION,30-Apr-20,2020-04-30,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",55,North West,Rediko Enterprises (PTY)LTD,"Disinefcting of offices at Dr Ruth Segomotso Mompati
District Prime Plaza Buidling 573m2",R20.00,20.00,1,11400.00,DEVIATION,30-Apr-20,2020-04-30,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",56,North West,Rediko Enterprises (PTY)LTD,"Motor vehicle disinection at Dr Ruth Segomotso Mompati
3 bakkies and 1 Sedan",R20.00,20.00,1,750.00,DEVIATION,30-Apr-20,2020-04-30,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",57,North West,Rediko Enterprises (PTY)LTD,"Disfencting the DAFF boarder posts at Ramatlabama
land Port 36m2",R20.00,20.00,1,720.00,DEVIATION,26-May-20,2020-05-26,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",58,North West,Rediko Enterprises (PTY)LTD,Disinfecting the DAFF Offices at Kopfontein 18m2,R20.00,20.00,1,360.00,DEVIATION,26-May-20,2020-05-26,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",59,North West,Rediko Enterprises (PTY)LTD,"Disinfecting the DAFF offices at Skilpadhek land Port
102.52",R20.00,20.00,1,2050.00,DEVIATION,26-May-20,2020-05-26,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",60,North West,Rediko Enterprises (PTY)LTD,"Disinefcting the DAFF offices Louis le Grange Building
570m2",R20.00,20.00,1,11400.00,DEVIATION,26-May-20,2020-05-26,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",61,North West,Rediko Enterprises (PTY)LTD,Disinefcting of Agri hub at Springbokpan 2450m2,R20.00,20.00,1,49000.00,DEVIATION,26-May-20,2020-05-26,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",62,North West,Rediko Enterprises (PTY)LTD,Disinceting outstanding offices in Megacity Building 72m2,R20.00,20.00,1,1440.00,DEVIATION,26-May-20,2020-05-26,2012/020327/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",63,North West,Lethoko Developments,"Disinfecting of offices at  DAFF Le Grange Building ,
Potchefstroom 570m2",R13.50,13.50,1,8849.25,DEVIATION,22-Jun-20,2020-06-22,2005/095524/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",64,North West,Lethoko Developments,"Disinfecting offices at Dr Kenneth kaunda District PC
Pelser Building 1433m2,",R13.50,13.50,1,19345.50,DEVIATION,22-Jun-20,2020-06-22,2005/095524/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",65,North West,Lethoko Developments,"Disinefcting of offices at Dr Ruth Segomotso Mompati
District Prime Plaza Buidling 537m2",R13.50,13.50,1,7249.50,DEVIATION,22-Jun-20,2020-06-22,2005/095524/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",66,North West,Lethoko Developments,"Disinefcting of offices at Dr Ruth Segomotso Mompati
District Prime Plaza Buidling 570m2",R13.50,13.50,1,7695.00,DEVIATION,22-Jun-20,2020-06-22,2005/095524/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",67,North West,Lethoko Developments,"Disinfection of Offices and Cars  -NWPSSC Westgallery
megacity  Buildings 5483m2",R13.50,13.50,1,74020.00,DEVIATION,14-Jul-20,2020-07-14,2005/095524/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",68,North West,Lethoko Developments,"Disinefcting of offices Ngaka Modiri Molema District
Office 1 Station Road , Molopo Building 784.45 m2",R13.50,13.50,1,10590.08,DEVIATION,14-Jul-20,2020-07-14,2005/095524/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",69,Free State,BOLENG RETZ,1LITER HAND SANITIZER  70% ALCOHOL,195,195.00,750,146250.00,DEVIATION,20/03/2020,2020-03-20,2017/154208/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",70,Free State,BOLENG RETZ,DISPOSABLE MASK,29,29.00,3000,86000.00,DEVIATION,20/03/2020,2020-03-20,2017/154208/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",71,Free State,BOLENG RETZ,"1LTR SPRAY BOTTLE WITH CHEMICAL SURFACE
CLEANER",165,165.00,30,4950.00,DEVIATION,20/03/2020,2020-03-20,2017/154208/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",72,Free State,BOLENG RETZ,5LTR CHEMICAL SURFACE CLEANER,595,595.00,40,23800.00,DEVIATION,20/03/2020,2020-03-20,2017/154208/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",73,Free State,"SHADOW MOON TRADING
596",DISPOSABLE MASK,30,30.00,3000,90000.00,DEVIATION,20/03/2020,2020-03-20,2010/111559/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",74,Free State,"SHADOW MOON TRADING
596",GLOVES (100 IN A BOX),"R                              5,50",5.50,3000,16500.00,DEVIATION,20/03/2020,2020-03-20,2010/111559/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",75,Free State,"SHADOW MOON TRADING
596",HAND SANITIZER  70% ALCOHOL,198,198.00,340,67320.00,DEVIATION,20/03/2020,2020-03-20,2010/111559/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",76,Free State,"KGOLAGANYO TRADING
ENTERPRISE","CLEANING, DISINFECTION/FOGGING SERVICES FOR
LEJWELEPUTSWA OFFICE, FEZILE DABI OFFICES
AND THABO MOFUTSANYANE OFFICES.",112 700.00,112700.00,1,112700.00,DEVIATION,20/05/2020,2020-05-20,2005/068758/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",77,Free State,MJO CONSULTING,"CLEANING, DISINFECTION/FOGGING SERVICES FOR
PSSC FS OFFICE, OMNI BUILDING (SURVEYOR
GENERAL,  SPLUM OFFICES, AGRICULTURAL
OFFICES) AND AGRICULTURAL BUILDING.",189 180.00,189180.00,1,189180.00,DEVIATION,20/05/2020,2020-05-20,9225297521
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",78,Free State,MJO CONSULTING,Decontamination Sasoburg Office,"R                     29 640,00",29640.00,1,29640.00,DEVIATION,06/07/2020,2020-07-06,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",79,Free State,MJO CONSULTING,Decontamination PSSC Office,"R                     96 000,00",96000.00,1,96000.00,DEVIATION,13/06/2020,2020-06-13,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",80,Free State,Samagaba Cleaning Services,Decontamination RLCC Office,"R                     55 097,00",55097.00,1,55097.00,DEVIATION,20/07/2020,2020-07-20,2004/017019/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",81,Free State,Shadowmoon Trading,Decontamination PSSC Office,"R                     79 212,00",79212.00,1,79212.00,DEVIATION,23/07/2020,2020-07-23,2010/111559/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",82,Deeds & OVG,Masana Hygiene Services,"Hand Sanitizer, 550ml - Chief Registrar of Deeds,
Pretoria Deeds Registry, Chief Surveyor-General and
Surveyor-General Gauteng","R                          103,50",103.50,250,25875.00,Deviation - Emergency,10/03/2020,2020-03-10,2014/110265/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",83,Deeds & OVG,Masana Hygiene Services,"Hand Sanitizer, 550ml - Johannesburg Deeds Registry","R                          103,50",103.50,2600,269100.00,Deviation - Emergency,10/03/2020,2020-03-10,2014/110265/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",84,Deeds & OVG,Masana Hygiene Services,Brackets - Johannesburg Deeds Registry,"R                          120,75",120.75,50,6037.50,Deviation - Emergency,10/03/2020,2020-03-10,2014/110265/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",85,Deeds & OVG,JDA Sourcing and Consulting,"Hand Sanitizer, 1l - Cape Town Deeds Registry","R                          220,80",220.80,210,46368.00,Deviation - Emergency,11/03/2020,2020-03-11,2017/216228/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",86,Deeds & OVG,Simulo (Pty) Ltd,"Wall Mount Hand Sanitizer Dispenser, 800ml; Hand
Sanitizer Refill Chemical - Pietermaritzburg Deeds
Registry","R                          700,00",700.00,20,14000.00,Deviation - Emergency,06/03/2020,2020-03-06,2020/025952/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",87,Deeds & OVG,"Cleaning Specialists (SUSKIA
TRADING 1114 - The
Specialists - Pest Control and
Cleaning","Hand Sanitizer, 5l - Kimberley Deeds Registry","R                          632,50",632.50,2,1265.00,Deviation - Emergency,13/03/2020,2020-03-13,2010/019553/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",88,Deeds & OVG,"Cleaning Specialists (SUSKIA
TRADING 1114 - The
Specialists - Pest Control and
Cleaning","Hand Sanitizer, 500ml - Kimberley Deeds Registry","R                          172,50",172.50,10,1725.00,Deviation - Emergency,13/03/2020,2020-03-13,2010/019553/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",89,Deeds & OVG,Bidvest Steiner,"Hand Sanitizer, 500ml - Vryburg Deeds Registry","R                          103,50",103.50,48,4968.00,Deviation - Emergency,11/03/2020,2020-03-11,2000/011155/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",90,Deeds & OVG,"Xhobani Cleaning and
Security Services","Hand Sanitizer, 550ml - Mthatha Deeds Registry","R                            69,00",69.00,80,5520.00,Deviation - Emergency,12/03/2020,2020-03-12,2009/167816/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",91,Deeds & OVG,Bidvest Steiner,"Hand Sanitizer, 1l - Mpumalanga Deeds Registry","R                          155,24",155.24,50,7762.00,Deviation - Emergency,13/03/2020,2020-03-13,2000/011155/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",92,Deeds & OVG,Bidvest Steiner,"Hand Sanitizer, 500ml - Limpopo Deeds Registry","R                            90,74",90.74,90,8166.15,Deviation - Emergency,11/03/2020,2020-03-11,2000/011155/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",93,Deeds & OVG,"Lechoba Medical
Technologies","Hand Sanitizer, 500ml - All Deeds Registries","R                            60,75",60.75,3450,209587.50,Deviation - Emergency,23/03/2020,2020-03-23,2005/044442/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",94,Deeds & OVG,"Lechoba Medical
Technologies","Hand Sanitizer, 500ml - Office of the Valuer-General","R                            60,75",60.75,150,9112.50,Deviation - Emergency,23/03/2020,2020-03-23,2005/044442/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",95,Deeds & OVG,Delta Facilities Management,"Deep Cleaning and Disinfection - Office of the Valuer-
General","R                       6 810,02",6810.02,1,6810.02,Deviation - Emergency,30/04/2020,2020-04-30,2009/024210/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",96,Deeds & OVG,"M-JNR and Olwethu
Consulting (Pty) Ltd","Disinfection and Fogging Services - King Williams Town
Deeds Registry","R                       9 432,00",9432.00,1,9432.00,Deviation - Emergency,30/04/2020,2020-04-30,2014/035097/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",97,Deeds & OVG,OKS Investment 2009 CC,"Disinfection and Fogging Services - Chief Registrar of
Deeds, Pretoria Deeds Registry, Chief Surveyor-General
and Surveyor-General Gauteng","R                   555 928,00",555928.00,1,555928.00,Deviation - Emergency,30/04/2020,2020-04-30,2009/221179/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",98,Deeds & OVG,"Vukheta Risk Services (Pty)
Ltd","Disinfection and Fogging Services - Bloemfontein Deeds
Registry","R                   238 955,25",238955.25,1,238955.25,Deviation - Emergency,30/04/2020,2020-04-30,2014/167526/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",99,Deeds & OVG,"Walking Tall Trading and
Projects 186","Disinfection and Fogging Services - Johannesburg
Deeds Registry","R                     20 500,00",20500.00,1,20500.00,Deviation - Emergency,30/04/2020,2020-04-30,2011/033650/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",100,Deeds & OVG,"Kamatsikaa Trading
Enterprises","Disinfection and Fogging Services - Mpumalanga Deeds
Registry","R                     83 020,00",83020.00,1,83020.00,Deviation - Emergency,30/04/2020,2020-04-30,2006/114060/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",101,Deeds & OVG,Kgatisi Trading CC,"Disinfection and Fogging Services - Vryburg Deeds
Registry","R                     67 597,65",67597.65,1,67597.65,Deviation - Emergency,30/04/2020,2020-04-30,2007/016590/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",102,Deeds & OVG,"Xhobani Cleaning and
Security Services","Disinfection and Fogging Services - Mthatha Deeds
Registry","R                     29 230,12",29230.12,1,29230.12,Deviation - Emergency,30/04/2020,2020-04-30,2009/167816/23
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",103,Deeds & OVG,XON Systems (Pty) Ltd,"KODAK Alaris Capture Pro OCR(Optical Character
Reader) Software","R                     68 344,50",68344.50,60,4100670.00,Deviation - Emergency,30/04/2020,2020-04-30,1998/004786/07
"Department of Agriculture, Land Reform and Rural Development (DALRRD)",104,"Deeds
Registration
Trading Account","Walking Tall Trading and
Projects 186","Decontamination/ Disinfecting Service - Johannesburg
Deeds Registry on 05 June 2020","R 20 125,00",20125.00,1,20125.00,Deviation (Emergency),02/06/2020,2020-06-02,2011/033650/23
