buyer_name,order_number,invoice_date,supplier_name,items_description,cost_per_unit_zar,items_quantity,order_amount_zar,QTY DELIVERED,VALUE DELIVERED
South African Police Services (SAPS),AG883279,2020-04-14,PSR SOLUTIONS,"MASK, FACE, SURGICAL, DISPOSABLE",30.00,1500000,45000000.00,"1,500,000","45,000,000.00"
South African Police Services (SAPS),AG883278,2020-04-14,TOMBO INVESTMENTS,"MASK, FACE, SURGICAL, DISPOSABLE",30.00,2000000,60000000.00,"2,000,000","60,000,000.00"
South African Police Services (SAPS),AG883273,2020-04-14,BE FOR SUNSET TRADING AND PROJECTS 107,"MASK, FACE, SURGICAL, DISPOSABLE",30.00,2000000,60000000.00,"2,000,000","60,000,000.00"
South African Police Services (SAPS),AG883277,2020-04-17,EMERGENCY AND RESPONSE EQUIPMENT,"WIPES, CONTAINER 25L",750.00,40340,30255000.00,"40,340","30,255,000.00"
South African Police Services (SAPS),AG883276,2020-04-17,ARMAMENTS CORPORATION OF SOUTH AFRICA,"DISINFECTANT, HYGIENE FAST",818.07,200,163614.00,200,"163,614.00"
South African Police Services (SAPS),AG883276,2020-04-17,ARMAMENTS CORPORATION OF SOUTH AFRICA,"HAND SANITIZER, 25LITRE",664.70,42,27917.40,42,"27,917.40"
South African Police Services (SAPS),AG883286,2020-04-19,MOTLA INVESTMENTS,"GLOVES, PLASTIC",36.00,47000,1692000.00,"47,000","1,692,000.00"
South African Police Services (SAPS),AG883100,2020-04-20,KHAGISO AFRIKA HOLDINGS,"WIPES, CONTAINER 25L",480.00,40000,19200000.00,"40,000","19,200,000.00"
South African Police Services (SAPS),AG883272,2020-04-20,RELATED IT CONNEXIONS,"MASK, FACE, SURGICAL, DISPOSABLE",24.03,1500000,36045000.00,"1,500,000","36,045,000.00"
South African Police Services (SAPS),AG883291,2020-04-20,KHAGISO AFRIKA HOLDINGS,"MASK, FACE, SURGICAL, DISPOSABLE",28.00,2095500,58674000.00,"2,095,500","58,674,000.00"
South African Police Services (SAPS),AG883290,2020-04-20,TSUTSUMANI BUSINESS ENTERPRISES,"MASK, FACE, SURGICAL, DISPOSABLE",32.50,197000,6402500.00,"197,000","6,402,500.00"
South African Police Services (SAPS),AG883293,2020-04-20,BASADZI PELE MANAGEMENT CONSULTING AND P,"MASK, FACE, SURGICAL, DISPOSABLE",30.00,2847000,85410000.00,"2,847,000","85,410,000.00"
South African Police Services (SAPS),AG883293,2020-04-20,BASADZI PELE MANAGEMENT CONSULTING AND P,"HAND SANITIZER, 25LITRE",2500.00,800,2000000.00,800,"2,000,000.00"
South African Police Services (SAPS),AG883292,2020-04-20,TSA BOPHELO MEDICAL SUPPLIERS AND LOGIST,"MASK, FACE, SURGICAL, DISPOSABLE",29.50,1973000,58203500.00,"1,973,000","58,203,500.00"
South African Police Services (SAPS),AG883289,2020-04-21,LTE CONSULTING,"MASK, FACE, SURGICAL, DISPOSABLE",25.70,2750000,70675000.00,"2,750,000","70,675,000.00"
South African Police Services (SAPS),AG883266,2020-04-21,ZAMBAYISE TRADING,"HAND SANITIZER, 25LITRE",3100.00,100,310000.00,100,"310,000.00"
South African Police Services (SAPS),AG883266,2020-04-21,ZAMBAYISE TRADING,"GLOVES, PLASTIC",222.00,500,111000.00,500,"111,000.00"
South African Police Services (SAPS),AG883266,2020-04-21,ZAMBAYISE TRADING,"MASK, FACE, SURGICAL, DISPOSABLE",27.50,1700,46750.00,"1,700","46,750.00"
South African Police Services (SAPS),AG883296,2020-04-23,BASADZI PELE MANAGEMENT CONSULTING AND P,"HAND SANITIZER, 5 LITRE",850.00,1000,850000.00,"1,000","850,000.00"
South African Police Services (SAPS),AG883298,2020-04-25,SIYANGOBA TRADING AND PROJECTS,"GLOVES, PLASTIC",1.91,1000000,1910000.00,"453,200","865,612.00"
South African Police Services (SAPS),AG883300,2020-04-25,PEO YA AFRICA CONSULTING ENGINEERING,"GLOVES, PLASTIC",2.25,1000000,2250000.00,"1,000,000","2,250,000.00"
South African Police Services (SAPS),AG883297,2020-04-25,IMPOKANE GENERAL TRADE AND DISTRIBUTION,"GLOVES, PLASTIC",2.05,500000,1025000.00,"500,000","1,025,000.00"
South African Police Services (SAPS),AG883299,2020-04-25,INSANYEZI  ENTERPRISES,"GLOVES, PLASTIC",2.18,500000,1090000.00,"500,000","1,090,000.00"
South African Police Services (SAPS),AG883301,2020-04-28,MTAI DEVELOPERS,"GLOVES, PLASTIC",2.60,500000,1300000.00,"500,000","1,300,000.00"
South African Police Services (SAPS),AG883294,2020-04-29,G P LAWNMOWERS,"MISTING SYSTEM, HIGH PRESSURE, PORTABLE, WITH BACKPACK SLIN",3699.00,5,18495.00,5,"18,495.00"
South African Police Services (SAPS),AG883294,2020-04-29,G P LAWNMOWERS,"MISTBLOWER, TWO STROKE",6995.00,80,559600.00,80,"559,600.00"
South African Police Services (SAPS),AG883302,2020-05-06,HLULA UNITED,"TABLE, FOLDABLE PLASTIC",1500.00,100,150000.00,100,"150,000.00"
South African Police Services (SAPS),AG883302,2020-05-06,HLULA UNITED,"CHAIR, FOLDABLE PLASTIC",800.00,240,192000.00,240,"192,000.00"
South African Police Services (SAPS),AG883302,2020-05-06,HLULA UNITED,"TAPE, DUCT, 25M",280.00,200,56000.00,200,"56,000.00"
South African Police Services (SAPS),AG883302,2020-05-06,HLULA UNITED,"BUCKET, DECONTAMINATION, 25LT",400.00,370,148000.00,370,"148,000.00"
South African Police Services (SAPS),AG883302,2020-05-06,HLULA UNITED,"WATER, STILL, 500ML",12.00,990,11880.00,990,"11,880.00"
South African Police Services (SAPS),AG883302,2020-05-06,HLULA UNITED,"BIN, DECONTAMINATION, NO WHEELS, RECTANGULAR (FOR PPE) 150L",1000.00,120,120000.00,120,"120,000.00"
South African Police Services (SAPS),AG883303,2020-05-09,G P LAWNMOWERS,"HOSE PIPE, HIGH PRESSURE, 30M",1961.90,20,39238.00,20,"39,238.00"
South African Police Services (SAPS),AG883303,2020-05-09,G P LAWNMOWERS,"MISTBLOWER, TWO STROKE",8354.50,15,125317.50,15,"125,317.50"
South African Police Services (SAPS),AG883295,2020-05-12,ARMAMENTS CORPORATION OF SOUTH AFRICA,"FILTER, MULTI PARTICLE, EXPLOSIVES",260.13,1240,322561.20,"1,240","322,561.20"
South African Police Services (SAPS),AG883306,2020-05-13,PEUENTLE MEDIA ENTERPRISE,"GLOVES, CHEMICAL / BIO",69.70,496,34571.20,0,-
South African Police Services (SAPS),AG883307,2020-05-13,MODINDELO TRADING,"SHOWERS, DECONTAMINATION",24800.00,20,496000.00,20,"496,000.00"
South African Police Services (SAPS),AG883304,2020-05-27,ARMAMENTS CORPORATION OF SOUTH AFRICA,"DECONTAMINATION SOLUTION, 20 LITRE",1635.26,400,654104.00,400,"654,104.00"
South African Police Services (SAPS),AG883309,2020-06-17,BIOLOGICA PHARMACEUTICALS,"GLOVES, DISPOSABLE, DERMA GRIP S",3.46,5000,17300.00,0,-
South African Police Services (SAPS),AG883309,2020-06-17,BIOLOGICA PHARMACEUTICALS,"GLOVES, DISPOSABLE, DERMA GRIP M",3.46,5000,17300.00,"4,000","13,840.00"
South African Police Services (SAPS),AG883309,2020-06-17,BIOLOGICA PHARMACEUTICALS,"GLOVES, DISPOSABLE, DERMA GRIP L",3.46,5000,17300.00,"1,000","3,460.00"
South African Police Services (SAPS),AG883309,2020-06-17,BIOLOGICA PHARMACEUTICALS,"GLOVES, DISPOSABLE, DERMA GRIP XL",3.46,5000,17300.00,0,-
South African Police Services (SAPS),AG883308,2020-06-17,BUKUTA,MEDICAL FACE SHIELD (PPE),95.00,20000,1900000.00,"20,000","1,900,000.00"
South African Police Services (SAPS),AG883312,2020-06-19,KENNEDY VHA O TRADING ENTERPRISE,"GLOVES, PLASTIC",2.20,500000,1100000.00,"170,000","374,000.00"
South African Police Services (SAPS),AG883315,2020-06-19,KNOWN ASSOCIATES,"GLOVES, PLASTIC",2.35,2000000,4700000.00,0,-
South African Police Services (SAPS),AG883310,2020-06-19,LEANO 87 SOLUTIONS,"GLOVES, PLASTIC",2.38,474000,1128120.00,"474,000","1,128,120.00"
South African Police Services (SAPS),AG883314,2020-06-23,EASY LIFESTYLE TRADING,"GLOVES, PLASTIC",2.20,1000000,2200000.00,"1,000,000","2,200,000.00"
South African Police Services (SAPS),AG883318,2020-07-01,TTTB SUPPLYING AND CONSTRUCTION,"MASK, FACE, SURGICAL, DISPOSABLE",9.95,8788400,87444580.00,"8,788,400","87,444,580.00"
South African Police Services (SAPS),AG883327,2020-07-09,MAHLAH TRADING,"GLOVES, PLASTIC",2.47,1000000,2470000.00,"240,000","592,800.00"
South African Police Services (SAPS),AG883328,2020-07-09,THABETSO HOLDINGS,"GLOVES, PLASTIC",2.49,1000000,2490000.00,0,-
South African Police Services (SAPS),AG883311,2020-07-15,MAMOHALE GROUP,"GLOVES, PLASTIC",2.47,500000,1235000.00,"500,000","1,235,000.00"
South African Police Services (SAPS),AG883316,2020-07-15,MALTEC BUSINESS CONNECTION,"GLOVES, PLASTIC",2.07,500000,1035000.00,0,-
South African Police Services (SAPS),AG883313,2020-07-15,CARD ONLY,"GLOVES, PLASTIC",2.25,500000,1125000.00,"288,000","648,000.00"
South African Police Services (SAPS),AG883321,2020-07-15,MTAI DEVELOPERS,"GLOVES, PLASTIC",2.45,1000000,2450000.00,"1,000,000","2,450,000.00"
South African Police Services (SAPS),AG883319,2020-07-15,VUSIMUHLE PROJECTS,"GLOVES, PLASTIC",2.40,1000000,2400000.00,"259,600","623,040.00"
South African Police Services (SAPS),AG883320,2020-07-15,ANTHI PROJECTS,"GLOVES, PLASTIC",2.35,1000000,2350000.00,0,-
South African Police Services (SAPS),AG883322,2020-07-15,REMJOE,"GLOVES, PLASTIC",2.35,2000000,4700000.00,0,-
South African Police Services (SAPS),AG883326,2020-07-15,DR LOVE FOUNDATION,"MASK, FACE, 120GM MINIMATS, 75/25 POLYCOTTON INNER LINING,",24.50,450000,11025000.00,"61,000","1,494,500.00"
South African Police Services (SAPS),AG883325,2020-07-15,IXODOX,"MASK, FACE, 120GM MINIMATS, 75/25 POLYCOTTON INNER LINING,",26.50,150000,3975000.00,"150,000","3,975,000.00"
South African Police Services (SAPS),AG883330,2020-07-17,ARMAMENTS CORPORATION OF SOUTH AFRICA,"DISINFECTANT, HYGIENE FAST",65.41,20000,1308200.00,"20,000","1,308,200.00"
South African Police Services (SAPS),AG883324,2020-07-17,MAPONYA 911 EMERGENCY MEDICAL SERVICES,"GLOVES, PLASTIC",2.40,474000,1137600.00,0,-
South African Police Services (SAPS),AG883317,2020-07-20,DUDUZA HOSPITALITY SOLUTIONS,"GLOVES, PLASTIC",2.65,2000000,5300000.00,0,-
South African Police Services (SAPS),AG883329,2020-07-20,CORPORATTI,"SUIT, HAZMAT",725.40,1000,725400.00,0,-
South African Police Services (SAPS),AG883323,2020-07-24,W E NETWORK AND TELECOMMUNICATIONS,"LIQUID SOAP, BIO SCRUB 5LT",3640.00,50,182000.00,12,"43,680.00"
South African Police Services (SAPS),AG883305,2020-07-31,NONDABA WASTE REMOVALS AND CLEANING SERV,"FOGGER, ULV, PORTABLE DISINFECTANT SPRAYER AEROSOL ATOMIZER",16900.00,20,338000.00,0,-
South African Police Services (SAPS),AG883332,2020-08-03,EMERGENCY AND RESPONSE EQUIPMENT,"MASK, FACE, SURGICAL, DISPOSABLE",9.50,10000000,95000000.00,"10,000,000","95,000,000.00"
South African Police Services (SAPS),AG883333,2020-08-03,IMBOBEZI ENTERPRISES,"MASK, FACE, DISPOSABLE, PERSONAL PROTECTIVE EQUIPMENT",24.95,165096,4119145.20,"165,096","4,119,145.20"
South African Police Services (SAPS),AG883331,2020-08-03,PERMCO SOLUTIONS,"BRUSH, SCRUBBING",420.00,370,155400.00,0,-
South African Police Services (SAPS),AG883334,2020-08-05,CENTRAL MEDICAL,"APRON, PLASTIC, DISPOSABLE, 25 MICRON",0.40,2209673,883869.20,0,-
