DEPARTMENT ,SUPPLIER NAME ,ITEM DESCRIPTION,PAYMENT QUANTITY,UNIT OF MEASURE,UNIT PRICE ,TOTAL (R)  
Education,PHINZI TRADING&PROJECTS,Wetwipes,"4,680",Pack of 100,80.00,"374,400.00"
Education,KONOPO FAMILY BUSINESS,Wetwipes,"4,680",Pack of 100,75.00,"351,000.00"
Education,ABM ENTERPRISE,Wetwipes,"4,680",Pack of 100,58.00,"271,440.00"
Education,WOTEX INVESTMENTS,Wetwipes,900,"1000 in a 
bucket",312.00,"280,800.00"
Education,ILC TRADING AND PROJECTS,Large Plastic Funnels,562,Each,52.00,"29,224.00"
"Transport, Safety and Liaison",OLTA,Hand Sanitizer 5l,266 x 5 Litres,Litres,760.00,"202,160.00"
"Transport, Safety and Liaison",OLTA,Hand Sanitizers 1l,150 x 1 Litres,Litres,180.00,"27,000.00"
"Transport, Safety and Liaison",SANITIZE SOLUTIONS,Hand Sanitizer 25l,17 x 25 Litres,25Liters,"1,750.00","29,750.00"
"Transport, Safety and Liaison",SANITIZE SOLUTIONS,Disinfectant Liquid Soap 10L,20 x 10 Litres,10Liters,"1,080.00","21,600.00"
"Transport, Safety and Liaison",SANITIZE SOLUTIONS,Disinfectant  25L,17 x 25 Litres,25Liters,"1,700.00","28,900.00"
"Transport, Safety and Liaison",NOBLE QUEENS DISTRIBUTERS,Liquid Soap,5 Small Bottles,,64.00,320.00
"Transport, Safety and Liaison",SANITIZE SOLUTIONS,Fogger Cans,"1,200 Cans of 
400ml",400ml cans,"2,388.00","238,800.00"
"Transport, Safety and Liaison",KENOSI,Sani-Touch Wipes,600 tubs,Unit,212.75,"127,650.00"
"Transport, Safety and Liaison",NOBLE QUEENS DISTRIBUTERS,Alcohol Wipes,50 tubs,Unit,117.00,"5,850.00"
"Transport, Safety and Liaison",A-Z TRADING,Cavi Wipes,600 tubs,Unit,240.00,"144,000.00"
"Transport, Safety and Liaison",MODISA TRADING,Hand Towels,35,Box 200 sheet,490.00,"17,150.00"
"Transport, Safety and Liaison",NOBLE QUEENS DISTRIBUTERS,Paper Towels,2,Box 200 sheet,294.00,588.00
"Transport, Safety and Liaison",KENOSI,Mask (Province),220 Masks,Units,46.00,"10,120.00"
"Transport, Safety and Liaison",NOBLE QUEENS DISTRIBUTERS,Mask (District),150 Masks,Units,35.00,"5,250.00"
"Transport, Safety and Liaison",ROYAL BAFOKENG,Mask 3 Layer Face Mask (Traffics),280 Masks,Units,45.00,"12,600.00"
"Transport, Safety and Liaison",MODISA TRADING,Cloth Mask,106,Units,20.00,"2,120.00"
"Transport, Safety and Liaison",BBN GROUP,Latex Gloves,30 Small Boxes,Boxes,,"5,370.00"
"Transport, Safety and Liaison",BBN GROUP,Latex Gloves,10 Medium boxes,Boxes,,"1,790.00"
"Transport, Safety and Liaison",BBN GROUP,Latex Gloves,100 Pairs,Pairs,,"4,500.00"
"Transport, Safety and Liaison",NOBLE QUEENS DISTRIBUTERS,Desk Screens,30,Units,"1,600.00","48,000.00"
"Transport, Safety and Liaison",NOBLE QUEENS DISTRIBUTERS,Facial Screens,40,Units,47.00,"1,880.00"
"Transport, Safety and Liaison",KENOSI,Thermometers,20,Units,"2,070.00","41,400.00"
"Transport, Safety and Liaison",BY DESIGN TRADING,Thermometers,10,Units,"1,555.80","15,558.00"
"Transport, Safety and Liaison",SANITIZE SOLUTIONS,Led Torchers,51,Units,"1,200.00","61,200.00"
"Transport, Safety and Liaison",SWIFT PRINT,Reflective Sign Floor Sticker,150,Units,30.00,"13,000.00"
"Transport, Safety and Liaison",SWIFT PRINT,Reflective Sign Strip,200,Units,12.00,110.00
"Transport, Safety and Liaison",MAYBERG MANAGEMENT,Spray Bottle,400,Units,,"10,800.00"
"Transport, Safety and Liaison",IGM TRADING,Batteries,25,4 Pack,55.00,"1,375.00"
Agriculture,SA FAST TRADING AND PROJECTS,"Particulate Respirator, Grade KN95",50,1,40.00,"2,000.00"
Agriculture,NAMOLO GENERAL TRADING,Sanitiser 1lt,18,,280.00,"5,040.00"
Agriculture,NAMOLO GENERAL TRADING,Sanitiser (25l),5,,"4,480.00","22,400.00"
Agriculture,NAMOLO GENERAL TRADING,Disinfectant (25lt),5,,"3,800.00","19,000.00"
Agriculture,NAMOLO GENERAL TRADING,Sanitising Wipes(100pk),32,,55.00,"1,760.00"
Agriculture,NAMOLO GENERAL TRADING,Disposable Masks(50pk),480,,11.46,"5,500.00"
Agriculture,TEMA INVESTMENTS (PTY) LTD,Fabric Masks (50pk),"1,250",,45.60,"57,000.00"
Agriculture,NAMOLO GENERAL TRADING,Surgical Gloves,275,,10.47,"2,880.00"
Agriculture,NAMOLO GENERAL TRADING,Sanitiser (25l),31,,"4,498.06","139,440.00"
Agriculture,NAMOLO GENERAL TRADING,Disinfectant (25lt),25,,"3,800.00","95,000.00"
Agriculture,NAMOLO GENERAL TRADING,"Bottles,Nozzle Spray (500ml)",250,,38.00,"9,500.00"
Agriculture,MATLHOMOLA TRADING,Digital Thermometers(1),40,,"1,882.50","75,300.00"
Agriculture,NOSARITI BUSINES ENTERPRISE,Perspex Sneeze Protector Screens,80,,"1,687.50","135,000.00"
Agriculture,M HOOSAIN CONSULTING,Digital Thermometers(1),49,,"1,267.35","62,100.00"
Agriculture,OMPHEMETSE KAMOHAU ENT,"Signage, Directional Floor Stickers",330,,87.80,"28,974.00"
Agriculture,NAMOLO GENERAL TRADING,Sanitiser (25l),40,,"1,375.00","55,000.00"
Agriculture,NAMOLO GENERAL TRADING,Disinfectant (25lt),40,,680.00,"27,200.00"
Roads & Public Works,"THATO KABELO CONSTRUCTION & 
PROJ",Sanitizer Detergent,1,Each,"11,400.00","11,400.00"
Roads & Public Works,TRUE BUILD SERVICES,Antibacterial Spray,"1,000",Each,178.25,"178,250.00"
Roads & Public Works,EKWE CONSTRUCTION,"Mask, Dust","16,000",Each,24.80,"396,800.00"
Roads & Public Works,KALKSLOOT HOLDINGS,Provincial Road,1,Each,"57,898.00","57,898.00"
Roads & Public Works,KALKSLOOT HOLDINGS,Provincial Road,1,Each,"55,895.00","55,895.00"
Roads & Public Works,KALKSLOOT HOLDINGS,Provincial Road,1,Each,"68,780.00","68,780.00"
Roads & Public Works,KALKSLOOT HOLDINGS,Provincial Road,1,Each,"27,427.00","27,427.00"
Roads & Public Works,DITSHEGOFATSO TSA RONA,"Mask, Dust Complete With Cartridge",250,Each,85.00,"21,250.00"
Roads & Public Works,SPAR SA,Battery Pack Duracell 9v,15,Each,75.99,"1,139.85"
Roads & Public Works,NAYBRO CASH STORE,Battery Pack Duracell 9v,10,Each,24.99,249.90
Roads & Public Works,"BEST ENOUGH TRADING AND 
PROJECTS 287",Antibacterial Spray,1,Each,"18,275.40","18,275.40"
Roads & Public Works,WYDEX EVENTS PROMOTIONS,Antibacterial Spray,"16,000",Each,31.05,"496,800.00"
Roads & Public Works,KINGSLEYS PEST CONTROL,Antibacterial Spray,1,Each,"141,415.20","141,415.20"
Roads & Public Works,MOHINA SOLUTIONS,Antibacterial Spray,1,Each,"69,133.15","69,133.15"
Roads & Public Works,AM CATERING,"Mask,Medical",50,Each,35.00,"1,750.00"
Roads & Public Works,NAMA HARDEWARE,"Tape,Insulation",10,Each,108.68,"1,086.75"
Roads & Public Works,NOKU GENERAL TRADING,"Shield,Medical Face Clear Lenses - Sf2510",1,Each,"65,190.00","65,190.00"
Roads & Public Works,EMTHANJENI PRINTING,"Mask,Medical",200,For rectification,100.00,"20,000.00"
Roads & Public Works,EMTHANJENI PRINTING,"Thermometer,Digital",9,For rectification,"1,950.00","17,550.00"
Roads & Public Works,PEST AND WEED AWAY,Fumigation,1,Each,"13,837.95","13,837.95"
Roads & Public Works,PELONTLHE 129 GENERAL TRADING,"Shield,Medical Face Clear Lenses - Sf2510",1,Each,850.00,850.00
Roads & Public Works,OTP LOGISTICS,Antibacterial Spray,1,Each,"45,001.80","45,001.80"
Roads & Public Works,"ISJX GENERAL CONTRACTORS AND 
TRADING",Antibacterial Spray,1,Each,"815,900.00","815,900.00"
Roads & Public Works,PELONTLHE 129 GENERAL TRADING,Gloves,1,Each,"11,000","11,000.00"
Roads & Public Works,PELONTLHE 129 GENERAL TRADING,"Dispenser,Bottle",1,Each,"18,750","18,750.00"
Roads & Public Works,"BONISA BONANG GENERAL 
TRADING",Sanitizer Detergent,1,Each,"95,000.00","95,000.00"
Roads & Public Works,"BEST ENOUGH TRADING AND 
PROJECTS 287",Accommodation,1,Each,"56,000.00","56,000.00"
Roads & Public Works,VVUKOLWAM ENTERPRISE,"Thermometer,Digital",10,For rectification,"2,000.00","20,000.00"
Roads & Public Works,MTSQUARED TRADING,"Mask,Dust","16,000",Each,11.00,"176,000.00"
Roads & Public Works,"BEST ENOUGH TRADING AND 
PROJECTS 287",Antibacterial Spray,1,Each,"30,585.83","30,585.83"
Roads & Public Works,"BEST ENOUGH TRADING AND 
PROJECTS 287",Antibacterial Spray,1,Each,"25,040.00","25,040.00"
Roads & Public Works,MASEDI STAR,"Thermometer,Medical Tele",1,Each,"54,007.17","54,007.17"
Roads & Public Works,MASEDI STAR,Antibacterial Spray,1,Each,"70,991.80","70,991.80"
Roads & Public Works,MASEDI STAR,"Mask,Dust",1,Each,"14,448.31","14,448.31"
Roads & Public Works,"KEMOAGILE CONSTRUCTION 
MANAGEMENT AND PROJECTS","Shield,Medical Face Clear Lenses - Sf2510",1,Each,"51,000.00","51,000.00"
Roads & Public Works,TSIBOGO TRADING,"Mask,Dust Complete With Cartridge",250,Each,45.00,"11,250.00"
Roads & Public Works,PRESTIGE HARDWARE,"Battery,Non Rechargeable Duracell 9v",10,For rectification,98.00,980.00
Roads & Public Works,PRESTIGE HARDWARE,"Battery,Non Rechargeable Penlite R6pp Aaa",10,For rectification,19.80,198.00
Roads & Public Works,"KHULA MOTOR MECHANICAL & 
SERVICES","Shield,Medical",5,For rectification,156.00,780.00
Roads & Public Works,"KHULA MOTOR MECHANICAL & 
SERVICES","Dispenser,Soap Bottle Plastic",2,For rectification,143.00,286.00
Roads & Public Works,"KHULA MOTOR MECHANICAL & 
SERVICES",Spray Can,10,For rectification,36.00,360.00
Roads & Public Works,"KHULA MOTOR MECHANICAL & 
SERVICES","Towel,Paper Cormatic Rolls",12,For rectification,31.00,372.00
Roads & Public Works,"KHULA MOTOR MECHANICAL & 
SERVICES","Mask,Medical",200,For rectification,35.00,"7,000.00"
Roads & Public Works,"KHULA MOTOR MECHANICAL & 
SERVICES",Alcohol,50,For rectification,108.00,"5,400.00"
