DEPARTMENT,SUPPLIER NAME,ITEM DESCRIPTION,"PAYMENT
QUANTITY","UNIT OF
MEASURE",UNIT PRICE,TOTAL (R)
Agriculture,NAMOLO GENERAL TRADING,Disinfectant (25lt),40,,680,"27,200.00"
Roads & Public Works,THATO KABELO CONSTRUCTION & PROJ,Sanitizer Detergent,1,Each,"11,400.00","11,400.00"
Roads & Public Works,TRUE BUILD SERVICES,Antibacterial Spray,"1,000",Each,178.25,"178,250.00"
Roads & Public Works,EKWE CONSTRUCTION,"Mask, Dust","16,000",Each,24.8,"396,800.00"
Roads & Public Works,KALKSLOOT HOLDINGS,Provincial Road,1,Each,"57,898.00","57,898.00"
Roads & Public Works,KALKSLOOT HOLDINGS,Provincial Road,1,Each,"55,895.00","55,895.00"
Roads & Public Works,KALKSLOOT HOLDINGS,Provincial Road,1,Each,"68,780.00","68,780.00"
Roads & Public Works,KALKSLOOT HOLDINGS,Provincial Road,1,Each,"27,427.00","27,427.00"
Roads & Public Works,DITSHEGOFATSO TSA RONA,"Mask, Dust Complete With Cartridge",250,Each,85,"21,250.00"
Roads & Public Works,SPAR SA,Battery Pack Duracell 9v,15,Each,75.99,"1,139.85"
Roads & Public Works,NAYBRO CASH STORE,Battery Pack Duracell 9v,10,Each,24.99,249.9
Roads & Public Works,BEST ENOUGH TRADING AND PROJECTS 287,Antibacterial Spray,1,Each,"18,275.40","18,275.40"
Roads & Public Works,WYDEX EVENTS PROMOTIONS,Antibacterial Spray,"16,000",Each,31.05,"496,800.00"
Roads & Public Works,KINGSLEYS PEST CONTROL,Antibacterial Spray,1,Each,"141,415.20","141,415.20"
Roads & Public Works,MOHINA SOLUTIONS,Antibacterial Spray,1,Each,"69,133.15","69,133.15"
Roads & Public Works,AM CATERING,"Mask,Medical",50,Each,35,"1,750.00"
Roads & Public Works,NAMA HARDEWARE,"Tape,Insulation",10,Each,108.68,"1,086.75"
Roads & Public Works,NOKU GENERAL TRADING,"Shield,Medical Face Clear Lenses - Sf2510",1,Each,"65,190.00","65,190.00"
Roads & Public Works,EMTHANJENI PRINTING,"Mask,Medical",200,For rectification,100,"20,000.00"
Roads & Public Works,EMTHANJENI PRINTING,"Thermometer,Digital",9,For rectification,"1,950.00","17,550.00"
Roads & Public Works,PEST AND WEED AWAY,Fumigation,1,Each,"13,837.95","13,837.95"
Roads & Public Works,PELONTLHE 129 GENERAL TRADING,"Shield,Medical Face Clear Lenses - Sf2510",1,Each,850,850
Roads & Public Works,OTP LOGISTICS,Antibacterial Spray,1,Each,"45,001.80","45,001.80"
Roads & Public Works,ISJX GENERAL CONTRACTORS AND TRADING,Antibacterial Spray,1,Each,"815,900.00","815,900.00"
Roads & Public Works,PELONTLHE 129 GENERAL TRADING,Gloves,1,Each,"11,000","11,000.00"
Roads & Public Works,PELONTLHE 129 GENERAL TRADING,"Dispenser,Bottle",1,Each,"18,750","18,750.00"
Roads & Public Works,BONISA BONANG GENERAL TRADING,Sanitizer Detergent,1,Each,"95,000.00","95,000.00"
Roads & Public Works,BEST ENOUGH TRADING AND PROJECTS 287,Accommodation,1,Each,"56,000.00","56,000.00"
Roads & Public Works,VVUKOLWAM ENTERPRISE,"Thermometer,Digital",10,For rectification,"2,000.00","20,000.00"
Roads & Public Works,MTSQUARED TRADING,"Mask,Dust","16,000",Each,11,"176,000.00"
Roads & Public Works,BEST ENOUGH TRADING AND PROJECTS 287,Antibacterial Spray,1,Each,"30,585.83","30,585.83"
Roads & Public Works,BEST ENOUGH TRADING AND PROJECTS 287,Antibacterial Spray,1,Each,"25,040.00","25,040.00"
Roads & Public Works,MASEDI STAR,"Thermometer,Medical Tele",1,Each,"54,007.17","54,007.17"
Roads & Public Works,MASEDI STAR,Antibacterial Spray,1,Each,"70,991.80","70,991.80"
Roads & Public Works,MASEDI STAR,"Mask,Dust",1,Each,"14,448.31","14,448.31"
Roads & Public Works,KEMOAGILE CONSTRUCTION MANAGEMENT AND PROJECTS,"Shield,Medical Face Clear Lenses - Sf2510",1,Each,"51,000.00","51,000.00"
Roads & Public Works,TSIBOGO TRADING,"Mask,Dust Complete With Cartridge",250,Each,45,"11,250.00"
Roads & Public Works,PRESTIGE HARDWARE,"Battery,Non Rechargeable Duracell 9v",10,For rectification,98,980
Roads & Public Works,PRESTIGE HARDWARE,"Battery,Non Rechargeable Penlite R6pp Aaa",10,For rectification,19.8,198
Roads & Public Works,KHULA MOTOR MECHANICAL & SERVICES,"Shield,Medical",5,For rectification,156,780
Roads & Public Works,KHULA MOTOR MECHANICAL & SERVICES,"Dispenser,Soap Bottle Plastic",2,For rectification,143,286
Roads & Public Works,KHULA MOTOR MECHANICAL & SERVICES,Spray Can,10,For rectification,36,360
Roads & Public Works,KHULA MOTOR MECHANICAL & SERVICES,"Towel,Paper Cormatic Rolls",12,For rectification,31,372
Roads & Public Works,KHULA MOTOR MECHANICAL & SERVICES,"Mask,Medical",200,For rectification,35,"7,000.00"
Roads & Public Works,KHULA MOTOR MECHANICAL & SERVICES,Alcohol,50,For rectification,108,"5,400.00"
