implementation_location_province,buyer_name,implementation_location_other,items_description,supplier_name,items_quantity,cost_per_unit_zar,order_amount_zar
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,MOORE BLAQUE,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,NANCY TRADING ENTERPRISE,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,NARON,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,NOSIVU ENTERPRISES,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,PEGANE INFRASTRUCTURE & PROJECTS,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,PHUTI HOLDINGS,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,SJM GROUP,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,SKYLARK SUPPLIES,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,STANCH TRADING PTY,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,SYRINX DYNAMIC SOLUTIONS,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,TOLLERANZA,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,UHX TRADING,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,VUYANI & MONWABISI INVESTMENT HOLDINGS,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,PROMETHIAN LODGE,300,900.00,270000.00
Northern Cape,Northern Cape Provincial Government,Head Office,Food Parcels,A TO Z DISTRIBUTION,500,900.00,450000.00
Northern Cape,Northern Cape Provincial Government,Other Expenditure,61:-Contrctrs:Casual Labourers,TE MAHOLA,,,2777.40
Northern Cape,Northern Cape Provincial Government,Other Expenditure,61:-Contrctrs:Casual Labourers,TH SHUPING,,,434.00
Northern Cape,Northern Cape Provincial Government,Other Expenditure,61:-Contrctrs:Casual Labourers,TE MAHOLA,,,434.00
Northern Cape,Northern Cape Provincial Government,Other Expenditure,61:-Contrctrs:Casual Labourers,JK SHUPING,,,434.00
Northern Cape,Northern Cape Provincial Government,Other Expenditure,146:-P/P:Pest Cntrl/Fumigation Ser,MODIAKGOTLAS CREATIONS/AFRO GAMES,,,43036.00
Northern Cape,Northern Cape Provincial Government,Other Expenditure,146:-P/P:Pest Cntrl/Fumigation Ser,A-Z GENERAL TRADING,,,22197.00
Northern Cape,Northern Cape Provincial Government,Other Expenditure,133:-Cons:Sp&Os:Stationery,JUBALEX LTD/KWANOBANTU ENTERPRISE,,,57210.80
Northern Cape,Northern Cape Provincial Government,Other Expenditure,114:-Cons Hous Sup:Dis Paper/Plast,MZA GENERAL TRADING,,,46800.00
Northern Cape,Northern Cape Provincial Government,Other Expenditure,110:-Cons Supp: Medical Supplies,UBUNELE PRIMARY,,,2000.00
Northern Cape,Northern Cape Provincial Government,Other Expenditure,61:-Contrctrs:Casual Labourers,TE MAHOLA,,,520.80
Northern Cape,Northern Cape Provincial Government,Other Expenditure,61:-Contrctrs:Casual Labourers,TH SHUPING,,,520.80
Northern Cape,Northern Cape Provincial Government,Other Expenditure,61:-Contrctrs:Casual Labourers,JK SHUPING,,,520.80
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",SILVESTER B TRADING ENTER,100,888.00,88800.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",SEVENTH AVENUE,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",ISAGO ENTLE  MULTIPURPOSE,100,899.30,89930.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",BAROLONG BATHO,100,899.00,89900.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",SALAMAT ENTERPRISE,100,892.50,89250.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",NUBIAN TOUCH PROJECTS,100,898.00,89800.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",TSARONA,100,895.00,89500.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",ATNOZA TRADING,100,896.00,89600.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",SOUTH HILL TRADING,100,897.00,89700.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",BULAWA LEGACY PROJECTS,100,892.10,89210.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",LESEDI BONESA POJECTS,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",MCM HOPE TRADING,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",ROWKAJ ENTREPRISE,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",JSM APPEX HOLDINDS,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",HEREDITY PROJECTS,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",GREY VISION SOLUTION,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",PHETOGO AFRICA,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",LETSATSI EMPIRE,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",MNMOSH TRADING,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",THATIS HOLDINGS,200,900.00,180000.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",KWEZILANGA,100,1231.30,123130.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,146:-P/P:Pest Cntrl/Fumigation Ser,LEFIKA HOLDINGS,,,10177.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,146:-P/P:Pest Cntrl/Fumigation Ser,PARIGENX,,,18333.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,146:-P/P:Pest Cntrl/Fumigation Ser,SILVESTER B TRADING ENTER,,,11270.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,146:-P/P:Pest Cntrl/Fumigation Ser,S AND F EMPLOYMENT,,,9520.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,146:-P/P:Pest Cntrl/Fumigation Ser,K AND S SOLUTIONS,,,21000.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,146:-P/P:Pest Cntrl/Fumigation Ser,BLING SUPPLY AND DELIVERY,,,7371.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",DCMP,,,16675.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",REA IPELA MEGA,,,14210.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",MINATLOU TRADING,,,18165.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",MOTABOGI ENTERPRISE,,,8990.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",S SQUARED,,,39150.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",DESEREE,,,15000.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",SOUTH HILL TRADING,,,3128.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",OWAMI AND ONGEZWA TRADING,,,5075.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",KM MEMORY GARDEN,,,29290.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",SIYABONGA GENERAL SUPPLIERS,,,1717.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",SELEKOK TRADING,,,4350.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",FUNREST CATERING,,,17415.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",FLORE TRADING,,,5800.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,"72:-A&S/O Nutrition
Ser:Communities",NVL COMMUNICATION,,,199750.00
Northern Cape,Northern Cape Provincial Government,Frances Baard,116:-Cons Hous Sup:Toiletries,MOTABOGI ENTERPRISE,,,3545.20
Northern Cape,Northern Cape Provincial Government,Frances Baard,114:-Cons Hous Sup:Dis Paper/Plast,MAREMA,,,28750.00
Northern Cape,Northern Cape Provincial Government,Pixley Ka Seme,"100 Food Parcels, Renosterberg
Municipality",KHULA MOTORS,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,,,,,,
Northern Cape,Northern Cape Provincial Government,Pixley Ka Seme,"100 Food Parcels, Kareerberg Muncipality",VVUKOLWAM ENTERPRISE,100,899.95,89995.00
Northern Cape,Northern Cape Provincial Government,,,,,,
Northern Cape,Northern Cape Provincial Government,Pixley Ka Seme,"100 Food Parcels, Siyancuma Muncipality",PHENDUKANA LEGACY,100,765.00,76500.00
Northern Cape,Northern Cape Provincial Government,,,,,,
Northern Cape,Northern Cape Provincial Government,Pixley Ka Seme,"100 Food Parcels, Siyancuma Muncipality",PHENDUKANA LEGACY,100,135.00,13500.00
Northern Cape,Northern Cape Provincial Government,,,,,,
Northern Cape,Northern Cape Provincial Government,Pixley Ka Seme,"100 Food Parcels, Siyancuma Muncipality",WINTERS KITCHEN,100,899.82,89982.00
Northern Cape,Northern Cape Provincial Government,Pixley Ka Seme,"100 Food Parcels, 50 Ubunutu & 50 Siyathemba Municipality",EKAMALUSI ENTERPRISES,100,897.50,89750.00
Northern Cape,Northern Cape Provincial Government,Pixley Ka Seme,"100 Food Parcels, Emthanjeni Muncipality",THINGOS GENERAL TRADING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Pixley Ka Seme,"100 Food Parcels, Ubuntu Muncipality",INGOMSO YOUTH GENERAL TRADING,100,888.00,88800.00
Northern Cape,Northern Cape Provincial Government,Pixley Ka Seme,"100 Food Parcels, Emthanjeni Muncipality",ZIYAMA TRADING AND SERVICES,100,811.00,81100.00
Northern Cape,Northern Cape Provincial Government,Pixley Ka Seme,"100 Food Parcels, Umsobomvu Munciplaity",METCOL BUSINESS,100,800.00,80000.00
Northern Cape,Northern Cape Provincial Government,Pixley Ka Seme,"100 Food Parcels, Umsobomvu Muncipality",KOTOANE TRADING,100,900.00,90000.00
Northern Cape,Northern Cape Provincial Government,Pixley Ka Seme,"100 Food Parcels, Emthanjeni Muncipality",KISMET AGENCIES,100,900.00,90000.00
