SUPPLIER NAME ,PROVINCE ,OFFICES IN NC ,DATE OF CIPC REGISTRATION,PPPFA BLACK OWNED ,WOMEN OWNED ,YOUTH OWNED ,TURNOVER , TOTAL ( R)  
DNS SUPPLIES,Northern Cape,Yes,26/11/2012,Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),"31,050.00"
PELONTLHE 129 GENERAL TRADING,Northern Cape,Yes,29/03/2016,Black Owned,Women Owned,Youth Owned,1 EME (0 - R10M),"30,600.00"
BLACK ENTERPRISE ENTERPRENEUR,Northern Cape,Yes,27/05/2019,Black Owned,Women Owned,Youth Owned,1 EME (0 - R10M),"30,350.00"
NCRF NORTHERN CAPE,Northern Cape,Yes,NPO,Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),"30,000.00"
ILC TRADING AND PROJECTS,Northern Cape,Yes,23/08/2018,Black Owned,Women Owned,NOT Youth Owned,1 EME (0 - R10M),"29,224.00"
OMPHEMETSE KAMOHAU ENT,Northern Cape,Yes,11/05/2017,Black Owned,Women Owned,Youth Owned,1 EME (0 - R10M),"28,974.00"
TLKZ OPTIMUM,Gauteng,Yes,30/11/2012,Unspecified,Unspecified,Unspecified,Unspecified,"27,704.29"
LEBETSA TRADING (PTY) LTD,Northern Cape,Yes,02/03/2016,Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),"27,500.00"
ETERNAL CITY TRADING 664,Northern Cape,Yes,31/05/2011,Unspecified,Unspecified,Unspecified,Unspecified,"22,000.00"
DITSHEGOFATSO TSA RONA,Northern Cape,Yes,29/10/2015,Black Owned,NOT Women Owned,Youth Owned,1 EME (0 - R10M),"21,250.00"
VVUKOLWAM ENTERPRISE,Northern Cape,Yes,22/02/2017,Black Owned,NOT Women Owned,Youth Owned,1 EME (0 - R10M),"20,000.00"
MODISA TRADING,Northern Cape,Yes,16/03/2016,Unspecified,Unspecified,Unspecified,Unspecified,"19,270.00"
"PRICESMART  TECHNOLOGIES  CC/CALTEX 
LENNOX",Northern Cape,Yes,08/12/2005,Black Owned,Women Owned,NOT Youth Owned,"3 GE (More than 
R50M)","18,917.50"
LORATO CREATIONS,Northern Cape,Yes,13/03/2007,Black Owned,Women Owned,NOT Youth Owned,1 EME (0 - R10M),"15,800.00"
BY DESIGN TRADING,Northern Cape,Yes,17/05/2018,Black Owned,NOT Women Owned,Youth Owned,1 EME (0 - R10M),"15,558.00"
KISSA GENERAL TRADING,Northern Cape,Yes,04/10/2011,Unspecified,Unspecified,Unspecified,unspecified,"15,000.00"
SKEMA COMMUNICATION SOLUTIONS,Northern Cape,Yes,21/07/2015,Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),"14,751.90"
KHULA MOTOR MECHANICAL & SERVICES,Northern Cape,Yes,03/10/2008,Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),"14,198.00"
PEST AND WEED AWAY,Northern Cape,Yes,19/07/2005,NOT Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),"13,837.95"
SWIFT PRINT,Northern Cape,Yes,26/11/1987,NOT Black Owned,NOT Women Owned,NOT Youth Owned,2 QSE (R10M - R50M),"13,110.00"
ROYAL BAFOKENG,Northern Cape,Yes,Individual,Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),"12,600.00"
SHINE THE WAY 649,Northern Cape,Yes,30/06/2005,Black Owned,Women Owned,NOT Youth Owned,1 EME (0 - R10M),"12,500.00"
JLK BUSINESS CONSULTING,Northern Cape,Yes,02/03/2015,Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),"12,247.50"
BBN GROUP,Gauteng,Yes,20/02/2020,Black Owned,NOT Women Owned,Youth Owned,1 EME (0 - R10M),"11,660.00"
THATO KABELO CONSTRUCTION & PROJ,Northern Cape,Yes,26/11/2014,Black Owned,Women Owned,NOT Youth Owned,1 EME (0 - R10M),"11,400.00"
TSIBOGO TRADING,Northern Cape,Yes,23/07/2007,Black Owned,Women Owned,NOT Youth Owned,1 EME (0 - R10M),"11,250.00"
JAY LESEDI TRADING ENTERPRISE CC,Northern Cape,Yes,12/01/2007,Black Owned,Women Owned,NOT Youth Owned,1 EME (0 - R10M),"11,200.00"
MAYBERG MANAGEMENT,Northern Cape,Yes,19/05/2016,Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),"10,800.00"
TEMA INVESTMENT (PTY) LTD,Northern Cape,Yes,23/01/2019,Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),"10,800.00"
365 LEGACY ENTERTAINMENT,Northern Cape,Yes,19/10/2016,Black Owned,Women Owned,NOT Youth Owned,1 EME (0 - R10M),"10,500.00"
ZULEIKAS DESIGN,Northern Cape,Yes,18/01/2018,Black Owned,Women Owned,NOT Youth Owned,1 EME (0 - R10M),"10,500.00"
SECHABA STATIONERIES (PTY) LTD,Northern Cape,Yes,04/08/2015,Black Owned,NOT Women Owned,Youth Owned,1 EME (0 - R10M),"9,900.00"
CRYSTAL PHARMACY,Northern Cape,Yes,19/02/2009,Black Owned,Women Owned,NOT Youth Owned,1 EME (0 - R10M),"8,004.00"
BLUE PETROLEUM,Northern Cape,Yes,25/09/2012,NOT Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),"5,223.95"
GOODIES GADGET GALORE,Northern Cape,0,00/01/1900,Unspecified,Unspecified,Unspecified,Unspecified,"5,100.00"
STEINER,Northern Cape,Yes,07/06/2000,Ownership in company,Ownership in company,Ownership in company,"3 GE (More than 
R50M)","3,700.70"
KEVKUT CONSULTING,Northern Cape,Yes,10/01/2019,Black Owned,NOT Women Owned,Youth Owned,1 EME (0 - R10M),"2,700.00"
BUCO,Northern Cape,0,00/01/1900,Unspecified,Unspecified,Unspecified,Unspecified,"2,683.07"
SA FAST TRADING AND PROJECTS,Northern Cape,Yes,02/10/2009,Black Owned,Women Owned,NOT Youth Owned,1 EME (0 - R10M),"2,000.00"
KATHARISMA GENERAL SUPPLIERS,Northern Cape,Yes,20/11/2017,NOT Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),"1,924.00"
AM CATERING,Northern Cape,Yes,Individual,Black Owned,Women Owned,NOT Youth Owned,1 EME (0 - R10M),"1,750.00"
POLELO IT SOLUTIONS,Northern Cape,Yes,23/03/2011,Black Owned,NOT Women Owned,Youth Owned,1 EME (0 - R10M),"1,620.00"
IGM TRADING,Northern Cape,Yes,31/03/2015,Black Owned,NOT Women Owned,Youth Owned,1 EME (0 - R10M),"1,375.00"
R D T GENERAL TRADING,Northern Cape,Yes,06/07/2012,Black Owned,Women Owned,NOT Youth Owned,1 EME (0 - R10M),"1,360.00"
PRESTIGE HARDWARE,Northern Cape,Yes,23/10/2002,NOT Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),"1,178.00"
SPAR SA,Northern Cape,Yes,12/11/1982,Unspecified,Unspecified,Unspecified,0 Not Applicable,"1,139.85"
UC CHEMICAL & CLEANING,Northern Cape,Yes,07/04/2011,Black Owned,Women Owned,NOT Youth Owned,1 EME (0 - R10M),"1,125.00"
NAMA HARDEWARE,Northern Cape,Yes,18/12/2013,NOT Black Owned,NOT Women Owned,NOT Youth Owned,2 QSE (R10M - R50M),"1,086.75"
LOJANE TRADING,North West,Yes,03/11/2010,Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),975.00
NAYBRO CASH STORE,Northern Cape,Yes,14/11/2007,Black Owned,NOT Women Owned,NOT Youth Owned,1 EME (0 - R10M),249.90

