PLACE ,DESCRIPTION OF SERVICE ,NAME OF SUPPLIER ,TOTAL ( R)
Kimberley,"Disinfecting, sanitising and deep clean of schools in the NCP,FBD: KimKgotso PS and Tshwarelelo PS",KLEENFRESH (PTY) LTD,"82,450.00"
Kimberley,"Disinfecting, sanitise and deep clean of Roads Office block",KLEENFRESH (PTY) LTD,"18,625.00"
Kimberley,"Disinfecting, sanitise and deep clean of Roads Padkamp Building",KLEENFRESH (PTY) LTD,"41,900.00"
Office of The Premier,Deep cleaning services,ROSS CARPERTS,"137,720.00"
Office of The Premier,Deep cleaning - Thlokomelo Thusong Centre,TASOJA TRADING,"35,360.00"
Office of The Premier,Deep cleaning - Manne Dipico Thusong Centre,SEVENTH AVENUE TRADING 580,"29,448.00"
Health,Deep cleaning services,BIG VERN TRADING,"1,119,574.00"
"Sport, Arts and Culture",Deep cleaning and disinfecting services - Ministry,"CAPITAL SHIP TRADING 503 (MOSTERT 
PEST CONTROL)","1,512.30"
"Sport, Arts and Culture",Deep cleaning and disinfecting services - Ashburnham & MJESP,"CAPITAL SHIP TRADING 503 (MOSTERT 
PEST CONTROL)","6,144.00"
"Sport, Arts and Culture",Deep cleaning and disinfecting services - MJESP,PEST CONTROL SPECIALIST,"2,850.00"
COGHSTA,CLEANING OFFICES,PRIDEROCK INDUSTRIES,"9,777.10"
COGHSTA,CLEANING OFFICES,PRIDEROCK INDUSTRIES,"9,777.10"
"Transport, Safety and Liaison",Deep cleaning of offices Patkamp,A-Z DISTRIBUTORS,"31,605.00"
"Transport, Safety and Liaison",Deep cleaning of offices Head office,A-Z DISTRIBUTORS,"65,895.00"
"Transport, Safety and Liaison",Deep cleaning of offices JTG Reginal Office,MOHINA,"1,465.10"
"Transport, Safety and Liaison",Deep cleaning of offices Mothistad Traffic Station,MOHINA,"6,054.75"
"Transport, Safety and Liaison",Deep cleaning of offices Olifantshoek Prov Office,MOHINA,"1,136.20"
"Transport, Safety and Liaison",Deep cleaning of Delportshoof Prov Office,"KEMOAGILE CONSTRUCTION 
MANAGEMENT","1,138.80"
Agriculture,"Deep cleaning,disinfecting and sanitizing",NAMOLO GENERAL TRADING,"766,132.00"
Agriculture,"Deep cleaning,disinfecting and sanitizing",TEMA INVESTMENTS (PTY) LTD,"691,981.00"
Roads & Public Works,CLEANING,MOHINA SOLUTIONS,"127,087.05"
Roads & Public Works,CLEANING,MASEDI STAR,"287,509.20"
Roads & Public Works,CLEANING,"BEST ENOUGH TRADING AND PROJECTS 
287","110,048.82"
"Transport, Safety and Liaison",Disnfecting of Richmond Prov Office,"KEMOAGILE CONSTRUCTION 
MANAGEMENT",610.56
"Transport, Safety and Liaison",Disnfecting of Pixley Building,"KEMOAGILE CONSTRUCTION 
MANAGEMENT","1,360.00"
"Transport, Safety and Liaison",Disnfecting (traveling and accommodation coss),"KEMOAGILE CONSTRUCTION 
MANAGEMENT","66, 601.00"
"Transport, Safety and Liaison",Disnfecting of Jan KempPdorp,"KEMOAGILE CONSTRUCTION 
MANAGEMENT","3,080.00"
"Transport, Safety and Liaison",Disnfecting of Jan KempPdorp,"KEMOAGILE CONSTRUCTION 
MANAGEMENT","1,381.80"
"Transport, Safety and Liaison",Disnfecting of Colesburg Building,"KEMOAGILE CONSTRUCTION 
MANAGEMENT",608.00
"Transport, Safety and Liaison",Disnfecting of Britstown Building,"KEMOAGILE CONSTRUCTION 
MANAGEMENT",560.00
"Transport, Safety and Liaison",Disnfecting of Calvinia Building,"KEMOAGILE CONSTRUCTION 
MANAGEMENT",608.00
"Transport, Safety and Liaison",Disnfecting of Namaqua Building,"KEMOAGILE CONSTRUCTION 
MANAGEMENT","2,515.44"
"Transport, Safety and Liaison",Disnfecting of Namaqua Building,MOHNA,"51,788.10"
"Transport, Safety and Liaison",Deep Clean Emergency call out,A-Z TRADING,500.00
"Transport, Safety and Liaison",Decontaimination of  all infeced area fogging and wipe down,A-Z TRADING,"22,380.00"
"Transport, Safety and Liaison",Decontaimination of  all infeced area (traveling and accomodations),A-Z TRADING,"12,744.90"
"Transport, Safety and Liaison",Decontaimination of infeced area fogging  Parking lot,A-Z TRADING,"27,000.00"
"Transport, Safety and Liaison","Specialised disnfection with GermX alcohol based products & Decontamination fogging charged per 
Square meter",A-Z TRADING,"74,681.00"
"Transport, Safety and Liaison",Decontaimination of  all Surfaces and touch area with alcohol fogging,A-Z TRADING,"1,062.50"
"Transport, Safety and Liaison",Deep Clean Emergency call out,A-Z TRADING,500.00
"Transport, Safety and Liaison","Specialised disnfection with GermX alcohol based products & Decontamination fogging charged per 
Square meter: Kimberley Weigh Bridge",A-Z TRADING,569.70
"Transport, Safety and Liaison","Specialised disnfection with GermX alcohol based products & Decontamination fogging charged per 
Square meter: Upington",A-Z TRADING,344.28
"Transport, Safety and Liaison","Specialised disnfection with GermX alcohol based products & Decontamination fogging charged per 
Square meter: Springbok",A-Z TRADING,344.25
"Transport, Safety and Liaison","Specialised disnfection with GermX alcohol based products & Decontamination fogging charged per 
Square meter: Colesburg",A-Z TRADING,596.70
Office of The Premier,Disinfecting and sanitising,ROSS CARPERTS,"14,446.00"
"Environment and Nature 
Conservation","Sanitising and Disinfecting of Regional Offices: Calvinia, Springbok, Goegap, Oorlogskloof",LERWANA PEST CONTROL & HYGIENE,"70,093.00"
"Environment and Nature 
Conservation",Sanitising and Disinfecting of Regional Offices: Pixley Ka-Seme District,BEST ENOUGH TRADING PROJECTS 287,"67,455.00"
"Environment and Nature 
Conservation",Sanitising and Disinfecting of Regional Offices: SASKO Building,HOHLE PEST CONTROL & CHEMICAL,"55,710.00"
"Environment and Nature 
Conservation",Sanitising and Disinfecting of Head Office: (Sasko Building),HOHLE PEST CONTROL & CHEMICAL,"34,085.00"
"Environment and Nature 
Conservation",Sanitising and Disinfecting of Head Office: (Sasko Building),OMV HOLDINGS,"1,820.00"
