Entities,Entities,Date of appointment,items_description,Goods/services,Procurement process,Company Appointed,Value,Company registration number
FSCA,Financial Sector Conduct Authority (FSCA),22-May-20,Cost of PPE's: Cloth/Fabric Face Masks (3-layers) Washable & Reusable,Cloth/Fabric Face Masks (3-layers) Washable & Reusable,,Masana Hygiene Services Masana (PTY)Ltd ,"R28,400.00",Procurement from existing hygiene services contract 
FSCA,Financial Sector Conduct Authority (FSCA),08-May-20,Cost of PPE's: 4 x Digital Body Thermometer Infrared Non- Contact,4 x Digital Body Thermometer Infrared Non- Contact,,Masana Hygiene Services Masana (PTY)Ltd ,"R10,741.00",Procurement from existing hygiene services contract 
FSCA,Financial Sector Conduct Authority (FSCA),08-May-20,Cost of PPE's: 12 x 25 litre Alcohol Sanitizers,12 x 25 litre Alcohol Sanitizers,,Masana Hygiene Services Masana (PTY)Ltd ,"R57,664.65",Procurement from existing hygiene services contract 
FSCA,Financial Sector Conduct Authority (FSCA),09-Mar-20,Cost of PPE's: 216 X Hand Foam Sanitizers,216 X Hand Foam Sanitizers,,Masana Hygiene Services Masana (PTY)Ltd ,"R25,150.50",Procurement from existing hygiene services contract 
FSCA,Financial Sector Conduct Authority (FSCA),18-Mar-20,Cost of PPE's: 11 X Sanitizer Dispensers (supply and installation) 33 X Hand Foam Sanitizers,11 X Sanitizer Dispensers (supply and installation) 33 X Hand Foam Sanitizers,,Masana Hygiene Services Masana (PTY)Ltd ,"R11,257.31",Procurement from existing hygiene services contract 
FSCA,Financial Sector Conduct Authority (FSCA),11-May-20,Cost of PPE's: 72 Bottle Spray 750ml,72 Bottle Spray 750ml,,Store and more ,"R1,792.80",Petty Cash
GPAA,Government Pensions Administration Agency (GPAA),01-Jul-20,Costs on Covid-19 Activities: Sanitation of GPAA Head Office,Sanitation of GPAA Head Office ,Deviation: Emergency Approval ,"HYGIENE SERVICES (PTY)
LTD","R22,301.95",
GPAA,Government Pensions Administration Agency (GPAA),06-Jul-20,Costs on Covid-19 Activities: Disinfection of Cape Town Offices - COVID- 19,Disinfection of Cape Town Offices - COVID- 19,Deviation: Emergency Approval ,"HYGIENE SERVICES (PTY)
LTD","R5,405.00",
GPAA,Government Pensions Administration Agency (GPAA),15-Jul-20,Costs on Covid-19 Activities: Themometers and sanitising dispensers,Themometers and sanitising dispensers ,Competitive Bidding <R500k,BORATILE TRADING AND PROJECTS ,"R79,454.55",
GPAA,Government Pensions Administration Agency (GPAA),17-Jul-20,Costs on Covid-19 Activities: Emergency: Disinfection of Block A&B,Emergency: Disinfection of Block A&B ,Deviation: Emergency Approval ,MASANA HYGIENE SERVICES (PTY) LTD ,"R2,484.00",
GPAA,Government Pensions Administration Agency (GPAA),17-Jul-20,Costs on Covid-19 Activities: Disinfection Of Mafikeng Office,Disinfection Of Mafikeng Office ,Deviation: Emergency Approval ,MASANA HYGIENE SERVICES (PTY) LTD ,"R5,405.00",
GPAA,Government Pensions Administration Agency (GPAA),17-Jul-20,Costs on Covid-19 Activities: Disinfection of Blocks C-H,Disinfection of Blocks C-H ,Deviation: Emergency Approval ,MASANA HYGIENE SERVICES (PTY) LTD ,"R19,872.00",
GPAA,Government Pensions Administration Agency (GPAA),22-Jul-20,"Costs on Covid-19 Activities: Emergency:Deconta,in ation of Bisho Office","Emergency:Deconta,in ation of Bisho Office ",Deviation: Emergency Approval ,MASANA HYGIENE SERVICES (PTY) LTD ,"R5,405.00",
GPAA,Government Pensions Administration Agency (GPAA),23-Jul-20,Costs on Covid-19 Activities: Sanitizer Spray suitable for paper,Sanitizer Spray suitable for paper ,Competitive Bidding <R500k,MASANA HYGIENE SERVICES (PTY) LTD ,"R103,500.00",
GPAA,Government Pensions Administration Agency (GPAA),23-Jul-20,Costs on Covid-19 Activities: Disinfection services for 6 months. GPAA/GEPF Offices,Disinfection services for 6 months. GPAA/GEPF Offices,Competitive Bidding <R500k,MASANA HYGIENE SERVICES (PTY) LTD ,"R478,691.20",
GPAA,Government Pensions Administration Agency (GPAA),24-Jul-20,"Costs on Covid-19 Activities: Emergency: Disinfection of block AE,mBe&rgCenactyH: ead Office","Emergency: Disinfection of block AE,mBe&rgCenactyH: ead Office ",Deviation: Emergency Approval ,MASANA HYGIENE SERVICES (PTY) LTD ,"R4,968.00",
GPAA,Government Pensions Administration Agency (GPAA),28-Jul-20,Costs on Covid-19 Activities: Disinfection/Decontami nation of Kimberly office,Disinfection/Decontami nation of Kimberly office ,Deviation: Emergency Approval ,MASANA HYGIENE SERVICES (PTY) LTD ,"R6,204.61",
GPAA,Government Pensions Administration Agency (GPAA),30-Jul-20,"Costs on Covid-19 Activities: Covid-19 Tests for Staff and Contractors (Security, Cleaners","Covid-19 Tests for Staff and Contractors (Security, Cleaners",Deviation: Emergency Approval ,MASANA HYGIENE SERVICES (PTY) LTD ,"R1,105,000.00",
GPAA,Government Pensions Administration Agency (GPAA),12-Mar-20,Cost of PPE's: Supply & Delivery of Hand Sanitiser ,Supply & Delivery of Hand Sanitiser ,,US-PECTS TRADING ENTERPRISE ,"R10,875.00",2008/252819/23
GPAA,Government Pensions Administration Agency (GPAA),12-Mar-20,Cost of PPE's: Waterless Sanitizer 1 L,Waterless Sanitizer 1 L,,US-PECTS TRADING ENTERPRISE ,"R12,800.00",2008/252819/23
GPAA,Government Pensions Administration Agency (GPAA),17-Mar-20,Cost of PPE's: Hand Sanitiser ,Hand Sanitiser ,,Sound Conexions ,"R72,000.00",1999/032082/23
GPAA,Government Pensions Administration Agency (GPAA),17-Mar-20,Cost of PPE's: Latex hand gloves (900 boxes) 90 000 gloves all offices,Latex hand gloves (900 boxes) 90 000 gloves all offices,,Sound Conexions ,"R189,000.00",1999/032082/23
GPAA,Government Pensions Administration Agency (GPAA),19-Mar-20,Cost of PPE's: Latex hand gloves ,Latex hand gloves ,,KITSO PROJECTS AND EVENTS MANAGEMENT,"R207,000.00",2009/145212/23
GPAA,Government Pensions Administration Agency (GPAA),25-Mar-20,Cost of PPE's: GPAA Gallo Hosting Internet ,GPAA Gallo Hosting Internet ,,MOBILE TELEPHONE NETWORKS PTY LTD / MTN ,"R251,505.00",1993/001436/07
GPAA,Government Pensions Administration Agency (GPAA),26-Mar-20,Cost of PPE's: Procurement of goggles ,Procurement of goggles ,,LECHOBA MEDICAL TECHNOLOGIES ,"R15,525.00",2005/044442/07
GPAA,Government Pensions Administration Agency (GPAA),26-Mar-20,Cost of PPE's: Procurement of Hand Sanitizers ,Procurement of Hand Sanitizers ,,TRIPPLE N MEDICAL DISTRIBUTORS,"R168,660.00",2011/129850/07
GPAA,Government Pensions Administration Agency (GPAA),26-Mar-20,Cost of PPE's: Procurement of Digital Body Thermometer ,Procurement of Digital Body Thermometer ,,TARA HEALTHCARE ,"R84,027.65",2019/237077/07
GPAA,Government Pensions Administration Agency (GPAA),26-Mar-20,Cost of PPE's: Emergency: 1k White Biometric Cards x1500,Emergency: 1k White Biometric Cards x1500,,NEXTEC SECURITY AND BUILDING TECHNOLOGIES,"R22,977.00",1994/006897/07
GPAA,Government Pensions Administration Agency (GPAA),26-Mar-20,"Cost of PPE's: Emergency: Setup & Connect VPN , Configuration Testing & ","Emergency: Setup & Connect VPN , Configuration Testing & ",,EOH MTHOMBO (Pty) Ltd ,"R9,982.00",1998/000103/07
GPAA,Government Pensions Administration Agency (GPAA),20-Apr-20,Cost of PPE's: COVID 19 Hand Sanitiser - Emergency Procurement,COVID 19 Hand Sanitiser - Emergency Procurement,,MASANA HYGIENE SERVICES (PTY) LTD ,"R107,295.00",2014/110265/07
GPAA,Government Pensions Administration Agency (GPAA),21-Apr-20,Cost of PPE's: Emergency Purchase: Masks (COVID 19),Emergency Purchase: Masks (COVID 19),,Sound Conexions ,"R26,500.00",2009/205308/23
GPAA,Government Pensions Administration Agency (GPAA),21-Apr-20,"Cost of PPE's: Hand Sanitizer, Masks, Gloves, Wet Wipes - For PE (Covid 19)","Hand Sanitizer, Masks, Gloves, Wet Wipes - For PE (Covid 19)",,"PRO-LEGENDS
TRADING CC BYTES","R105,236.00",2007/236236/23
GPAA,Government Pensions Administration Agency (GPAA),21-Apr-20,Cost of PPE's: Laptop rental and new Wi-Fi Routers ,Laptop rental and new Wi-Fi Routers ,,"MANAGED
SOLUTIONS, A","R407,355.30",1984/003805/07
GPAA,Government Pensions Administration Agency (GPAA),21-Apr-20,Cost of PPE's: Face Masks: Emergency Procurement ,Face Masks: Emergency Procurement ,,Sound Conexions ,"R81,250.00",2009/205308/23
GPAA,Government Pensions Administration Agency (GPAA),30-Apr-20,Cost of PPE's: Emergency: Disinfection of Trevenna & Head Office ,Emergency: Disinfection of Trevenna & Head Office ,,"MASANA
HYGIENE
SERVICES (PTY)","R36,115.75",2014/110265/07
GPAA,Government Pensions Administration Agency (GPAA),30-Apr-20,Cost of PPE's: Covid 19- Procurement of face shields,Covid 19- Procurement of face shields,,"MAKGOBJANA
HOLDINGS","R9,998.00",2016/191547/07
GPAA,Government Pensions Administration Agency (GPAA),08-May-20,Cost of PPE's: Emergency: Disinfecting of Regional & Satellite Offices,Emergency: Disinfecting of Regional & Satellite Offices,,"MASANA
HYGIENE
SERVICES (PTY)","R89,477.82",2014/110265/07
GPAA,Government Pensions Administration Agency (GPAA),08-May-20,Cost of PPE's: Emergency:Car hire to transport GPAA employees to & from wor ,Emergency:Car hire to transport GPAA employees to & from wor ,,"TIRISANO
TRAVEL CC","R63,314.69",2002/065229/23
GPAA,Government Pensions Administration Agency (GPAA),13-May-20,Cost of PPE's: Emergency: Disinfection of GPAA Nelspruit Office ,Emergency: Disinfection of GPAA Nelspruit Office ,,KAMATSIKAA TRADING ENTERPRISES,"R6,600.00",2006/114060/23
GPAA,Government Pensions Administration Agency (GPAA),13-May-20,Cost of PPE's: Themometers and surgical masks ,Themometers and surgical masks ,,KITISO PROJECTS AND EVENTS,"R140,530.00",2009/145212/23
GPAA,Government Pensions Administration Agency (GPAA),13-May-20,Cost of PPE's: Hand Sanitizers 500ml,Hand Sanitizers 500ml,,PRO-PC cc ,"R101,775.00",1993/009323/23
GPAA,Government Pensions Administration Agency (GPAA),13-May-20,Cost of PPE's: Perspex Screens,Perspex Screens,,MABOKA GROUP (PTY) LTD ,"R49,200.00",2013/041395/07
GPAA,Government Pensions Administration Agency (GPAA),13-May-20,Cost of PPE's: Visors ,Visors ,,US-PECTS TRADING ENTERPRISE ,"R63,000.00",2008/252819/23
GPAA,Government Pensions Administration Agency (GPAA),14-May-20,Cost of PPE's: 3ply Cloth Masks (DTIC Specifications),3ply Cloth Masks (DTIC Specifications),,UNIKO LOLWETHU ENTERPRISE,"R69,000.00",2017/106963/07
GPAA,Government Pensions Administration Agency (GPAA),20-May-20,Cost of PPE's: Surgical Masks for Head Office ,Surgical Masks for Head Office ,,BORATILE TRADING AND PROJECTS ,"R57,500.00",2008/085219/23
GPAA,Government Pensions Administration Agency (GPAA),25-May-20,Cost of PPE's: Disfenction of Port Elizabeth & Durban Office ,Disfenction of Port Elizabeth & Durban Office ,,"MASANA
HYGIENE
SERVICES (PTY)","R10,810.00",2014/110265/07
GPAA,Government Pensions Administration Agency (GPAA),25-May-20,Cost of PPE's: Sanitizing Dispensers and Perspex Screens ,Sanitizing Dispensers and Perspex Screens ,,PHINOT NOSTALGIC PROJECTS,"R119,600.00",2017/542077/07
GPAA,Government Pensions Administration Agency (GPAA),29-May-20,Cost of PPE's: COVID - PPE Stock: Waterless Hand Sanitiser ,COVID - PPE Stock: Waterless Hand Sanitiser ,,WAKHANYANE,"R95,696.43",2013/210196/07
GPAA,Government Pensions Administration Agency (GPAA),29-May-20,Cost of PPE's: Emergency: Supply of Perspex Screens ,Emergency: Supply of Perspex Screens ,,"SIGN FACETS
CC","R210,450.00",2001/016701/23
GPAA,Government Pensions Administration Agency (GPAA),07-Jun-20,Cost of PPE's: Covid 19 Tests for Employees - Emergency Approval (CEO),Covid 19 Tests for Employees - Emergency Approval (CEO),,"LANCET
LABORATORIES","R170,000.00",1996/006950/07
GPAA,Government Pensions Administration Agency (GPAA),09-Jun-20,Cost of PPE's: EAP Services in response to Covid 19,EAP Services in response to Covid 19,,LIFE EMPLOYEE HEALTH SOLUTIONS,"R249,378.81",2012/077831/07
GPAA,Government Pensions Administration Agency (GPAA),18-Jun-20,Cost of PPE's: 1000 Jabba Evolve 65 Bluetooth Headset,1000 Jabba Evolve 65 Bluetooth Headset,,PRO-PC cc ,"R301,875.00",1993/009323/23
GPAA,Government Pensions Administration Agency (GPAA),19-Jun-20,Cost of PPE's: Emergency Disinfection of Head Office & Trevenna ,Emergency Disinfection of Head Office & Trevenna ,,"MASANA
HYGIENE
SERVICES (PTY)","R41,637.82",2014/110265/07
GPAA,Government Pensions Administration Agency (GPAA),24-Jun-20,Cost of PPE's: Emergency: Decontamination of Bisho & Mthatha Office ,Emergency: Decontamination of Bisho & Mthatha Office ,,"MASANA
HYGIENE
SERVICES (PTY)","R10,810.00",2014/110265/07
GPAA,Government Pensions Administration Agency (GPAA),24-Jun-20,Cost of PPE's: Emergency: Decontamination of Johannesburg Office ,Emergency: Decontamination of Johannesburg Office ,,"MASANA
HYGIENE
SERVICES (PTY)","R4,025.00",2014/110265/07
GTAC ,Government Technical Advisory Centre (GTAC ),06-Jul-20,Costs on Covid-19 Activities: No costs incurred for Covid-19 related activities,No costs incurred for Covid-19 related activities,RFQ ,Maverick ,"R165,385.81",
GTAC ,Government Technical Advisory Centre (GTAC ),28-May-20,Cost of PPE's: Face Masks ,Face Masks ,,Mothizamo Trading,"R27,500.00",2016/445473/07
IRBA ,Independent Regulatory Board of Auditors (IRBA ),11-Mar-20,Costs on Covid-19 Activities: Sanitisers and wet wipes,Sanitisers and wet wipes ,3 Quatations,Servest ,"R3,795.00",
IRBA ,Independent Regulatory Board of Auditors (IRBA ),29-Apr-20,Costs on Covid-19 Activities: Surface disinfect and thermometers,Surface disinfect and thermometers ,3 Quatations,We clean it all shop ,"R5,500.00",
IRBA ,Independent Regulatory Board of Auditors (IRBA ),11-Jun-20,Costs on Covid-19 Activities: Hand sanitizer refill sachets,Hand sanitizer refill sachets ,3 Quatations,We clean it all shop ,"R10,800.00",
IRBA ,Independent Regulatory Board of Auditors (IRBA ),09-Jun-20,Cost of PPE's: 180 face masks for staff members,180 face masks for staff members,,Rita Hattingh ,"R3,150.00",IRBA Staff memeber - No company established 
IRBA ,Independent Regulatory Board of Auditors (IRBA ),29-Apr-20,Cost of PPE's: Hand sanitisers ,Hand sanitisers ,,Servest ,"R6,513.60",1997/006391/07
IRBA ,Independent Regulatory Board of Auditors (IRBA ),03-Jun-20,Cost of PPE's: Reception desk screen ,Reception desk screen ,,Signarama ,"R4,143.43",2011/099901/23
IRBA ,Independent Regulatory Board of Auditors (IRBA ),29/04/2020,Cost of PPE's: Gloves ,Gloves ,,We clean it all shop ,"R1,850.00",2017/509402/07
IRBA ,Independent Regulatory Board of Auditors (IRBA ),11-Jun-20,Cost of PPE's: Sanitation work stations ,Sanitation work stations ,,We clean it all shop ,"R12,150.00",2017/509402/07
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),26-Mar-20,Costs on Covid-19 Activities: Disinfection of the building,Disinfection of the building ,Emergency procurement (Two quotes) ,Bidvest Cleaning ,"R12,773.60",
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),10-Jul-20,Costs on Covid-19 Activities: Disinfection of the building,Disinfection of the building ,Expansion on cleaning contract ,Monabo Hygiene Services ,"R12,773.63",
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),20-Jul-20,Costs on Covid-19 Activities: Disinfection of the building,Disinfection of the building ,Expansion on cleaning contract ,Monabo Hygiene Services ,"R12,773.63",
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),25-Jul-20,Costs on Covid-19 Activities: Disinfection of the building,Disinfection of the building ,Expansion on cleaning contract ,Monabo Hygiene Services ,"R12,773.63",
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),10-Mar-20,Cost of PPE's: Gloves ,Gloves ,,Monabo Hygiene Services ,R267.90,2009/037882/23
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),17-Mar-20,Cost of PPE's: Gloves ,Gloves ,,Life Healthcare Pharmacy ,R169.70,203/024367/07
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),19-Mar-20,Cost of PPE's: Hand sanitizers ,Hand sanitizers ,,Lenasi Projects ,"R1,990.00",2016/138002/07
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),17-Apr-20,"Cost of PPE's: Hand sanitisers, Surface sanitisers, Gloves, Masks & Plastic aprons ","Hand sanitisers, Surface sanitisers, Gloves, Masks & Plastic aprons ",,GDF Holdings ,"R132,262.50",2016/365362/07
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),14-May-20,Cost of PPE's: Thermometers ,Thermometers ,,Quintillion Tek ,"R3,777.00",2019/293985/07
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),17-May-20,Cost of PPE's: Face Shield ,Face Shield ,,Makro ,"R1,512.40",1991/006805/07
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),31-May-20,Cost of PPE's: Footstand Sanitizer dispenser ,Footstand Sanitizer dispenser ,,Quintillion Tek ,"R1,509.84",2019/293985/07
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),18-Jun-20,Cost of PPE's: Counters Shield ( Glass Protector) ,Counters Shield ( Glass Protector) ,,GDF Holdings ,"R4,899.00",2016/365362/07
OPFA ,Office of the Pension Fund Adjudicator (OPFA ),15-Jun-20,Cost of PPE's: Thermometer ,Thermometer ,,GDF Holdings ,R850.00,2016/365362/07
