buyer_name,implementation_location_province,implementation_locatin_other,items_description,supplier_name,company_registration_number,procurement_method,order_number,ORDER DATE,invoice_date,UNIT OF MEASURE,items_quantity,cost_per_unit_zar,order_amount_zar
Department of Correctional Services (DCS),Northern Cape,COLESBERG,SANITIZER DISINFECTED,C &S SUPPLIERS,2013/046169/07,RT 296-2020,DA-005038,2020.03.21,2020-03-21,250ML,500L,40.37,20185.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,SURFACE SANITIZER,C &S SUPPLIERS,2013/046169/07,RT 296-2020,DA-005038,2020.03.21,2020-03-21,20 L,200L,1069.10,21382.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,HAND SANITIZER,C &S SUPPLIERS,2013/046169/07,DEVIATION,CL-006372,2020.03.16,2020-03-16,250ML,390L,39.90,15561.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,DISPOSABLE OVERALL,C &S SUPPLIERS,2013/046169/07,DEVIATION,CL-006372,2020.03.16,2020-03-16,EACH,50,218.50,10925.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,SAFETY GOGGLES,SJ 75 MOHALE CONTR,2019/522428/07,DEVIATION,CL-006372,2020.03.16,2020-03-16,EACH,10,39.00,390.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,N95 MASK,SJ 75 MOHALE CONTR,2019/522428/07,DEVIATION,CL-006372,2020.03.16,2020-03-16,EACH,100,15.00,1500.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,GLOVES YELLOW,OVISH OVISH,2016/046562/07,DEVIATION,CL-006372,2020.03.16,2020-03-16,PAIRS,50,10.00,500.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,BLEACH,IMPERIAL HEALTH SCIENCES,1993/003465/07,DEVIATION,CL-006372,2020.03.16,2020-03-16,25 L,125,200.00,1000.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,HAND SANITIZER,IMPERIAL HEALTH SCIENCES,1993/003465/07,DEVIATION,CL-006373,2020.03.17,2020-03-17,5L,50,700.00,7000.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,DISPOSABLE OVERALL,IMPERIAL HEALTH SCIENCES,1993/003465/07,DEVIATION,CL-006373,2020.03.17,2020-03-17,EACH,50,220.00,11000.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,HAND SANITIZER,IMPERIAL HEALTH SCIENCES,1993/003465/07,DEVIATION,CL-006374,2020.03.25,2020-03-25,5L,200,700.00,28000.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,SURGICAL GLOVES,IMPERIAL HEALTH SCIENCES,1993/003465/07,RT CONTRACT,CL-006375,2020.04.20,2020-04-20,PAIRS,500,138.00,1380.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,SURGICAL GLOVES,IMPERIAL HEALTH SCIENCES,1993/003465/07,RT CONTRACT,CL-006375,2020.04.20,2020-04-20,PAIRS,500,138.00,1380.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,SURGICAL GLOVES,IMPERIAL HEALTH SCIENCES,1993/003465/07,RT CONTRACT,CL-006375,2020.04.20,2020-04-20,PAIRS,350,250.00,1750.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,SURGICAL GLOVES,IMPERIAL HEALTH SCIENCES,1993/003465/07,RT CONTRACT,CL-006375,2020.04.20,2020-04-20,PAIRS,350,250.00,1750.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,EXAMINATION GLOVES,IMPERIAL HEALTH SCIENCES,1993/003465/07,RT CONTRACT,CL-006375,2020.04.20,2020-04-20,PAIRS,300,278.00,1668.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,BIOHAZARD BAGS,"IMPERIAL LOGISTICS SOUTH AFRICA
GROUP",1993/003465/07,RT CONTRACT,CL-006375,2020.04.20,2020-04-20,EACH,300,1.80,540.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,N95 MASK RESPIRATOR,BIOLOGICAL PHARMACERTICAL,2013/067392/07,RT CONTRACT,CL-006375,2020.04.20,2020-04-20,EACH,50,2986.50,14932.50
Department of Correctional Services (DCS),Northern Cape,COLESBERG,DIGITAL THERMOMETER,BIOLOGICAL PHARMACERTICAL,2013/067392/07,RT CONTRACT,CL-006375,2020.04.20,2020-04-20,EACH,8,1888.50,15108.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,SANITISERS AND DISINFECTANTS,BIOLOGICAL PHARMACERTICAL,2013/067392/07,RT CONTRACT,CL-006375,2020.04.20,2020-04-20,25L,175,1635.45,11448.15
Department of Correctional Services (DCS),Northern Cape,COLESBERG,Examination Gloves - type 2 L,BIOLOGICAL PHARMACERTICAL,2013/067392/07,YES,AC-765154,2020.04.21,2020-04-21,Box of 100,20,278.00,5560.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,MASK SURGICAL,BIOLOGICAL PHARMACERTICAL,2013/067392/07,RT 296-2020,CL-006493,"2020,07.17",2020-07-17,EACH,"5,000",26.65,133250.00
Department of Correctional Services (DCS),Northern Cape,COLESBERG,SURGICAL GLOVES,BIOLOGICAL PHARMACERTICAL,2013/067392/07,RT 296-2020,CL-006493,"2020,07.17",2020-07-17,PAIRS,"2,500",4.40,11000.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Surgical Mask,Alfrehutch Trading,2008/130764/23,RT32-2019,VR-006445,3/27/2020,2020-03-27,Box of 50,8,294.54,2356.32
Department of Correctional Services (DCS),Free State,GROENPUNT,Surgical Mask,Multi Surge (Pty)Ltd,N/A,RT76-2020,GR-0005062,3/27/2020,2020-03-27,Box of 50,100,460.00,46000.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Surgical Mask,Safarmex,2007/033535/07,RT32-2019,GR-012938,06/12/2020,2020-12-06,Box of 50,200,119.73,23946.00
Department of Correctional Services (DCS),Free State,GROENPUNT,N95 Mask,Chemical World,2019/253242/07,RT32-2019,SA-005630,3/20/2020,2020-03-20,Box of 50,400,14.95,5980.00
Department of Correctional Services (DCS),Free State,GROENPUNT,N95 Mask,Chemical World,2019/253242/07,RT32-2019,GR-012696,3/20/2020,2020-03-20,Box of 30,200,14.95,2990.00
Department of Correctional Services (DCS),Free State,GROENPUNT,N95 Mask,Central Medical (Pty)Ltd,1995/003785/07,RT32-2019,GR-012703,3/20/2020,2020-03-20,Box of 30,100,14.95,1495.00
Department of Correctional Services (DCS),Free State,GROENPUNT,N95 Mask,"BIOLOGICO PHARMACEUTICALS (PTY)
LTD",N/A,RT296-2020,GR-0005088,3/31/2020,2020-03-31,Box of 30,200,26.65,5330.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Alcohol based hand sanitiser,Barrs Pharmaceutical Industries,N/A,RT300-2017,GR-012697,3/20/2020,2020-03-20,500ml,480,15.79,7579.20
Department of Correctional Services (DCS),Free State,GROENPUNT,Alcohol based hand sanitiser,Unitrade 1032 CC,N/A,RTCovid-19,GR-0005063,04/01/2020,2020-01-04,500ml,"1,000",62.10,62100.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Alcohol based hand sanitiser,Barrs Pharmaceutical Industries,N/A,RT300-2017,GR-012708,3/20/2020,2020-03-20,500ml,100,15.92,1592.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Alcohol based hand sanitiser,Unitrade 1032 CC,1998/002665/23,RT300-2017,SA-005622,3/19/2020,2020-03-19,500ml,"2,000",16.41,32820.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Alcohol based hand sanitiser,Barrs Pharmaceutical Industries,N/A,RT300-2017,VR-006423,3/19/2020,2020-03-19,500ml,750,15.79,11842.50
Department of Correctional Services (DCS),Free State,GROENPUNT,Alcohol based hand sanitiser,"Stix Transport Services & General
Dealer",2014/213000/07,Deviation,N697015,04/01/2020,2020-01-04,bottle,200,135.00,27000.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Biocide D/Bleach,Three40 Trading,2018/389965/07,Normal Price quotation,N697017,04/06/2020,2020-06-04,Litre,"1,000",17.50,17500.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Gloves,Evergreen Latex,2002/057771/23,RT76-2020,SA-005615,3/18/2020,2020-03-18,Box of 100,"7,500",0.50,3739.50
Department of Correctional Services (DCS),Free State,GROENPUNT,Gloves,Evergreen Latex,2002/057771/23,RT300-2017,VR-006436,3/19/2020,2020-03-19,Box of 100,730,92.00,67160.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Gloves,MediCart,2016/534688/07,Deviation,GR-0005079,07/02/2020,2020-02-07,Box of 100,"2,000",2.65,5290.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Gloves,Promed Technologies,2014/162488/07,RT76-2020,GR-0005085,3/31/2020,2020-03-31,Box of 100,200,46.60,9320.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Gloves,Evergreen Latex,2002/057771/23,RT76-2020,GR-012700,3/20/2020,2020-03-20,Box of 100,100,50.82,5082.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Gloves,Evergreen Latex,2002/057771/23,RT76-2020,GR-0012695,3/20/2020,2020-03-20,Box of 100,100,49.86,4986.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Spray bottle,Barrs Pharmaceutical Industries,N/A,RT300-2017,GR-012704,3/20/2020,2020-03-20,500ml,100,21.15,2115.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Infrared Tempature Scanner,Multi Surge (Pty)Ltd,N/A,RT76-2020,GR-0005062,3/27/2020,2020-03-27,ea,10,2300.00,23000.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Surface sanitiser,Barrs Pharmaceutical Industries,N/A,RT300-2017,GR-012702,3/20/2020,2020-03-20,5L,100,14.01,1401.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Disposable Aprons,Central Medical (Pty)Ltd,1995/003785/07,RT32-2019,GR-0005087,3/31/2020,2020-03-31,ea,"2,000",0.32,640.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Disposable Gowns,"Lechoba Medical Technologies
(Pty)Ltd",2005/04444/07,RT76-2020,GR-0005086,3/31/2020,2020-03-31,ea,200,59.95,11990.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Disposable Gowns,Logan Medical and Surgical,2012/056508/07,RT300-2017,GR-012933,06/12/2020,2020-12-06,ea,"3,000",6.90,20700.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Disposable Gowns (Isolation),MediCart,2016/534688/07,Deviation,GR-0005079,07/02/2020,2020-02-07,ea,200,75.67,15134.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Coveralls,MediCart,2016/534688/07,Deviation,GR-0005079,07/02/2020,2020-02-07,ea,500,121.90,60950.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Boot covers,Medical International Orthopaedic,2007/023366/23,RT300-2017,GR-012937,06/12/2020,2020-12-06,Box of 100,100,19.23,1923.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Flu Vaccine,Kahma Biotech (pty)Ltd,1997/014365/07,RT76-2020,GR-0005089,3/30/2020,2020-03-30,ea,"1,000",39.93,39930.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Paper towel,Promed Technologies,,RT14,SA-005621,3/19/2020,2020-03-19,ea,340,55.75,18955.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Faceshield,MediCart,2016/534688/07,Deviation,GR-0005079,07/02/2020,2020-02-07,ea,100,69.23,6923.00
Department of Correctional Services (DCS),Free State,GROENPUNT,Mop Caps,MediCart,2016/534688/07,Deviation,GR-0005079,07/02/2020,2020-02-07,ea,"1,000",0.75,750.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL GLOVES, STERILE, TYPE 1 SIZE 6
(RUBBER LATEX)",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,50 PAIRS,20,138.00,2760.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL GLOVES, STERILE, TYPE 1 SIZE
6.5",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,50 PAIRS,30,138.00,4140.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL GLOVES, STERILE, TYPE 1 SIZE 7",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,50 PAIRS,30,138.00,4140.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL GLOVES, STERILE, TYPE 1 SIZE
7.5",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,50 PAIRS,30,138.00,4140.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL GLOVES, STERILE, TYPE 1 SIZE 8",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,50 PAIRS,30,138.00,4140.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL GLOVES, STERILE, TYPE 1 SIZE
8.5",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,50 PAIRS,20,138.00,2760.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL GLOVES, STERILE, TYPE 1 SIZE 9",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,50 PAIRS,10,138.00,1380.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"EXAMINATION GLOVES, TYPE 1 SIZE
SMALL",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 100,20,278.00,5560.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"EXAMINATION GLOVES, TYPE 1 SIZE
MEDIUM",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 100,40,278.00,11120.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"EXAMINATION GLOVES, TYPE 1 SIZE LARGE",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 100,40,278.00,11120.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"EXAMINATION GLOVES, TYPE 1 SIZE X-
LARGE",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 100,20,278.00,5560.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"EXAMINATION GLOVES, TYPE 2 SIZE
SMALL",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 100,20,278.00,5560.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"EXAMINATION GLOVES, TYPE 2 SIZE MEDIUM",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 100,40,278.00,11120.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"EXAMINATION GLOVES, TYPE 2 SIZE LARGE",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 100,40,278.00,11120.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"EXAMINATION GLOVES, TYPE 2 SIZE X-LARGE",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 100,20,278.00,5560.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL FACE MASK, ASEPTIC, BLUE",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 50,40,511.00,20440.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SURGICAL MASK, SINGLE USE WITH ELASTIC EAR",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 50,20,624.00,12480.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,N95 MASK - RESPIRATOR,Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 50,10,2986.50,29865.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,KN95 MASK - RESPIRATORDUST MASK,Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 10,10,413.60,4136.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"APRON PLASTIC FULL BODY, SINGLE USE",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 100,60,170.00,10200.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"EYE PROTECTION, GOGGLES",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,EACH,80,149.00,11920.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"VISOR, DISPOSABLE",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,EACH,160,75.00,12000.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"ISOLLATION, GOWNS",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,EACH,600,64.25,38550.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"SANITIZER, 25 LITRE",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV-004048,Not Known Yet,,25 LITRE,40,1635.45,65418.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,"GOWN, SURGICAL, NON-WOVEN",Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,EACH,200,135.00,27000.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,BOOT COVERS,Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV - 004045,Not Known Yet,,BOX OF 100,40,130.00,5200.00
Department of Correctional Services (DCS),Free State,GROOTVLEI,SPRAY BOTTLES,Imperial Logistics South Africa,1993/003465/07,National Treasury Instruction No 03 of 2020/2021 Par 4,GV-004048,Not Known Yet,,500ML,300,24.50,7350.00
