buyer_name,implementation_location_other,items_description,supplier_name,comapny_registration_number,procurement_method,UNIT OF MEASURE,order_number,invoice_date,items_quantity,cost_per_unit_zar,order_amount_zar
Department of Correctional Services (DCS),Durban,Alcohol based hand sanitiser (500ml),Barrs Pharmaceuticals Industries,2012/056577/07,RT 300-2017,each,DB-013942,3/16/2020,10000,16.41,164100.00
Department of Correctional Services (DCS),Durban,"Alcohol based hand sanitiser (500ml)  (EMERGENCY
ORDER)",Flawless Enterprise,2015/431254/07,Quotation,each,"F-431404 (DB-
014005)",3/28/2020,4000,100.00,400000.00
Department of Correctional Services (DCS),Durban,Alcohol based hand sanitiser (500ml),Barrs Pharmaceuticals Industries,2012/056577/07,RT 300-2017,each,DB-13988,04/07/2020,12050,16.41,197740.50
Department of Correctional Services (DCS),Durban,Surgical scrub 500ml,Barrs Pharmaceuticals Industries,2012/056577/07,RT 300-2017,each,"F-431737 (DB-
013993)",3/21/2020,8000,21.92,175360.00
Department of Correctional Services (DCS),Durban,Surgical scrub 500ml,Barrs Pharmaceuticals Industries,2012/056577/07,RT 300-2017,each,DB-013988,04/07/2020,8000,21.92,175360.00
Department of Correctional Services (DCS),Durban,Biocide D / Bleach,SRT Sunshine,2019/403032/07,Quotation,liters,DB-013963,3/19/2020,3000,9.92,29760.00
Department of Correctional Services (DCS),Durban,Paper towels,Promed Technologies,2014/162486/07,RT 14-2019,rolls,DB-013965,3/19/2020,6000,10.50,63000.00
Department of Correctional Services (DCS),Durban,Paper towels,Promed Technologies,2014/162486/07,RT 14-2019,rolls,"F-431429 (DB-
014002)",04/10/2020,12000,10.50,126000.00
Department of Correctional Services (DCS),Durban,Matress Cover for hospitals,Hospital Equipment Manufacturers,2000/000651/07,RT 24-2016,each,"F-431735 (DB-
014023)",3/21/2020,600,450.00,270000.00
Department of Correctional Services (DCS),Durban,Tents for isolation (2 beds),Hospital Equipment Manufacturers,2000/000651/07,RT 24-2016,each,"F-431420 (DB-
014007)",04/01/2020,10,2525.00,25250.00
Department of Correctional Services (DCS),Durban,ENT Set   (Diagnostic set),Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,20,2839.12,56782.40
Department of Correctional Services (DCS),Durban,Vital Moniter (BP Monitoring Machine),Class Three Medical Solutions,2017/535986/07,RT 2-2016,each,"F-431403 (DB-
014034)",3/27/2020,10,16315.54,163155.40
Department of Correctional Services (DCS),Durban,BP Cuffs  (for vital monitor),Class Three Medical Solutions,2017/535986/07,RT 2-2016,each,"F-431403 (DB-
014034)",3/27/2020,10,120.75,1207.50
Department of Correctional Services (DCS),Durban,HB Meter,Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,10,3103.10,31031.00
Department of Correctional Services (DCS),Durban,Ambubag (oval plus silicone resuscicator adult),Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,12,1138.50,13662.00
Department of Correctional Services (DCS),Durban,Laryngeal Mask,Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,10,188.35,1883.50
Department of Correctional Services (DCS),Durban,"Endotracheal Tube (6, 61⁄2, 7, 71⁄2)",Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,20,98.65,1973.00
Department of Correctional Services (DCS),Durban,Flow Meter double flow with ball & tube,Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,10,1079.80,10798.00
Department of Correctional Services (DCS),Durban,Stethoscope,Selective Decisions,2001/066559/23,RT 4-2017,each,"F-431745 (DB-
014011)",3/24/2020,50,27.07,1353.50
Department of Correctional Services (DCS),Durban,Stethoscope,Class Three Medical Solutions,2017/535986/07,Quotation,each,"F-431408 (DB-
014037)",3/30/2020,15,455.00,6825.00
Department of Correctional Services (DCS),Durban,Nebulizer,Class Three Medical Solutions,2017/535986/07,RT 2-1-2016,each,"F-431750 (DB-
014031)",3/27/2020,10,5184.20,51842.00
Department of Correctional Services (DCS),Durban,Over shoe non woven (single use),Umusa Kami Supplies,2019/443164/07,Quotation,each,"F-431423 (DB-
014013)",04/03/2020,900 x 100's,0.77,6935.00
Department of Correctional Services (DCS),Durban,Head Covers (single use),Umusa Kami Supplies,2019/443164/07,Quotation,each,"F-431423 (DB-
014013)",04/03/2020,900 x 100's,0.74,6659.00
Department of Correctional Services (DCS),Durban,Laringoscope,Unicore Holdings,2011/000574/07,RT 4-2017,each,"F-431746 (DB-
013983)",3/24/2020,10,1576.86,15768.60
Department of Correctional Services (DCS),Durban,Flu Vaccine,Kahma Biotech,1997/014365/07,RT 285-2019,vial,"F-431733 (DB-
014035)",3/21/2020,3450,39.93,137758.50
Department of Correctional Services (DCS),Durban,Full face shield   (Visors),Flawless Enterprise,2015/431254/07,Quotation,each,"F-431426 (DB-
014012)",04/08/2020,1000,95.00,95000.00
Department of Correctional Services (DCS),Durban,Water boot (gumboots),BBF Safety Group,2014/095914/07,RT 59-2019,pair,"F-431734 (DB-
014028 & DB-
014029)",3/21/2020,646,152.00,98192.00
Department of Correctional Services (DCS),Durban,"Bed, Hospital, Two Section",Hospi-Furn,2009/003345/07,RT 24-2016,each,"F-431738 (DB-
014030)",3/22/2020,28,8165.79,228642.12
Department of Correctional Services (DCS),Durban,Flow Meter Oxygen Single,East Coast Medical,2011/043248/23,RT 2-2016,each,DB-013980,3/22/2020,20,575.74,13514.80
Department of Correctional Services (DCS),Durban,"Bottle, medicine, with pump, 500ml",Medi-Core Technologies,2013/198711/07,RT 298-2018,each,"F-431747 (DB-
014024)",3/25/2020,1000,7.52,7520.00
Department of Correctional Services (DCS),Durban,Service : Sanitize all areas in Durban,Total Pest Management Services,2004/027335/23,Quotation,service,"F-431730 (DB-
013970)",3/20/2020,"1 service for 5
consecutive days",290000.00,290000.00
Department of Correctional Services (DCS),Durban,"Hand Soap, Dettol, 200ml",Siyabonga Marketing Solutions,2016/456730/07,Quotation,each,"F-431419 (DB-
014010)",04/01/2020,530,55.00,29150.00
Department of Correctional Services (DCS),Durban,"Sprayer, 16L Plastic Knapsack (to spray vehicles, cells,
etc.)",Total Pest Management Services,2004/027335/23,Quotation,each,"F-431430 (DB-
014036)",4/13/2020,10,1200.00,12000.00
Department of Correctional Services (DCS),Durban,Biocide D (sachets for the sprayer's),Total Pest Management Services,2004/027335/23,Quotation,sachets,"F-431430 (DB-
014036)",4/13/2020,3000,5.50,16500.00
Department of Correctional Services (DCS),Durban,M/S Pest Control (decontimination),Total Pest Management Services,2004/027335/23,Quotation,service,DB-014162,06/08/2020,1,24000.00,24000.00
Department of Correctional Services (DCS),,Full face shield   (Visors),Unitrade 1032,1998/002665/23,Quotation,each,DB-014355,7/27/2020,1000,18.00,18000.00
Department of Correctional Services (DCS),,Gown Isollation COVID037,Terata Supplies,2017/469259/07,Quotation,each,DB-014394,7/29/2020,750,57.00,42750.00
Department of Correctional Services (DCS),,Coverall Protective Bodysuit Disposable XX-Large,Promed Technologies,2014/162486/07,RT 32-2019,each,DB-014349,7/20/2020,500,17.35,8675.00
Department of Correctional Services (DCS),,"Draw Sheets, Disposable, white regtangular",Promed Technologies,2014/162486/07,RT 32-2019,each,DB-014349,7/20/2020,1000,2.62,2620.00
Department of Correctional Services (DCS),,"Sleeve, Protector, single use, arm sleeve cover",Medi-Core Technologies,2013/198711/07,RT 32-2019,each,DB-014346,7/20/2020,2000,0.25,500.00
Department of Correctional Services (DCS),,Mask Surgical Type 1,Chemical World,2019/253242/07,RT 32-2019,each,DB-014357,7/29/2020,200,19.26,3852.00
Department of Correctional Services (DCS),Empangeni,Surgical masks,BPK LEGACY PTY LTD,2019/471742/07,NON CONTRACT,EACH,AC-404592,06/04/2020,10000,23.00,230000.00
Department of Correctional Services (DCS),Empangeni,Surgical masks,CHEMICAL WORLD,2019/253242/07,RT32-2019,BOX,AC-404567,19/03/2020,200,14.95,2290.00
Department of Correctional Services (DCS),Glencoe,N95 masks,THREE MED SOLUTTION,2017/535986/07,NON CONTRACT,BOX,AC-404589,02/04/2020,66,2233.88,147436.00
Department of Correctional Services (DCS),Glencoe,N95 masks,LIORA MEDICAL SUPPLIES,2011/013434/23,TR32-2019,BOX,AC-404566,19/03/2020,700,160.50,112350.00
Department of Correctional Services (DCS),Glencoe,Disposable Gown,BPK LEGACY PTY LTD,2019/471742/09,NON CONTRACT,EACH,AC-404594,07/04/2020,200,250.00,50000.00
Department of Correctional Services (DCS),Glencoe,Full face shield (Protective goggles ),BPK LEGACY PTY LTD,2019/471742/09,NON CONTRACT,EACH,AC-404594,07/04/2020,100,250.00,25000.00
Department of Correctional Services (DCS),Glencoe,Gloves,Flawless Enterprise,2015/143125/07,NON CONTRACT,each,AC-404588,04/02/2020,65250,1.54,100875.00
Department of Correctional Services (DCS),Glencoe,Non Sterile Golves,PROMED TECHNOLOGIES,2014/16248/07,RT76-2020,BOX,AC-404562,3/19/2020,250,46.00,15650.00
Department of Correctional Services (DCS),Glencoe,Gloves latex disposable large,EVERGREEN LATEX CC,2002/057771/23,RT76-2020,BOX,AC-404563,3/19/2020,400,78.00,48700.00
Department of Correctional Services (DCS),Glencoe,Temperature Scanner,Drop Dot PTY,2013/001934/07,NON CONTRACT,Each,AC-404595,4/15/2020,30,2300.00,69000.00
Department of Correctional Services (DCS),Glencoe,Alcohol based hand sanitiser 5lt,MASETHEMBE TRADING,2012/173413/07,NON CONTRACT MAAA0140020,5LT,AC-404575,3/24/2020,400,550.00,220000.00
Department of Correctional Services (DCS),Glencoe,Alcohol based hand sanitiser 500ml,MASETHEMBE TRADING,2012/173413/07,NON CONTRACT MAAA0140020,500ML,AC-404575,3/24/2020,150,150.00,23850.00
Department of Correctional Services (DCS),Glencoe,Alcohol based hand sanitiser 500ml,BAARS PHARMACEUTICALS,2012/056577/07,RT300-2017,500ML,AC-404561,3/19/2020,15000,14.01,210150.00
Department of Correctional Services (DCS),Glencoe,Sanitation Service to Maphumulo correctional centre,ZULULAND PEST CONTROL,1988/010133/23,NON CONTRACT,ONCE OFF SERVICE,AC-404590,01/04/2020,ONCE OFF SERVICE,12995.00,12995.00
Department of Correctional Services (DCS),Glencoe,Sanitation Service to Management area,ZULULAND PEST CONTROL,1988/010133/23,,ONCE OFF SERVICE,AC-404579,24/03/2020,ONCE OFF SERVICE,89585.00,89585.00
Department of Correctional Services (DCS),Glencoe,Surgical scrub 500ml,BAARS PHARMACEUTICALS,2012/056577/07,RT300-2017,500ML,AC-404561,19/03/2020,15000,21.15,317250.00
Department of Correctional Services (DCS),Glencoe,Paper towels,PROMED TECHNOLOGIES,2014/16248/07,RT14-2019,PKT,AC-404564,3/19/2020,5000,10.50,52500.00
Department of Correctional Services (DCS),Glencoe,Spray Bottles/Pressure sprayer (5 liters),ZULULAND PEST CONTROL,1988/010133/23,NON CONTRACT,EACH,AC-404596,16/04/2020,30,280.00,8400.00
Department of Correctional Services (DCS),Glencoe,Surgical masks,HYCHEM PTY LTD,2012/045088/07,NON CONTRACT,EACH,AC-404598,17/04/2020,15000,16.10,241500.00
Department of Correctional Services (DCS),Glencoe,Surgical masks,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/04/2020,20000,12.48,249600.00
Department of Correctional Services (DCS),Glencoe,Apron plastics,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/04/2020,5000,1.70,8500.00
Department of Correctional Services (DCS),Kokstad,Eye protection,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/04/2020,300,149.00,44700.00
Department of Correctional Services (DCS),Kokstad,Visor,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/04/2020,300,75.00,22500.00
Department of Correctional Services (DCS),Kokstad,Gowns isolation/Surgical gowns,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/04/2020,3000,87.83,263500.00
Department of Correctional Services (DCS),Kokstad,Boot covers,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/04/2020,1000,1.30,1300.00
Department of Correctional Services (DCS),Kokstad,Sanitizer and disinfected 25l,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/04/2020,100,1635.00,163545.00
Department of Correctional Services (DCS),Kokstad,Bionazard bags and body bags,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/04/2020,1530,7.10,10860.00
Department of Correctional Services (DCS),Kokstad,Spray bottles 500ml,IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/04/2020,20,24.30,486.00
Department of Correctional Services (DCS),Kokstad,"Surgical gloves size 7.5,8,8.5,9",IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/04/2020,6000,2.76,16560.00
Department of Correctional Services (DCS),Kokstad,"Examation gloves M,L,XL",IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/04/2020,15000,2.78,41700.00
Department of Correctional Services (DCS),Kokstad,"Overalls size M,L,XL and XXL",IMPERIAL LOGISTICS SA,1993/003465/07,T.R INSTRUCTION NO.3 OF 2020,EACH,AC-404597,22/04/2020,800,300.11,240088.00
Department of Correctional Services (DCS),,Secured hands free dispenser sanitiser,CHERMA SALES AND MARK,2007/242717/23,NON CONTRACT,EACH,AC-404753,15/05/2020,65,2000.00,130000.00
Department of Correctional Services (DCS),,Secured hands free dipenser hand wash soap,CHERMA SALES AND MARK,2007/242717/23,NON CONTRACT,EACH,AC-404753,15/05/2020,42,2000.00,84000.00
Department of Correctional Services (DCS),,Batteries,CHERMA SALES AND MARK,2007/242717/23,NON CONTRACT,EACH,AC-404753,15/05/2020,300,15.00,4500.00
Department of Correctional Services (DCS),Empangeni,Sanitiser hands refill,CHERMA SALES AND MARK,2007/242717/23,NON CONTRACT,EACH,AC-404753,15/05/2020,400,60.00,24000.00
Department of Correctional Services (DCS),Empangeni,Hand soap refill,CHERMA SALES AND MARK,2007/242717/23,NON CONTRACT,EACH,AC-404753,15/05/2020,300,20.00,6000.00
Department of Correctional Services (DCS),Empangeni,First Aid Kit,MR FIRST AID,1990/007637/07,RT24-13-001,EACH,AC-404755,21/05/2020,19,471.55,8959.45
Department of Correctional Services (DCS),Empangeni,Transfer Board,DELTA SURGICAL PTY LTD,2008/023602/07,RT24-09-001,EACH,AC-404759,22/05/2020,18,5460.65,98291.70
Department of Correctional Services (DCS),Empangeni,Pressure Relief Matresses,"ARJO HUNTLEIGH SOUTH AFRICA
PTY LTD",2001/016670/07,RT24-02-23,EACH,AC-404758,22/05/2020,5,6353.17,31765.85
Department of Correctional Services (DCS),Empangeni,Stadio Meter,DELTA SURGICAL SA,2008/023602/07,RT24-08-009,EACH,AC-404757,21/05/2020,19,1279.23,24305.37
Department of Correctional Services (DCS),Empangeni,Matress Cover Bed,"HOSPITAL EQUIPMENT
MANUFACTURERS PTY LTD",2000/000651/07,RT24-02-15,EACH,AC-404756,21/05/2020,103,563.12,58001.36
Department of Correctional Services (DCS),Empangeni,Emergency Trolley,SIYAKHANDA MEDICAL SERVICES,2001/001606/07,RT24-12-001,EACH,AC-404765,22/05/2020,9,20431.22,183880.98
Department of Correctional Services (DCS),Empangeni,Over bed table,HOSPI-FURN PTY LTD,2009/003345/07,RT24-07-004,EACH,AC-404764,22/05/2020,103,2205.17,227132.51
Department of Correctional Services (DCS),Empangeni,Hospital bed,HOSPI-FURN PTY LTD,2009/003345/07,RT24-02-005,EACH,AC-404764,22/05/2020,103,14346.49,1477688.47
Department of Correctional Services (DCS),Empangeni,Dresing trolley,NEW HORIZON METALS CC,2000/007991/23,RT24-12-009,EACH,AC-404763,22/05/2020,14,1183.57,16569.98
Department of Correctional Services (DCS),Empangeni,Screen mobile 4 fold,"HOSPITAL EQUIP MANUFACTURES
PTY LTD",2000/000651/07,RT24-11-009,EACH,AC-404762,22/05/2020,20,2772.24,55444.80
Department of Correctional Services (DCS),Empangeni,Decontamination services Qalakabusha,ZULULAND PEST CONTROL,1988/010133/23,NON CONTRACT,ONCE OFF SERVICE,AC-404780,12/06/2020,ONCE OFF SERVICE,39905.00,39905.00
Department of Correctional Services (DCS),Empangeni,"Decontamination services Adm &Qalakabusha holding
cells",BIDVEST STEINER,2000/011155/07,NON-CONTRACT,ONCE OFF SERVICE,AC-404787,23/06/2020,ONCE OFF SERVICE,22356.00,22356.00
Department of Correctional Services (DCS),Empangeni,Decontamination services at 16A unit Qalakabusha,BIDVEST STEINER,2000/011155/07,NO-CONTRACT,ONCE OFF SERVICE,AC-404801,02/07/2020,ONCE OFF SERVICE,22356.00,22356.00
Department of Correctional Services (DCS),Empangeni,Biocide D surface sanitizer,CHERMA SALES AND MARK,2007/242717/23,NON-CONTRACT,LR,AC-404802,02/07/2020,200,320.00,64000.00
Department of Correctional Services (DCS),Empangeni,Hand sanitizing liquid,CHERMA SALES AND MARK,2007/242717/23,NON-CONTRACT,LR,AC-404802,02/07/2020,63,950.00,59850.00
Department of Correctional Services (DCS),Empangeni,Decontamination services Qalakabusha & Meduim,BIDVEST STEINER,2000/011155/07,NON CONTRACT,ONCE OFF SERVICE,AC-404791,24/06/2020,ONCE OFF SERVICE,18274.50,18274.50
Department of Correctional Services (DCS),Empangeni,Goggles,ZAKHAYA FITNESS,2019/090382/07,NON-CONTRACT,EACH,AC-404808,07/07/2020,1000,45.00,45000.00
Department of Correctional Services (DCS),Empangeni,Face shield,ZAKHAYA FITNESS,2019/090382/07,NON-CONTRACT,EACH,AC-404808,07/07/2020,1300,25.00,32500.00
Department of Correctional Services (DCS),Empangeni,"Decontamination services Empangeni Community
Corrections",ZULULAND PEST CONTROL,1988/010133/23,NON-CONTRACT,ONCE OFF SERVICE,AC-404804,04/07/2020,ONCE OFF SERVICE,1092.50,1092.50
Department of Correctional Services (DCS),Empangeni,N95 masks,PHUNGULA 16 TRADING,2016/321200/07,NON-CONTRACT,EACH,AC-404810,08/07/2020,3000,17.48,52440.00
Department of Correctional Services (DCS),Empangeni,Disposable gown,ZAKHAYA FITNESS,2019/090382/07,NON-CONTRACT,EACH,AC-404809,08/07/2020,2200,56.00,123200.00
Department of Correctional Services (DCS),Empangeni,Coveralls large and X-large,ZAKHAYA FITNESS,2019/090382/07,NON-CONTRACT,EACH,AC-404814,08/07/2020,2000,60.00,120000.00
Department of Correctional Services (DCS),Empangeni,Surgical mask,NYALA PARK INN CC,2009/015426/23,NON-CONTRACT,EACH,AC-404811,08/07/2020,13000,8.90,115700.00
Department of Correctional Services (DCS),Empangeni,Body bags,CHERMA SALES AND MARK,2007/242717/23,NON-CONTRACT,EACH,AC-404813,08/07/2020,2000,150.00,150000.00
Department of Correctional Services (DCS),Empangeni,Strait Aprons with bib,CHERMA SALES AND MARK,2007/242717/23,NON-CONTRACT,EACH,AC-404813,08/07/2020,20000,1.00,20000.00
Department of Correctional Services (DCS),Empangeni,Heavy duty gloves,BPK LEGACY PTY LTD,2019/471742/07,NON-CONTRACT,EACH,AC-404815,08/07/2020,3000,2.00,6000.00
Department of Correctional Services (DCS),Empangeni,Face cloth mask 3 layers,OB SKWARED,2016/315042/07,NON CONTRACT,EACH,AC-404766,22/05/2020,1500,19.00,28500.00
Department of Correctional Services (DCS),Glencoe,Surgical masks,Chemical World CC,2019/253242/07,Transversal Contract,BOXES,G-557822,2020:03:20,100,14.95,1495.00
Department of Correctional Services (DCS),Glencoe,Surgical masks,Medi-Core Technologies,2013/198711/07,Transversal Contract,BOXES,G-557 831,2020:03:23,80,345.00,27600.00
Department of Correctional Services (DCS),Glencoe,Surgical masks,MIP ISMAILS TRADING,2014/195150/07,Deviation,EACH,G-709248,2020:04:20,1400,15.00,21000.00
Department of Correctional Services (DCS),Glencoe,Surgical masks,Kwathuthuko Trading Enterprise,2015/219579/07,Deviation,EACH,G-557 848,2020:04:21,10000,15.00,150000.00
Department of Correctional Services (DCS),Glencoe,Disposable aprons,Central Medical,1995/003785/07,Transversal Contract,EACH,G-557 821,2020:03:20,6000,0.32,1920.00
Department of Correctional Services (DCS),Glencoe,Disposable aprons,Medi-Core Technologies,2013/198711/07,Transversal Contract,Packet,G-557 831,2020:03:23,50,45.00,2250.00
Department of Correctional Services (DCS),Glencoe,Gloves latex disposable large,MZR Trading,2017/526848/07,Deviation,EACH,G-557 827,2020:03:20,4000,350,28000.00
Department of Correctional Services (DCS),Glencoe,Alcohol based hand sanitiser,FB BEE ENTERPRISE,2018/444951/07,Deviation,LITRE,G-557 828,2020:03:20,300,2400,28800.00
Department of Correctional Services (DCS),Glencoe,Alcohol based hand sanitiser,JH Chemicals,2015/310741/07,Deviation,LITRE,G-557 833,2020:03:26,700,1035,28980.00
Department of Correctional Services (DCS),Glencoe,Alcohol based hand sanitiser,JH Chemicals,2015/310741/07,Deviation,LITRE,G-0709 242,2020:04:06,500,1495,29900.00
Department of Correctional Services (DCS),Glencoe,Rubber boots (Gumboots),BBF Safety Group,2014/095914/07,Transversal Contract,PAIR,G-557826,2020:03:20,182,164.35,29911.70
Department of Correctional Services (DCS),Glencoe,Gloves examination Type 1 - Large,Promed Technologies,2014/162486/07,Transversal Contract,BOX,G557 823,2020:03:20,400,46.00,18400.00
Department of Correctional Services (DCS),Glencoe,Mask Face -Aseptic Dust/Mist Respirator,Safarmex,CANCELLED,Transversal Contract,BOX,G-557 819,2020:03:20,500,119.73,59865.00
Department of Correctional Services (DCS),Glencoe,GLOVES Sterile Type 2 - Large,Evergreen Latex,CANCELLED,Transversal Contract,BOX,G-557 824,2020:03:20,50,92.00,4600.00
Department of Correctional Services (DCS),Glencoe,DETTOL,MZR Trading,2017/526848/07,Deviation,LITRE,G-557 829,2020:03:20,500,85,21250.00
Department of Correctional Services (DCS),Glencoe,Protex anti bacterial,MZR Trading,2017/526848/07,Deviation,each,G-557 830,2021:03:20,200,12.50,2500.00
Department of Correctional Services (DCS),Glencoe,"Disinfecting Correctional Centre's and Community
Corrections office's",Professional Pest Control,2007/181557/23,Deviation,each,G-557 830,2020:03:23,1,29900.00,29900.00
Department of Correctional Services (DCS),Glencoe,Wall Mounted Soap dispensers,Bidvest Steiner Newcastle,,Deviation,each,G-709241,2020:04:02,30,559.13,16773.90
Department of Correctional Services (DCS),Glencoe,PVC Face visor,Hychem (Pty) Ltd,2012/045088/07,Deviation,Each,G-709245,2020.04.15,2000,12.93,25875.00
Department of Correctional Services (DCS),Glencoe,PVC Face visor Black Head Band,Hychem (Pty) Ltd,2012/045088/07,Deviation,Each,GN-013311,2020.07.06,500,60.00,29997.75
Department of Correctional Services (DCS),Glencoe,Cap Cover,Imperial Body Works,2002/004067/23,Deviation,EACH,GN-013385,2020.07.09,100,110.00,11000.00
Department of Correctional Services (DCS),Glencoe,Sleeve Protections,Imperial Body Works,2002/004067/23,Deviation,EACH,GN-013385,2020.07.09,100,110.00,11000.00
Department of Correctional Services (DCS),Glencoe,Coverall Bodysuits,Imperial Body Works,2002/004067/23,Deviation,EACH,GN-013385,2020.07.09,1000,100.00,100000.00
Department of Correctional Services (DCS),Glencoe,Face Shield Premium Tough Visor,MIP ISMAILS TRADING,2014/195150/07,Deviation,EACH,GN-013386,2020.07.09,100,200.00,20000.00
Department of Correctional Services (DCS),Glencoe,Gown Surgical,MIP ISMAILS TRADING,2014/195150/07,Deviation,EACH,GN-013386,2020.07.09,1000,90.00,90000.00
Department of Correctional Services (DCS),Glencoe,Shoe Covers,Kenli Trading and Projects,2014/106775/07,Deviation,EACH,GN-013387,2020.07.09,100,145.00,14500.00
Department of Correctional Services (DCS),Glencoe,Biocide-Detergent,inspect-a-Pest,2007/009937/23,Deviation,LITRE,GN-013305,2020.06.08,500,39.10,19550.00
Department of Correctional Services (DCS),Glencoe,,Hychem (Pty) Ltd,2012/045088/07,Deviation,LITRE,AC-085666,2020.07.09,2500,17.25,43125.00
Department of Correctional Services (DCS),Glencoe,Receiver Large/Medium,Tigijimi Trading and Projects,2017/232679/07,Deviation,EACH,AC-085651,2020.05.22,16,348.82,5581.12
Department of Correctional Services (DCS),Glencoe,Needles Holder Long,Tigijimi Trading and Projects,2017/232679/07,Deviation,EACH,AC-085651,2020.05.22,16,163.00,2608.00
Department of Correctional Services (DCS),Glencoe,Discecting Forceps,Tigijimi Trading and Projects,2017/232679/07,Deviation,EACH,AC-085651,2020.05.22,16,250.35,4005.60
Department of Correctional Services (DCS),Glencoe,Suction Machine,Tigijimi Trading and Projects,2017/232679/07,Deviation,EACH,AC-085652,2020.05.22,2,4961.30,9922.60
