implementation_location_province,buyer_name,order_number,items_description,Contract/Quotation,supplier_name,order_amount_zar,items_quantity,"Date
Commitment
letter issued",award_date,"DELIVERY
PERIOD
MIN (DAYS)","DELIVERY
PERIOD
MAX
(DAYS)","Date for
delivery MIN","Date for
delivery MAX","Purchase
order",Payment,implementation_status
Free State,Free State Department of Health,"Q009/20/COVID19, HH-042802",SUPPLY AND DELIVERY OF APRON,Q009/20/COVID19,NTSU,546000.00,454510,5-Jun-20,2020-06-05,,,,,HH-042802,To be effected,delivered
Free State,Free State Department of Health,"Q011/20/COVID19, HH042717",SUPPLY AND DELIVERY OF OVERSHOES,Q011/20/COVID19,Bazix First,1170000.00,9000,20-Jul-20,2020-07-20,,,,,HH042717,Not done,Delivery to be done on the 4th of August.
Free State,Free State Department of Health,"Q012/20/COVID19, HH042691",SUPPLY AND DELIVERY OF SURGICAL MASK,Q012/20/COVID19,Basix First,2700000.00,55000,2-Jun-20,2020-06-02,,,,,HH042691,To be effected,delivered
Free State,Free State Department of Health,"Q012/20/COVID19, HH042683",SUPPLY AND DELIVERY OF SURGICAL MASK,Q012/20/COVID19,Motheko,2295000.00,45000,2-Jun-20,2020-06-02,,,,,HH042683,To be effected,delivered
Free State,Free State Department of Health,"Q012/20/COVID19, HH042682",SUPPLY AND DELIVERY OF SURGICAL MASK,Q012/20/COVID19,Xhibit,1148000.00,12000,2-Jun-20,2020-06-02,,,,,HH042682,To be effected,delivered
Free State,Free State Department of Health,"Q012/20/COVID19, HH042681",SUPPLY AND DELIVERY OF SURGICAL MASK,Q012/20/COVID19,Sehololo,671000.00,11000,2-Jun-20,2020-06-02,,,,,HH042681,To be effected,delivered
Free State,Free State Department of Health,"Q012/20/COVID19, HH042688",SUPPLY AND DELIVERY OF SURGICAL MASK,Q012/20/COVID19,Chisel Hill,625000.00,1000,2-Jun-20,2020-06-02,,,,,HH042688,To be effected,delivered
Free State,Free State Department of Health,"Q014/20/COVID19, HH-042826",SUPPLY AND DELIVERY OF SURGICAL GOWNS,Q014/20/COVID19,C-squaed,2428020.00,18000,19-Jun-20,2020-06-19,,,,,HH-042826,To be effected,delivered
Free State,Free State Department of Health,"Q014/20/COVID19, HH-042826",SUPPLY AND DELIVERY OF SURGICAL GOWNS,Q014/20/COVID19,Fredock,5500000.00,50000,19-Jun-20,2020-06-19,,,,,HH-042826,To be effected,delivered
Free State,Free State Department of Health,"Q014/20/COVID19, HH-042826",SUPPLY AND DELIVERY OF SURGICAL GOWNS,Q014/20/COVID19,Century,4105600.00,32000,19-Jun-20,2020-06-19,,,,,HH-042826,To be effected,delivered
Free State,Free State Department of Health,"Q018/20/COVID19, HH042686",SUPPLY AND DELIVERY OF THEATRE CAPS,Q018/20/COVID19,MAPHCON CONSULTING,176836.00,440000,CANCELLED,,CANCELLED,CANCELLED,CANCELLED,CANCELLED,HH042686,cancelled,cancelled
Free State,Free State Department of Health,"Q021/19/COVID19, HH042685",SUPPLY AND DELIVERY OF GOGGLES,Q021/19/COVID19,QUALITY MEDICAL SUPPLIES,64998.00,1000,17-Jun-20,2020-06-17,,,,,HH042685,To be effected,delivered
Free State,Free State Department of Health,"Q021/19/COVID19, HH-042851",SUPPLY AND DELIVERY OF SPRAY BOTTLES,Q021/19/COVID19,Bahurutsi,19800.00,2000,27-Jun-20,2020-06-27,2020-06-29,,,,HH-042851,To be effected,delivered
Free State,Free State Department of Health,Cancelled: Provincial Treasury to provide the item.,SUPPLY AND DELIVERY OF SANITIZER,Cancelled: Provincial Treasury to provide the item.,Cancelled: Provincial Treasury to provide the item.,,,,,,,,,,,cancelled
Free State,Free State Department of Health,Cancelled: Provincial Treasury to provide the item.,SUPPLY AND DELIVERY OF DISPOSABLE SCRUBS,Cancelled: Provincial Treasury to provide the item.,Cancelled: Provincial Treasury to provide the item.,,,,,,,,,,,cancelled
