implementation_location_province,buyer_name,,"Item
Number",items_description,items_quantity,order_number,supplier_name,order_amount_zar,award_date,"DELIVERY
PERIOD MIN
(DAYS)","DELIVERY
PERIOD
MAX
(DAYS)","Date for delivery
MIN","Date for delivery
MAX",Creation of order,"Purchase
order",Payment,implementation_status
Free State,Free State Department of Health,D,,Stethoscopes,50,RT4-2017,Selective Decision 0117915754,1353.50,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Quotation received. File to be sent for capturing when sytem opens on the 4th of August
Free State,Free State Department of Health,D,-41111931,Lighting with battery,3,RT2-2016,Sanbonani Holdings 0824136617,100767.75,2020-07-10,35,35,14-Aug-20,14-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT2-45,Medications Fridge,3,RT2-2016,Minus 40 Duncan 0213862290,179342.95,2020-07-10,14,,24-Jul-20,10-Jul-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT24-08-005,Scale,10,RT24-2017,Delta Surgical Ashley,54606.50,2020-07-10,,,10-Jul-20,10-Jul-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,R,RT2-44,Wheel chairs and stretcher trolleys,20,RT2-2016,CE Mobility phindi phindi@cemobility.c,6740.38,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Awaiting quotation rom company
Free State,Free State Department of Health,R,,Commodes/bedpans,100,RT24-2017,Safarmex Felicity0119740429,11231.00,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Awaiting quotation rom company
Free State,Free State Department of Health,D,RT24-12-,Body Trolley,20,RT24-2017,New Horizon metals CC 031 5647380,155733.20,2020-07-10,30,30,09-Aug-20,09-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT24-03-,bedpan stand,67,RT24-2017,New Horizon metals CC 031 5647380,217071.96,2020-07-10,30,30,09-Aug-20,09-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,-4227201,INTUBATION VIDEO LARYNGOSCOPE,2,RT2-2016,SSEM Jannie 0833795943,304290.33,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Quotation received. File to be sent for capturing when sytem opens on the 4th of August
Free State,Free State Department of Health,Q,,Hemocue - Hb Meter - for each ward,30,Quotation,,15000.00,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Quotation process complete. Awaiting HOD approval
Free State,Free State Department of Health,D,DOH(FS)29/,Glucometer- for each ward,100,DOH(FS)29/18/19,Khalienyane Trading Tshepiso - 0737544,18750.00,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Quotation received. File to be sent for capturing when sytem opens on the 4th of August
Free State,Free State Department of Health,D,-42181701,12 lead ECG machine,20,RT2-2016,Echomed CJ 0793426254,559676.60,2020-07-10,28,35,07-Aug-20,14-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,-42292404,SYRINGE DRIVER,100,RT4-2017,Echomed CJ 0793426254,563500.00,2020-07-10,28,35,07-Aug-20,14-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,-42231501,infusion pump,"1,000",RT2-2016,Echomed CJ 0793426254,7512050.00,2020-07-10,35,42,14-Aug-20,21-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,Q,,WARMER,10,Quotation,,100000.00,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,End user requested that process be on hold till further notice
Free State,Free State Department of Health,,,Matress protector,"2,000",Contract,Email sent to Kennedy Blue from Blue,1500000.00,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Awaiting quotation from company
Free State,Free State Department of Health,D,RT24-09-,Roller-boards for patient transfer,10,RT24-2017,Delta Surgical Ashley,40367.00,2020-07-10,,,10-Jul-20,10-Jul-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,-41102407,Fluid warmer for IV fluids (“oven”),10,RT2-2016,Class three Medical,818358.17,2020-07-09,14,21,23-Jul-20,30-Jul-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,,,Wall suction units with filters and tubing,,Contract,East Coast Medical Charles 086 100 042,,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Awaiting quotation from company
Free State,Free State Department of Health,D,RT24-12-,Dressing trolleys,33,RT24-2017,New Horizon metals CC 031 5647380,63541.17,2020-07-10,30,30,09-Aug-20,09-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,,,Air mattresses,30,RT24-,Arjo - Riaan 0738236015/Kay 07114839,173586.90,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Awaiting quotation from company
Free State,Free State Department of Health,D,RT24-04-006,"CaEbinet, poisoning, Wall type",6,RT24-2017,New Horizon metals CC 031 5647380,20220.42,2020-07-10,30,30,09-Aug-20,09-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT24-07-001,"LoEcker, bedside, mild steel","1,000",RT24-2017,New Horizon metals CC 031 5647380,2049450.00,2020-07-10,30,30,09-Aug-20,09-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,,RT24-04-007,"Overbed table, cantilever type","1,111",RT24-2017,Hospi Furn (PTY) ltd,1666500.00,,,,0-Jan-00,0-Jan-00,On delivery,t done,Pending,Awaiting quotation from company
Free State,Free State Department of Health,D,RT24-11-003,"StEool, Foot, Double Step",33,RT24-2017,New Horizon metals CC 031 5647380,28779.63,2020-07-10,30,30,09-Aug-20,09-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT24-12-009,"TrEolley, medical dressing",33,RT24-2017,New Horizon metals CC 031 5647380,39057.81,2020-07-10,30,30,09-Aug-20,09-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT24-12-030,"Carrier, soiled linen, with receptacle",100,RT24-,Hospital Equipment Gladys 011-894-426,119018.00,,42,70,11-Feb-00,10-Mar-00,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT24-12-031,"Receptacle, soiled linen, polyester",100,RT24-2017,Hospital Equipment Gladys 011-894-426,44345.00,,42,70,11-Feb-00,10-Mar-00,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT24-12-029,"TrEolley, utility,",33,RT24-2017,New Horizon metals CC 031 5647380,135674.88,2020-07-10,30,30,09-Aug-20,09-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT2-43,Vaccine Refrigerator (290-350l),3,RT2-2016,Minus 40 Duncan 0213862290,179342.95,2020-07-10,14,,24-Jul-20,10-Jul-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT2-44,Single glass door fridge,3,RT2-2016,Minus 40 Duncan 0213862290,124320.00,2020-07-10,14,,24-Jul-20,10-Jul-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT24-11-003,"StEool, Foot, Double Step",33,RT24-2017,New Horizon metals CC 031 5647380,28779.63,2020-07-10,30,30,09-Aug-20,09-Aug-20,On delivery,t done,Pending,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,Q,,high Flow,160,Quotation,RCA angelique 0834119690,15846042.46,,42,84,11-Feb-00,24-Mar-00,On delivery,t done,Pending,End user requested that process be on hold till further notice
Free State,Free State Department of Health,D,42281508-0,0a0e2rogen,50,RT2-2016,RCA angelique 0834119690,845853.75,2020-07-10,28,45,,24-Aug-20,,,,File awaiting budget for purchase order to be generated
Free State,Free State Department of Health,D,RT-2 / 2016,Acessories ventilator,50,RT2-2016,RCA angelique 0834119690,2145616.40,,28,45,28-Jan-00,14-Feb-00,On delivery,t done,Pending,Quotation received. File to be sent for capturing when sytem opens on the 4th of August
Free State,Free State Department of Health,Q,,Microwave,10,Quotation,,7500.00,,,,,,,,,End user requested that process be on hold till further notice
Free State,Free State Department of Health,Q,,Kettle,30,Quotation,,3000.00,,,,,,,,,End user requested that process be on hold till further notice
Free State,Free State Department of Health,Q,,Clocks,30,Quotation,,1950.00,,,,,,,,,End user requested that process be on hold till further notice
Free State,Free State Department of Health,Q,,pens,150,Quotation,,1500.00,,,,,,,,,End user requested that process be on hold till further notice
Free State,Free State Department of Health,Q,,hand held finger sats monitor for doctors rounds,"1,000",Quotation,,20000.00,,,,,,,,,End user requested that process be on hold till further notice
Free State,Free State Department of Health,D,42181716-00041,Monitor ECG sats temp and spo2,160,RT2-2016,Echomed CJ 0793426254,2765260.80,2020-07-10,28,35,07-Aug-20,14-Aug-20,On delivery,Not done,Pending,File awaiting budget for purchase order to be generated 
