implementation_location_province,buyer_name,order_number,items_description,Contract/Quotation,supplier_name,items_quantity,order_amount_zar,award_date,"DELIVERY
PERIOD MIN
(DAYS)","DELIVERY
PERIOD
MAX (DAYS)",Date for delivery MIN,"Date for delivery
MAX","Purchase
order",Payment,implementation_status
Free State,Free State Department of Health,"RT4,HH-042841",laryngoscope,RT4,Unicore-0829297446,30,50486.10,18/06/2020,14,,02-Jul-20,,HH-042841,Not done,Pending
Free State,Free State Department of Health,"RT2-2016,Create",Defibrillator/AED/ECG,RT2-2016,Be safe Gavin 0217884681,27,1015781.80,19/06/2020,4,7,23-Jun-20,26-Jun-20,Create,Not done,Awaiting for purchase order to be generated
Free State,Free State Department of Health,"RT24-2017,HH042712",medicine trolly,RT24-2017,siyakhanda cindy - 0437362996,33.75,457629.80,18/01/2000,70,84,28-Mar-00,11-Apr-00,HH042712,Not done,Pending
Free State,Free State Department of Health,"RT24-2017,UH139010",table over the bed,RT24-2017,Arjo - Riaan 0738236015/Kay,1500,3142743.00,22/06/2020,56,84,17-Aug-20,14-Sep-20,UH139010,Not done,To be confirmed by email today
Free State,Free State Department of Health,"RT4,HH-042840",oxygen cylinders,RT4,Echomed CJ 0793426254,45,59683.95,19/06/2020,0,0,19-Jun-20,19-Jun-20,HH-042840,Not done,Delivery to be don on the 29th of August
Free State,Free State Department of Health,"RT2-2016,UH139047",Mobile Suction,RT2-2016,Echomed CJ 0793426254,27,184125.96,17/06/2020,21,28,08-Jul-20,15-Jul-20,UH139047,Not done,Delivery to be don on the 21st of August
Free State,Free State Department of Health,"RT4-2017,UH138970",Stethoscopes,RT4-2017,Selective Decision 0117915754,45,1218.15,18/06/2020,42,56,30-Jul-20,13-Aug-20,UH138970,Not done,Pending
Free State,Free State Department of Health,"RT2-2016,Create",Lighting with battery,RT2-2016,Sanbonani Holdings 0824136617,14,407019.34,22/06/2020,70,84,31-Aug-20,14-Sep-20,Create,Not done,Awaiting for purchase order to be generated
Free State,Free State Department of Health,"RT2-2016,HH042698",Medications Fridge,RT2-2016,Minus 40 Duncan 0213862290,5,305214.05,10/06/2020,ex stock,ex stock,ex stock,ex stock,HH042698,paid,Delivered
Free State,Free State Department of Health,"RT2-2016,UH138967",Scale,RT2-2016,delta surgical Ashley,27,108990.90,23/06/2020,0,,23-Jun-20,23-Jun-20,UH138967,Not done,Pending
Free State,Free State Department of Health,"RT233-2107,UH139125",Wheel chairs and stretcher trolleys,RT233-2107,CE Mobility phindi phindi@cemobility.co,45,113772.60,25/06/2020,14,21,09-Jul-20,16-Jul-20,UH139125,Not done,Pending
Free State,Free State Department of Health,"RT24-2017,UH138971",Commodes/bedpans,RT24-2017,Safarmex Felicity0119740429,135,15161.85,22/06/2020,,,22-Jun-20,22-Jun-20,UH138971,Not done,Pending
Free State,Free State Department of Health,"RT24-2017,UH138995",Body Trolley,RT24-2017,New Horizon 031 5647380,14,109013.40,19/06/2020,30,,19-Jul-20,19-Jun-20,UH138995,Not done,Awaiting delivery address from Dr. Pearce
Free State,Free State Department of Health,"RT24-2017,UH138994",bedpan stand,RT24-2017,New Horizon 031 5647380,5,16199.40,18/06/2020,30,,18-Jul-20,18-Jun-20,UH138994,Not done,Awaiting delivery address from Dr. Pearce
Free State,Free State Department of Health,"RT2-1-2016,HH-042847",INTUBATION VIDEO LARYNGOSCOPE,RT2-1-2016,SSEM Jannie 0833795943,6,912870.00,19/06/2020,70,84,28-Aug-20,11-Sep-20,HH-042847,Not done,Delivery to be completed by the 7th of August
Free State,Free State Department of Health,"Q043/20/COVID19,On delivery",Hemocue - Hb Meter - for each ward,Q043/20/COVID19,Approved- went for capturing,27,,,,,,,On delivery,Not done,Awaiting for purchase order to be generated
Free State,Free State Department of Health,"DOH(FS)29/18/19,Create",Glucometer- for each ward,DOH(FS)29/18/19,Khalienyane Trading Tshepiso - 0737544,9227,5062.50,22/06/2020,5,,27-Jun-20,,Create,Not done,Delivered
Free State,Free State Department of Health,"RT2-1-2016,HH-042829",Portable ultrasound machine,RT2-1-2016,Tecmed Lubbe 0825787745,5,2479325.09,17/06/2020,14,49,01-Jul-20,05-Aug-20,HH-042829,Not done,Delivery to be done before 14th August
Free State,Free State Department of Health,"RT2-2016,UH138999",12 lead ECG machine,RT2-2016,Echomed CJ 0793426254,10,27838.30,19/06/2020,28,35,17-Jul-20,24-Jul-20,UH138999,Not done,Delivery to be done on the 12th of August
Free State,Free State Department of Health,"RT2-2016,UH139007",ICU Monitor,RT2-2016,Echomed CJ 0793426254,70,3083855.60,19/06/2020,28,35,17-Jul-20,24-Jul-20,UH139007,Not done,Delivery to be don on the 28th of August
Free State,Free State Department of Health,"RT4-2017,HH-042859",SYRINGE DRIVER,RT4-2017,Echomed CJ 0793426255,120,676200.00,23/06/2020,28,35,21-Jul-20,28-Jul-20,HH-042859,to be effected,Delivered
Free State,Free State Department of Health,"RT2-2016,Create",infusion pump,RT2-2016,Echomed CJ 0793426256,300,2253615.00,23/06/2020,28,35,21-Jul-20,28-Jul-20,Create,Not done,Ex-stock- awaiting purchase orer to be generated.
Free State,Free State Department of Health,"RT2-2016,UH139008",ventilator,RT2-2016,RCA Angelique0834119690,50,20732458.46,19/06/2020,42,84,31-Jul-20,11-Sep-20,UH139008,Not done,Delivery to begin in September and completed in October
Free State,Free State Department of Health,"Q030/20/COVID19,Create",high flow oxygen,Q030/20/COVID19,RCA Angelique0834119690,100,12459966.53,01/07/2020,2,70,,,Create,Not done,Partial- Delivery to be completed end of September  2020
Free State,Free State Department of Health,"Q028/20/COVID19,Create",WARMER,Q028/20/COVID19,Augustine,80,2222540.00,03/07/2020,2,49,,,Create,Not done,Awaiting for purchase order to be generated
Free State,Free State Department of Health,"DOH(FS)08/18,Create",Intermittent pneumatic compression device,DOH(FS)08/18,DISA VASCULAR,60,1007371.77,25/06/2020,2,3,27-Jun-20,28-Jun-20,Create,Not done,Awaiting for purchase order to be generated
Free State,Free State Department of Health,"Q041/20/COVID19,On delivery",Lazy boys chairs,Q041/20/COVID19,Approved- went for capturing,30,,,,,,,On delivery,Not done,Awaiting for purchase order to be generated
