implementation_location_province,buyer_name,INSTITUTION,award_date,PRODUCT,ITEM,item_description,UNIT OF MEASURE,cost_per_unit_zar,QUALITY OF UNITS,order_amount_zar,supplier_name
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-30,PPE,Safety Footwear,Safety footwear (Disposable sheos),500,23.50,500,11750.00,Nosambela Trading
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-04-30,Biohazard,Biohazard Bags,Disposal waste bag,12,18.00,12,216.00,Nosambela Trading
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-05-21,PPE,Disposable overalls,"Disposable Overalls, Suit",1034,286.00,1034,295724.00,Samazulu lsizwe Bus Enter
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-05-21,PPE,Visor/ Face-Shield,Googles (full face shields),517,108.00,517,55836.00,Samazulu lsizwe Bus Enter
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-05-21,Masks,Respirator,facemask (Respiratory Protection),517,25.00,517,12925.00,Samazulu lsizwe Bus Enter
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-05-21,Gloves,Gloves,Double Gloves ( Hand protection),188,220.00,188,41360.00,Samazulu lsizwe Bus Enter
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-05-21,Dispensers,Sanitizer Refill Bottles,250ML Spray Refill Bottles,30000,16.50,30000,495000.00,Makhuzehleka Pty (Ltd)
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-05-22,Masks,Masks (Cloth),Masks (Cloth),6000,27.50,6000,165000.00,Amahle & Warnke Trading
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-06-04,Masks,Masks (Cloth),Cloth Mask,Each,25.00,5000,125000.00,African Compass Trading 140 CC
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-06-04,Masks,Masks (Cloth),Cloth Mask,Each,25.00,5000,125000.00,African Compass Trading 140 CC
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-06-10,Dispensers,Knapsack sprayers,Knapsack sprayers,Each,920.00,517,475640.00,Mhlambo Brothers Transport
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-06-04,Sanitizers,Disinfectant,Hydrogen Peroxide 25L,Each,2287.35,200,457470.00,MX Distributors
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-06-04,Sanitizers,Disinfectant,Hydrogen Peroxide 1L,Each,99.54,100000,9954000.00,MX Distributors
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-06-10,Dispensers,Knapsack sprayers,Knapsack sprayers,Each,920.00,517,475640.00,Mlambo Brothers Transport
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-06-08,PPE,Protective Clothing,Disposable overalls full suit,Each,115.00,400,46000.00,AA Bongwe Trading
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-06-11,Dispensers,Knapsack sprayers,Knapsack sprayers,Each,800.00,150,120000.00,Amabhubesi
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-06-04,Themometen:,Thermometers,Thermometers,Each,1000.00,10,10000.00,Laduma Sports
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-06-25,Cleaning,Cleaning Services,clear plastic.refuse bin liner and disposable,Each,83.47,280,23371.60,Akwenzeke Projects and Consultants
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-06-25,Sanitizers,Disinfectant,Ethenol 90% Alcohol,25L,1250.00,200,250000.00,MX Distributors
KwaZulu-Natal,KwaZulu-Natal Department of Agriculture and Rural Development ,Agriculture and Rural Development ,2020-06-25,Sanitizers,Disinfectant,Hydrogen Peroxide 30% or Higher,25L,2287.35,200,457470.00,MX Distributors
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-03-25,Sanitizers,Sanitizer,Hand Sanitizer spray with at least 60% alcohol,500ml x 500,224.00,500,112000.00,Citigas cc Va Just Build
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-03-25,Sanitizers,Sanitizer,Hand Sanitizer bottles with at least 60% alcohol,box of 4 (511)x  10  boxes,752.00,10,7520.00,Citigas cc Va Just Build
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-03-25,Sanitizers,Paper towels,sheets of folded paper towels,box of (100 sheets) x 10 boxes,624.00,10,6240.00,Citigas cc Va Just Build
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-03-25,Sanitizers,Wet Wipes - Hand,800 Pre-moistened towelettes 8 inch x 6inch - alcohol based,bucket of 800 sheets x 250,894.40,250,223600.00,Citigas cc Va Just Build
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-03-25,Gloves,Gloves,Latex gloves (100 pieces),100 gloves (pckg in 10's boxes) x 250,74.66,250,18665.00,Citigas cc Va Just Build
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-03-25,Sanitizers,Disinfectant,Dettol Antiseptic,box of 4 (511)x  10  boxes,798.40,10,7984.00,Citigas cc Va Just Build
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-03-25,Sanitizers,Soap- Liquid,Liquid Hand Soap,box of 4 (511)x  10  boxes,734.40,10,7344.00,Citigas cc Va Just Build
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-05-08,Masks,Masks (Cloth),3 layer fabric masks,each,21.00,1000,21000.00,Charfos Logistics
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-05-08,Themometers,Thermometers: Infrared,Infrared forehead thermometer,Each,1610.00,260,418600.00,Charfos Logistics
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-05-29,PPE,Coveralls,Coveralls,Each,120.00,15,1800.00,Agringo (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-05-29,Dispensers,Knapsack sprayers,Manual Knapsack hand held 10lt,Each,750.00,26,19500.00,Agringo (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-05-29,PPE,Visor/ Face-Shield,Face Shield,Each,85.00,20,1700.00,Agringo (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-05-29,Cleaning,Cleaning Services,20 Red refuse bags,Each,52.00,20,1040.00,Agringo (Ply) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-05-29,PPE,Safety Footwear,Gumboots,Each,160.00,14,2240.00,Agringo (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-05-29,Masks,Masks (Cloth),Cloth Masks,Each,25.00,500,12500.00,Agringo (Ply) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-05-29,Themometers,Thermometers: Infrared,Temperature scanners,Each,2000.00,30,60000.00,Agringo (Pty) Ltd
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-07-07,Sanitizers,Sanitizer,250 ml 70% alcohol hand Sanitizer,250 ml,68.90,250,17225.00,lmamva Trading
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-07-07,Sanitizers,Sanitizer,5 It 70% alcohol hand sanitizer,5 litres/4 p/box,1943.00,20,38860.00,lmamva Trading
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-07-07,Sanitizers,Paper towels,Paper towels,Box of 100 sheets,450.00,10,4500.00,lmamva Trading
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-07-07,Sanitizers,Wipes - Alcohol surface disinfectant,Pre- moist wipes,Bucket of 800 towelettes,943.00,100,94300.00,lmamva Trading
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-07-07,Gloves,Gloves,Gloves,10 boxes of 100,220.00,50,11000.00,lmamva Trading
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-07-07,Sanitizers,Disinfectant,Dettol Antiseptic,5 litres/4 p/box,1943.00,10,19430.00,lmamva Trading
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-07-07,Sanitizers,Soap - Liquid,Liquid Hand wash,5 litres/ 4 p/box,533.00,10,5330.00,lmamva Trading
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-07-07,Masks,Masks (Cloth),Cloth 3 layer masks,Each,24.00,250,6000.00,lmamva Trading
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-07-07,PPE,Coveralls,Coveralls various sizes,Each,300.00,50,15000.00,lmamva Trading
KwaZulu-Natal,KwaZulu-Natal Department of Arts and Culture,Arts and Culture,2020-07-07,PPE,Visor/ Face-Shield,Face shield/ visor,Each,121.40,20,2428.00,lmamva Trading
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-03-17,Sanitizers,Sanitizer,Hand Sanitizers 500ml,500ml,65.00,2000,130000.00,Themzak Group (PTY) LTD
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-03-17,Sanitizers,Sanitizer,Gel hand sanitizers 500ml ( water-less),500ml,65.00,500,32500.00,Themzak Group (PTY) LTD
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-03-17,Sanitizers,Sanitizer,Surface & Hand Sanitizer 5l,51,400.00,60,24000.00,Themzak Group (PTY) LTD
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-04-14,Masks,Mask (Surgical),3 Ply Surgical Mask,Each,27.50,2000,55000.00,Neon Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-04-14,Gloves,Gloves,Latex Surgical Gloves,Each,10.50,2000,21000.00,Neon Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-05-22,Cleaning,Cleaning Services,"Fumigation , Disinfection of 13 Offices",sqm,14.95,6060,90597.00,Ready To Trade 30 CC
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-05-22,Cleaning,Cleaning Services,"Fumigation , Disinfection of vehicles",Single,100.00,45,4500.00,Ready To Trade 30 CC
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-05-22,Cleaning,Cleaning Services,Transport Cost,km,3.85,2169,8350.27,Ready To Trade 30 CC
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-06-08,Sanitizers,Sanitizer,25 L Sanitizers,Litres,148.00,750,111000.00,Ngenama
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-06-08,Dispensers,Pump,16L Spray Pumps,Single unit,1195.50,14,16737.00,Ngenama
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-06-08,Dispensers,Sanitizer Refill Bottles,Sanitizer Refill Bottles,Single unit,1250.95,14,17513.30,Ngenama
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-06-08,Masks,Masks (Cloth),Masks (Cloth),Each,25.00,390,9750.00,Solutions at Cost Projects
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-06-08,Sanitizers,Sanitizer,Aerosol Sanitizer Spray,500ml,93.00,500,46500.00,Bright Mission Trading
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-06-08,The mo meters,Thermometers: Digital,Thermometers: Digital,Each,1870.00,16,29920.00,Bright Mission Trading
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-06-08,Sanitizers,Wet Wipes - Hand,Wet Wipes - Hand,Each,635.00,200,127000.00,Bright Mission Trading
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-06-08,Cleaning,Cloth,Plastic Bin Liners,Each,1.65,2000,3300.00,Bright Mission Trading
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-07-03,Cleaning,Cleaning Services,"Fumigation , Disinfection of Head Office PMB",Square Meter,14.95,2700,40365.00,Themzak Group (PTY) LTD
KwaZulu-Natal,KwaZulu-Natal Department of Community Safety and Liasion,Community Safety and Liasion,2020-07-20,Masks,Masks (Cloth),Face Mask Re-usable,Each,24.15,300,7245.00,Laduma Sports
KwaZulu-Natal,KwaZulu-Natal Department of Co-operative Governance and Traditional Affairs,Co-operative Governance and Traditional Affairs,2020-03-02,Sanitizers,Sanitizer,Hand Sanitisers (1000ml),Single,155.25,450,69862.50,Bidvest Steiner Pietermaritzburg
KwaZulu-Natal,KwaZulu-Natal Department of Co-operative Governance and Traditional Affairs,Co-operative Governance and Traditional Affairs,2020-04-01,Advertisements,Advert : Radio,Radio Advert for COVID-19 Interviews,Each,266616.00,1,266616.00,SABC
KwaZulu-Natal,KwaZulu-Natal Department of Co-operative Governance and Traditional Affairs,Co-operative Governance and Traditional Affairs,2020-04-02,Masks,3 Ply Mask,3 ply face masks,Single,22.00,2000,44000.00,Bhodanya Logistics
KwaZulu-Natal,KwaZulu-Natal Department of Co-operative Governance and Traditional Affairs,Co-operative Governance and Traditional Affairs,2020-04-02,Gloves,Gloves,Latex hand gloves,1 case (20x20),2.50,1600,4000.00,Bhodanya Logistics
KwaZulu-Natal,KwaZulu-Natal Department of Co-operative Governance and Traditional Affairs,Co-operative Governance and Traditional Affairs,2020-04-29,Sanitizers,Disinfectant,Building and office disinfectants,square meters,3.00,26877,80653.70,Specialist Franchise Holdings
KwaZulu-Natal,KwaZulu-Natal Department of Co-operative Governance and Traditional Affairs,Co-operative Governance and Traditional Affairs,2020-05-08,Advertisements,Advert : Radio,Radio Advert for COVID-19 Interviews,Each,328716.00,1,328716.00,SABC
KwaZulu-Natal,KwaZulu-Natal Department of Co-operative Governance and Traditional Affairs,Co-operative Governance and Traditional Affairs,2020-06-11,Sanitizers,Disinfectant,Disinfecting the Buildings,square meters,139449.00,1,139449.00,Rentokil
KwaZulu-Natal,KwaZulu-Natal Department of Co-operative Governance and Traditional Affairs,Co-operative Governance and Traditional Affairs,2020-06-26,Cleaning,Fogging,Disinfecting and sanitising all traditional admin centres,square meters,5.09,97798,498231.91,lnsimu Medical Group
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-03-18,Sanitizers,Detergents,Surface cleaner pine gel,51,119.31,200,23862.00,Afrizonke
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-03-18,Cleaning,Cloth,Cloth,1,19.96,200,3992.00,Ahizonke
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-03-19,Sanitizers,Sanitizer,Sanitiser,SOOML,97.75,1000,97750.00,Regal products
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-03-20,Gloves,Gloves,Gloves,PER BOX of 100,166.75,80,13340.00,Rafi Kader trading as Gutter Flow
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-03-20,Masks,3 Ply Mask,Masks,Each,20.70,1000,20700.00,Rafi Kader trading as Gutter Flow
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-03-27,Masks,Mask (FFP2),HW 5209 FFP2 Disp Mask Valv 20 Std,per pack of 20,512.00,3,1536.00,Qwalty Group
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-03-27,PPE,Safety Footwear,Safety BootsBova Maverick Boot Black 8,Each,623.75,25,15593.75,QwaltyGroup
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-03-27,other,Provide Details,Versatex Work Jacket Khaki L,Each,309.15,125,38643.75,Qwalty Group
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-03-27,other,Provide Details,Cargo Pant sLegendary Cargo Trousers Khaki 34,Each,768.14,125,96017.50,QwaltyGroup
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-03-27,other,Provide Details,Versatex Work Trousers Khaki 32,Each,295.64,125,36955.00,Qwalty Group
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-03-27,Gloves,Gloves: Examination {Latex),Disposable Latex Gloves 10 0Pcl,per box of 100,133.64,25,3341.00,Qwalty Group
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-03-27,Electronics,Video Conferencing Equipment,Video Conferencing Equipment,Each,288031.63,15,4320474.45,Dimension Data
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-03,Gloves,Gloves,Gloves,PER BOX of 100,218.00,50,10900.00,Rafi Kader trading as Gutter Flow
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-03,Masks,Masks (FFP1),FFP1,Each,66.70,4000,266800.00,Rafi Kader trading as Gutter Flow
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-03,Masks,Mask (FFP2),FFP2,Each,74.70,1000,74700.00,Rafi Kader trading as Gutter Flow
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-03,Sanitizers,Disinfectant,Surface Disinfectant,500ml,63.25,3000,189750.00,Regal Products
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-03,Sanitizers,Sanitizer,Hand Sanitizer,500ml,111.00,1000,111000.00,Chube Group PTY LTD
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-04,Gloves,Gloves,Gloves,per pack of 100,253.00,3,759.00,YC & A Tools CC t/a Drakewoods Pietennaritzburg
KwaZulu-Natal,"KwaZulu-Natal Department of Economic Development, Tourism and Environmental Affairs",EDTEA,2020-04-04,Masks,Masks (FFP1),Masks {FFP1 x 200- 20 pack),20 pack,1264.00,10,12640.00,YC & A Tools CC t/a Drakewoods Pietennaritzburg
