No,Item Description,Quantity,Amount,Name Of Supplier,COMPANY DIRECTOR
25,Footpress Sanitiser spray,45,"R         50,001.75",Indlalifa Technologies,
26,Disinfection of National Office,1,"R         39,000.00",Masana Cleaning Services,
27,Disinfection of Gauteng Provincial Office,1,"R         20,816.60",SSG Cleaning,
28,Disinfection of FS Provincial Office,1,"R        16,000.00",Rainbow Earth PTY (LTD),
29,Disinfection of NW Provincial Office,1,"R        17,912.13",Pro-N Medical Supplies,
,,,R                    -,,
,,,R                    -,,
,,,R                    -,,
,,,,,
,,,,,
,TOTAL Estimated Budget,,"R   1,359,008.92",,
METHOD OF PROCUREMENT,COMPANY REGISTRATION,ORDER DATE,BBBEE STATUS,COMPANY ADDRESS,GENDER
Quotations,MAAA0014602,26 MARCH 2020,Level 1 Contributor,"23A 13 Street, Brooklyn
Road, Menlo Park",Female
Quotations,MAAA0014602,26 MARCH 2020,Level 1 Contributor,"23A 13 Street, Brooklyn
Road, Menlo Park",Female
Quotations,MAAA0014602,26 MARCH 2020,Level 1 Contributor,"23A 13 Street, Brooklyn
Road, Menlo Park",Female
Quotations,MAAA0014602,14 APRIL 2020,Level 1 Contributor,"23A 13 Street, Brooklyn
Road, Menlo Park",Female
Quotations,MAAA0014602,14 APRIL 2020,Level 1 Contributor,"23A 13 Street, Brooklyn
Road, Menlo Park",Female
Quotations,MAAA0014602,14 APRIL 2020,Level 1 Contributor,"23A 13 Street, Brooklyn
Road, Menlo Park",Female
Quotations,MAAA0061947,14 APRIL 2020,Level 8 Contributor,"106 Building 2, 16th Road,
Midrand",N/A according to CSD
Expansion of Contract,MAAA0290074,17 APRIL 2020,Level 1 Contributor,"38 Storms Road, Norkem,
Kempton Park","Females X2, Males X3"
Quotations,MAAA0905678,06 MAY 2020,Level 1 Contributor,"596 Thabo Sehume Street,
Pretoria Central",Female
Quotations,MAAA0368635,06 MAY 2020,Level 1 Contributor,"306 Sandford Street,
Waterkloof",Male
Quotations,MAAA0003731,28 MAY 2020,Level 1 Contributor,"8C Martin Drive,
Queensmead, Industrial
Park, Durban Central",Male
Quotations,MAAA0605599,15 JUNE 2020,Level 1 Contributor,"131 Silverpine Road,
Malanshof, Randburg",Male
Quotations,MAAA0605599,02 JUNE 2020,Level 1 Contributor,"131 Silverpine Road,
Malanshof, Randburg",Male
Quotations,MAAA0784346,02 JUNE 2020,Level 1 Contributor,"269 Duniet Street, Elardus
Park, Centurion",Male
Quotations,MAAA0784346,02 JUNE 2020,Level 1 Contributor,"269 Duniet Street, Elardus
Park, Centurion",Male
Quotations,MAAA0784346,02 JUNE 2020,Level 1 Contributor,"269 Duniet Street, Elardus
Park, Centurion",Male
Quotations,MAAA0920628,28 MAY 2020,Level 1 Contributor,"17 New Street, King
Williams Town",Female
Quotations,MAAA0009035,28 MAY 2020,Level 1 Contributor,"Unit D1 - D4, Mt
Edgecombe, Industrial Park,
Durban",Female
,,04 MAY 2020,Level 1 Contributor,"38 Storms Road, Norkem,
Kempton Park","Females X2, Males X3"
Expansion of Contract,MAAA0001085,04 MAY 2020,Level 1 Contributor,"128 Oak Avenue, Highveld
Techno Park, Centurion",Males X2
Expansion of Contract,MAAA0001085,04 JUNE 2020,Level 1 Contributor,"128 Oak Avenue, Highveld
Techno Park, Centurion",Males X2
Expansion of Contract,MAAA0001085,19 JUNE 2020,Level 1 Contributor,"128 Oak Avenue, Highveld
Techno Park, Centurion",Males X2
Expansion of Contract,MAAA0001085,03 JULY 2020,Level 1 Contributor,"128 Oak Avenue, Highveld
Techno Park, Centurion",Males X2
Expansion of Contract,MAAA0001085,02 JULY 2020,Level 1 Contributor,"128 Oak Avenue, Highveld
Techno Park, Centurion",Males X2
Quotations,MAAA0931474,08 JULY 2020,Level 1 Contributor,"37 Tswee Street, Ponong,
Vosloorus, Ext 10",Female
Expansion of Contract,MAAA0290074,28 JULY 2020,Level 1 Contributor,"38 Storms Road, Norkem,
Kempton Park","Females X2, Males X3"
Expansion of Contract,MAAA0001085,14 JULY 2020,Level 1 Contributor,"128 Oak Avenue, Highveld
Techno Park, Centurion",Males X2
Quotations,MAAA0513838,15 JULY 2020,Level 1 Contributor,"22683 Pine Haven,
Heidendal, Bloemfontein",Male
Quotations,MAAA0668384,17  JULY 2020,Level 1 Contributor,"No 23C Thabong Estate,
Unit 6 - Thelesho Street,
Mafikeng",Female
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
ETHNIC GROUP,GOVERNMANET EMPLOYEE,PROGRESS,,,
African,No,Delivered,,,
African,No,Delivered,,,
African,No,Delivered,,,
African,No,Delivered,,,
African,No,Delivered,,,
African,No,Delivered,,,
N/A according to CSD,,Delivered,,,
African,No,Delivered,,,
African,No,Delivered,,,
African,No,Delivered,,,
Indian,No,Delivered,,,
African,No,Delivered,,,
African,No,Delivered,,,
African,No,Delivered,,,
African,No,Delivered,,,
African,No,Delivered,,,
African,No,Delivered,,,
Indian,No,Delivered,,,
African,No,Delivered,,,
African & White,No,Delivered,,,
African & White,No,Delivered,,,
African & White,No,Delivered,,,
African & White,No,Delivered,,,
African & White,No,Delivered,,,
African,No,Delivered,,,
African,No,Delivered,,,
African & White,No,Delivered,,,
African,No,Delivered,,,
African,No,Delivered,,,
