Region,Cluster,Responsibility,Supplier,RFQ,hea_Number,PO Printed Date,Sub Category,Item Name,QTY Ordered,QTY Received,PO Status,RFQ Amount
EASTERN CAPE,STATE ATTORNY: UMTATA,STATE ATTORNEY: UMTATA,MAAA0367330  QUATRO CLEANING SERVICES( reg: (2012/176420/07),YES,POO00001SG,2020-06-04T10:42:45.747,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,2200
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),YES,POO0000232,6/8/2020 0:00,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Cancelled,16200.25
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),YES,POO000023H,2020-06-08T15:55:10.117,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,19619.14
EASTERN CAPE,PORT ELIZABETH,LC PORT ELIZABETH,MAAA0080810  ENGOZA TRADING( reg: (2008/022158/23),YES,POO000024L,2020-06-09T14:17:00.437,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,6,1,Completed,1955
WESTERN CAPE,REGIONAL OFFICE:  CAPE TOWN,WC: REGIONAL HEAD,MAAA0079199  PEST RELIEVERS( reg: (2002/051888/23),YES,POO000029K,2020-06-11T15:24:02.363,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,2213.75
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0002735  MARTHA SUSANNA MARRIOTT( reg: (7102130213082),YES,POO00002BB,2020-06-12T11:12:33.383,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,8422.7
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0002735  MARTHA SUSANNA MARRIOTT( reg: (7102130213082),YES,POO00002BC,2020-06-12T11:11:59.753,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,9372.25
WESTERN CAPE,VREDENDAL,LC VREDENDAL,MAAA0079199  PEST RELIEVERS( reg: (2002/051888/23),YES,POO00002D3,2020-06-12T17:02:20.103,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,1995.25
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),YES,POO00002FB,2020-06-15T17:39:01.253,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,2500
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),YES,POO00002FC,2020-06-15T17:36:44.683,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,9599
NORTH WEST,KLERKSDORP,LC KLERKSDORP,MAAA0097061  HURRICANE PEST CONTROL( reg: (2010/035670/23),YES,POO00002GM,2020-06-17T16:16:47.090,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,32500
WESTERN CAPE,STRAND,LC STRAND,MAAA0812229  SEBASTIAN JAFTHA( reg: (7506215136085),YES,POO00002H3,2020-06-19T15:33:11.337,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,1960
WESTERN CAPE,VREDENDAL,LC VREDENDAL,MAAA0079199  PEST RELIEVERS( reg: (2002/051888/23),YES,POO00002J4,2020-06-18T15:06:42.220,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,1725
EASTERN CAPE,FAMILY ADVOCATE PE,FAMILY ADVOCATE: PORT ELIZABETH,MAAA0423394  JALIX TRADING( reg: (2017/089094/07),YES,POO00002N9,2020-06-23T15:22:13.260,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,5115
EASTERN CAPE,PORT ELIZABETH,LC PORT ELIZABETH,MAAA0706473  MA-ELEVEN ENTERTAINMENT( reg: (2010/143833/23),YES,POO00002NW,2020-06-24T11:10:42.987,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,18111.35
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),YES,POO00002P2,2020-06-24T12:21:55.290,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,6290
EASTERN CAPE,KING WILLIAMS TOWN,LC KING WILLIAMS TOWN,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),YES,POO00002P5,2020-06-24T12:42:29.663,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,22,1,Completed,11500.5
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0099507  RED ALERT TSS( reg: (2005/021629/07),YES,POO00002P8,2020-06-24T12:37:52.603,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,4801.25
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0372522  MANXIWA GROUP( reg: (2012/067098/07),YES,POO00002PQ,2020-06-25T15:43:47.873,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,12687.95
KWAZULU NATAL,NONGOMA,LC INGWAVUMA,MAAA0877359  MKLG GROUP( reg: (2017/473924/07),YES,POO00002TN,2020-06-29T14:57:19.230,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,19980
WESTERN CAPE,VREDENDAL,LC VREDENDAL,MAAA0079199  PEST RELIEVERS( reg: (2002/051888/23),YES,POO00002V3,2020-06-29T16:55:20.567,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,460
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),YES,POO000033P,2020-07-02T16:00:19.613,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,5150.5
EASTERN CAPE,PORT ELIZABETH,LC PORT ELIZABETH,MAAA0080810  ENGOZA TRADING( reg: (2008/022158/23),YES,POO000034G,1/1/1900 0:00,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Cancelled,17890
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),YES,POO000034S,2020-07-03T12:34:36.757,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,11189.5
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),YES,POO0000356,2020-07-03T14:29:01.970,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Awaiting Invoice,7131.84
EASTERN CAPE,REGIONAL OFFICE EASTERN CAPE,EC: COURT OPERATIONS,MAAA0099507  RED ALERT TSS( reg: (2005/021629/07),YES,POO000037D,2020-07-06T14:16:13.233,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,3450
LIMPOPO,THABAMOOPO,LC THABAMOOPO,MAAA0010664  SERVEST( reg: (1997/006391/07),YES,POO00003B7,2020-07-07T15:56:25.663,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,6303,0,Awaiting Delivery,34073.35
LIMPOPO,NYLSTROOM,LC MODIMOLE/NYLSTROOM,MAAA0000178  PEST CONTROL HYGIENE AND CLEANING( reg: (1992/002548/23),YES,POO00003BP,2020-07-07T16:22:29.330,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,9660
LIMPOPO,RITAVI,LC RITAVI,MAAA0883558  V A R HOLDINGS( reg: (2017/203653/07),YES,POO00003HW,2020-07-09T16:12:38.297,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,4,1,Completed,13427.8
LIMPOPO,RITAVI,LC RITAVI,MAAA0883558  V A R HOLDINGS( reg: (2017/203653/07),YES,POO00003HW,2020-07-09T16:12:38.297,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,3158,1,Completed,13427.8
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0102243  RENTOKIL INITIAL( reg: (1967/013286/07),YES,POO00003LV,2020-07-11T10:45:37.460,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,93840
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0359314  GERMGUARD SERVICES( reg: (2016/066011/07),YES,POO00003LW,2020-07-11T10:48:43.743,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,3815
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0725623  PHILA AND NANA TRADING( reg: (2018/501278/07),YES,POO00003LX,2020-07-11T11:06:30.633,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,27300
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0891486  TRAFFIC CLEANING SERVICES( reg: (2020/093594/07),YES,POO00003LZ,2020-07-11T11:22:08.473,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,17170
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0563953  BHEKA SINOLWAZI TRADING( reg: (2017/501661/07),YES,POO00003M0,2020-07-11T11:30:50.900,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,29112.5
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0573505  AVELLANCHE PROJECTS( reg: (2018/036009/07),YES,POO00003M1,2020-07-11T11:35:45.057,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,6981
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0359314  GERMGUARD SERVICES( reg: (2016/066011/07),YES,POO00003M2,2020-07-11T11:40:55.500,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,13370
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0760842  KHENSI M GROUP( reg: (2019/174737/07),YES,POO00003M3,2020-07-11T11:44:43.223,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,81812.5
EASTERN CAPE,EAST LONDON,LC EAST LONDON,MAAA0124921  FIZNEF TRADING 10( reg: (2011/050820/23),YES,POO00003NB,2020-07-21T10:47:30.030,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,19450
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0727680  UKUYALUZA KWENTUTHWANE( reg: (2017/655736/07),YES,POO00003NR,2020-07-13T15:58:39.577,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,4746
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0751680  KAIVALYA TRADING( reg: (2019/112801/07),YES,POO00003NS,2020-07-13T16:09:06.680,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,6379.28
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0073759  EYAMA NDABA CONTRACTORS( reg: (2013/116694/07),YES,POO00003NT,2020-07-13T16:08:45.210,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,40250
EASTERN CAPE,PORT ELIZABETH,LC PORT ELIZABETH,MAAA0005079  PLATINUM SUPPLIERS( reg: (2014/129266/07),YES,POO00003NW,2020-07-14T10:10:50.270,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,4524.71
EASTERN CAPE,PORT ELIZABETH,LC PORT ELIZABETH,MAAA0080810  ENGOZA TRADING( reg: (2008/022158/23),YES,POO00003NX,2020-07-14T10:11:53.313,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,28595
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0032687  SIBA INDUSTRIAL CLEANING AND CAR WASH SERVICE( reg: (2015/293139/07),YES,POO00003SH,2020-07-15T15:22:20.500,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,5242.5
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0392273  REBUS TRADING ENTERPRISE( reg: (2016/351682/07),YES,POO00003SK,2020-07-15T16:35:01.103,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,0,Awaiting Delivery,54047
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0891486  TRAFFIC CLEANING SERVICES( reg: (2020/093594/07),YES,POO00003SL,2020-07-15T16:34:32.067,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,88996.15
EASTERN CAPE,MIDDLERIFT,LC MIDDLEDRIFT,MAAA0026411  BELLGROVE AND SNELL( reg: (1946/022993/07),YES,POO00003V0,2020-07-16T11:34:59.050,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,7172.55
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0860526  AAA CONSUMABLES KWAZULU NATAL( reg: (2019/557180/07),YES,POO00003W9,2020-07-17T10:13:06.063,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,6000
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0163198  JOJO DISTRIBUTORS( reg: (2015/316871/07),YES,POO00003WB,2020-07-17T10:09:17.360,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,16283
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0927977  CLAIRSERVICES( reg: (2020/233408/07),YES,POO00003WC,2020-07-17T10:07:38.150,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,4500
LIMPOPO,REGIONAL OFFICE LIMPOPO,LIM: REGIONAL HEAD,MAAA0883558  V A R HOLDINGS( reg: (2017/203653/07),YES,POO00003WJ,2020-07-16T15:42:22.267,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,2922,0,Awaiting Delivery,11980.2
EASTERN CAPE,PORT ELIZABETH,LC PORT ELIZABETH,MAAA0082085  HEICO PROJECT MANAGEMENT 1( reg: (2012/026928/07),YES,POO00003Z8,2020-07-17T15:07:54.047,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,1556.86
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0359314  GERMGUARD SERVICES( reg: (2016/066011/07),YES,POO000045S,2020-07-22T14:10:56.393,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,5740
KWAZULU NATAL,REGIONAL OFFICE: DURBAN,KZN: BUDGET CONTROL,MAAA0927977  CLAIRSERVICES( reg: (2020/233408/07),YES,POO0000488,2020-07-23T13:15:12.080,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1,1,Completed,3991.6
LIMPOPO,PHALALA,LC PHALALA,MAAA0883558  V A R HOLDINGS( reg: (2017/203653/07),YES,POO00004DD,2020-07-27T15:49:43.107,P/P:PEST CNTRL/FUMIGATION SER,FUMIGATION SERVICES,1305,0,Awaiting Delivery,5350.5
,,,,,,,,,,,,1014608.63
