FAIS,"29-Apr-20
21-Jul-20","Disinfection,
sanitation,
fumigation and deep
cleaning of the office
for a period of 6
months
Emergency
disinfection of the
office (New Covid19
Case)","Deviation (One
supplier
responded to
our request)
Request for
quotation sent
out to various
potential
bidders and
one bidder
responded to
our request for
quotation.","Masana Hygiene
Services (Pty) LtdR90,098.00
(2014/110265/07)
Masana Hygiene
Services (Pty) LtdR8,991.85
(2014/110265/07)",,"1-May-20
5-Jul-20
5-Jul-20
11-May-20
12-May-20","Cloth masks and digital thermometers
Surgical masks
Aprons and face shields
Surgical gloves, stand-alone units and
hand sanitizers.
Surgical masks","Masana
Hygiene
Services (Pty)
Ltd
Dante SA (Pty)
Ltd
Masana
Hygiene
Dante SA (Pty)
Ltd
Vuma Furniture
Projects (Pty)","2014/110265/07
2014/000057/07
2014/110265/07
2014/000057/07
2006/019558/07","R23,768.02
R38,812.50
R4,421.75
R57,149.25
R17,968.75",
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,Total,,"99,089.85",,Total,,"R142,120.27","241,210.12",,,
FFC,"19-Mar-20
10-Jul-20
10-Jul-20","Disinfecting- both
Midrand & Capetown
Temporal cleaning-
Midrand
Temporal cleaning-
Capetown office","RFQ
RFQ
RFQ","FP Hygiene
Impact soft
cleaning
Motshwari cleaning
services","58765.00
34019.76
9494.40",,"27-May-20
19-Mar-20
19-Mar-20","Cloth masks, surgical gloves, Infrared
thermometers
70% alcohol hand sanitisers, spray bottes,
Bins, Automatic paper towel dispenser,
Hand paper towels-Midrand
70% alcohol hand sanitisers, spray bottes,
Bins, Automatic paper towel dispenser,
Hand paper towels-Midrand","K and Tau
holdings
FP Hygiene
FP Hygiene","2019/173605/07
2003/052276/23
2003/0522/23","10800.00
14679.75
6422.75"
,,,,,,,,,,,
,,,,,,,,,,,
Total,102279.16,,Total,,31902.50,"134,181.66",,,,,
FIC,"21-May-20
10-Jun-20
23-Jun-20
14-Jul-20","Office Disinfection HO
Surface Sanitiser
CPT Office
disinfection
Office Disinfection
HO","RFQ
RFQ
RFQ
Emergency","Cleaning
Specialist t/a
RND
Amalgamated
Madiba
Promotions
Zara Cleaning
services
Cleaning
Specialist t/a
RND
Amalgamated","15,190.35
14,398.00
11,150.00
15,420.35",,"12-Mar-20
24-Mar-20
16-Mar-20
19-Mar-2020
29-Mar-2020.
29-Apr-2020.
29-Apr-2020.
22-May-20
9-Jun-20
1-Jun-20","Sanitiser Sprays
Sanitiser Sprays
Electronic Hand Sanitisers
Hand Sanitizer
Hand Sanitizer
514 x Cloth (rewashable) masks
4 x Infra-red thermometer
Face Shields
Additional Face shields &
thermometers
Electronic Sanitisers rental for 12
month","Meltar Projects
Meltar Projects
Medical
Innovations
Imtasa
Sanichem
Nkuriso
Nkuriso
Buang M
Trading
Buang M
Trading
Cleaning
Specialist t/a
RND
Amalgamated","2018/255719/07
2018/255719/07
1967/002540/07
2014/033602/07
2005/025225/07
2015/303261/07
2015/303261/07
2018/562687/07
2018/562687/07
2014/192737/07","2000.00
1980.00
13121.50
83145.00
20286.00
17733.00
11500.00
30753.45
7027.70
26489.64"
,,,,,,,,,,,
Total,,"R56,158.70",Total,,"214,036.29","270,194.99",,,,,
"4-May-20
5-May-20
9-Jul-20","Sanitizing/Disinfecting
2 x FSCA Buildings
Sanitation of FST
Building - Kasteel
Office Park
Sanitizing/Disinfecting
the FSCA Buildings
(Block B & C)","from existing
hygiene
services
cPoronctruarcetment
from existing
hygiene
services
Procurement
from existing
hygiene
services
contract","Masana Hygiene
Services Masana
(PTY)Ltd
Masana Hygiene
Services Masana
(PTY)Ltd
Masana Hygiene
Services Masana
(PTY)Ltd","21722.58
4328.03
21722.00",,,,,,,
,,,,,,,,,,,
"Procurement from
existing hygiene
services contract",,,,,,,,,,,
,,,,,,,,Masana Hygiene Procurement from,,,
,,,,,,24-Mar-20,290 Hand sanitizer refills.,Services Masana existing hygiene,,34845.00,
,,,,,,,,(PTY)Ltd services contract,,,
,,,,,,,,Masana Hygiene,,,
,,,,,,25-Mar-20,Procurement from 2 x 1Litre sprayer bottles for sanitizer.,Services Masana,,83.80,
,,,,,,,,existing hygiene (PTY)Ltd,,,
,,,,,,,,services contract,,,
FSCA,,,,,,,,Masana Hygiene Procurement from,,,
,,,,,,3-Jun-20,18 X Sanitizer Dispensers and Refills,Services Masana existing hygiene,,14671.33,
,,,,,,,,(PTY)Ltd services contract,,,
,,,,,,,,Masana Hygiene Procurement from,,,
,,,,,,,Cloth/Fabric Face Masks (3-layers),,,,
,,,,,,22-May-20,,Services Masana existing hygiene,,28400.00,
,,,,,,,Washable & Reusable,,,,
,,,,,,,,(PTY)Ltd services contract,,,
,,,,,,,,Masana Hygiene Procurement from,,,
,,,,,,,4 x Digital Body Thermometer Infrared Non-,,,,
,,,,,,8-May-20,,Services Masana existing hygiene,,10741.00,
,,,,,,,Contact,,,,
,,,,,,,,(PTY)Ltd services contract,,,
,,,,,,,,Masana Hygiene,,,
,,,,,,Procurement from 8-May-20,12 x 25 litre Alcohol Sanitizers,Services Masana,,57664.65,
,,,,,,,,existing hygiene,,,
,,,,,,,,(PTY)Ltd,,,
,,,,,,,,services contract,,,
,,,,,,,,Masana Hygiene,,,
,,,,,,,,Procurement from,,,
,,,,,,9-Mar-20,216 X Hand Foam Sanitizers,Services Masana,,25150.50,
,,,,,,,,existing hygiene,,,
,,,,,,,,(PTY)Ltd,,,
,,,,,,,,services contract,,,
,,,,,,,,Masana Hygiene Procurement from,,,
,,,,,,,11 X Sanitizer Dispensers (supply and,,,,
,,,,,,18-Mar-20,,Services Masana existing hygiene,,11257.31,
,,,,,,,installation) 33 X Hand Foam Sanitizers,,,,
,,,,,,,,(PTY)Ltd services contract,,,
,,,,,,11-May-20,72 Bottle Spray 750ml,Store and more,,1792.80,
,,,,,,,,Petty cash,,,
,Total,,,,47772.61,Total,,,,294111.59,"R341,884.20"
,,,,MASANA,,,,,,,
,,,Deviation:,HYGIENE,,,,US-PECTS,,,
,1-Jul-20,Sanitation of GPAA,Emergency,SERVICES (PTY),22301.95,12-Mar-20,Supply & Delivery of Hand Sanitiser,TRADING 2008/252819/23,,10875.00,
,,Head Office,Approval,LTD,,,,ENTERPRISE,,,
,,,,MASANA,,,,,,,
,,Disinfection of Cape,Deviation:,HYGIENE,,,,US-PECTS,,,
,6-Jul-20,Town Offices - COVID-,Emergency,SERVICES (PTY),5405.00,12-Mar-20,Waterless Sanitizer 1 L,TRADING 2008/252819/23,,12800.00,
,,19,Approval,LTD,,,,ENTERPRISE,,,
,,,Competitive,BORATILE,,,,,,,
,15-Jul-20,,,,79454.55,17-Mar-20,Hand Sanitiser,Sound Conexions 1999/032082/23,,72000.00,
,,Themometers and,Bidding,TRADING AND,,,,,,,
,,sanitising dispensers,<R500k,PROJECTS,,,,,,,
,,,,MASANA,,,,,,,
,,Emergency:,Deviation:,HYGIENE,,,Latex hand gloves (900 boxes) 90 000,,,,
,17-Jul-20,,,,2484.00,17-Mar-20,,Sound Conexions 1999/032082/23,,189000.00,
,,Disinfection of Block,Emergency,SERVICES (PTY),,,gloves all offices,,,,
,,A& B,Approval,LTD,,,,,,,
,,,,MASANA,,,,KITSO,,,
,17-Jul-20,,Deviation:,HYGIENE,5405.00,19-Mar-20,Latex hand gloves,PROJECTS AND 2009/145212/23,,207000.00,
,,Disinfection Of,Emergency,SERVICES (PTY),,,,EVENTS,,,
,,Mafikeng Office,Approval,LTD,,,,MANAGEMENT,,,
,,,,MOBILE MASANA,,,,,,,
,,,,,,,,TELEPHONE,,,
,17-Jul-20,,Deviation:,HYGIENE,19872.00,25-Mar-20,GPAA Gallo Hosting Internet,1993/001436/07,,251505.00,
,,NETWORKS Disinfection of Blocks,Emergency,SERVICES (PTY),,,,,,,
,,PTY LTD / MTNC-H,Approval,LTD,,,,,,,
,,,,MASANA,,,,,,,
,,,,,,,,LECHOBA,,,
,,,Deviation:,HYGIENE,,,,,,,
,22-Jul-20,,,,5405.00,26-Mar-20,Procurement of goggles,MEDICAL 2005/044442/07,,15525.00,
,,"Emergency:Deconta,in",Emergency,SERVICES (PTY),,,,,,,
,,,,,,,,TECHNOLOGIES,,,
,,ation of Bisho Office,Approval,LTD,,,,,,,
,,,,MASANA,,,,TRIPPLE N,,,
,23-Jul-20,,Competitive,HYGIENE,103500.00,26-Mar-20,Procurement of Hand Sanitizers,MEDICAL 2011/129850/07,,168660.00,
,,Sanitizer Spray,Bidding,SERVICES (PTY),,,,DISTRIBUTORS,,,
,,suitable for paper,<R500k,MLTADSANA,,,,,,,
,,Disinfection services,Competitive,HYGIENE,,,,,,,
,,,,,,,,TARA,,,
,23-Jul-20,for 6 months.,Bidding,SERVICES (PTY),478691.20,26-Mar-20,Procurement of Digital Body Thermometer,2019/237077/07,,84027.65,
,,,,,,,,HEALTHCARE,,,
,,GPAA/GEPF Offices,<R500k,LTD,,,,,,,
,,,,MASANA,,,,NEXTEC,,,
,,Emergency:,Deviation:,HYGIENE,,,Emergency: 1k White Biometric Cards,SECURITY AND,,,
,24-Jul-20,Disinfection of block,Emergency,SERVICES (PTY),4968.00,26-Mar-20,x1500,1994/006897/07 BUILDING,,22977.00,
,,"EA,mBe &rg Cen acty H: ead Office",Approval,LMTADSANA,,,,TECHNOLOGIES,,,
,,Disinfection/Decontami,Deviation:,HYGIENE,,,,,,,
,,,,,,,"Emergency: Setup & Connect VPN ,",EOH MTHOMBO,,,
,28-Jul-20,nation of Kimberly,Emergency,SERVICES (PTY),6204.61,26-Mar-20,,1998/000103/07,,9982.00,
,,,,,,,Configuration Testing &,(Pty) Ltd,,,
,,office,Approval,LTD,,,,,,,
,,,,MASANA,,,,MASANA,,,
,,Covid-19 Tests for,Deviation:,HYGIENE,,,COVID 19 Hand Sanitiser - Emergency,HYGIENE,,,
,30-Jul-20,,,,1105000.00,20-Apr-20,,2014/110265/07,,107295.00,
,,Staff and Contractors,Emergency,SERVICES (PTY),,,Procurement,SERVICES (PTY),,,
,,"(Security, Cleaners",Approval,LTD,,,,LTD,,,
,,,,,,21-Apr-20,Emergency Purchase: Masks (COVID 19),Sound Conexions 2009/205308/23,,26500.00,
,,,,,,,"Hand Sanitizer, Masks, Gloves, Wet Wipes - PRO-LEGENDS",,,,
,,,,,,21-Apr-20,,2007/236236/23,,105236.00,
,,,,,,,For PE (Covid 19),TRADING CC,,,
,,,,,,,,BYTES,,,
,,,,,,21-Apr-20,Laptop rental and new Wi-Fi Routers,MANAGED 1984/003805/07,,407355.30,
,,,,,,,,"SOLUTIONS, A",,,
GPAA,,,,,,,,,,,
,,,,,,21-Apr-20,Face Masks: Emergency Procurement,Sound Conexions 2009/205308/23,,81250.00,
,,,,,,,,MASANA,,,
,,,,,,,Emergency: Disinfection of Trevenna &,,,,
,,,,,,30-Apr-20,,HYGIENE 2014/110265/07,,36115.75,
,,,,,,,Head Office,,,,
,,,,,,,,SERVICES (PTY),,,
,,,,,,,,MAKGOBJANA,,,
,,,,,,30-Apr-20,Covid 19- Procurement of face shields,2016/191547/07,,9998.00,
,,,,,,,,HOLDINGS,,,
,,,,,,,,MASANA,,,
,,,,,,,Emergency: Disinfecting of Regional &,,,,
,,,,,,8-May-20,,HYGIENE 2014/110265/07,,89477.82,
,,,,,,,Satellite Offices,,,,
,,,,,,,,SERVICES (PTY),,,
,,,,,,,Emergency:Car hire to transport GPAA,TIRISANO,,,
,,,,,,8-May-20,,2002/065229/23,,63314.69,
,,,,,,,employees to & from wor,TRAVEL CC,,,
,,,,,,,,KAMATSIKAA,,,
,,,,,,,Emergency: Disinfection of GPAA Nelspruit,,,,
,,,,,,13-May-20,,TRADING 2006/114060/23,,6600.00,
,,,,,,,Office,,,,
,,,,,,,,EKNITTSEOR PRISES,,,
,,,,,,13-May-20,Themometers and surgical masks,PROJECTS AND 2009/145212/23,,140530.00,
,,,,,,,,EVENTS,,,
,,,,,,13-May-20,Hand Sanitizers 500ml,PRO-PC cc 1993/009323/23,,101775.00,
,,,,,,,,MABOKA,,,
,,,,,,13-May-20,Perspex Screens,GROUP (PTY) 2013/041395/07,,49200.00,
,,,,,,,,LUTSD-PECTS,,,
,,,,,,13-May-20,Visors,TRADING 2008/252819/23,,63000.00,
,,,,,,,,EUNTIKEOR PRISE,,,
,,,,,,14-May-20,3ply Cloth Masks (DTIC Specifications),LOLWETHU 2017/106963/07,,69000.00,
,,,,,,,,BENOTREARTPILREI SE,,,
,,,,,,20-May-20,Surgical Masks for Head Office,TRADING AND 2008/085219/23,,57500.00,
,,,,,,,,PMRAOSAJENCAT S,,,
,,,,,,,Disfenction of Port Elizabeth & Durban,,,,
,,,,,,25-May-20,,HYGIENE 2014/110265/07,,10810.00,
,,,,,,,Office,,,,
,,,,,,,,PSHERINVOICTE S (PTY),,,
,,,,,,25-May-20,Sanitizing Dispensers and Perspex Screens,HOSTALGIC 2017/542077/07,,119600.00,
,,,,,,,,PROJECTS PTY,,,
,,,,,,,,WAKHANYANE,,,
,,,,,,,COVID - PPE Stock: Waterless Hand,,,,
,,,,,,29-May-20,,PTY LTD T/A,2013/210196/07,95696.43,
,,,,,,,Sanitiser,,,,
,,,,,,,,WALTONS,,,
,,,,,,,,SIGN FACETS,,,
,,,,,,29-May-20,Emergency: Supply of  Perspex Screens,,2001/016701/23,210450.00,
,,,,,,,,CC,,,
,,,,,,,Covid 19 Tests for Employees - Emergency,LANCET,,,
,,,,,,7-Jun-20,,,1996/006950/07,170000.00,
,,,,,,,Approval (CEO),LABORATORIES,,,
,,,,,,,,LIFE EMPLOYEE,,,
,,,,,,9-Jun-20,EAP Services in response to Covid 19,HEALTH,2012/077831/07,249378.81,
,,,,,,,,SOLUTIONS,,,
,,,,,,18-Jun-20,1000 Jabba Evolve 65 Bluetooth Headset,PRO-PC cc,1993/009323/23,301875.00,
,,,,,,,,MASANA,,,
,,,,,,,Emergency Disinfection of Head Office &,HYGIENE,,,
,,,,,,19-Jun-20,,,2014/110265/07,41637.82,
,,,,,,,Trevenna,SERVICES (PTY),,,
,,,,,,,,LTD,,,
,,,,,,,,MASANA,,,
,,,,,,,Emergency: Decontamination of Bisho &,HYGIENE,,,
,,,,,,24-Jun-20,,,2014/110265/07,10810.00,
,,,,,,,Mthatha Office,SERVICES (PTY),,,
,,,,,,,,LTD,,,
,,,,,,,,MASANA,,,
,,,,,,,Emergency: Decontamination of,HYGIENE,,,
,,,,,,24-Jun-20,,,2014/110265/07,4025.00,
,,,,,,,Johannesburg Office,SERVICES (PTY),,,
,,,,,,,,LTD,,,
,,,,,,Total,,,,3672782.27,
,Total,,,,1838691.31,,,,,,5511473.58
,,,,,,GPAA,,,,,
,,No costs incurred for,,,,,,,,,
,,,,,,,,Mothizamo,,,
,6-Jul-20,Covid-19 related,RFQ,Maverick,165385.81,28-May-20,Face Masks,,2016/445473/07,27500.00,
,,,,,,,,Trading,,,
GTAC,,activities,,,,,,,,,
,Total,,,,165385.81,Total,,,,27500.00,
,,,,,,,,,,,192885.81
,,,,,,,,,IRBA Staff memeber,,
,,Sanitisers and wet,,,,,,,,,
,11-Mar-20,,3 Quatations,Servest,3795.00,9-Jun-20,180 face masks for staff members,Rita Hattingh,- No company,3150.00,
,,wipes,,,,,,,,,
,,,,,,,,,established,,
,,Surface disinfect and,,We clean it all,,,,,,,
,29-Apr-20,,3 Quatations,,5500.00,29-Apr-20,Hand sanitisers,Servest,1997/006391/07,6513.60,
,,thermometers,,shop,,,,,,,
,,Hand sanitizer refill,,We clean it all,,,,,,,
,11-Jun-20,,3 Quatations,,10800.00,3-Jun-20,Reception desk screen,Signarama,2011/099901/23,4143.43,
IRBA,,sachets,,shop,,,,,,,
,,,,,,,,We clean it all,,,
,,,,,,29/04/2020,Gloves,,2017/509402/07,1850.00,
,,,,,,,,shop,,,
,,,,,,,,We clean it all,,,
,,,,,,11-Jun-20,Sanitation work stations,,2017/509402/07,12150.00,
,,,,,,,,shop,,,
,Total,,,,20095.00,Total,,,,27807.03,47902.03
,,,Emergency,,,,,,,,
,,Disinfection of the,,,,,,Monabo Hygiene,,,
,26-Mar-20,,procurement,Bidvest Cleaning,,,Gloves,,,,
,,building,,,,,,Services,,,
,,,(Two quotes),,,,,,,,
,,,,,12773.60,10-Mar-20,,,2009/037882/23,267.90,
,,,Expansion on,,,,,,,,
,,Disinfection of the,,Monabo Hygiene,,,,Life Healthcare,,,
,10-Jul-20,,cleaning,,,,Gloves,,,,
,,building,,Services,,,,Pharmacy,,,
,,,contract,,12773.63,17-Mar-20,,,203/024367/07,169.70,
,,,Expansion on,,,,,,,,
,,Disinfection of the,,Monabo Hygiene,,,,,,,
,20-Jul-20,,cleaning,,,,Hand sanitizers,Lenasi Projects,,,
,,building,,Services,,,,,,,
,,,contract,,12773.63,19-Mar-20,,,2016/138002/07,1990.00,
,,,Expansion on,,,,,,,,
,,Disinfection of the,,Monabo Hygiene,,,"Hand sanitisers, Surface sanitisers,",,,,
,25-Jul-20,,cleaning,,,,,GDF Holdings,,,
,,building,,Services,,,"Gloves, Masks & Plastic aprons",,,,
,,,contract,,,,,,,,
,,,,,12773.63,17-Apr-20,,,2016/365362/07,132262.50,
,,,,,,,Thermometers,Quintillion Tek,,,
OPFA,,,,,,14-May-20,,,2019/293985/07,3777.00,
,,,,,,,Face Shield,Makro,,,
,,,,,,17-May-20,,,1991/006805/07,1512.40,
,,,,,,,Footstand Sanitizer dispenser,Quintillion Tek,,,
,,,,,,31-May-20,,,2019/293985/07,1509.84,
,,,,,,,Counters Shield ( Glass Protector),GDF Holdings,,,
,,,,,,18-Jun-20,,,2016/365362/07,4899.00,
,,,,,,,Thermometer,GDF Holdings,,,
,,,,,,15-Jun-20,,,2016/365362/07,850.00,
,,,,,,,Floor Stickers  (social distance marker),Box Shop,,,
,,,,,,17-Jun-20,,,1991/006805/07,1380.00,
,,,,,,Dischem23-Jun-20,Masks,,2005/009766/07,1493.20,
,,,,,,,Foot stand Sanitiser dispenser including,,,,
,,,,,,,,Plastic shop,,,
,,,,,,23-Jun-20,Sanitiser,,,899.97,
,,,,,,31-Jul-20,Hand sanitisers,Makro,1991/006805/07,728.90,
,Total,,,,51094.49,Total,,,,151740.41,202834.90
,,,,,,,,SAWAB Freight,,,
,,,,Social distancing,,,,,,,
,29-Apr-20,Shereno Printers,RFQ,,55344.00,25-Mar-20,Gloves,forwarders and,MAAA0899559,540500.00,
,,,,stickers,,,,,,,
,,,,,,,,Consultant,,,
,,,,,,,,Mafunasi Holding,,,
,,,,,,26-Mar-20,3 Ply Mask,,MAAA0442953,766500.00,
,,,,,,,,(PTY) LTD,,,
,,,,,,,,Kuleti Suppliers,,,
,,,,,,25-Mar-20,Gloves,,MAAA855028,90000.00,
,,,,,,,,PTY LTD,,,
,,,,,,,,Kuleti Suppliers,,,
,,,,,,25-Mar-20,3 Ply Mask,,MAAA855028,192000.00,
,,,,,,,,PTY LTD,,,
,,,,,,,,Supra latex PTY,,,
,,,,,,27-Mar-20,Gloves,,MAAA0015240,139752.60,
,,,,,,,,LTD,,,
,,,,,,,,Tele Business,,,
,,,,,,27-Mar-20,5L Sanitary,,MAAA0128321,1449000.00,
,,,,,,,,Solutions,,,
,,,,,,6-Apr-20,Facial Tissues and Wet Wipes,Cybermotives,MAAA0481732,57582.00,
,,,,,,,,Kuleti Suppliers,,,
,,,,,,2-Apr-20,Gloves,,MAAA855028,205470.00,
,,,,,,,,PTY LTD,,,
,,Lechoba Medical,,,,,,,,,
24-Apr-20,Body suits,MAAA0038766,15324.00,,,,,,,,
,,technologies,,,,,,,,,
,,Lechoba Medical,,,,,,,,,
2-Apr-20,Body suits,MAAA0038766,30155.16,,,,,,,,
,,technologies,,,,,,,,,
,,Tele Business,,,,,,,,,
1-Apr-20,Gloves and Masks,MAAA0128321,80610.00,,,,,,,,
,,Solutions,,,,,,,,,
,,SAWAB Freight,,,,,,,,,
3-Apr-20,Gloves and Masks,forwarders and MAAA0899559,6142.50,,,,,,,,
,,Consultant,,,,,,,,,
,,Drager South,,,,,,,,,
30-Mar-20,Goggles,MAAA0000557,15324.00,,,,,,,,
,,Africa PTY LTD,,,,,,,,,
,,Drager South,,,,,,,,,
30-Mar-20,Protective Body suits,MAAA0000557,1125701.08,,,,,,,,
,,Africa PTY LTD,,,,,,,,,
2-Apr-20,Disposable box,Averda MAAA0070719,30721.00,,,,,,,,
,,Westrand,,,,,,,,,
2-Apr-20,Plexi glass,Commodities MAAA0720008,109004.00,,,,,,,,
,,Trading,,,,,,,,,
,,Westrand,,,,,,,,,
2-Apr-20,Plexi glass,Commodities MAAA0720008,109004.00,,,,,,,,
,,Trading,,,,,,,,,
,,SAWAB Freight,,,,,,,,,
3-Apr-20,Gloves and Masks,Forwarders and MAAA0899559,5460.00,,,,,,,,
,,Consultant,,,,,,,,,
,,SAWAB Freight,,,,,,,,,
23-Mar-20,Gloves,Forwarders and MAAA0899559,345000.00,,,,,,,,
,,Consultant,,,,,,,,,
,,SAWAB Freight,,,,,,,,,
23-Mar-20,3 Ply Mask,Forwarders and MAAA0899559,124631.25,,,,,,,,
,,Consultant,,,,,,,,,
24-Mar-20,Hand sanitizers Dust Masks and Gloves,Mfumo Project MAAA0030805,24100.00,,,,,,,,
,,Westrand,,,,,,,,,
24-Mar-20,"Sanitiser, Dust Masks and Gloves",Commodities MAAA0720008,28750.00,,,,,,,,
,,Trading,,,,,,,,,
,,Tele Business,,,,,,,,,
2-Apr-20,Masks,MAAA0128321,23287.50,,,,,,,,
,,Solutions,,,,,,,,,
7-Apr-20,Masks,Mfumo Projects MAAA0720008,269100.00,,,,,,,,
,,SAWAB Freight,,,,,,,,,
24-Mar-20,Gloves and Mask,Forwarders and MAAA0128321,5460.00,,,,,,,,
,,Consultant,,,,,,,,,
,,SAWAB Freight,,,,,,,,,
24-Mar-20,Gloves,Forwarders and MAAA0128321,300000.00,,,,,,,,
,,Consultant,,,,,,,,,
1-Apr-20,Masks,RDL MAAA0180393,4313141.70,,,,,,,,
,,Westrand,,,,,,,,,
29-Apr-20,500ml empty bottles,MAAA0128321,20400.00,,,,,,,,
,,Commodities,,,,,,,,,
,,Westrand,,,,,,,,,
"R147,281.20SARS 24-Apr-20",Plexi glass,MAAA0128321 Commodities,,,,,,,,,
,,Westrand,,,,,,,,,
29-Apr-20,Red packaging tape,MAAA0128321,19080.00,,,,,,,,
,,Commodities,,,,,,,,,
28-Apr-20,Face shields,Menags Trading MAAA0173191,495000.00,,,,,,,,
29-Apr-20,Masks and gloves,Multisurge MAAA0004727,118059.00,,,,,,,,
24-Apr-20,Masks and gloves,Tripple -N MAAA0001283,104673.00,,,,,,,,
30-Apr-20,Gloves and Mask,Tripple -N MAAA0001283,276750.00,,,,,,,,
,,SAWAB Freight,,,,,,,,,
23-Mar-20,Gloves and Mask,Forwarders and MAAA0128321,679477.50,,,,,,,,
,,Consultant,,,,,,,,,
,,SAWAB Freight,,,,,,,,,
1-Mar-20,Gloves and Mask,Forwarders and MAAA0128321,7840.13,,,,,,,,
,,Consultant,,,,,,,,,
,,SAWAB Freight,,,,,,,,,
20-Mar-20,Gloves and Mask,Forwarders and MAAA0128321,15099.50,,,,,,,,
,,Consultant,,,,,,,,,
,,Supra latex PTY,,,,,,,,,
27-Mar-20,Gloves,MAAA0015240,139752.60,,,,,,,,
,,LTD,,,,,,,,,
,,Westrand,,,,,,,,,
2-Apr-20,Gloves,MAAA0720008,376695.00,,,,,,,,
,,Commodities,,,,,,,,,
,,Tele Business,,,,,,,,,
1-Apr-20,Gloves,MAAA0128321,7650.00,,,,,,,,
,,Solutions,,,,,,,,,
,,Tele Business,,,,,,,,,
1-Apr-20,Masks,MAAA0128321,67500.00,,,,,,,,
,,Solutions,,,,,,,,,
20-Apr-20,2ply Facial Tissue and Larger wet wipes,Cyber Motives MAAA0481732,339746.20,,,,,,,,
,,Tele Business,,,,,,,,,
1-Apr-20,Gloves and Masks,MAAA0128321,75150.00,,,,,,,,
,,Solutions,,,,,,,,,
,,Tele Business,,,,,,,,,
14-Apr-20,Masks,MAAA0128321,11316.00,,,,,,,,
,,Solutions,,,,,,,,,
,,SAWAB Freight,,,,,,,,,
24-Mar-20,Masks,Forwarders and MAAA0015240,124631.25,,,,,,,,
,,Consultants,,,,,,,,,
,,Westrand,,,,,,,,,
30-Apr-20,Rollsoff red tape,MAAA0128321,19080.00,,,,,,,,
,,Commodities,,,,,,,,,
,,Menag's Trading,,,,,,,,,
30-Apr-20,Reusable face shields,MAAA0180393,495000.00,,,,,,,,
,,and Projects,,,,,,,,,
2-Apr-20,Gloves,SAWAB Freight MAAA0128321,128700.00,,,,,,,,
,,SAWAB Freight,,,,,,,,,
2-Apr-20,Masks,Forwarders and MAAA0128321,216450.00,,,,,,,,
,,Consultants,,,,,,,,,
,,Tele Business,,,,,,,,,
1-Apr-20,Masks and Sanitize,MAAA0128321,86437.50,,,,,,,,
,,Solutions,,,,,,,,,
,,SAWAB Freight,,,,,,,,,
23-Mar-20,Masks and Gloves,Forwarders and MAAA0128321,43700.00,,,,,,,,
,,Consultants,,,,,,,,,
26-Mar-20,Body suits,Drager SA MAAA0000557,1299500.00,,,,,,,,
23-Mar-20,Masks & gloves,Dladlama Trading MAAA0055164,28549.80,,,,,,,,
,Masks ,  gloves, Wet wipes , Sanitizers ,,,,,,,
,Hand Free Sanitiser Stand Foot Dispenser ,,,,,,,,,,
,PVC Face Shield (Branded) , High Quality,JD Strategic,,,,,,,,
5-May-20,,MAAA0850880,"R16,261,145.85",,,,,,,,
,Squeeze Bottle 500ml , Alcohol wipes Pkt,Investment,,,,,,,,
