buyer_name,implementation_location_province,Entity Name,supplier_name,items_description,procurement_method,order_number,invoice_date,items_quantity,Unit Price,cost_per_unit_zar,PO Value,order_amount_zar
Gauteng Department of Economic Development (GDED),Gauteng,GDED,Tiney Cleaning cc,Sanitisers 5L,Quotation,4550265169,,150,R                              550.00,550.00,"R                     82,500.00",82500.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,Bakhadzi Hayani Cooperative,Cloth masks,Quotation,4550265614,,100,R                                25.00,25.00,"R                       2,500.00",2500.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,Alvanda Creations PTY Ltd,Cloth masks,Quotation,4550265966,,1000,R                                25.00,25.00,"R                     25,000.00",25000.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,Lifhasi Group,"Installation of wall mounted
hand sanitizer",Quotation,4550266718,,56,"R                           1,580.35",1580.35,"R                     88,499.60",88499.60
Gauteng Department of Economic Development (GDED),Gauteng,GDED,Lifhasi Group,"Non contact temprature
thermometers",Quotation,4550266718,,20,R                              770.00,770.00,"R                     15,400.00",15400.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,Lifhasi Group,Shoe cover packs of 100,Quotation,4550266718,,50,R                                20.52,20.52,"R                       1,026.00",1026.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,Lifhasi Group,Hair cover packs of 100,Quotation,4550266718,,50,R                                16.42,16.42,R                          821.00,821.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,Lifhasi Group,"Disinfectant wet wipes (80
sheets in a box)",Quotation,4550266718,,500,R                              166.40,166.40,"R                     83,200.00",83200.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"Makgamatha Holdings (Pty)
Ltd",Disposable overall,Quotation,4550266781,,150,R                              150.00,150.00,"R                     22,500.00",22500.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"Makgamatha Holdings (Pty)
Ltd",Face shield/ Visors,Quotation,4550266781,,300,R                                50.00,50.00,"R                     15,000.00",15000.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"Makgamatha Holdings (Pty)
Ltd","Disinfectant wet wipes (1000
sheets in a box)",Quotation,4550266781,,500,R                              400.00,400.00,"R                   200,000.00",200000.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"3G Relocations and
Transport",Hand Sanitizers 500ml,"Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,12,R 98.00,98.00,"R 1,176.00",1176.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"3G Relocations and
Transport",Hand Sanitizer 5L,"Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,10,R 510.00,510.00,"R 5,100.00",5100.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"3G Relocations and
Transport",Masks - Surgical 3 Layer,"Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,200,R 16.50,16.50,"R 3,300.00",3300.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"3G Relocations and
Transport","Examination Gloves Latex
Small","Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,1000,R 2.08,2.08,"R 2,080.00",2080.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"3G Relocations and
Transport","Examination Gloves Latex
Medium","Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,1000,R 2.08,2.08,"R 2,080.00",2080.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"3G Relocations and
Transport","Examination Gloves Nitrile
Large","Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,1000,R 2.08,2.08,"R 2,080.00",2080.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"3G Relocations and
Transport","Examination Gloves Latex X-
Large","Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,1000,R 2.40,2.40,"R 2,400.00",2400.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"3G Relocations and
Transport",Aprons Disposable,"Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,100,R 0.85,0.85,R 85.00,85.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"3G Relocations and
Transport",Hand Sanitizers 500ml,"Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,992,R 90.00,90.00,"R 89,280.00",89280.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"3G Relocations and
Transport",Hand Sanitizers 500ml,"Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,8,R 90.00,90.00,R 720.00,720.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"3G Relocations and
Transport",Disposable Bags Red M,"Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,500,R 7.00,7.00,"R 3,500.00",3500.00
Gauteng Department of Economic Development (GDED),Gauteng,GDED,"3G Relocations and
Transport",Masks - Surgical 3 Layer,"Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,25000,R 20.70,20.70,"R 517,500.00",517500.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Lebomash Design,3-Ply Cloth Mask,Quotation,,,500,R25.00,25.00,"R12 500,00",12500.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Evergreen Latex CC,"Glove examinations, non-
sterile",Quotation,,,30 boxes,R49.86,49.86,"R1 495,80",1495.80
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Tara Healthcare,"25 liters of Medical hand
sanitizers",Quotation,,,12,R125.00,125.00,"R1 500,00",1500.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Liora Medical Supplies CC,"Particulate filtering half mask:
Disposable",Quotation,,,20 boxes (30 in box),R160.50,160.50,"R3 210,00",3210.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,"Lechoba Medical
Technologies (Pty) Ltd","500 ml Medical Hand
Sanitizers",Quotation,,,100,R60.75,60.75,"R6 075,00",6075.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,SPS Advertising,"Foot Operated hand
sanitisers",Quotation,,,6,"R1,034.94",1034.94,"R6,209.66",6209.66
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Mahlatji Holdings,Hand Soap 500 ml,Quotation,,,20,R127.05,127.05,"R2,541.00",2541.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Mahlatji Holdings,Hand Soap 25l,Quotation,,,6,"R1,001.50",1001.50,"R6,009.00",6009.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Mahlatji Holdings,Disinfectant wipes,Quotation,,,20 (50 sheets in a bucket),R507.50,507.50,"R10,350.00",10350.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Mahlatji Holdings,Disposal waste bins 20l,Quotation,,,16,R488.75,488.75,"R7,820.00",7820.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Mahlatji Holdings,"Draw string sealable bags (to
fit 20l bins)",Quotation,,,500,R2.00,2.00,"R1,000.00",1000.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Department of Health,Hand sanitizers 500 ml (6),"Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,60,R98.00,98.00,"R5,880.00",5880.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Department of Health,Hand sanitizers 25l,"Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,16,"R2,530.00",2530.00,"R40,480.00",40480.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Department of Health,Surface Disinfectant 1l,"Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,20,R150.00,150.00,"R3,000.00",3000.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Department of Health,Surface Wipes (6) (Box),"Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,36,R143.52,143.52,"R5,166.72",5166.72
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Department of Health,"Gloves Latex Medium (100)
(Box)","Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,1000,R2.08,2.08,"R2,080.00",2080.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Department of Health,"KN95/FFP2 Mask (1000)
(Box)","Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,1000,R69.00,69.00,"R69,000.00",69000.00
Cradle of Humankind World Heritage Site (COHWHS) and Dinokeng,Gauteng,Cradle & Dinokeng ,Department of Health,Infrared Thermometer,"Transversal Contract
through the Gauteng
Department of Health",Transversal Contract through the Gauteng Department of Health,,2,R895.00,895.00,"R1,790.00",1790.00
Gauteng Gambling Board (GGB),Gauteng,GGB,Lebone hygiene,"Cleaning of building surfaces
hourly",Quotation,,,,,,"R295,795.72",295795.72
Gauteng Gambling Board (GGB),Gauteng,GGB,Nakisani Hygiene,Wall sanitisers,quotation,,,,,,"R11,000",11000.00
Gauteng Gambling Board (GGB),Gauteng,GGB,Masana Hygiene,Hand sanitisers,Quotation,,,,,,"R39,500",39500.00
Gauteng Gambling Board (GGB),Gauteng,GGB,Meridian Hygiene,Fogging of GGB building,Quotation,,2020-03-30,,,,"R8,800",8800.00
Gauteng Gambling Board (GGB),Gauteng,GGB,Meridian Hygiene,disinfecting of Alexandra,Deviation,,,,,,"R4,541,542.79",4541542.79
Gauteng Gambling Board (GGB),Gauteng,GGB,Mukiriri,thermometer scanners,Quotation,,,,,,"R6,734.50",6734.50
Gauteng Gambling Board (GGB),Gauteng,GGB,Rhadase,Face shields,quotation,,2020-07-29,,,,"R12,600",12600.00
Gauteng Gambling Board (GGB),Gauteng,GGB,Pilru Cleaning and Transport,3 Ply face Mask,Quotation,,,,,,"R11,557.50",11557.50
Gauteng Enterprise Propeller (GEP),Gauteng,GEP,Department of Health,Gloves,Centralised procurement undere Gauteng Department of Health,Centralised procurement undere Gauteng Department of Health,,30 boxes,Not received,,Not received,
Gauteng Enterprise Propeller (GEP),Gauteng,GEP,Department of Health,Face Shield,Centralised procurement undere Gauteng Department of Health,Centralised procurement undere Gauteng Department of Health,,310,Not received,,Not received,
Gauteng Tourism Authority (GTA),Gauteng,GTA,Department of Health,Surface Sanitizer,Centralised procurement undere Gauteng Department of Health,Centralised procurement undere Gauteng Department of Health,,24,Not received,,Not received,
Gauteng Tourism Authority (GTA),Gauteng,GTA,Department of Health,Hand Sanitizer,Centralised procurement undere Gauteng Department of Health,Centralised procurement undere Gauteng Department of Health,,60,Not received,,Not received,
Gauteng Tourism Authority (GTA),Gauteng,GTA,Department of Health,Digital Body thermometer,Centralised procurement undere Gauteng Department of Health,Centralised procurement undere Gauteng Department of Health,,2,Not received,,Not received,
Gauteng Tourism Authority (GTA),Gauteng,GTA,Department of Health,Cloth masks,Centralised procurement undere Gauteng Department of Health,Centralised procurement undere Gauteng Department of Health,,10,Not received,,Not received,
Gauteng Tourism Authority (GTA),Gauteng,GTA,Department of Health,Face Shield,Centralised procurement undere Gauteng Department of Health,Centralised procurement undere Gauteng Department of Health,,20,Not received,,Not received,
Gauteng Tourism Authority (GTA),Gauteng,GTA,Department of Health,Gloves,Centralised procurement undere Gauteng Department of Health,Centralised procurement undere Gauteng Department of Health,,40,Not received,,Not received,
