buyer_name,implementation_location_province,supplier_name,invoice_date,order_amount_zar,COMMENTS,order_number
Gauteng Department of Health (DOH),Gauteng,Maponya Medical,2020-04-21,10547367.94,,4250906123
Gauteng Department of Health (DOH),Gauteng,"BAKUTHI
TRADING",2020-06-26,10500000.00,,4250912276
Gauteng Department of Health (DOH),Gauteng,LMD Engineering,2020-04-20,10407500.00,,4250901974
Gauteng Department of Health (DOH),Gauteng,Olee Telecom Sol,2020-06-05,9715200.00,,4250908810
Gauteng Department of Health (DOH),Gauteng,Synopsis one (pty,2020-05-20,9269000.00,,4250909679
Gauteng Department of Health (DOH),Gauteng,Gramendo Projec,2020-05-25,8567500.00,,4250905341
Gauteng Department of Health (DOH),Gauteng,Flotenk FX Trader,2020-05-25,7306800.00,,4250909670
Gauteng Department of Health (DOH),Gauteng,"JR Proffesional
Printers",2020-06-29,7200000.00,,4250916341
Gauteng Department of Health (DOH),Gauteng,Elegant Line Tradi,2020-06-29,6900000.00,,4250916591
Gauteng Department of Health (DOH),Gauteng,Tege Trading and,2020-06-29,6900000.00,,4250916581
Gauteng Department of Health (DOH),Gauteng,"PEO
INFORMATION
TECHNOLOGIES",2020-06-30,6440000.00,,4250913105
Gauteng Department of Health (DOH),Gauteng,Impofu/ Picture P,2020-06-26,6000000.00,,4250916360
Gauteng Department of Health (DOH),Gauteng,"Kgaleigh Trading
and Projects",2020-06-29,6000000.00,,4250916574
Gauteng Department of Health (DOH),Gauteng,Umnothozwide,2020-04-20,5907500.00,,4250900229
Gauteng Department of Health (DOH),Gauteng,Gramendo Projec,2020-06-26,5750000.00,,4250915476
Gauteng Department of Health (DOH),Gauteng,OPAL SKY Pty Ltd,2020-04-15,5500000.00,,4250899954
Gauteng Department of Health (DOH),Gauteng,Khize Services,2020-06-29,5105000.00,,4250916593
Gauteng Department of Health (DOH),Gauteng,HSB Mercantile Pr,2020-04-06,4814500.00,,4250900995
Gauteng Department of Health (DOH),Gauteng,Bold Moves,2020-05-25,4750000.00,,4250914325
Gauteng Department of Health (DOH),Gauteng,Synopsis one (pty,2020-05-20,4634500.00,,4250909666
Gauteng Department of Health (DOH),Gauteng,Ikat Health,2020-05-25,4475000.00,,4250908826
Gauteng Department of Health (DOH),Gauteng,ROUGH SEAS TRA,2020-06-08,4309625.00,,4250908947
Gauteng Department of Health (DOH),Gauteng,Modulelwa (Pty) L,2020-05-04,3620000.00,,4250906683
Gauteng Department of Health (DOH),Gauteng,Future Advertisin,2020-04-03,3472775.76,,4250898023
Gauteng Department of Health (DOH),Gauteng,Nokokhloko,2020-05-26,3250000.00,,4250908461
Gauteng Department of Health (DOH),Gauteng,Solimtha Projects,2020-06-26,3150000.00,,4250915458
Gauteng Department of Health (DOH),Gauteng,Eubee Event Man,2020-03-20,2937000.00,,4250903995
Gauteng Department of Health (DOH),Gauteng,Eubee Event Man,2020-06-11,2860000.00,,4250910020
Gauteng Department of Health (DOH),Gauteng,Tuwo Rhodesia Pt,2020-03-20,2790000.00,,4250900768
Gauteng Department of Health (DOH),Gauteng,Kena Outdoor,2020-05-07,2669687.00,,4250902004
Gauteng Department of Health (DOH),Gauteng,KD supplies TA  K,2020-05-26,2625000.00,,4250910653
Gauteng Department of Health (DOH),Gauteng,Seila Business Ent,2020-06-26,2625000.00,,4250915465
Gauteng Department of Health (DOH),Gauteng,Nomsa Ntenteng,2020-05-25,2495000.00,,4250909649
Gauteng Department of Health (DOH),Gauteng,Best Enough,2020-05-26,2445000.00,,4250910249
Gauteng Department of Health (DOH),Gauteng,Holobye Trading,2020-06-29,2425000.00,,4250916586
Gauteng Department of Health (DOH),Gauteng,Babanolo Holding,2020-05-25,2400000.00,,4250909124
Gauteng Department of Health (DOH),Gauteng,Emanzini Security,2020-05-27,2353500.00,,4250911122
Gauteng Department of Health (DOH),Gauteng,Kimona Manufact,2020-05-25,2346000.00,,4250914312
Gauteng Department of Health (DOH),Gauteng,"Kaveli Chemical
Enginering",2020-05-25,2256875.00,,4250911120
Gauteng Department of Health (DOH),Gauteng,GRASSROOTS DEV,2020-05-25,2242500.00,,4250908827
Gauteng Department of Health (DOH),Gauteng,LorFix,2020-04-09,2100000.00,,4250898572
Gauteng Department of Health (DOH),Gauteng,"Dinaane
Constation
Services",2020-04-22,2070000.00,,4250899393
Gauteng Department of Health (DOH),Gauteng,"POLKADOTS
PROPERTIES 193",2020-06-26,1972000.00,,4250912271
Gauteng Department of Health (DOH),Gauteng,"Kaveli Chemical
Enginering",2020-05-25,1960537.50,,4250915740
Gauteng Department of Health (DOH),Gauteng,Modulelwa (Pty) L,2020-05-03,1810000.00,,4250904473
Gauteng Department of Health (DOH),Gauteng,HSB Mercantile Pr,2020-05-04,1470000.00,,4250901555
Gauteng Department of Health (DOH),Gauteng,Babanolo Holding,2020-03-30,1399000.00,,4250897480
Gauteng Department of Health (DOH),Gauteng,NATIONAL SECURI,2020-06-04,1250010.00,,4250909683
Gauteng Department of Health (DOH),Gauteng,"ARMAMENTS
CORPORATION
OF SA",2020-06-24,1179022.46,,4250911754
Gauteng Department of Health (DOH),Gauteng,,2020-06-25,1039677.92,,4250911755
Gauteng Department of Health (DOH),Gauteng,"Armanments
Corp of SA -
AMSCOR",2020-05-01,1022858.84,,4250910239
Gauteng Department of Health (DOH),Gauteng,OPAL SKY Pty Ltd,2020-04-02,880000.00,,4250897909
Gauteng Department of Health (DOH),Gauteng,Senatla,2020-04-01,727500.00,,4250897546
Gauteng Department of Health (DOH),Gauteng,Senatla,2020-04-03,640000.00,,4250897620
Gauteng Department of Health (DOH),Gauteng,Senatla,2020-03-30,585000.00,,4250897545
Gauteng Department of Health (DOH),Gauteng,"Given Exclusive
Projects",2020-04-24,572000.00,,4250901313
Gauteng Department of Health (DOH),Gauteng,OPAL SKY Pty Ltd,2020-04-17,500000.00,,4250898967
Gauteng Department of Health (DOH),Gauteng,TARA TECHNOLO,2020-04-15,476335.00,,4250898361
Gauteng Department of Health (DOH),Gauteng,Liora Medical Sup,2020-03-24,318750.00,,4250898006
Gauteng Department of Health (DOH),Gauteng,Prime Reason (Pt,2020-04-07,300000.00,,4250898691
Gauteng Department of Health (DOH),Gauteng,OR Medical,2020-04-09,282760.00,,4250898008
Gauteng Department of Health (DOH),Gauteng,Senatla,2020-04-02,270000.00,,4250897510
Gauteng Department of Health (DOH),Gauteng,BLACK RENAISSA,2020-05-12,235000.00,,4250903257
Gauteng Department of Health (DOH),Gauteng,SPG Marketing Co,2020-06-26,215625.00,,4250915411
Gauteng Department of Health (DOH),Gauteng,BLACK RENAISSA,2020-05-12,209000.00,,4250902991
Gauteng Department of Health (DOH),Gauteng,Encha Green Bran,2020-06-27,198375.00,,4250915408
Gauteng Department of Health (DOH),Gauteng,Bathebeng Enterp,2020-07-03,195000.00,,4250915742
Gauteng Department of Health (DOH),Gauteng,ER Group,2020-06-27,195000.00,,4250915413
Gauteng Department of Health (DOH),Gauteng,OPAL SKY Pty Ltd,2020-04-17,82500.00,,4250898960
Gauteng Department of Health (DOH),Gauteng,Senatla,2020-04-03,60000.00,,4250897633
Gauteng Department of Health (DOH),Gauteng,OR Medical,2020-05-27,6800.00,,4250906746
Gauteng Department of Health (DOH),Gauteng,Safarmex,2020-06-02,4492.40,,4250907751
Gauteng Department of Health (DOH),Gauteng,MORONGWADIL O TRADING AND PROJECTS,2020-06-25,2250.00,,4250912034
