buyer_name,implementation_location_province,invoice_date,order_number,items_description,supplier_name,order_amount_zar,items_quantity,"Purchase order
release date",Delivery Date,procurement_method,
Gauteng Department of Social Development (DSD),Gauteng,2020-03-30,4550265270,Sanitizer alcohol actigerm 1LT spray,LECHOBA MEDICAL TECHNOLOGIES,30375.00,250 EA,30.03.2020,31.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2", 
Gauteng Department of Social Development (DSD),Gauteng,2020-03-26,4550265271,Goggles,LECHOBA MEDICAL TECHNOLOGIES,659.00,10 EA,26.03.2020,26.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-31,4550265277,Mask face surgical,LECHOBA MEDICAL TECHNOLOGIES,93750.00,"5,000 PAC",31.03.2020,31.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-31,4550265278,Sanitizer alcohol actigerm 500ml spray,LECHOBA MEDICAL TECHNOLOGIES,299983.50,"4,938 EA",31.03.2020,31.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-27,4550265282,Gown surgical,LECHOBA MEDICAL TECHNOLOGIES,599.50,10 EA,27.03.2020,27.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-03-26,4550265283,Goggles,LECHOBA MEDICAL TECHNOLOGIES,3795.00,10 EA,26.03.2020,26.03.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-05-07,4550265601,Face Shield,LECHOBA MEDICAL TECHNOLOGIES,138000.00,2000 EA,07.05.2020,07.05.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-07-22,4550266653,Thermometer body/forehead non contact,MULTISURGE,52440.00,,22.07.2020,23.07.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-07-23,4550266663,Mask half particulate filtering large,MULTISURGE,92000.00,,23.07.2020,23.07.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
Gauteng Department of Social Development (DSD),Gauteng,2020-07-23,4550266664,Thermometer body/forehead non contact,MULTISURGE,34500.00,,23.07.2020,23.07.2020,"Procured from the National Treasury
Transversal
contracts according
to prices on
Annexure A Table 1
and 2",
