buyer_name,implementation_location_other,items_description,supplier_name,award_date,order_amount_zar,COMMENTS,order_number
Gauteng Department of Health (DOH),Gauteng,Councellling sessions for staff,HEALTH ADVANCE INSTITUTE,2020-02-17,97750.00,Councellling sessions for staff,4250894024
Gauteng Department of Health (DOH),Gauteng,Accomodation for drivers,HOTEL AND TOURISM INVESTMENTS,2020-05-13,6794.00,Accomodation for drivers,4250903910
Gauteng Department of Health (DOH),Gauteng,Printing,INDAYI COMMUNICATION,2020-03-09,13750.00,Printing,4250895679
Gauteng Department of Health (DOH),Gauteng,Advertising,KWANZA COMMUNICATIONS,2020-05-17,91646.00,Advertising,4250906121
Gauteng Department of Health (DOH),Gauteng,Patient care service fully outsourced,LIFE ESIDIMENI,2020-07-01,273857368.00,Patient care service fully outsourced,4250913374
Gauteng Department of Health (DOH),Gauteng,Catering,MALUBA TRADING ENTERPRISE,2020-04-10,117875.00,Catering,4250898713
Gauteng Department of Health (DOH),Gauteng,Catering,MALUBA TRADING ENTERPRISE,2020-04-10,5175.00,Catering,4250899655
Gauteng Department of Health (DOH),Gauteng,Catering,MALUBA TRADING ENTERPRISE,2020-05-01,57258.50,Catering,4250902612
Gauteng Department of Health (DOH),Gauteng,Catering,MALUBA TRADING ENTERPRISE,2020-05-24,71932.50,Catering,4250902615
Gauteng Department of Health (DOH),Gauteng,Catering,MALUBA TRADING ENTERPRISE,2020-04-27,80500.00,Catering,4250902618
Gauteng Department of Health (DOH),Gauteng,Catering,MALUBA TRADING ENTERPRISE,2020-05-11,13800.00,Catering,4250904909
Gauteng Department of Health (DOH),Gauteng,Catering,MALUBA TRADING ENTERPRISE,2020-05-22,54280.00,Catering,4250907240
Gauteng Department of Health (DOH),Gauteng,Catering,MALUBA TRADING ENTERPRISE,2020-06-01,99130.00,Catering,4250907777
Gauteng Department of Health (DOH),Gauteng,Catering,MALUBA TRADING ENTERPRISE,2020-06-01,11800.00,Catering,4250909115
Gauteng Department of Health (DOH),Gauteng,catering,MANGEZI TRADING ENTERPRISE 26,2020-03-20,10000.00,catering,4250896347
Gauteng Department of Health (DOH),Gauteng,Legal Services,Mdlulwa Nkuhlu,2020-07-16,11781950.00,Legal Services,4250916569
Gauteng Department of Health (DOH),Gauteng,Legal Services,Meshack Henyang,2020-04-29,5000000.00,Legal Services,4250897954
Gauteng Department of Health (DOH),Gauteng,Catering service according to spec,MORUBA BUSINESS SOLUTIONS,2020-06-23,11000.00,Catering service according to spec,4250911511
Gauteng Department of Health (DOH),Gauteng,Legal Services,Ngcebetsha Madlanga Incorporated,2020-04-23,13536802.00,Legal Services,4250899436
Gauteng Department of Health (DOH),Gauteng,Cleaning service building offices,Nyembe Waste Management (PTY) LTD,2020-06-08,74733.00,Cleaning service building offices,4250910235
Gauteng Department of Health (DOH),Gauteng,Cleaning service building offices,Nyembe Waste Management (PTY) LTD,2020-06-12,154620.00,Cleaning service building offices,4250910233
Gauteng Department of Health (DOH),Gauteng,Table portable exhibition 90cm x 86cm,Olu Joe Trading and Projects (Pty),2020-06-30,10500.00,Table portable exhibition 90cm x 86cm,4250912826
Gauteng Department of Health (DOH),Gauteng,Travel and accommodation,ON MOTION TRAVEL AGENCY,2020-03-09,9883.00,Travel and accommodation,4250894419
Gauteng Department of Health (DOH),Gauteng,Travel and accommodation,ON MOTION TRAVEL AGENCY,2020-03-09,9883.00,Travel and accommodation,4250894424
Gauteng Department of Health (DOH),Gauteng,Advertising,ORIGINATORS TV,2020-03-25,2230600.00,Advertising,4250900734
Gauteng Department of Health (DOH),Gauteng,Computer laptop Processor i7 Ram 8GB HDD,PC PALACE GAUTENG,2020-06-25,70820.00,Computer laptop Processor i7 Ram 8GB HDD,4250911933
Gauteng Department of Health (DOH),Gauteng,Advertising,PROVANTAGE,2020-03-25,264911.00,Advertising,4250898706
Gauteng Department of Health (DOH),Gauteng,Advertising,R I M Ads Alive cc,2020-03-25,172500.00,Advertising,4250898714
Gauteng Department of Health (DOH),Gauteng,Cleaning service building offices,TSHIPEMBE MZANSI PROJECTS,2020-06-26,218224.58,Cleaning service building offices,4250912308
Gauteng Department of Health (DOH),Gauteng,Computers,XON SYSTEMS,2020-06-05,24247.75,Computers,
Gauteng Department of Health (DOH),Gauteng,Lab services,Bunwall/ Target Laboratory,2020-07-16,18687500.00,Lab services,4250916328
Gauteng Department of Health (DOH),Gauteng,Infrastructure: Warehousing,3G RELOCATIONS AND TRANSPORT,2020-04-30,2581830.00,Warehousing,4250901217
Gauteng Department of Health (DOH),Gauteng,Infrastructure: Warehousing,3G RELOCATIONS AND TRANSPORT,2020-04-30,2581830.00,Warehousing,4250908808
Gauteng Department of Health (DOH),Gauteng,Infrastructure: Warehousing,3G RELOCATIONS AND TRANSPORT,2020-07-20,2851880.00,Warehousing,4250916833
Gauteng Department of Health (DOH),Gauteng,Infrastructure: Covit site,Johannesburg Expo Centre,2020-05-08,83145000.00,Covit site,4250902284
Gauteng Department of Health (DOH),Gauteng,Infrastructure: Warehousing,Kushesh Express,2020-05-19,1915356.00,Warehousing,
Gauteng Department of Health (DOH),Gauteng,Infrastructure: Renovation upgrade refurbish minor works,JOHANNESBURG EXPO CENTRE 2002,2020-06-22,27691798.00,Renovation upgrade refurbish minor works,4250911325
Gauteng Department of Health (DOH),Gauteng,Infrastructure: Lease agreement,VENIOGYN,2020-06-25,15151344.00,Lease agreement,4250911935
