buyer_name,implementation_location_province,No.,invoice_date,END-USER,order_number,items_description,SPECIFICATION,supplier_name,order_amount_zar,procurement_method
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,11,2020-04-24,EES,4250907449,Sanitization and Decontamination Programme of several areas in Ekurhuleni Metropolitan Municipality in Etwatwa and Winnie Mandela Informal Settlements.,"10 x Stations-Service to sanitise and decontaminate 10,000 households within
the jurisdiction of Ekurhuleni Metropolitan Municipality, in Winnie Mandela an Etwatwa informal
settlements, hostels and other underserviced, highly dense and high risk areas within these two informal settlements, using a
sanitizer and disinfectants that are registered in the Republic of South Africa by the Department of Health and other relevant registration authority, indicating the registration number.",Meridian Hygiene,494500.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,12,2020-04-09,EES,4250908916,"Sanitization and Decontamination Programme of several areas in the
Emfuleni Municipality.","10 X stations- Service to sanitise and decontaminate
10,000 households within the jurisdiction ofEmfuleni Municipality in informal settlements, hostels and other underserviced, highly dense and high risk areas, using a sanitizer and disinfectants that are registered in the Republic of South Africa by the Department of Health and other relevant registration authority, indicating the registration number.",Meridian Hygiene,494500.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,13,2020-04-12,EES,4250909233,Sanitization and Decontamination Programme of several areas in the Lesedi Local Municipality.,"10 X stations- Service to sanitise and decontaminate
10,000 households within the jurisdiction of Lesedi Local Municipality in informal settlements, hostels and
other underserviced, highly dense and high risk areas, using a sanitizer and disinfectants that are registered in the Republic of
South Africa by the Department of Health and other relevant registration authority, indicating the registration number.",Meridian Hygiene,494500.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,14,2020-05-05,EES,4250909249,"Sanitization and Decontamination Programme of several areas in the
Diepsloot (CoJ)","10 X stations - Service to sanitise and decontaminate
10,000 households within the jurisdiction of Diepsloot in City of Johannesburg Municipality, especially in
informal settlements, hostels and other underserviced, highly dense and high risk areas within Diepsloot using
a sanitizer and disinfectant that are registered in the Republic of South Africa by the Department of Health
and other relevant registration authority, indicating the registration number.",Meridian Hygiene,494500.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,15,2020-05-05,EES,4250907453,"Sanitization and Decontamination Programme of several areas in City of
Tshwane Metropolitan Municipality in Soshanguve and Hamanskraaal.","10 X stations- Service to sanitise and decontaminate 10,000 households within the jurisdiction of City of Tshwane Metropolitan
Municipality, 5000 households in Soshanguve and 5000 households Hamanskraal informal settlements, hostels and other underserviced, highly dense and high risk areas within these two informal settlements, using a sanitizer and disinfectants
that are registered in the Republic of South Africa by the Department of Health and other relevant registration authority,
indicating the registration number.",Meridian Hygiene,494500.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,16,2020-05-05,EES,4250907395,"Sanitization and Decontamination Programme of several areas in RandWest District Municipality in
Mohlakeng and Khutsong Informal Settlements.","10 X Stations - Service to sanitise and decontaminate
10,000 households within the jurisdiction of RandWest District Municipality, 5000 households in Mohlakeng
and 5000 households Khutsong informal settlements, hostels and other underserviced, highly dense and high risk areas within these two informal settlements, using a sanitizer and disinfectants that are registered in the Republic of South Africa by the Department of Health and other relevant registration authority, indicating the registration number.",Meridian Hygiene,494500.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,17,2020-05-07,Facililities Management,DARD001,Personal Protective Equipment for staff,"13000 X Masks - Surgical 3 Layer
20 x Hand Sanitizer 25L
60 X Disposable Gowns
Large",GDOH,330080.00,"Centralised procurement through Gauteng
Department of Health"
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,18,2020-05-26,HRD,4250906090,Three layers Face masks 3 layer,Face masks 3 layers (500) each,Hanis Design Pty (Ltd),12500.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,19,2020-05-26,HRD,4250906094,Three layers Face masks 3 layer,Face masks 3 layers (500) each,Phuthadichaba Designs and Creation,12500.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,20,2020-06-24,HRD,4250911901,Three layers Face masks 3 layer,Face masks 3 layers (500) each,Pusha Panda,12500.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,21,2020-06-24,HRD,4250911899,Three layers Face masks 3 layer,Face masks 3 layers (500) each,Hanis Design Pty (Ltd),12500.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,22,2020-06-24,HRD,4250911905,Three layers Face masks 3 layer,Face masks 3 layers (500) each,Phuthadichaba Designs and Creation,12500.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,23,2020-06-01,Facilities Management,4250907442,Personal Protective Equipment for cleaning staff,"1.  50 x pieces of  Mask respirator
2.  50 x  pair of Eye
protection google
3. 100 x pieces of high utility
gloves for spray  disinfection
4.  246 x  boxes of water
proof, impermeable
disposable glove s for
surface disinfection",AR Office solutions,46486.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,24,2020-06-12,Facilities Management,4250916482,"Service providers to decontaminate Umnotho House Building located at 56
Eloff Street.","Service providers to decontaminate Umnotho
House Building located at 56
Eloff Street.Total Square
Meters = 24 000",Foursight IT business solutions,441600.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,25,2020-06-04,Facilities Management,4250908409,Floor paddle Hand Saniters Dispenser,"1. 36 x Floor paddle Hand 1. 36 x Floor paddle Hand
Saniters Dispenser
2.  20 x 70% Sanitizer gel",Boltebza Trading and Projects,39999.92,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,26,2020-06-01,HRD,4250907396,Supply and delivery of Rechargeable batteries and Chargers,"Supply and delivery of Rechargeable batteries  for
human themometers with
battery charger",Bubble Shine Trading and Projects,11500.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,27,2020-07-10,ESS,Appointment letter issued,"Plant hire for cleaning and removal of waste in illegal dumping areas in
Mamelodi city of Tshwane municipality","hiring of five tlbs and ten tipper truck with drivers and
with corona ppe for covid-19
waste clean-up for five days
in Mamelodi city of Tshwane
municipality",Mathe Consortia (Pty) Ltd,457000.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,28,2020-07-17,Facilities Management,4250916480,"Sanitization and decontamination of Umnotho House, Germiston and
Vereeniging offices","Sanitization and decontamination of 21, 22
floors, first floor Annexure,
Lift of Umnotho House,
Germiston and Vereeniging
offices",MIM Property Development,142101.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,29,2020-08-07,EES,Appointment letter issued,"Plant hire for cleaning and removal of waste in illegal dumping areas in
Merafong City Municipality","Hiring of five TLBs and ten tipper truck with drivers and
with corona PPE for
Emergency COVID-19
Waste Clean-up for 5 Days
in Khutsong, Kokosi,
Greenspark, Welverdiend,
and Blybank, Merafong City
Municipality.",EHP Trading and Projects (Pty) Ltd,449500.00,RFQ process/Three quotation
Gauteng Department of Agriculture and Rural Development (DALRRD),Gauteng,30,2020-08-07,EES,Appointment letter issued,"Plant hire for cleaning and removal of waste in illegal dumping areas in
Cullinan, City of Tshwane","Hiring of Five (5) TLBs front loader, Ten (10) Tipper
Trucks (10 Cubes) all with
drivers for Emergency
COVID-19 Waste Clean-up
for 5 Days in Cullinan, City
of Tshwane  Municipality.",Mathe Consortia (Pty) Ltd,457000.00,RFQ process/Three quotation
