buyer_name,implementation_location_province,Vote,Department,items_description,supplier_name,supplier_numbers_other,payment_amount_zar,Commitment Amount,order_amount_zar
Western Cape Provincial Treasury,Western Cape,3,Vote 3 : Provincial Treasury,"THERMOMETER , DIGITAL INFRARED, NON CONTACT, KOD",ORACLE MEDICAL,MAAA0009975,13000.00,R0.00,13000.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"WIPES,CLEANING ",AMANTHI TRADERS ,MAAA0034819,15300.00,R0.00,15300.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"THERMOMETER,DIGITAL ",AMCOMED ,MAAA0074321,80097.50,R0.00,80097.50
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"THERMOMETER,DIGITAL ",AMCOMED ,MAAA0074321,3432.75,R0.00,3432.75
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,C4 INVESTMENTS,MAAA0002496,26125.00,R0.00,26125.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,C4 INVESTMENTS,MAAA0002496,4750.00,R0.00,4750.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,C4 INVESTMENTS,MAAA0002496,5937.50,R0.00,5937.50
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,C4 INVESTMENTS,MAAA0002496,5937.50,R0.00,5937.50
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,C4 INVESTMENTS,MAAA0002496,5937.50,R0.00,5937.50
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,C4 INVESTMENTS,MAAA0002496,4464.00,R0.00,4464.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"PARTITIONS, COVID19 SCREENS",DAFFODIL TRADING 39,MAAA0344915,47960.00,R0.00,47960.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,DIBA CONSULTANCY AND EVENTS M,MAAA0396196,0.00,"R30,225.00",30225.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,DISTINCTIVE CHOICE 248,MAAA0108302,5175.00,R0.00,5175.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,DISTINCTIVE CHOICE 248,MAAA0108302,5175.00,R0.00,5175.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,DISTINCTIVE CHOICE 248,MAAA0108302,6624.00,R0.00,6624.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,DISTINCTIVE CHOICE 248,MAAA0108302,5520.00,R0.00,5520.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"MASK,MEDICAL , SINGLE USE, FLUID RESISTANT, ELASITIC EA",FG LOOPS,MAAA0028564,24989.50,R0.00,24989.50
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"MASK,MEDICAL , SINGLE USE, FLUID RESISTANT, ELASITIC EA",FG LOOPS,MAAA0028564,24989.50,R0.00,24989.50
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"THERMOMETER,DIGITAL ",GRINNELL SECURITY SERVICES (PTY) ,MAAA0106693,9746.25,R0.00,9746.25
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,FOGGING BUILDING ,MERIDIAN HYGIENE ,MAAA0563261,9158.03,R0.00,9158.03
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,COVID19 TESTING,MOMENTUM OCSA ,MAAA0467389,63654.80,R0.00,63654.80
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"PROTECTOR SHIELD , FACE, CLEAR PET, 400 X 230 MM",OUTDOOR POWER ,MAAA0002943,10005.00,R0.00,10005.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"PROTECTOR SHIELD , FACE, CLEAR PET, 400 X 230 MM",OUTDOOR POWER CC ,MAAA0002943,7500.30,R0.00,7500.30
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,DECONTAMINATION ,RENTOKIL INITIAL ,MAAA0102243,10580.00,R0.00,10580.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,SOCIAL DISTANCE MARKERS ,RIBBENS OFFICE SOLUTIONS ,MAAA0582311,6013.35,R0.00,6013.35
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"PARTITIONS, COVID19 SCREENS",RIBBENS OFFICE SOLUTIONS ,MAAA0582311,4191.75,R0.00,4191.75
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"PARTITIONS, COVID19 SCREENS",RIBBENS OFFICE SOLUTIONS ,MAAA0582311,2716.86,R0.00,2716.86
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"MASK,SAFETY , PROTECTIVE FACE MASK ",RUSH SCHOOL AND SPORTWEAR ,MAAA0895357,0.00,"R370,000.00",370000.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563,1175.00,R0.00,1175.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563,5875.00,R0.00,5875.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563,5875.00,R0.00,5875.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563,7050.00,R0.00,7050.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563,5875.00,R0.00,5875.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563,5875.00,R0.00,5875.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563,5875.00,R0.00,5875.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563,5875.00,R0.00,5875.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563,5875.00,R0.00,5875.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563,5875.00,R0.00,5875.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563,5875.00,R0.00,5875.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563,5875.00,R0.00,5875.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,CATERING PROVJOCS ,S AND S CATERING ,MAAA0282563,5875.00,R0.00,5875.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"SANITIZER DETERGENT , HAND, SPRAY, 5L",SWARVE ,MAAA0072192,6200.11,R0.00,6200.11
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"SANITIZER DETERGENT , HAND, SPRAY, 25L",TECHNOLOGY STRATEGY CORP ,MAAA0873509,247726.10,R0.00,247726.10
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"SANITIZER DETERGENT , HAND, 70 PERCENT ALCOHOL, 500M",ML TRIPLE A SOLUTIONS ,MAAA0497059,4400.00,R0.00,4400.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"SANITIZER DETERGENT , HAND, SPRAY, 25L",TRIPLE A SOLUTIONS ,MAAA0497059,1150.00,R0.00,1150.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"SANITIZER DETERGENT , HAND, SPRAY, 5L",TRIPLE A SOLUTIONS ,MAAA0497059,2880.00,R0.00,2880.00
Western CapeDepartment of Community Safety,Western Cape,4,Vote 4 : Community Safety,"SANITIZER DETERGENT , REFILL, 70 PERCENT ALCOHOL, 1 L",RE TRIPLE A SOLUTIONS ,MAAA0497059,178400.00,R0.00,178400.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,ATLANTIC PEST AND HYGIENE SOLUT,MONS MAAA0169889,36226.00,R0.00,36226.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",ATLANTIC PEST AND HYGIENE SOLUT,MONS MAAA0169889,1786.00,R0.00,1786.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"CLEANING , STEAM ",ATLANTIC PEST AND HYGIENE SOLUT,MONS MAAA0169889,6286.10,"R1,667.50",7953.60
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"MASK,MEDICAL , SURGICAL, FACE, DISPOSABLE ",BAGAZIO PROMOTIONS ,MAAA0155570,38612.40,R0.00,38612.40
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,BIDVEST PRESTIGE ,MAAA0029711,5899.50,R0.00,5899.50
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,CLEANING ,BIDVEST SERVICES ,MAAA0029711,13805.53,R0.00,13805.53
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,Feeding ,BOLDWEN TRADING ,MAAA0009039,141427.73,R0.00,141427.73
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,Feeding ,BOLDWEN TRADING ,MAAA0009039,133479.08,R0.00,133479.08
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,Feeding ,BOLDWEN TRADING ,MAAA0009039,110464.76,R0.00,110464.76
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,Feeding ,BOLDWEN TRADING ,MAAA0009039,71191.61,R0.00,71191.61
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,Feeding ,BOLDWEN TRADING ,MAAA0009039,64456.76,R0.00,64456.76
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,Feeding ,BOLDWEN TRADING ,MAAA0009039,34750.71,R0.00,34750.71
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"DISPENSER,LIQUID , HAND SANITIZER DISPENSER, TOUCH F","EE, BRAND SATIN, UNIVERSE STAINLESS STEEL, ",1100ML MAAA0159096,44022.00,R0.00,44022.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"DISPENSER,LIQUID , HAND SANITIZER DISPENSER, TOUCH F","EE, BRAND SATIN, UNIVERSE STAINLESS STEEL, ",1100ML MAAA0159096,4540.00,R0.00,4540.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"DISPENSER,LIQUID , HAND SANITIZER DISPENSER, TOUCH F","EE, BUSY SATIN, BEE SUPPLIERS STAINLESS STEEL, ",1100ML MAAA0052128,56850.00,R0.00,56850.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,HAND SANITISER ,CENTRE FOR CONSERVATION EDUC,,,,
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,CHIN TRANSPORT SERVICES ,MAAA0881716,1500.00,R0.00,1500.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,COBEY FIRE ,MAAA0909814,1437.50,R0.00,1437.50
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,CONNOR PEST CONTROL SERVICE ,MAAA0784846,1611.36,R0.00,1611.36
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,CLEANING ,CONNOR PEST CONTROL SERVICE ,MAAA0784846,940.00,R0.00,940.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,CLEANING ,CONNOR PEST CONTROL SERVICE ,MAAA0784846,1195.00,R0.00,1195.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,CLEANING ,CONNOR PEST CONTROL SERVICE ,MAAA0784846,2180.00,R0.00,2180.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,COVID - 19 MEDICAL SUPPLIES,COURIERIT SA (PTY) LTD ,MAAA0078613,968993.85,R0.00,968993.85
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,COVID19 DISINFECTION (PTY) LTD,MAAA0935069,1995.20,R0.00,1995.20
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,COVID19 FOGGING (PTY) LTD,MAAA0935041,1999.77,R0.00,1999.77
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"THERMOMETER,MEDICAL ; MIN/MAX 40",CRANIUM MEDICAL PRODUCTS ,MAAA0058940,4968.00,R0.00,4968.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,D.I.S PEST DIVISION ,MAAA0092316,39590.00,R0.00,39590.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,DAFFODIL TRADING 39,MAAA0344915,39598.24,R0.00,39598.24
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"SANITIZER DETERGENT , SANITIZER HAND WASH, ENRICHED",DAFFODIL TRADING 39,MAAA0344915,7500.00,R0.00,7500.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,PEST CONTROL ,DAFFODIL TRADING 39,MAAA0344915,4300.00,R0.00,4300.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,DOEPA TRADING 36,MAAA0222216,4510.00,R0.00,4510.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"SANITIZER DETERGENT , HAND, WATERLESS, HALLY, 50ML",DOEPA TRADING 36,MAAA0222216,10977.50,R0.00,10977.50
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DOEPA TRADING 36,MAAA0222216,6460.00,R0.00,6460.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DOEPA TRADING 36,MAAA0222216,4000.00,R0.00,4000.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DOEPA TRADING 36,MAAA0222216,4350.00,R0.00,4350.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DOEPA TRADING 36,MAAA0222216,5854.00,R0.00,5854.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DOEPA TRADING 36,MAAA0222216,3070.00,R0.00,3070.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DOEPA TRADING 36,MAAA0222216,2350.00,R0.00,2350.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DOEPA TRADING 36,MAAA0222216,1524.80,R0.00,1524.80
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316,11750.00,R0.00,11750.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316,1900.00,R0.00,1900.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316,950.00,R0.00,950.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316,1450.00,R0.00,1450.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316,1900.00,R0.00,1900.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316,2000.00,R0.00,2000.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316,1700.00,R0.00,1700.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316,1450.00,R0.00,1450.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",DYNAMIC INTEGRATED SOLUTIONS ,MAAA0092316,2500.00,R0.00,2500.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,ECO-HYGIENE ,MAAA0905741,5084.50,R0.00,5084.50
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,ENVIRO-SAFE ,MAAA0085930,24895.00,R0.00,24895.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,PEST CONTROL ,ENVIRO-SAFE ,MAAA0085930,3590.13,R0.00,3590.13
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"MASK,MEDICAL , FACE, CLOTH ",EXCELL BUILDING MAINTENANCE C,MAAA0837714,11250.00,R0.00,11250.00
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,PEST CONTROL ,EXCELL BUILDING MAINTENANCE C,MAAA0837714,4626.43,"R3,800.00",8426.43
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,DECONTAMINATION ,EXCELL CONSUMABLES ,MAAA0011153,19670.75,R0.00,19670.75
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",EXCELL CONSUMABLES ,MAAA0011153,5864.15,R0.00,5864.15
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",EXCELL CONSUMABLES ,MAAA0011153,5232.50,R0.00,5232.50
Western CapeDepartment of Education,Western Cape,5,Vote 5 : Education,"FUMIGATION , PREMISES ",EXCELL CONSUMABLES ,MAAA0011153,6037.50,R0.00,6037.50
