buyer_name,implementation_location_other,supplier_name,items_description,invoice_number,invoice_date,procurement_method,items_quantity,Unit of Measure,cost_per_unit_zar,order_amount_zar
Department of Home Affairs (DHA),EC- Region 1,Yolanindalo,Deep cleaning,EC - 010093,2020-07-15,Order number,3 months,3 months,51420.00,154260.00
Department of Home Affairs (DHA),EC- Region 2,Snow's catering,Cleaners,EC-010092,2020-06-15,Order number,3 months,3 months,82652.57,247957.71
Department of Home Affairs (DHA),EC - Region 4,Super clean,Deep cleaning,EC-010056,2020-05-08,Order number,,,140248.50,140248.50
Department of Home Affairs (DHA),EC - Region 4,Ingachwuma Services,Sanitiser,EC-010053,2020-05-08,Order number,20 * 25 litres,,1300.00,26000.00
Department of Home Affairs (DHA),EC -Region 3,East cost clothing,Mask,EC-0100,2020-05-14,Order number,500,,30.00,15000.00
Department of Home Affairs (DHA),EC - Region 2,Guleni Projects,Mask,EC010068,2020-06-03,Order number,550,,24.50,13475.00
Department of Home Affairs (DHA),EC Mthatha Office,CIA Pharmacy,Gloves,Petty cash,2020-03-26,Petty cash,6,box of 50,140.70,844.20
Department of Home Affairs (DHA),FS Provincial Office,NM Khanya,Masks,Sundry,2020-04-03,CSD process,300,Box of 50,1129.25,338775.00
Department of Home Affairs (DHA),FS Provincial Office,NM Khanya,Gloves,Sundry,2020-04-03,CSD process,300,Box of 100,234.75,70425.00
Department of Home Affairs (DHA),FS Provincial Office,MGC Malotle Group,Sanitisers,Sundry,2020-04-03,CSD process,29,20 litre,2200.00,63800.00
Department of Home Affairs (DHA),FS Provincial Office,MGC Malotle Group,Sanitisers,Sundry,2020-04-03,CSD process,14,5 litre,550.00,7700.00
Department of Home Affairs (DHA),FS Provincial Office,Value Max,Sanitisers,FS-004712,2020-05-25,CSD process,40,25 litre,1599.00,63960.00
Department of Home Affairs (DHA),FS Provincial Office,Stonehange Mulimisi Consulting,Thermometers,FS-004709,2020-05-11,CSD process,25,each,1815.00,45375.00
Department of Home Affairs (DHA),FS Provincial Office,Sbankwa Construction,Spray Bottles,FS-004710,2020-06-04,CSD process,17,12 litre,833.82,14175.00
Department of Home Affairs (DHA),FS Provincial Office,Bloemcity Love,Knapsack Spray Bottles,FS-004711,2020-05-20,CSD process,500,500 ml,24.00,12000.00
Department of Home Affairs (DHA),FS Provincial Office,Bakgwetsi Ba Katleho Co-operative,Gloves,FS-004715,2020-06-05,CSD process,200,Box of 100,250.00,50000.00
Department of Home Affairs (DHA),FS Provincial Office,ATM Trading & Projects,COVID cleaning services three months contract,FS-004744,2020-07-29,CSD process,25 Offices,months,150726.55,452179.66
Department of Home Affairs (DHA),FS Provincial Office,SA Chemical,Sanitisers,Petty cash,2020-03-20,Petty Cash,16,5 litre,370.31,5925.00
Department of Home Affairs (DHA),FS Provincial Office,Various supermarkes,Gloves - Surgical & Examination - Natural Rubber Latex ( 4 box,Pse xt t1y0 c0a psher box),2020-03-20,Petty Cash,5,Box of 100,119.95,599.75
Department of Home Affairs (DHA),FS Provincial Office,Various supermarkes,Sanitisers,Petty cash,2020-03-20,Petty Cash,85,50-750ml,34.57,2938.25
Department of Home Affairs (DHA),FS Provincial Office,Various supermarkes,Disinfectants,Petty cash,2020-03-20,Petty Cash,110,50-750ml,17.27,1899.50
Department of Home Affairs (DHA),FS Provincial Office,Various supermarkes,Other: Specify WIPES,Petty cash,2020-03-20,Petty Cash,280,box of 50,22.03,6167.20
Department of Home Affairs (DHA),FS Mo Kroonstad,Kroonstad pharmacy,Dettol,Petty cash,2020-03-24,Petty Cash,1,each,41.00,41.00
Department of Home Affairs (DHA),FS Mo Kroonstad,Ok Grocery,Savlon liquid,Petty cash,2020-03-24,Petty Cash,2,750 ml,56.99,113.98
Department of Home Affairs (DHA),FS Provincial office,Game,Batteries for thermotetres,Petty cash,2020-05-05,Petty Cash,3,pack of 3,159.99,479.97
Department of Home Affairs (DHA),FS Provincial office,Game,Batteries for thermotetres,Petty cash,2020-05-05,Petty Cash,1,each,159.99,159.99
Department of Home Affairs (DHA),FS Provincial office,Hinterland sa,Sprayer pressure,Petty cash,2020-05-02,Petty Cash,,12 litre,,1564.87
Department of Home Affairs (DHA),FS Provincial office,Willows apteek,Batteries for thermotetres,Petty cash,2020-05-05,Petty Cash,1,each,33.80,33.80
Department of Home Affairs (DHA),FS Mo Kroonstad,Hinterland SA (pty)LTD,sanitizer hand gel,petty cash,2020-05-04,petty cash,1,5L,399.90,399.90
Department of Home Affairs (DHA),FS Mo Kroonstad,Hinterland SA (pty)LTD,sprayer pressure,petty cash,2020-05-04,Petty cash,,12L,449.90,449.90
Department of Home Affairs (DHA),FS Provincial office,ATM Trading and Projects,Cleaning of services,Sundry,2020-07-16,Deviation,4 offices,4 offices,,83430.59
Department of Home Affairs (DHA),FS Provincial office,Tumey consulting,COVID19 disinfectant wet wipes,FS-004719,2020-06-17,CSD process,350,360,360.00,144900.00
Department of Home Affairs (DHA),FS Provincial office,Sbankwa projects,Knapsack sprayer,FS-004710,2020-06-04,CSD process,17,12L,833.82,14175.00
Department of Home Affairs (DHA),FS Provincial office,Shift Consulting,Cloth face masks,FS-004713,2020-05-28,CSD process,1150,each,25.00,28750.00
Department of Home Affairs (DHA),FS Provincial office,Stonehage Mulimisi Consulting,Stand for Sanitizer,FS-004737,2020-07-30,CSD process,25,25,950.00,23750.00
Department of Home Affairs (DHA),FS Provincial office,Prostige-rm Trading & Projects,Sanitizer,Acceptance Letter,2020-07-28,CSD process,100,20 Litre,1180.00,118000.00
Department of Home Affairs (DHA),Gauteng,AKT,SURGICAL MASKS,Acceptance letter,2020-03-19,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,27,box of 50,1285.00,34695.00
Department of Home Affairs (DHA),Gauteng,WEST RAND SUPPLIES,SURGICAL MASKS,Acceptance letter,2020-03-19,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,27,box of 50,1325.00,35775.00
Department of Home Affairs (DHA),Gauteng,ZONDIPHASE,SURGICAL MASKS,Acceptance letter,2020-03-19,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,40,box of 50,2450.00,98000.00
Department of Home Affairs (DHA),Gauteng,AKT,GLOVES SURGICAL,Acceptance letter,2020-03-19,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100,box of 50,185.00,18500.00
Department of Home Affairs (DHA),Gauteng,WEST RAND SUPPLIES,GLOVES SURGICAL,Acceptance letter,2020-03-19,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100,box of 50,189.90,18990.00
Department of Home Affairs (DHA),Gauteng,KEVALI CHEMICALS,HAND SANITISERS,Acceptance letter,2020-03-19,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,30,25 litres,1150.00,34500.00
Department of Home Affairs (DHA),Gauteng,AKT,HAND SANITISERS,Petty Cash,2020-03-18,Petty Cash,42,500ml,100.00,4200.00
Department of Home Affairs (DHA),Gauteng,LURANGA TRADING,EMPTY HAND SANITISERS BOTTLES,Acceptance letter,2020-03-19,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100,440ml,23.00,2300.00
Department of Home Affairs (DHA),Gauteng,TARA HEALTH CARE,HAND SANITISERS,Acceptance letter,2020-04-02,Treasury Contract List,100,25 litres,3125.00,312500.00
Department of Home Affairs (DHA),Gauteng,DNS SUPPLIES,SURGICAL MASKS,Acceptance letter,2020-04-02,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,350,box of 50,1207.50,422625.00
Department of Home Affairs (DHA),Gauteng,DNS SUPPLIES,EXAMINATIONS GLOVES,Acceptance letter,2020-04-02,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,350,box of 50,163.88,57356.25
Department of Home Affairs (DHA),Gauteng,PICK N PAY,TOILET PAPER,Petty Cash,2020-03-31,Petty Cash,1,pack,52.90,52.90
Department of Home Affairs (DHA),Gauteng,PICK N PAY,HAND WASH,Petty Cash,2020-04-21,Petty Cash,1,bottle,64.90,64.90
Department of Home Affairs (DHA),Gauteng,FLAMIGO MOON,FACE CLOTH MASKS,GP-005741,2020-05-12,RT CONTRACT,4500,each,18.00,81000.00
Department of Home Affairs (DHA),Gauteng,FORTISLE,FACE CLOTH MASKS,GP-005749,2020-05-18,RT CONTRACT,3000,each,16.50,49500.00
Department of Home Affairs (DHA),Gauteng,TRIPPLE N MEDICAL,GLOVES,GP-005750,2020-05-18,RT CONTRACT,500,100 PER BOX,200.00,100000.00
Department of Home Affairs (DHA),Gauteng,GLYCOLESS,WET WIPES,GP-005751,2020-05-18,RT CONTRACT,75,800 PER PACK,496.80,37260.00
Department of Home Affairs (DHA),Gauteng,EMU MEDICAL SUPPLIERS,DRY WIPE CLOTH,GP-005752,2020-05-18,RT CONTRACT,1500,50PER PACK,33.75,50625.00
Department of Home Affairs (DHA),Gauteng,JKV ENGENEERING SOLUTIONS,BATTERIES,GP-005754,2020-05-18,SCM PROCESS FLOW,88,4 PER PACK,150.00,13200.00
Department of Home Affairs (DHA),Gauteng,JKV ENGENEERING SOLUTIONS,BATTERIES CHARGER,GP-005754,2020-05-18,SCM PROCESS FLOW,44,EACH,44.00,10120.00
Department of Home Affairs (DHA),Gauteng,TRIPPLE N MEDICAL,SANITISER,GP-005755,2020-05-18,RT CONTRACT,100,25L,2459.43,245943.00
Department of Home Affairs (DHA),Gauteng,PROMED TECHNOLOGIES,DISPOSABLE MASK,GP-005759,2020-05-18,RT CONTRACT,500,box of 50,540.00,270000.00
Department of Home Affairs (DHA),Gauteng,MVELAPANDA GENERAL TRADING,REFILL SANITISER BOTTLE,GP-005762,2020-05-27,SCM PROCESS FLOW,500,500ML,26.75,13375.00
Department of Home Affairs (DHA),Gauteng,EMU MEDICAL SUPPLIERS,WET WIPES,GP-005752,2020-05-18,RT CONTRACT,1500,Box of 250 units,33.75,50625.00
Department of Home Affairs (DHA),Gauteng,VITAL LIFE MEDICAL,SANITISERS,GP-005753,2020-05-18,RT CONTRACT,500,5 Liter bottle,437.00,218500.00
Department of Home Affairs (DHA),Gauteng,JKV ENGINEERING SOLUTIONS,BATTERIES,GP-005754,2020-05-18,SCM PROCESS FLOW,44,AAA Charger & 2 pack,230.00,10120.00
Department of Home Affairs (DHA),Gauteng,JKV ENGINEERING SOLUTIONS,BATTERIES,GP-005754,2020-05-18,SCM PROCESS FLOW,88,AAA Pack of 4,150.00,13200.00
Department of Home Affairs (DHA),Gauteng,TRIPPLE N.MEDICAL,SANITISERS,GP-005755,2020-05-18,RT CONTRACT,100,25 liters,2459.43,245943.00
Department of Home Affairs (DHA),Gauteng,UI BRAND,BASE STAND HAND SANITIZER STAND,GP-005767,2020-06-04,SCM PROCESS FLOW,100,Stand & 500ml filled b,1100.00,110000.00
Department of Home Affairs (DHA),Gauteng,PROMED TECHNOLOGIES,SURFACE DISINFECTANT,GP-005778,2020-06-08,RT CONTRACT,500,5 liter,90.00,45000.00
Department of Home Affairs (DHA),Gauteng,CREATIVE MEDICAL,EMPTY SPRAY BOTTLES,GP-005779,2020-06-08,SCM PROCESS FLOW,900,250ml,24.25,21828.15
Department of Home Affairs (DHA),Gauteng,CREATIVE MEDICAL,EMPTY SPRAY BOTTLES,GP-005779,2020-06-08,SCM PROCESS FLOW,900,500ml,25.74,23163.30
Department of Home Affairs (DHA),Gauteng,PROMED TECHNOLOGIES,SURGICAL DISPOSAL PLASTIC BAGS(RED),GP-005780,2020-06-08,RT CONTRACT,20000,"30 Liter bag, 60 micro",1.30,26000.00
Department of Home Affairs (DHA),Gauteng,ULYMAT PROJECTS,CLEANING SERVICES,GP-005781,2020-06-11,SCM PROCESS FLOW,3 Months,,13333.00,39999.99
Department of Home Affairs (DHA),Gauteng,TRIPLE S.CONCEPTS,5 LITRE EMPTY SPRAY PUMP BOTTLE,GP-005784,2020-06-11,SCM PROCESS FLOW,50,5 liter  bottle,350.00,17500.00
Department of Home Affairs (DHA),Gauteng,SHECKS GLOBAL,CLEANING SERVICES(KRUGERSDORP),GP-005785,2020-06-15,SCM PROCESS FLOW,3 Months,,15800.00,47400.00
Department of Home Affairs (DHA),Gauteng,GLYCOLESS (LDT),DISINFECTANT WET WIPES,GP-005797,2020-06-30,RT CONTRACT,60,5 litre buckets of 1000,621.00,37260.00
Department of Home Affairs (DHA),Gauteng,DIMEKO TSA RABODIBE,CLEANING SERVICES,GP-005822,2020-07-23,SCM PROCESS FLOW,3 Months,,16794.00,50832.00
Department of Home Affairs (DHA),Limpopo,TARA HEALTH CARE,HAND SANITISERS,AI-601755,2020-03-24,Treasury Contract List,84,25 litre,3125.00,262500.00
Department of Home Affairs (DHA),Limpopo,TARA HEALTH CARE,HAND SANITISERS- GEL,AI-601755,2020-03-24,Treasury Contract List,623,500ml,98.50,61365.00
Department of Home Affairs (DHA),Limpopo,JANWURMBK,HAND SANITISERS,Petty Cash,2020-03-20,Petty Cash,10,litre,70.00,700.00
Department of Home Affairs (DHA),Limpopo,PEPPS MODIMOLLE,CUDDLESOME,Petty Cash,2020-03-22,Petty Cash,1,,39.00,39.00
Department of Home Affairs (DHA),Limpopo,SAFETY FIRST LTT,MASKS,Petty Cash,2020-03-16,Petty Cash,4,box of 100,65.00,260.00
Department of Home Affairs (DHA),Limpopo,SAFETY FIRST LTT,EXAMINATION GLOVES,Petty Cash,2020-03-16,Petty Cash,1,box of 100,100.00,100.00
Department of Home Affairs (DHA),Limpopo,SAFETY FIRST LTT,HAND SOAP LIQUID,Petty Cash,2020-03-20,Petty Cash,4,600ml,80.00,320.00
Department of Home Affairs (DHA),Limpopo,MODERN PACKAGING,GLOVES LATEX X-LARGE,Petty Cash,2020-03-26,Petty Cash,20,box of 100,120.00,2400.00
Department of Home Affairs (DHA),Limpopo,RCC,HAND SANITISERS,Petty Cash,2020-03-26,Petty Cash,90,litre,100.00,9000.00
Department of Home Affairs (DHA),Limpopo,CHECKERS POLOKWANE,HAND SANITISERS,Petty Cash,2020-02-27,Petty Cash,2,litre,39.99,79.98
Department of Home Affairs (DHA),Limpopo,REAKGONA CLEANING CHEMICALS,SANITISER,Petty Cash,2020-03-26,Petty Cash,12,2 Litre,200.00,2400.00
Department of Home Affairs (DHA),Limpopo,REAKGONA CLEANING CHEMICALS,BOTTLE,Petty Cash,2020-03-26,Petty Cash,15,bottle,45.00,675.00
Department of Home Affairs (DHA),Limpopo,Gazamed Pharmacy,Gloves,Petty Cash,2020-03-26,Petty Cash,3,box of 100,99.95,299.85
Department of Home Affairs (DHA),Limpopo,Phalaborwa Plastics,Masks,Petty Cash,2020-03-26,Petty Cash,1,box of 20,175.00,175.00
Department of Home Affairs (DHA),Limpopo,Phalaborwa Plastics,Gloves Latex,Petty Cash,2020-03-26,Petty Cash,1,box of 10,110.00,110.00
Department of Home Affairs (DHA),Limpopo,Modern Packaging,Hand Sanitizer,Petty Cash,2020-03-26,Petty Cash,5,5 litre,320.00,1600.00
Department of Home Affairs (DHA),Limpopo,SPAR,hand sanitizer,Petty Cash,2020-03-26,Petty Cash,2,litre,29.99,59.98
Department of Home Affairs (DHA),Limpopo,Pep Trading Store,Rubber Gloves,Petty Cash,2020-03-26,Petty Cash,3,,12.97,38.90
Department of Home Affairs (DHA),Limpopo,AW Chemicals,Bleach,Petty Cash,2020-03-26,Petty Cash,2,5 litre,40.00,80.00
Department of Home Affairs (DHA),Limpopo,Checkers,Vinegar,Petty Cash,2020-03-26,Petty Cash,2,750 ml,19.95,39.90
Department of Home Affairs (DHA),Limpopo,Checkers,Plastic Bag,Petty Cash,2020-03-26,Petty Cash,1,,0.60,0.60
Department of Home Affairs (DHA),Limpopo,Morden Packaging,Hand Sanitizer,Petty Cash,2020-03-26,Petty Cash,2,5 litre,320.00,640.00
Department of Home Affairs (DHA),Limpopo,Usave,Trigger Spray,Petty Cash,2020-03-26,Petty Cash,7,,9.99,69.93
Department of Home Affairs (DHA),Limpopo,Dis-Chem,Hand sanitazer mixer,Petty Cash,2020-03-26,Petty Cash,2,,120.00,240.00
Department of Home Affairs (DHA),Limpopo,Modjadji Phamacy,Cloves,Petty Cash,2020-03-26,Petty Cash,1,box of 100,120.00,120.00
Department of Home Affairs (DHA),Limpopo,Morden Packaging,Hand Sanitizer,Petty Cash,2020-03-26,Petty Cash,2,5 litre,320.00,640.00
Department of Home Affairs (DHA),Limpopo,Usave,Trigger Spray,Petty Cash,2020-03-26,Petty Cash,7,,9.99,69.93
Department of Home Affairs (DHA),Limpopo,Dis-Chem,Hand sanitazer mixer,Petty Cash,2020-03-26,Petty Cash,2,,120.00,240.00
Department of Home Affairs (DHA),Limpopo,Modjadji Phamacy,Cloves,Petty Cash,2020-03-26,Petty Cash,1,box of 100,120.00,120.00
Department of Home Affairs (DHA),Limpopo,Modern Packging Polokwane,Hand Sanitiser,Petty Cash,2020-03-26,Petty Cash,1,5 litre,320.00,320.00
Department of Home Affairs (DHA),Limpopo,Modern Packging Polokwane,Hand Sanitiser,Petty Cash,2020-03-26,Petty Cash,4,5 litre,320.00,1280.00
Department of Home Affairs (DHA),Limpopo,Galaxy Hardware,Dust mask,Petty Cash,2020-03-26,Petty Cash,7,box of 100,17.00,119.00
