"",EC Region 3,Ntuba Ltd Pty,Sanitisers,Acceptance letter,26/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100 litre,per litre,R136.00,"R13,600.00"
"",EC Region 4,Nodoli,Sanitisers,Acceptance letter,26/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100 litre,per litre,R136.00,"R13,600.00"
"",EC Provincial Office,The Stationers & Computer shop,Gloves,Petty cash,17/04/2020,Petty Cash,11,box of 50,R175.00,"R1,925.00"
"",EC Region 1,The Stationers  & Computer shop,Gloves,Petty cash,17/04/2020,Petty Cash,11,box of 50,R175.00,"R1,925.00"
"",EC Region 2,The Stationers  & Computer shop,Gloves,Petty cash,17/04/2020,Petty Cash,11,box of 50,R175.00,"R1,925.00"
"",EC Region 3,The Stationers & Computer shop,Gloves,Petty cash,17/04/2020,Petty Cash,11,box of 50,R175.00,"R1,925.00"
"",EC Region 4,The Stationers & Computer shop,Gloves,Petty cash,17/04/2020,Petty Cash,11,box of 50,R175.00,"R1,925.00"
"",EC PE LOL,JOE DAVIS,Spray bottles,Acceptance letter,23/03/2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,11,per litre,R20.00,R220.00
"",EC PE LOL,BKB DISTRIBUTORS,Sanitisers,Acceptance letter,23/03/2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,1,5litre,R340.00,R340.00
"",EC PE LOL,BKB DISTRIBUTORS,Sanitisers,Acceptance letter,23/03/2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,2,1litre,R56.00,R112.00
"",EC Grahamstown Lom,Cassim's,Sanitisers,Acceptance letter,27/03/2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,5,per litre,R100.00,R500.00
"",EC Grahamstown Lom,Cassim's,Gloves,Acceptance letter,27/03/2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,2,100 per box,R180.00,R360.00
"",EC KWT,SPAR,Sanitisers,Petty cash,17/03/2020,Petty Cash,7,50 ml,R16.99,R118.93
"",EC KWT,CLICKS Phamarcy,Sanitisers,Petty cash,10/03/2020,Petty Cash,16,250 ml,R16.99,R271.84
"",EC KWT,CLICKS Phamarcy,Sanitisers,Petty cash,18/03/2020,petty Cash,9,250 ml,R16.99,R152.91
"",EC KWT,BRANDO'S Pharmacy,Gloves,Petty cash,20/03/2020,Petty Cash,1,box of 50,R114.95,R114.95
"",EC KWT,CLICKS Phamarcy,Sanitisers,Petty cash,21/03/2020,Petty Cash,3,each,R89.99,R269.97
"",EC East London,Fantasy Trading,Sanitizer Containers,Petty cash,20/03/2020,petty cash,32,bottle,R7.55,R241.50
"",EC Bizana Office,Aminachem Pty Ltd,Sanitiser (For Tabankulu Office),Petty cash,18/03/2020,Petty cash,1,5 litre,R350.00,R350.00
"",EC Bizana Office,Sylewyse Cosmics Bizana,Dettol (For Bizana Office),Petty cash,20/03/2020,Petty cash,2,750 ml,R69.99,R139.98
"",EC Bizana Office,Lathi-thaa Pharmacy,Gloves (For Mt Ayliff Office),Petty cash,20/03/2020,Petty cash,1,box of 50,R129.95,R129.95
"",EC Bizana Office,Lathi-thaa Pharmacy,Sanitiser (For Mt Ayliff Office),Petty cash,20/03/2020,Petty cash,1,500 ml,R120.05,R120.05
"",EC Bizana Office,Lathi-thaa Pharmacy,Sanitiser (For Mt Ayliff Office),Petty cash,20/03/2020,Petty cash,1,100 ml,R39.95,R39.95
"",EC Bizana Office,Arise and Shine Ministries,Sanitiser (For Bizana Office),Petty cash,26/03/2020,Petty cash,6,500 ml,R85.00,R510.00
"",EC Lusikisiki,Superpar,Detol,Petty cash,17/03/2020,Petty cash,4,750 ml,R85.99,R343.96
"",EC Lusikisiki,Superpar,Health & Beauty ( GERMEX HYGIENE LIQUID),Petty cash,17/03/2020,Petty cash,5,750 ml,R38.99,R194.95
"",EC Lusikisiki,Ingquza Hill Pharmacy,Gloves,Petty cash,17/03/2020,Petty cash,3,box,R170.98,R512.94
"",EC Lusikisiki,Jabula Supermarket,Menthol Spirit,Petty cash,18/03/2020,Petty cash,6,750 ml,R14.00,R84.00
"",EC Lusikisiki,Emax Home,Plastic Water bottles,Petty cash,18/03/2020,Petty cash,9,each,R16.00,R144.00
"",EC Lusikisiki,Shorprite,Cleaning Clothes,Petty cash,18/03/2020,Petty cash,8,pack,R19.99,R159.92
"",EC Lusikisiki,Entabeni Hardware Express,Plastic Water Bottles,Petty cash,18/03/2020,Petty cash,6,each,R12.95,R77.70
"",EC Lusikisiki,Entabeni Hardware Express,Plastic Water Bottles,Petty cash,19/04/2020,Petty cash,3,each,R12.95,R38.85
"",EC Mthatha Office,Blazing Silver Trading,Detol,Petty cash,19.03.2020,Petty cash,3,2 litre,R118.99,R356.97
"",EC Mthatha Office,Cash Build,Dust Musk,Petty cash,20.03.2020,Petty cash,19,pack of 5,R69.95,"R1,329.08"
"",EC Mthatha Office,Clicks,Gloves,Petty cash,20.03.2020,Petty cash,4,box,R108.00,R432.00
"",EC Mthatha Office,Quality Plumbers,Dust Musk,Petty cash,20.03.2020,Petty cash,4,pack of 48,R48.00,R192.00
"",EC Mthatha Office,Soul Fire Holdings,Sanitiser,Petty cash,26.03.2020,Petty cash,2,5 litre,R550.00,"R1,100.00"
"",EC Region 4,Guleni Projects,Cloth Masks,EC-010061,15.05.2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,300,each,R24.50,"R7,350.00"
"",EC Region 1,Phumaphambili Agric and Textile,Cloth Masks,EC-010058,11.05.2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,500,each,R25.00,"R12,500.00"
"",EC Region 1,Ulu Trading PTY (LTD),Deep cleaning- 15 offices,EC-010048,08.05.2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,15 Offices (5 725 m2),once off,,"R118,380.00"
"",EC Region 3,JK Tech Promo,Sanitizers,EC-010057,07.06.2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,24,25 litres,"R1,466.25","R40,468.50"
"",EC Region 2,Spumeze Trading,Sanitizers,EC-010050,07.06.2020,CSD PROCESS - PARAGRAPH 3.7.6 OF INSTRUCTION NOTE 8 OF 2019/2020,50,5 litres,R411.12,"R20,556.00"
"",EC Region 3,Evergreen Latex Gloves,Gloves,EC-010059,01.06.2020,Contract,5000,Box,R57.34,"R286,700.00"
"",EC Region 2,Africa's Plumber,Deep cleaning- 16 offices,EC-010055,08.05.2020,CSD,16 Offices,once off,114.950.00,114.950.00
"",EC Region 1,Libhongo trading Enterprise,sanitizers,EC-010131,22.07.2020,Order number,30,25 litres,"R2,000.00","R60,000.00"
"",EC- Grahamstom,Luphiwam Trading,Deep cleaning,EC- 010155,3/6/2020,Order number,1 office,3 months,"R15,063.03","R45,189.09"
"",EC-Region 2,Ezanathi solutions,Sanitizers,EC-010150,2/08/2020,Order number,50,5 litres,R482.00,"R24,100.00"
"",EC- Region 1,Yolanindalo,Deep cleaning,EC - 010093,15/07/2020,Order number,3 months,3 months,"R51,420.00","R154,260.00"
"",EC- Region 2,Snow's catering,Cleaners,EC-010092,15/06/2020,Order number,3 months,3 months,"R82,652.57","R247,957.71"
"",EC - Region 4,Super clean,Deep cleaning,EC-010056,08/05/2020,Order number,,,"R140,248.50","R140,248.50"
"",EC - Region 4,Ingachwuma Services,Sanitiser,EC-010053,08/05/2020,Order number,20 * 25 litres,,"R1,300.00","R26,000.00"
"",EC -Region 3,East cost clothing,Mask,EC-0100,14/05/2020,Order number,500,,R30.00,"R15,000.00"
"",EC - Region 2,Guleni Projects,Mask,EC010068,03/06/2020,Order number,550,,R24.50,"R13,475.00"
"",EC Mthatha Office,CIA Pharmacy,Gloves,Petty cash,26/03/2020,Petty cash,6,box of 50,R140.70,R844.20
"",FS Provincial Office,NM Khanya,Masks,Sundry,03/04/2020,CSD process,300,Box of 50,"R1,129.25","R338,775.00"
"",FS Provincial Office,NM Khanya,Gloves,Sundry,03/04/2020,CSD process,300,Box of 100,R234.75,"R70,425.00"
"",FS Provincial Office,MGC Malotle Group,Sanitisers,Sundry,03/04/2020,CSD process,29,20 litre,"R2,200.00","R63,800.00"
"",FS Provincial Office,MGC Malotle Group,Sanitisers,Sundry,03/04/2020,CSD process,14,5 litre,R550.00,"R7,700.00"
"",FS Provincial Office,Value Max,Sanitisers,FS-004712,25/05/2020,CSD process,40,25 litre,"R1,599.00","R63,960.00"
"",FS Provincial Office,Stonehange Mulimisi Consulting,Thermometers,FS-004709,11/05/2020,CSD process,25,each,"R1,815.00","R45,375.00"
"",FS Provincial Office,Sbankwa Construction,Spray Bottles,FS-004710,04/06/2020,CSD process,17,12 litre,R833.82,"R14,175.00"
"",FS Provincial Office,Bloemcity Love,Knapsack Spray Bottles,FS-004711,20/05/2020,CSD process,500,500 ml,R24.00,"R12,000.00"
"",FS Provincial Office,Bakgwetsi Ba Katleho Co-operative,Gloves,FS-004715,05/06/2020,CSD process,200,Box of 100,R250.00,"R50,000.00"
"",FS Provincial Office,ATM Trading & Projects,COVID cleaning services three months contract,FS-004744,29/07/2020,CSD process,25 Offices,months,"R150,726.55","R452,179.66"
"",FS Provincial Office,SA Chemical,Sanitisers,Petty cash,20/03/2020,Petty Cash,16,5 litre,R370.31,"R5,925.00"
"",FS Provincial Office,Various supermarkes,Gloves - Surgical & Examination - Natural Rubber Latex ( 4 box,Pse xt t1y0 c0a psher box),20/03/2020,Petty Cash,5,Box of 100,R119.95,R599.75
"",FS Provincial Office,Various supermarkes,Sanitisers,Petty cash,20/03/2020,Petty Cash,85,50-750ml,R34.57,"R2,938.25"
"",FS Provincial Office,Various supermarkes,Disinfectants,Petty cash,20/03/2020,Petty Cash,110,50-750ml,R17.27,"R1,899.50"
"",FS Provincial Office,Various supermarkes,Other: Specify WIPES,Petty cash,20/03/2020,Petty Cash,280,box of 50,R22.03,"R6,167.20"
"",FS Mo Kroonstad,Kroonstad pharmacy,Dettol,Petty cash,24/03/2020,Petty Cash,1,each,R41.00,R41.00
"",FS Mo Kroonstad,Ok Grocery,Savlon liquid,Petty cash,24/03/2020,Petty Cash,2,750 ml,R56.99,R113.98
"",FS Provincial office,Game,Batteries for thermotetres,Petty cash,05/05/2020,Petty Cash,3,pack of 3,R159.99,R479.97
"",FS Provincial office,Game,Batteries for thermotetres,Petty cash,05/05/2020,Petty Cash,1,each,R159.99,R159.99
"",FS Provincial office,Hinterland sa,Sprayer pressure,Petty cash,02/05/2020,Petty Cash,,12 litre,,"R1,564.87"
"",FS Provincial office,Willows apteek,Batteries for thermotetres,Petty cash,05/05/2020,Petty Cash,1,each,R33.80,R33.80
"",FS Mo Kroonstad,Hinterland SA (pty)LTD,sanitizer hand gel,petty cash,04/05/2020,petty cash,1,5L,R399.90,R399.90
"",FS Mo Kroonstad,Hinterland SA (pty)LTD,sprayer pressure,petty cash,04/05/2020,Petty cash,,12L,R449.90,R449.90
"",FS Provincial office,ATM Trading and Projects,Cleaning of services,Sundry,16/07/2020,Deviation,4 offices,4 offices,,R 83 430 59
"",FS Provincial office,Tumey consulting,COVID19 disinfectant wet wipes,FS-004719,17/06/2020,CSD process,350,360,R360.00,R144 900 00
"",FS Provincial office,Sbankwa projects,Knapsack sprayer,FS-004710,04/06/2020,CSD process,17,12L,R833.82,"R14,175.00"
"",FS Provincial office,Shift Consulting,Cloth face masks,FS-004713,28/05/2020,CSD process,1150,each,R25.00,R28 750 00
"",FS Provincial office,Stonehage Mulimisi Consulting,Stand for Sanitizer,FS-004737,30/07/2020,CSD process,25,25,R950.00,"R23,750.00"
"",FS Provincial office,Prostige-rm Trading & Projects,Sanitizer,Acceptance Letter,28/07/2020,CSD process,100,20 Litre,"R1,180.00","R118,000.00"
"",Gauteng,AKT,SURGICAL MASKS,Acceptance letter,19/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,27,box of 50,"R1,285.00","R34,695.00"
"",Gauteng,WEST RAND SUPPLIES,SURGICAL MASKS,Acceptance letter,19/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,27,box of 50,"R1,325.00","R35,775.00"
"",Gauteng,ZONDIPHASE,SURGICAL MASKS,Acceptance letter,19/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,40,box of 50,"R2,450.00","R98,000.00"
"",Gauteng,AKT,GLOVES SURGICAL,Acceptance letter,19/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100,box of 50,R185.00,"R18,500.00"
"",Gauteng,WEST RAND SUPPLIES,GLOVES SURGICAL,Acceptance letter,19/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100,box of 50,R189.90,"R18,990.00"
"",Gauteng,KEVALI CHEMICALS,HAND SANITISERS,Acceptance letter,19/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,30,25 litres,"R1,150.00","R34,500.00"
"",Gauteng,AKT,HAND SANITISERS,Petty Cash,18/03/2020,Petty Cash,42,500ml,R100.00,"R4,200.00"
"",Gauteng,LURANGA TRADING,EMPTY HAND SANITISERS BOTTLES,Acceptance letter,19/03/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,100,440ml,R23.00,"R2,300.00"
"",Gauteng,TARA HEALTH CARE,HAND SANITISERS,Acceptance letter,02/04/2020,Treasury Contract List,100,25 litres,"R3,125.00","R312,500.00"
"",Gauteng,DNS SUPPLIES,SURGICAL MASKS,Acceptance letter,02/04/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,350,box of 50,"R1,207.50","R422,625.00"
"",Gauteng,DNS SUPPLIES,EXAMINATIONS GLOVES,Acceptance letter,02/04/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,350,box of 50,R163.88,"R57,356.25"
"",Gauteng,PICK N PAY,TOILET PAPER,Petty Cash,31/03/2020,Petty Cash,1,pack,R52.90,R52.90
"",Gauteng,PICK N PAY,HAND WASH,Petty Cash,21/04/2020,Petty Cash,1,bottle,R64.90,R64.90
"",Gauteng,FLAMIGO MOON,FACE CLOTH MASKS,GP-005741,12/05/2020,RT CONTRACT,4500,each,R18.00,"R81,000.00"
"",Gauteng,FORTISLE,FACE CLOTH MASKS,GP-005749,18/05/2020,RT CONTRACT,3000,each,R16.50,"R49,500.00"
"",Gauteng,TRIPPLE N MEDICAL,GLOVES,GP-005750,18/05/2020,RT CONTRACT,500,100 PER BOX,R200.00,"R100,000.00"
"",Gauteng,GLYCOLESS,WET WIPES,GP-005751,18/05/2020,RT CONTRACT,75,800 PER PACK,R496.80,"R37,260.00"
"",Gauteng,EMU MEDICAL SUPPLIERS,DRY WIPE CLOTH,GP-005752,18/05/2020,RT CONTRACT,1500,50PER PACK,R33.75,"R50,625.00"
"",Gauteng,JKV ENGENEERING SOLUTIONS,BATTERIES,GP-005754,18/05/2020,SCM PROCESS FLOW,88,4 PER PACK,R150.00,"R13,200.00"
"",Gauteng,JKV ENGENEERING SOLUTIONS,BATTERIES CHARGER,GP-005754,18/05/2020,SCM PROCESS FLOW,44,EACH,R44.00,"R10,120.00"
"",Gauteng,TRIPPLE N MEDICAL,SANITISER,GP-005755,18/05/2020,RT CONTRACT,100,25L,"R2,459.43","R245,943.00"
"",Gauteng,PROMED TECHNOLOGIES,DISPOSABLE MASK,GP-005759,18/05/2020,RT CONTRACT,500,box of 50,R540.00,"R270,000.00"
"",Gauteng,MVELAPANDA GENERAL TRADING,REFILL SANITISER BOTTLE,GP-005762,27/05/2020,SCM PROCESS FLOW,500,500ML,R26.75,"R13,375.00"
"",Gauteng,EMU MEDICAL SUPPLIERS,WET WIPES,GP-005752,18-05-2020,RT CONTRACT,1500,Box of 250 units,R33.75,"R50,625.00"
"",Gauteng,VITAL LIFE MEDICAL,SANITISERS,GP-005753,18-05-2020,RT CONTRACT,500,5 Liter bottle,R437.00,"R218,500.00"
"",Gauteng,JKV ENGINEERING SOLUTIONS,BATTERIES,GP-005754,18-05-2020,SCM PROCESS FLOW,44,AAA Charger & 2 pack,batteriesR230.00,"R10,120.00"
"",Gauteng,JKV ENGINEERING SOLUTIONS,BATTERIES,GP-005754,18-05-2020,SCM PROCESS FLOW,88,AAA Pack of 4,R150.00,"R13,200.00"
"",Gauteng,TRIPPLE N.MEDICAL,SANITISERS,GP-005755,18-05-2020,RT CONTRACT,100,25 liters,"R2,459.43","R245,943.00"
"",Gauteng,UI BRAND,BASE STAND HAND SANITIZER STAND,GP-005767,04-06-2020,SCM PROCESS FLOW,100,Stand & 500ml filled b,"ttleR1,100.00","R110,000.00"
"",Gauteng,PROMED TECHNOLOGIES,SURFACE DISINFECTANT,GP-005778,08-06-2020,RT CONTRACT,500,5 liter,R90.00,"R45,000.00"
"",Gauteng,CREATIVE MEDICAL,EMPTY SPRAY BOTTLES,GP-005779,08-06-2020,SCM PROCESS FLOW,900,250ml,R24.25,"R21,828.15"
"",Gauteng,CREATIVE MEDICAL,EMPTY SPRAY BOTTLES,GP-005779,08-06-2020,SCM PROCESS FLOW,900,500ml,R25.74,"R23,163.30"
"",Gauteng,PROMED TECHNOLOGIES,SURGICAL DISPOSAL PLASTIC BAGS(RED),GP-005780,08-06-2020,RT CONTRACT,20000,"30 Liter bag, 60 micro",R1.30,"R26,000.00"
"",Gauteng,ULYMAT PROJECTS,CLEANING SERVICES,GP-005781,11-06-2020,SCM PROCESS FLOW,3 Months,,"R13,333.00","R39,999.99"
"",Gauteng,TRIPLE S.CONCEPTS,5 LITRE EMPTY SPRAY PUMP BOTTLE,GP-005784,11-06-2020,SCM PROCESS FLOW,50,5 liter  bottle,R350.00,"R17,500.00"
"",Gauteng,SHECKS GLOBAL,CLEANING SERVICES(KRUGERSDORP),GP-005785,15-06-2020,SCM PROCESS FLOW,3 Months,,"R15,800.00","R47,400.00"
"",Gauteng,GLYCOLESS (LDT),DISINFECTANT WET WIPES,GP-005797,30-06-2020,RT CONTRACT,60,5 litre buckets of 1000,wipesR621.00,"R37,260.00"
"",Gauteng,DIMEKO TSA RABODIBE,CLEANING SERVICES,GP-005822,23-07-2020,SCM PROCESS FLOW,3 Months,,"R16,794.00","R50,832.00"
"",Limpopo,TARA HEALTH CARE,HAND SANITISERS,AI-601755,24/03/2020,Treasury Contract List,84,25 litre,"R3,125.00","R262,500.00"
"",Limpopo,TARA HEALTH CARE,HAND SANITISERS- GEL,AI-601755,24/03/2020,Treasury Contract List,623,500ml,R98.50,"R61,365.00"
"",Limpopo,JANWURMBK,HAND SANITISERS,Petty Cash,20/03/2020,Petty Cash,10,litre,R70.00,R700.00
"",Limpopo,PEPPS MODIMOLLE,CUDDLESOME,Petty Cash,22/03/2020,Petty Cash,1,,R39.00,R39.00
"",Limpopo,SAFETY FIRST LTT,MASKS,Petty Cash,16/03/2020,Petty Cash,4,box of 100,R65.00,R260.00
"",Limpopo,SAFETY FIRST LTT,EXAMINATION GLOVES,Petty Cash,16/03/2020,Petty Cash,1,box of 100,R100.00,R100.00
"",Limpopo,SAFETY FIRST LTT,HAND SOAP LIQUID,Petty Cash,20/03/2020,Petty Cash,4,600ml,R80.00,R320.00
"",Limpopo,MODERN PACKAGING,GLOVES LATEX X-LARGE,Petty Cash,26/03/2020,Petty Cash,20,box of 100,R120.00,"R2,400.00"
"",Limpopo,RCC,HAND SANITISERS,Petty Cash,26/03/2020,Petty Cash,90,litre,R100.00,"R9,000.00"
"",Limpopo,CHECKERS POLOKWANE,HAND SANITISERS,Petty Cash,27/02/2020,Petty Cash,2,litre,R39.99,R79.98
"",Limpopo,REAKGONA CLEANING CHEMICALS,SANITISER,Petty Cash,26/03/2020,Petty Cash,12,2 Litre,R200.00,"R2,400.00"
"",Limpopo,REAKGONA CLEANING CHEMICALS,BOTTLE,Petty Cash,26/03/2020,Petty Cash,15,bottle,R45.00,R675.00
"",Limpopo,Gazamed Pharmacy,Gloves,Petty Cash,26/03/2020,Petty Cash,3,box of 100,R99.95,R299.85
"",Limpopo,Phalaborwa Plastics,Masks,Petty Cash,26/03/2020,Petty Cash,1,box of 20,R175.00,R175.00
"",Limpopo,Phalaborwa Plastics,Gloves Latex,Petty Cash,26/03/2020,Petty Cash,1,box of 10,R110.00,R110.00
"",Limpopo,Modern Packaging,Hand Sanitizer,Petty Cash,26/03/2020,Petty Cash,5,5 litre,R320.00,"R1,600.00"
"",Limpopo,SPAR,hand sanitizer,Petty Cash,26/03/2020,Petty Cash,2,litre,R29.99,R59.98
"",Limpopo,Pep Trading Store,Rubber Gloves,Petty Cash,26/03/2020,Petty Cash,3,,R12.97,R38.90
"",Limpopo,AW Chemicals,Bleach,Petty Cash,26/03/2020,Petty Cash,2,5 litre,R40.00,R80.00
"",Limpopo,Checkers,Vinegar,Petty Cash,26/03/2020,Petty Cash,2,750 ml,R19.95,R39.90
"",Limpopo,Checkers,Plastic Bag,Petty Cash,26/03/2020,Petty Cash,1,,R0.60,R0.60
"",Limpopo,Morden Packaging,Hand Sanitizer,Petty Cash,26/03/2020,Petty Cash,2,5 litre,R320.00,R640.00
"",Limpopo,Usave,Trigger Spray,Petty Cash,26/03/2020,Petty Cash,7,,R9.99,R69.93
"",Limpopo,Dis-Chem,Hand sanitazer mixer,Petty Cash,26/03/2020,Petty Cash,2,,R120.00,R240.00
"",Limpopo,Modjadji Phamacy,Cloves,Petty Cash,26/03/2020,Petty Cash,1,box of 100,R120.00,R120.00
"",Limpopo,Morden Packaging,Hand Sanitizer,Petty Cash,26/03/2020,Petty Cash,2,5 litre,R320.00,R640.00
"",Limpopo,Usave,Trigger Spray,Petty Cash,26/03/2020,Petty Cash,7,,R9.99,R69.93
"",Limpopo,Dis-Chem,Hand sanitazer mixer,Petty Cash,26/03/2020,Petty Cash,2,,R120.00,R240.00
"",Limpopo,Modjadji Phamacy,Cloves,Petty Cash,26/03/2020,Petty Cash,1,box of 100,R120.00,R120.00
"",Limpopo,Modern Packging Polokwane,Hand Sanitiser,Petty Cash,26/03/2020,Petty Cash,1,5 litre,R320.00,R320.00
"",Limpopo,Modern Packging Polokwane,Hand Sanitiser,Petty Cash,26/03/2020,Petty Cash,4,5 litre,R320.00,"R1,280.00"
"",Limpopo,Galaxy Hardware,Dust mask,Petty Cash,26/03/2020,Petty Cash,7,box of 100,R17.00,R119.00
"",Limpopo,Phinorah Safetyware,Dust mask,Petty Cash,26/03/2020,Petty Cash,3,box of 100,R300.00,R900.00
"",Limpopo,Pienaar Bros,Gloves,Petty Cash,26/03/2020,Petty Cash,5,box 100,R70.00,R350.00
"",Limpopo,Pep,Wipes,Petty Cash,26/03/2020,Petty Cash,6,box 50,R50.00,R300.00
"",Limpopo,Cherkers,Sanitiser,Petty Cash,26/03/2020,Petty Cash,27,1 litre,R10.00,R270.00
"",Limpopo,The Cleaning Co.,Sanitiser,Petty Cash,26/03/2020,Petty Cash,4,5 litre,R173.95,R695.80,
"",Limpopo,DNS SUPPLIES,SURGICAL MASKS,Acceptance letter,06/04/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,280,box of 50,"R1,207.50","R338,100.00"
"",Limpopo,DNS SUPPLIES,EXAMINATIONS GLOVES,Acceptance letter,06/04/2020,CSD process- paragraph 3.7.6 of Instruction note 8 of 2019/2020,140,box of 100,R163.88,"R22,942.50"
"",Limpopo,Bidvest commercial products,Sanitizer,Quotations,15/05/2020,Quotations,258,5 litre,R458.85,"R118,383.00"
"",Limpopo,Bidvest commercial products,gloves,Quotations,15/05/2020,Quotations,1854,box of 100,R135.45,"R288,792.95"
"",Limpopo,Industroclean,Sanitizer,Quotations,08/05/2020,Quotations,215,5 litre,R293.35,"R63,071.00"
"",Limpopo,AW chemicals,bio harard,Quotations,15/05/2020,Quotations,126,bag of 100,R80.00,"R11,592.00"
"",Limpopo,Industroclean,gloves,Quotations,15/05/2020,Quotations,50,bag of 100,R137.90,"R6,854.58"
"",Limpopo,Bidvest Steiner,Disinfecting of 43 Offices,Quotations,07/05/2020,Quotations,43,Offices,"R90,659.10","R90,659.10"
"",Limpopo,Cleaning Specialist,Disinfecting of Jane Furse Office,Quotations,21/07/2020,Quotations,740,Per square meter,"R3,700.70","R3,700.10"
"",Limpopo,Cleaning Specialist,Disinfecting of Thohoyandou Office,Quotations,23/07/2020,Quotations,1740,Per square meter,"R7,277.20","R7,277.20"
"",Limpopo,Bidvest Steiner,Disinfecting of  Tzaneen  Office,Quotations,8/07/2020,Quotations,1045,Per square meter,"R11,777.15","R11,777.15"
"",Limpopo,Cleaning Specialist,Disinfecting of  Bochum  Office,Quotations,31/07/2020,Quotations,200,Per square meter,"R1,999.00","R1,999.00"
"",Limpopo,Cleaning Specialist,Disinfecting of Jane Bochum  Office,Quotations,21/07/2020,Quotations,101.2,Per square meter,"R3,483.55","R3,483.55"
